"comparison_name","selected_rank_order","anchor_rank","anchor_score","n_total","anchor_quantile"
"RT0_ZT6",1,15422,1783.63027374369,31553,0.511235064811587
"RT0_ZT6",2,15419,1783.62961507453,31553,0.511330142934111
"RT0_ZT6",3,15421,1783.62896861721,31553,0.511266757519095
"RT0_ZT6",4,15420,1783.6285363469,31553,0.511298450226603
"RT2_ZT8",1,2625,1436.81101395091,31534,0.916756516775544
"RT2_ZT8",2,2624,1436.80967194722,31534,0.916788228578677
"RT2_ZT8",3,2626,1436.80746784834,31534,0.916724804972411
"RT2_ZT8",4,2623,1436.80594956399,31534,0.91681994038181
"RT4_ZT10",1,13716,849.350474220622,31658,0.566744582727905
"RT4_ZT10",2,13715,849.345448130985,31658,0.566776170320298
"RT4_ZT10",3,13717,849.345290103231,31658,0.566712995135511
"RT4_ZT10",4,13718,849.316480154225,31658,0.566681407543117
"RT8_ZT14",1,16552,1295.71482125429,31580,0.475870804306523
"RT8_ZT14",2,16551,1295.70302888303,31580,0.475902469917669
"RT8_ZT14",3,16553,1295.69514909588,31580,0.475839138695377
"RT8_ZT14",4,16550,1295.67947794148,31580,0.475934135528816
