"comparison_name","dataset_name","dataset_type","ranking_space","final_analysis_space","n_features","hc_p_threshold","hbfss_threshold","n_standard_significant","n_HBFSS_significant","n_overlap_significant","n_strong_effect","n_weak_effect","evs_selection_space","evs_dispersion_source","evs_final_rank_mode","final_rank_used","final_filtered_rank_used","cutoff_feature_id","combined_loading_rule","model_selection_mode_used","cutoff_method","cutoff_quantile","selected_reason","fallback_rank_mode","fallback_used"
"RT0_ZT6","RT0_ZT6_raw_dataset","raw_dataset","Normalized before EVS | comparison-specific combined rank","Raw counts",31553,0.000532546091058572,3.27364279873213,3,34,3,3,3469,"Normalized before EVS | comparison-specific combined rank","dispGeneEst","comparison_specific_combined_rank",5000,5000,"14290","max","fallback_only","deseq2_nb_regime_combined_rank",0.841536462459988,"deseq2_nb_regime_cutoff_selected_from_full_raw_dataset_after_normalized_EVS_combined_ranking","top_n",TRUE
"RT0_ZT6","RT0_ZT6_leading_edge_dataset","leading_edge_dataset","Normalized before EVS | comparison-specific combined rank","Raw counts",5000,0.21638995728499,0.664762898819255,0,0,0,0,0,"Normalized before EVS | comparison-specific combined rank","dispGeneEst","comparison_specific_combined_rank",5000,5000,"14290","max","fallback_only","deseq2_nb_regime_combined_rank",0.841536462459988,"deseq2_nb_regime_cutoff_selected_from_full_raw_dataset_after_normalized_EVS_combined_ranking","top_n",TRUE
"RT0_ZT6","RT0_ZT6_remainder_dataset","remainder_dataset","Normalized before EVS | comparison-specific combined rank","Raw counts",26553,0.000594350695213963,3.22595722496188,3,33,3,3,3832,"Normalized before EVS | comparison-specific combined rank","dispGeneEst","comparison_specific_combined_rank",5000,5000,"14290","max","fallback_only","deseq2_nb_regime_combined_rank",0.841536462459988,"deseq2_nb_regime_cutoff_selected_from_full_raw_dataset_after_normalized_EVS_combined_ranking","top_n",TRUE
"RT2_ZT8","RT2_ZT8_raw_dataset","raw_dataset","Normalized before EVS | comparison-specific combined rank","Raw counts",31534,0.0136775581992137,1.86399142858533,0,8,0,0,7704,"Normalized before EVS | comparison-specific combined rank","dispGeneEst","comparison_specific_combined_rank",5000,5000,"293336","max","fallback_only","deseq2_nb_regime_combined_rank",0.841440984334369,"deseq2_nb_regime_cutoff_selected_from_full_raw_dataset_after_normalized_EVS_combined_ranking","top_n",TRUE
"RT2_ZT8","RT2_ZT8_leading_edge_dataset","leading_edge_dataset","Normalized before EVS | comparison-specific combined rank","Raw counts",5000,0.00368549618432024,2.43350403409916,0,0,0,0,0,"Normalized before EVS | comparison-specific combined rank","dispGeneEst","comparison_specific_combined_rank",5000,5000,"293336","max","fallback_only","deseq2_nb_regime_combined_rank",0.841440984334369,"deseq2_nb_regime_cutoff_selected_from_full_raw_dataset_after_normalized_EVS_combined_ranking","top_n",TRUE
"RT2_ZT8","RT2_ZT8_remainder_dataset","remainder_dataset","Normalized before EVS | comparison-specific combined rank","Raw counts",26534,0.0130733739219668,1.88361231704071,0,13,0,0,8209,"Normalized before EVS | comparison-specific combined rank","dispGeneEst","comparison_specific_combined_rank",5000,5000,"293336","max","fallback_only","deseq2_nb_regime_combined_rank",0.841440984334369,"deseq2_nb_regime_cutoff_selected_from_full_raw_dataset_after_normalized_EVS_combined_ranking","top_n",TRUE
"RT4_ZT10","RT4_ZT10_raw_dataset","raw_dataset","Normalized before EVS | comparison-specific combined rank","Raw counts",31658,0.0223630001696145,1.65046993290979,39,1101,39,41,6128,"Normalized before EVS | comparison-specific combined rank","dispGeneEst","comparison_specific_combined_rank",5000,5000,"542234","max","fallback_only","deseq2_nb_regime_combined_rank",0.842062038031461,"deseq2_nb_regime_cutoff_selected_from_full_raw_dataset_after_normalized_EVS_combined_ranking","top_n",TRUE
"RT4_ZT10","RT4_ZT10_leading_edge_dataset","leading_edge_dataset","Normalized before EVS | comparison-specific combined rank","Raw counts",5000,0.029051834532237,1.53682643807326,0,13,0,0,0,"Normalized before EVS | comparison-specific combined rank","dispGeneEst","comparison_specific_combined_rank",5000,5000,"542234","max","fallback_only","deseq2_nb_regime_combined_rank",0.842062038031461,"deseq2_nb_regime_cutoff_selected_from_full_raw_dataset_after_normalized_EVS_combined_ranking","top_n",TRUE
"RT4_ZT10","RT4_ZT10_remainder_dataset","remainder_dataset","Normalized before EVS | comparison-specific combined rank","Raw counts",26658,0.0584846476520411,1.23295812220902,53,1373,53,55,6422,"Normalized before EVS | comparison-specific combined rank","dispGeneEst","comparison_specific_combined_rank",5000,5000,"542234","max","fallback_only","deseq2_nb_regime_combined_rank",0.842062038031461,"deseq2_nb_regime_cutoff_selected_from_full_raw_dataset_after_normalized_EVS_combined_ranking","top_n",TRUE
"RT8_ZT14","RT8_ZT14_raw_dataset","raw_dataset","Normalized before EVS | comparison-specific combined rank","Raw counts",31580,0.0186581006283235,1.72913256898303,0,77,0,0,8714,"Normalized before EVS | comparison-specific combined rank","dispGeneEst","comparison_specific_combined_rank",5000,5000,"533419","max","fallback_only","deseq2_nb_regime_combined_rank",0.841671944268524,"deseq2_nb_regime_cutoff_selected_from_full_raw_dataset_after_normalized_EVS_combined_ranking","top_n",TRUE
"RT8_ZT14","RT8_ZT14_leading_edge_dataset","leading_edge_dataset","Normalized before EVS | comparison-specific combined rank","Raw counts",5000,0.000382676447841401,3.41716826598891,0,1,0,0,0,"Normalized before EVS | comparison-specific combined rank","dispGeneEst","comparison_specific_combined_rank",5000,5000,"533419","max","fallback_only","deseq2_nb_regime_combined_rank",0.841671944268524,"deseq2_nb_regime_cutoff_selected_from_full_raw_dataset_after_normalized_EVS_combined_ranking","top_n",TRUE
"RT8_ZT14","RT8_ZT14_remainder_dataset","remainder_dataset","Normalized before EVS | comparison-specific combined rank","Raw counts",26580,0.0235986938463817,1.62711203393697,0,86,0,0,9139,"Normalized before EVS | comparison-specific combined rank","dispGeneEst","comparison_specific_combined_rank",5000,5000,"533419","max","fallback_only","deseq2_nb_regime_combined_rank",0.841671944268524,"deseq2_nb_regime_cutoff_selected_from_full_raw_dataset_after_normalized_EVS_combined_ranking","top_n",TRUE
