"percentile","center_rank","lo_rank","hi_rank","iod_amplitude","cv2_amplitude","iod_center","cv2_center","iod_residual_sd","cv2_residual_sd","center_distance","center_agreement","local_fourier_score"
0.01,314,1,2198,0.434304444398837,0.132466501497991,1099.5,1099.5,0.325527633540859,0.309721162076034,0,1,2.19449137534126
0.02,628,1,2512,0.465613868193271,0.121677275792647,1256.5,1256.5,0.34188397629709,0.319744994077042,0,1,2.23607241838773
0.03,942,1,2826,0.444079991429253,0.118453088390834,1413.5,1077,0.357175461479892,0.336724491996161,336.5,0.00296296296296296,1.18482547021788
0.04,1256,1,3140,0.473270631532117,0.154859459066595,1570.5,1570.5,0.372568014258428,0.344400273120003,0,1,2.33242629222679
0.05,1570,1,3454,0.460555532850438,0.152351203773282,1727.5,1727.5,0.383531893504747,0.349030551108905,0,1,2.29896262385107
0.06,1884,1,3768,0.389540054840992,0.104953105966083,1334.5,1285,0.395670975966599,0.35557962277228,49.5,0.0198019801980198,1.05153081394252
0.07,2198,314,4082,0.237627891962474,0.0720776771699666,1609,1592,0.407906430405903,0.368196171471989,17,0.0555555555555556,0.680483590526077
0.08,2512,628,4396,0.159707494983956,0.0867595093143138,1807,3660,0.422325716383663,0.388498836448792,1853,0.000539374325782093,0.492703740762379
0.09,2827,943,4711,0.142962756083405,0.0781508991535756,1961,1956.5,0.439087158966759,0.39668811378282,4.5,0.181818181818182,0.617148668271346
0.1,3141,1257,5025,0.0872784955946021,0.0687210503504232,2053,4640,0.451393420555583,0.40487787284641,2587,0.000386398763523957,0.29290750315208
0.11,3455,1571,5339,0.102565616152741,0.0783716362388796,4120.5,2835.5,0.453559725631974,0.406340463424453,1285,0.000777604976671851,0.349495252881063
0.12,3769,1885,5653,0.0989379130642852,0.0663856827187242,4258,3538,0.45867391396296,0.41113381175412,720,0.0013869625520111,0.31344060770319
0.13,4083,2199,5967,0.103113810271202,0.0676218844042839,4280.5,3534,0.457853470566313,0.417126472023637,746.5,0.00133779264214047,0.325373923700895
0.14,4397,2513,6281,0.117427102751324,0.0703938623728936,4525,3575,0.457461224681003,0.422271385034853,950,0.0010515247108307,0.362633438025775
0.15,4711,2827,6595,0.131617992626296,0.0815955466349217,4711,3459.5,0.452615683613841,0.420470041150018,1251.5,0.000798403193612774,0.419944059115425
0.16,5025,3141,6909,0.137957143116837,0.0852843815423621,5025,3601,0.446382707682464,0.420297860439298,1424,0.000701754385964912,0.442397498516123
0.17,5339,3455,7223,0.0742783801803855,0.0391212857556012,5339,5487,0.442942641908457,0.423199877484994,148,0.00671140939597315,0.199971418588753
0.18,5653,3769,7537,0.0639447721780222,0.0432957488553038,5406,5427.5,0.434481244906104,0.424491702879045,21.5,0.0444444444444444,0.225456816026238
0.19,5967,4083,7851,0.0575378179862204,0.12072527402235,5373,5967,0.432548768358759,0.426079529092256,594,0.00168067226890756,0.355168731136335
0.2,6281,4397,8165,0.0719510414821028,0.0578007476149719,5548,6888.5,0.429548773870559,0.418768583898131,1340.5,0.000745434215430488,0.233928029768206
0.21,6595,4711,8479,0.0399470813726505,0.0651936984719482,5617,6919.5,0.425908755069879,0.421479419204643,1302.5,0.000767165324127349,0.18269898712305
0.22,6909,5025,8793,0.0695370533100853,0.0699437712691164,7612.5,7017.5,0.419687378854952,0.423853234821873,595,0.00167785234899329,0.258869343344299
0.23,7223,5339,9107,0.0469803845003525,0.103252965593394,7675,7223,0.423551530283061,0.426741511671325,452,0.0022075055187638,0.290882624600329
