"percentile","center_rank_trt","iod_amplitude_trt","cv2_amplitude_trt","iod_center_trt","cv2_center_trt","local_fourier_score_trt","center_rank_ctrl","iod_amplitude_ctrl","cv2_amplitude_ctrl","iod_center_ctrl","cv2_center_ctrl","local_fourier_score_ctrl","combined_center_rank","combined_iod_amplitude","combined_cv2_amplitude","combined_center_distance","combined_center_agreement","combined_fourier_score","regime_difference","regime_direction"
0.01,309,0.492106274952919,0.203199174620672,1082,1082,2.24046953001243,310,0.355219579892048,0.182388633300065,1086,1086,2.14065007210355,310,0.847325854844967,0.385587807920737,0,1,2.3711300160361,0.461738046924229,"IOD_dominant"
0.02,618,0.451261383698167,0.132718125885489,1236.5,897.5,1.05148206452693,620,0.366605005403656,0.132771164340429,1241,1241,2.08230811076223,619,0.817866389101823,0.265489290225918,169.5,0.00586510263929619,1.17216999840419,0.552377098875905,"IOD_dominant"
0.03,927,0.498239186046571,0.209348507785607,1391,1391,2.26251390496969,930,0.402995230545111,0.154729442887723,1396,1396,2.21468717204224,928,0.901234416591682,0.36407795067333,0,1,2.40307116442403,0.537156465918352,"IOD_dominant"
0.04,1236,0.454194387057917,0.126453825848253,1545.5,1545.5,2.04501877020477,1241,0.397533654407225,0.190908867134412,1551.5,1551.5,2.26453378680353,1238,0.851728041465142,0.317362692982665,0,1,2.27928288184442,0.534365348482477,"IOD_dominant"
0.05,1545,0.483413683933305,0.178629181043882,1700,1700,2.1850009184017,1551,0.383170545378918,0.186311388871604,1706.5,1706.5,2.21947089182816,1548,0.866584229312224,0.364940569915486,0,1,2.36411956775449,0.501643659396738,"IOD_dominant"
0.06,1854,0.500703289543066,0.216211736161756,1854.5,1854.5,2.2780823450318,1861,0.395703527541286,0.1799958839356,1861.5,1861.5,2.24055369711255,1858,0.896406817084352,0.396207620097355,0,1,2.44313146724922,0.500199196986996,"IOD_dominant"
0.07,2163,0.215388145419838,0.076243799904251,1788.5,3633,0.476320564198747,2171,0.222010849994863,0.137256532013553,2171,2171,1.71831683120149,2167,0.437398995414701,0.213500331917804,922.25,0.00108313024641213,0.65235114467171,0.223898663496897,"IOD_dominant"
0.08,2472,0.169664646109138,0.0541572836594332,2013.5,1984.5,0.381063876589953,2481,0.161637204533449,0.125593632422879,2481,2481,1.54243176170836,2476,0.331301850642586,0.179750916082312,14.5,0.0645161290322581,0.544803148367939,0.151550934560274,"IOD_dominant"
0.09,2781,0.142226884479393,0.0589847830720964,2188,2149.5,0.323834196011378,2791,0.168029777665267,0.161247217125891,2791,2791,1.62183994294103,2786,0.31025666214466,0.220232000197987,19.25,0.0493827160493827,0.562793301439222,0.0900246619466732,"IOD_dominant"
0.1,3090,0.159925163947257,0.109269447038916,3090,3090,1.41184966775419,3102,0.130325637077267,0.103107039190733,3102,3102,1.42218255990607,3096,0.290250801024524,0.21237648622965,0,1,1.47905037642765,0.0778743147948747,"IOD_dominant"
