"comparison_name","dataset_name","n_features","hc_p_threshold","hbfss_threshold","n_standard_significant","n_HBFSS_significant","n_overlap_significant","n_strong_effect","n_weak_effect","evs_cutoff_mode_main","evs_selection_space","trt_top_n_used","ctrl_top_n_used","trt_cutoff_method","ctrl_cutoff_method","trt_cutoff_quantile","ctrl_cutoff_quantile","trt_selected_reason","ctrl_selected_reason"
"RT0_ZT6","RT0_ZT6_raw_dataset",31553,0.000532546091058572,3.27364279873213,3,34,3,3,3469,"free_slope_changepoint_on_PC1_rank","normalized_before_EVS",15419,15419,"free_slope_changepoint_on_PC1_rank","free_slope_changepoint_on_PC1_rank",0.511330142934111,0.511330142934111,"free_slope_changepoint_selected_on_normalized_counts_then_mapped_to_raw_counts_for_DESeq2","free_slope_changepoint_selected_on_normalized_counts_then_mapped_to_raw_counts_for_DESeq2"
"RT0_ZT6","RT0_ZT6_leading_edge_dataset",22457,0.0198781930703706,1.70162309555403,1,27,1,1,0,"free_slope_changepoint_on_PC1_rank","normalized_before_EVS",15419,15419,"free_slope_changepoint_on_PC1_rank","free_slope_changepoint_on_PC1_rank",0.511330142934111,0.511330142934111,"free_slope_changepoint_selected_on_normalized_counts_then_mapped_to_raw_counts_for_DESeq2","free_slope_changepoint_selected_on_normalized_counts_then_mapped_to_raw_counts_for_DESeq2"
"RT0_ZT6","RT0_ZT6_remainder_dataset",9096,0.00541463926529806,2.26643047169038,1,49,1,1,3495,"free_slope_changepoint_on_PC1_rank","normalized_before_EVS",15419,15419,"free_slope_changepoint_on_PC1_rank","free_slope_changepoint_on_PC1_rank",0.511330142934111,0.511330142934111,"free_slope_changepoint_selected_on_normalized_counts_then_mapped_to_raw_counts_for_DESeq2","free_slope_changepoint_selected_on_normalized_counts_then_mapped_to_raw_counts_for_DESeq2"
"RT2_ZT8","RT2_ZT8_raw_dataset",31534,0.0136775581992137,1.86399142858533,0,8,0,0,7704,"free_slope_changepoint_on_PC1_rank","normalized_before_EVS",15410,15410,"free_slope_changepoint_on_PC1_rank","free_slope_changepoint_on_PC1_rank",0.511321113718526,0.511321113718526,"free_slope_changepoint_selected_on_normalized_counts_then_mapped_to_raw_counts_for_DESeq2","free_slope_changepoint_selected_on_normalized_counts_then_mapped_to_raw_counts_for_DESeq2"
"RT2_ZT8","RT2_ZT8_leading_edge_dataset",22476,0.00952708410943393,2.02104000061617,0,0,0,0,2224,"free_slope_changepoint_on_PC1_rank","normalized_before_EVS",15410,15410,"free_slope_changepoint_on_PC1_rank","free_slope_changepoint_on_PC1_rank",0.511321113718526,0.511321113718526,"free_slope_changepoint_selected_on_normalized_counts_then_mapped_to_raw_counts_for_DESeq2","free_slope_changepoint_selected_on_normalized_counts_then_mapped_to_raw_counts_for_DESeq2"
"RT2_ZT8","RT2_ZT8_remainder_dataset",9058,0.0195944513876702,1.70786689154505,0,16,0,0,5204,"free_slope_changepoint_on_PC1_rank","normalized_before_EVS",15410,15410,"free_slope_changepoint_on_PC1_rank","free_slope_changepoint_on_PC1_rank",0.511321113718526,0.511321113718526,"free_slope_changepoint_selected_on_normalized_counts_then_mapped_to_raw_counts_for_DESeq2","free_slope_changepoint_selected_on_normalized_counts_then_mapped_to_raw_counts_for_DESeq2"
"RT4_ZT10","RT4_ZT10_raw_dataset",31658,0.0223630001696145,1.65046993290979,39,1101,39,41,6128,"free_slope_changepoint_on_PC1_rank","normalized_before_EVS",15470,15470,"free_slope_changepoint_on_PC1_rank","free_slope_changepoint_on_PC1_rank",0.511339945669341,0.511339945669341,"free_slope_changepoint_selected_on_normalized_counts_then_mapped_to_raw_counts_for_DESeq2","free_slope_changepoint_selected_on_normalized_counts_then_mapped_to_raw_counts_for_DESeq2"
"RT4_ZT10","RT4_ZT10_leading_edge_dataset",22477,0.0339347904901026,1.46935482775359,8,536,8,8,981,"free_slope_changepoint_on_PC1_rank","normalized_before_EVS",15470,15470,"free_slope_changepoint_on_PC1_rank","free_slope_changepoint_on_PC1_rank",0.511339945669341,0.511339945669341,"free_slope_changepoint_selected_on_normalized_counts_then_mapped_to_raw_counts_for_DESeq2","free_slope_changepoint_selected_on_normalized_counts_then_mapped_to_raw_counts_for_DESeq2"
"RT4_ZT10","RT4_ZT10_remainder_dataset",9181,0.0243340881064227,1.61378492383054,59,481,59,59,4753,"free_slope_changepoint_on_PC1_rank","normalized_before_EVS",15470,15470,"free_slope_changepoint_on_PC1_rank","free_slope_changepoint_on_PC1_rank",0.511339945669341,0.511339945669341,"free_slope_changepoint_selected_on_normalized_counts_then_mapped_to_raw_counts_for_DESeq2","free_slope_changepoint_selected_on_normalized_counts_then_mapped_to_raw_counts_for_DESeq2"
"RT8_ZT14","RT8_ZT14_raw_dataset",31580,0.0186581006283235,1.72913256898303,0,77,0,0,8714,"free_slope_changepoint_on_PC1_rank","normalized_before_EVS",15432,15432,"free_slope_changepoint_on_PC1_rank","free_slope_changepoint_on_PC1_rank",0.511336288790374,0.511336288790374,"free_slope_changepoint_selected_on_normalized_counts_then_mapped_to_raw_counts_for_DESeq2","free_slope_changepoint_selected_on_normalized_counts_then_mapped_to_raw_counts_for_DESeq2"
