"comparison_name","dataset_name","display_class","n_features"
"RT0_ZT6","original","strong_and_hbfss",0
"RT0_ZT6","original","strong_deseq2_only",3
"RT0_ZT6","original","weak_deseq2_effect",5496
"RT0_ZT6","original","hbfss_only",0
"RT0_ZT6","original","background",26054
"RT0_ZT6","leading_edge","strong_and_hbfss",2
"RT0_ZT6","leading_edge","strong_deseq2_only",0
"RT0_ZT6","leading_edge","weak_deseq2_effect",1682
"RT0_ZT6","leading_edge","hbfss_only",3
"RT0_ZT6","leading_edge","background",443
"RT0_ZT6","remainder","strong_and_hbfss",0
"RT0_ZT6","remainder","strong_deseq2_only",3
"RT0_ZT6","remainder","weak_deseq2_effect",3562
"RT0_ZT6","remainder","hbfss_only",0
"RT0_ZT6","remainder","background",25858
"RT2_ZT8","original","strong_and_hbfss",0
"RT2_ZT8","original","strong_deseq2_only",0
"RT2_ZT8","original","weak_deseq2_effect",10111
"RT2_ZT8","original","hbfss_only",0
"RT2_ZT8","original","background",21423
"RT2_ZT8","leading_edge","strong_and_hbfss",0
"RT2_ZT8","leading_edge","strong_deseq2_only",0
"RT2_ZT8","leading_edge","weak_deseq2_effect",1807
"RT2_ZT8","leading_edge","hbfss_only",0
"RT2_ZT8","leading_edge","background",33
"RT2_ZT8","remainder","strong_and_hbfss",0
"RT2_ZT8","remainder","strong_deseq2_only",0
"RT2_ZT8","remainder","weak_deseq2_effect",8011
"RT2_ZT8","remainder","hbfss_only",0
"RT2_ZT8","remainder","background",21683
"RT4_ZT10","original","strong_and_hbfss",0
"RT4_ZT10","original","strong_deseq2_only",67
"RT4_ZT10","original","weak_deseq2_effect",8366
"RT4_ZT10","original","hbfss_only",0
"RT4_ZT10","original","background",23225
"RT4_ZT10","leading_edge","strong_and_hbfss",0
"RT4_ZT10","leading_edge","strong_deseq2_only",14
"RT4_ZT10","leading_edge","weak_deseq2_effect",1551
"RT4_ZT10","leading_edge","hbfss_only",0
"RT4_ZT10","leading_edge","background",275
"RT4_ZT10","remainder","strong_and_hbfss",0
"RT4_ZT10","remainder","strong_deseq2_only",34
"RT4_ZT10","remainder","weak_deseq2_effect",6768
"RT4_ZT10","remainder","hbfss_only",0
"RT4_ZT10","remainder","background",23016
"RT8_ZT14","original","strong_and_hbfss",0
"RT8_ZT14","original","strong_deseq2_only",0
"RT8_ZT14","original","weak_deseq2_effect",11215
"RT8_ZT14","original","hbfss_only",0
"RT8_ZT14","original","background",20365
"RT8_ZT14","leading_edge","strong_and_hbfss",0
"RT8_ZT14","leading_edge","strong_deseq2_only",0
"RT8_ZT14","leading_edge","weak_deseq2_effect",1486
"RT8_ZT14","leading_edge","hbfss_only",0
"RT8_ZT14","leading_edge","background",62
"RT8_ZT14","remainder","strong_and_hbfss",0
"RT8_ZT14","remainder","strong_deseq2_only",0
"RT8_ZT14","remainder","weak_deseq2_effect",9793
"RT8_ZT14","remainder","hbfss_only",0
"RT8_ZT14","remainder","background",20239
