"feature_id","pc1_loading","pc1_loading_abs","rank","comparison_name","group_label","baseMean","dispGeneEst","dispFit"
"248551",24.5679680048224,24.5679680048224,1,"RT4_ZT10","control",25620.1075473153,0.156960467724408,0.0960799129202239
"55601",24.0727627273995,24.0727627273995,2,"RT4_ZT10","control",22573.84476361,0.40771909612676,0.0961144008947669
"415923",22.5908868918574,22.5908868918574,3,"RT4_ZT10","control",11015.0395582893,0.133722073576148,0.096418775318778
"179269",21.9909431226004,21.9909431226004,4,"RT4_ZT10","control",11948.3007646004,0.121290611479718,0.0963723454118261
"335788",21.3163629320063,21.3163629320063,5,"RT4_ZT10","control",8872.36357104379,0.100432688019609,0.0965623301849252
"8277",21.1764628144962,21.1764628144962,6,"RT4_ZT10","control",8522.86616879835,0.285983889191803,0.0965925927516708
"88697",20.6875550839575,20.6875550839575,7,"RT4_ZT10","control",8622.44656116424,0.049264581660254,0.0965837202832974
"278624",20.2157282315897,20.2157282315897,8,"RT4_ZT10","control",6808.58621371065,0.272568865619162,0.0967860236924894
"163095",19.6485313774325,19.6485313774325,9,"RT4_ZT10","control",5478.56775436215,0.187237138397047,0.0970194880018862
"378009",19.2430520420487,19.2430520420487,10,"RT4_ZT10","control",7795.19726393307,0.218213424948845,0.0966643073953977
"484755",19.2349621179111,19.2349621179111,11,"RT4_ZT10","control",4706.39223162189,0.0528006599215922,0.0972155744963135
"437093",19.0048959487075,19.0048959487075,12,"RT4_ZT10","control",4494.73088547837,0.10069039619984,0.0972810888631788
"189904",18.7650952428365,18.7650952428365,13,"RT4_ZT10","control",4376.78600617821,0.0380437968678901,0.0973203449395675
"144905",18.7223034334461,18.7223034334461,14,"RT4_ZT10","control",2917.71155401082,0.36220621404514,0.0980684568895276
"321367",18.7169750040643,18.7169750040643,15,"RT4_ZT10","control",4429.36469573461,0.0298355661886767,0.0973025867040305
"56995",18.6865004219011,18.6865004219011,16,"RT4_ZT10","control",3166.49158535399,0.240199509729372,0.0978921449869416
"485669",18.6423599181462,18.6423599181462,17,"RT4_ZT10","control",4047.49675960488,0.00341750326838058,0.0974420538943143
"308159",18.6415534144148,18.6415534144148,18,"RT4_ZT10","control",5044.0617265185,0.0801275781461715,0.0971224400956286
"91106",18.6314432970126,18.6314432970126,19,"RT4_ZT10","control",4667.15755166426,0.0543627462074079,0.097227269930279
"412143",18.6169285294012,18.6169285294012,20,"RT4_ZT10","control",4438.54795808818,0.101049149100631,0.0972995282536264
"299527",18.6165029866204,18.6165029866204,21,"RT4_ZT10","control",3751.33529311026,0.0449938233823429,0.0975697692056379
"25328",18.5966692163006,18.5966692163006,22,"RT4_ZT10","control",7034.67130132962,0.956268873036291,0.0967551166126455
"568576",18.5790883492379,18.5790883492379,23,"RT4_ZT10","control",2738.43932613487,0.485822004972467,0.0982153678995895
"100439",18.5311779507136,18.5311779507136,24,"RT4_ZT10","control",4145.74432032041,0.0460167779122273,0.0974037167676659
"66014",18.5281636045235,18.5281636045235,25,"RT4_ZT10","control",3947.93000829845,0.0955155199495739,0.0974828524876787
"436469",18.4803744158896,18.4803744158896,26,"RT4_ZT10","control",3706.99446388069,0.0350989398072439,0.0975906469125953
"156760",18.4181549352439,18.4181549352439,27,"RT4_ZT10","control",3366.91377253821,0.325402311174322,0.0977690551285659
"206283",18.3222247849899,18.3222247849899,28,"RT4_ZT10","control",4394.96030708414,0.276494719901835,0.0973141585929288
"161605",18.2866239910666,18.2866239910666,29,"RT4_ZT10","control",4090.63511855839,0.169679298171556,0.0974249941241915
"339719",18.2348494355676,18.2348494355676,30,"RT4_ZT10","control",3316.13070921678,0.237866636625037,0.0977988363199346
"506371",18.1778612024352,18.1778612024352,31,"RT4_ZT10","control",2673.85072429809,0.289161471916723,0.0982731246047022
"111059",18.1406656264198,18.1406656264198,32,"RT4_ZT10","control",2733.08248437445,0.255569867893992,0.0982200543039987
"65320",18.1402153122853,18.1402153122853,33,"RT4_ZT10","control",3162.9072237287,0.192975068741219,0.0978944883190045
"130479",18.1197561810633,18.1197561810633,34,"RT4_ZT10","control",3787.51691911576,0.0416705602688116,0.0975530954119739
"225736",18.0892552180595,18.0892552180595,35,"RT4_ZT10","control",3639.95402188526,0.0532093209519609,0.0976231785438377
"323897",18.0017083983435,18.0017083983435,36,"RT4_ZT10","control",3311.41341386688,0.0350819857605386,0.097801649093885
"465587",17.9889000818217,17.9889000818217,37,"RT4_ZT10","control",3423.74662331846,0.0677097808113995,0.0977367737080483
"385935",17.9678898858881,17.9678898858881,38,"RT4_ZT10","control",3373.15696322039,0.109896939328836,0.0977654557720808
"504994",17.9377966946324,17.9377966946324,39,"RT4_ZT10","control",3534.59058926892,0.0253199955328683,0.0976768003827278
"175929",17.9118023997145,17.9118023997145,40,"RT4_ZT10","control",4382.05018962662,0.140594220317118,0.0973185477861135
"359893",17.9014491364015,17.9014491364015,41,"RT4_ZT10","control",3291.26074746737,0.0544832247216897,0.0978137562914421
"399260",17.9009941198374,17.9009941198374,42,"RT4_ZT10","control",3159.80355730795,0.0159915806796053,0.0978965216838362
"189162",17.8945614049599,17.8945614049599,43,"RT4_ZT10","control",2277.78426264993,0.411806973731283,0.0986989240877389
"42310",17.8642865887979,17.8642865887979,44,"RT4_ZT10","control",3710.96924565207,0.052649907615403,0.0975887550447146
"574524",17.8524755520694,17.8524755520694,45,"RT4_ZT10","control",3445.48794754585,0.0420339297772121,0.0977247061207879
"359542",17.8518140083141,17.8518140083141,46,"RT4_ZT10","control",2620.75913868778,0.136812569083399,0.098322732206983
"163596",17.8470895714349,17.8470895714349,47,"RT4_ZT10","control",3365.91580771915,0.01976745139586,0.0977696317181541
"338869",17.7990696032075,17.7990696032075,48,"RT4_ZT10","control",3246.04733201092,0.146869576506939,0.097841466320675
"65983",17.7351938966699,17.7351938966699,49,"RT4_ZT10","control",2575.81909148525,0.179485060561941,0.0983663213032391
"249918",17.6769364084759,17.6769364084759,50,"RT4_ZT10","control",3302.86888744938,0.0645550694068664,0.0978067643816023
"56157",17.5705316018461,17.5705316018461,51,"RT4_ZT10","control",3845.21553487085,0.0924020691146742,0.0975271549962669
"263417",17.45600906658,17.45600906658,52,"RT4_ZT10","control",1957.15486516466,0.469148538069383,0.0991698497598743
"469966",17.4079470447799,17.4079470447799,53,"RT4_ZT10","control",3105.10951699999,0.0788870095217882,0.097933021426921
"60635",17.4065699377086,17.4065699377086,54,"RT4_ZT10","control",2673.75226083131,0.187590279551022,0.0982732147833268
"130753",17.158802612894,17.158802612894,55,"RT4_ZT10","control",2486.01432970095,0.0392616576087148,0.0984581476247036
"441714",17.1469514090501,17.1469514090501,56,"RT4_ZT10","control",2649.85202660354,0.106261567040343,0.0982953022637127
"214225",17.1336542514015,17.1336542514015,57,"RT4_ZT10","control",2817.4645228542,0.183703111933549,0.0981483036895013
"155886",17.0215197024986,17.0215197024986,58,"RT4_ZT10","control",2367.98938732354,0.0717494887169307,0.098589421173199
"469606",17.0190924216773,17.0190924216773,59,"RT4_ZT10","control",2467.53884736754,0.123479782488809,0.0984778679904824
"459697",17.0100766799151,17.0100766799151,60,"RT4_ZT10","control",2976.74974191443,0.0696555014016585,0.0980239491901172
"127268",16.9752658680751,16.9752658680751,61,"RT4_ZT10","control",2936.68452991007,0.155575358722771,0.0980539584049263
"125576",16.9746954836605,16.9746954836605,62,"RT4_ZT10","control",2400.12022273574,0.0575845033168893,0.0985524046114847
"318776",16.943622507884,16.943622507884,63,"RT4_ZT10","control",2751.2457710437,0.0794779726145534,0.0982042382143597
"377785",16.9399515701275,16.9399515701275,64,"RT4_ZT10","control",2729.02936622095,0.131182794275139,0.0982236123792051
"467791",16.9329853318391,16.9329853318391,65,"RT4_ZT10","control",2586.40613173237,0.138097121736915,0.0983559161305523
"310222",16.9267757690555,16.9267757690555,66,"RT4_ZT10","control",2559.21559965089,0.0273320546841714,0.098382812949394
"436070",16.9146347017584,16.9146347017584,67,"RT4_ZT10","control",2545.47811197753,0.12203188068262,0.0983966205393597
"415103",16.9104037079758,16.9104037079758,68,"RT4_ZT10","control",2216.3746606634,0.0308273827630322,0.0987785707031971
"196746",16.8698646773766,16.8698646773766,69,"RT4_ZT10","control",2483.07285866494,0.019964864771214,0.0984612676512776
"475643",16.8190995331369,16.8190995331369,70,"RT4_ZT10","control",2713.36350566137,0.107473559262375,0.0982374647744717
"33487",16.8077828164698,16.8077828164698,71,"RT4_ZT10","control",1957.36898799317,0.0743825954908755,0.0991694837844829
"511144",16.7897999786668,16.7897999786668,72,"RT4_ZT10","control",2531.67311120398,0.0344100215941888,0.0984106469402223
"578185",16.7403554942472,16.7403554942472,73,"RT4_ZT10","control",2046.3806105433,0.0320340566224657,0.0990239799597383
"450048",16.7129662152339,16.7129662152339,74,"RT4_ZT10","control",1723.68706547535,0.525156677392098,0.0996229874464242
"578161",16.6212124446109,16.6212124446109,75,"RT4_ZT10","control",2222.60148840573,0.0563430228998941,0.0987702941619896
