"feature_id","pc1_loading","pc1_loading_abs","rank","comparison_name","group_label","baseMean","dispGeneEst","dispFit"
"248551",24.6476329341369,24.6476329341369,1,"RT4_ZT10","treatment",25620.1075473153,0.156960467724408,0.0960799129202239
"55601",23.4738245236234,23.4738245236234,2,"RT4_ZT10","treatment",22573.84476361,0.40771909612676,0.0961144008947669
"179269",22.2597715461198,22.2597715461198,3,"RT4_ZT10","treatment",11948.3007646004,0.121290611479718,0.0963723454118261
"378009",22.0942718287161,22.0942718287161,4,"RT4_ZT10","treatment",7795.19726393307,0.218213424948845,0.0966643073953977
"88697",21.6746474219771,21.6746474219771,5,"RT4_ZT10","treatment",8622.44656116424,0.049264581660254,0.0965837202832974
"415923",21.1448029516778,21.1448029516778,6,"RT4_ZT10","treatment",11015.0395582893,0.133722073576148,0.096418775318778
"335788",21.0442628071923,21.0442628071923,7,"RT4_ZT10","treatment",8872.36357104379,0.100432688019609,0.0965623301849252
"8277",20.5953235710284,20.5953235710284,8,"RT4_ZT10","treatment",8522.86616879835,0.285983889191803,0.0965925927516708
"308159",20.2085956254333,20.2085956254333,9,"RT4_ZT10","treatment",5044.0617265185,0.0801275781461715,0.0971224400956286
"278624",20.0564753885292,20.0564753885292,10,"RT4_ZT10","treatment",6808.58621371065,0.272568865619162,0.0967860236924894
"175929",19.7724827845577,19.7724827845577,11,"RT4_ZT10","treatment",4382.05018962662,0.140594220317118,0.0973185477861135
"91106",19.7699647457754,19.7699647457754,12,"RT4_ZT10","treatment",4667.15755166426,0.0543627462074079,0.097227269930279
"56157",19.4525361745036,19.4525361745036,13,"RT4_ZT10","treatment",3845.21553487085,0.0924020691146742,0.0975271549962669
"321367",19.443926187179,19.443926187179,14,"RT4_ZT10","treatment",4429.36469573461,0.0298355661886767,0.0973025867040305
"412143",19.4223210224797,19.4223210224797,15,"RT4_ZT10","treatment",4438.54795808818,0.101049149100631,0.0972995282536264
"163095",19.3330896907466,19.3330896907466,16,"RT4_ZT10","treatment",5478.56775436215,0.187237138397047,0.0970194880018862
"25328",19.3100237110389,19.3100237110389,17,"RT4_ZT10","treatment",7034.67130132962,0.956268873036291,0.0967551166126455
"189904",19.2635046984528,19.2635046984528,18,"RT4_ZT10","treatment",4376.78600617821,0.0380437968678901,0.0973203449395675
"484755",19.2429367593513,19.2429367593513,19,"RT4_ZT10","treatment",4706.39223162189,0.0528006599215922,0.0972155744963135
"100439",19.1174433586023,19.1174433586023,20,"RT4_ZT10","treatment",4145.74432032041,0.0460167779122273,0.0974037167676659
"437093",19.0894929394483,19.0894929394483,21,"RT4_ZT10","treatment",4494.73088547837,0.10069039619984,0.0972810888631788
"42310",19.0729245640655,19.0729245640655,22,"RT4_ZT10","treatment",3710.96924565207,0.052649907615403,0.0975887550447146
"485669",19.0116941135514,19.0116941135514,23,"RT4_ZT10","treatment",4047.49675960488,0.00341750326838058,0.0974420538943143
"130479",18.9620465200735,18.9620465200735,24,"RT4_ZT10","treatment",3787.51691911576,0.0416705602688116,0.0975530954119739
"206283",18.9177054743789,18.9177054743789,25,"RT4_ZT10","treatment",4394.96030708414,0.276494719901835,0.0973141585929288
"161605",18.8297429395654,18.8297429395654,26,"RT4_ZT10","treatment",4090.63511855839,0.169679298171556,0.0974249941241915
"504994",18.7808389510786,18.7808389510786,27,"RT4_ZT10","treatment",3534.59058926892,0.0253199955328683,0.0976768003827278
"225736",18.6555368150057,18.6555368150057,28,"RT4_ZT10","treatment",3639.95402188526,0.0532093209519609,0.0976231785438377
"574524",18.6475878201912,18.6475878201912,29,"RT4_ZT10","treatment",3445.48794754585,0.0420339297772121,0.0977247061207879
"66014",18.6454457948204,18.6454457948204,30,"RT4_ZT10","treatment",3947.93000829845,0.0955155199495739,0.0974828524876787
"349519",18.5855549323145,18.5855549323145,31,"RT4_ZT10","treatment",2785.24451971281,0.136705019759837,0.0981751874861104
"249918",18.5481801337817,18.5481801337817,32,"RT4_ZT10","treatment",3302.86888744938,0.0645550694068664,0.0978067643816023
"436469",18.5314774833004,18.5314774833004,33,"RT4_ZT10","treatment",3706.99446388069,0.0350989398072439,0.0975906469125953
"163596",18.5290589644482,18.5290589644482,34,"RT4_ZT10","treatment",3365.91580771915,0.01976745139586,0.0977696317181541
"9850",18.5032157355924,18.5032157355924,35,"RT4_ZT10","treatment",2714.49362471624,0.181098784906185,0.0982364601258349
"459697",18.4497258487218,18.4497258487218,36,"RT4_ZT10","treatment",2976.74974191443,0.0696555014016585,0.0980239491901172
"465587",18.3875735743144,18.3875735743144,37,"RT4_ZT10","treatment",3423.74662331846,0.0677097808113995,0.0977367737080483
"299527",18.3455172713879,18.3455172713879,38,"RT4_ZT10","treatment",3751.33529311026,0.0449938233823429,0.0975697692056379
"469966",18.3253996374158,18.3253996374158,39,"RT4_ZT10","treatment",3105.10951699999,0.0788870095217882,0.097933021426921
"359893",18.3062589423675,18.3062589423675,40,"RT4_ZT10","treatment",3291.26074746737,0.0544832247216897,0.0978137562914421
"323897",18.2251792194192,18.2251792194192,41,"RT4_ZT10","treatment",3311.41341386688,0.0350819857605386,0.097801649093885
"385935",18.1901891587942,18.1901891587942,42,"RT4_ZT10","treatment",3373.15696322039,0.109896939328836,0.0977654557720808
"399260",18.1217652895954,18.1217652895954,43,"RT4_ZT10","treatment",3159.80355730795,0.0159915806796053,0.0978965216838362
"414973",18.1200095290096,18.1200095290096,44,"RT4_ZT10","treatment",2445.8589527732,0.0781277427106964,0.0985013885996932
"127268",18.0712103025778,18.0712103025778,45,"RT4_ZT10","treatment",2936.68452991007,0.155575358722771,0.0980539584049263
"318776",18.0414012284048,18.0414012284048,46,"RT4_ZT10","treatment",2751.2457710437,0.0794779726145534,0.0982042382143597
"338869",17.9616352776469,17.9616352776469,47,"RT4_ZT10","treatment",3246.04733201092,0.146869576506939,0.097841466320675
"475643",17.8951270437075,17.8951270437075,48,"RT4_ZT10","treatment",2713.36350566137,0.107473559262375,0.0982374647744717
"377785",17.8590930133871,17.8590930133871,49,"RT4_ZT10","treatment",2729.02936622095,0.131182794275139,0.0982236123792051
"310222",17.7417294594543,17.7417294594543,50,"RT4_ZT10","treatment",2559.21559965089,0.0273320546841714,0.098382812949394
"511144",17.7395225186251,17.7395225186251,51,"RT4_ZT10","treatment",2531.67311120398,0.0344100215941888,0.0984106469402223
"128854",17.6694468714002,17.6694468714002,52,"RT4_ZT10","treatment",2258.18199985257,0.191802435997189,0.0987238770141088
"504989",17.5909779521462,17.5909779521462,53,"RT4_ZT10","treatment",2297.70669502726,0.0377042897714246,0.0986739998439332
"452377",17.5806860006354,17.5806860006354,54,"RT4_ZT10","treatment",2112.57372904736,0.10770080566191,0.0989237260398638
"196746",17.5665736704802,17.5665736704802,55,"RT4_ZT10","treatment",2483.07285866494,0.019964864771214,0.0984612676512776
"339719",17.5131272486397,17.5131272486397,56,"RT4_ZT10","treatment",3316.13070921678,0.237866636625037,0.0977988363199346
"214225",17.5017782811528,17.5017782811528,57,"RT4_ZT10","treatment",2817.4645228542,0.183703111933549,0.0981483036895013
"441714",17.3998675131442,17.3998675131442,58,"RT4_ZT10","treatment",2649.85202660354,0.106261567040343,0.0982953022637127
"446322",17.3763413340696,17.3763413340696,59,"RT4_ZT10","treatment",2294.73852146439,0.0098034503344834,0.0986776857842935
"236149",17.3646569440147,17.3646569440147,60,"RT4_ZT10","treatment",2371.20798212804,0.0733736617329326,0.0985856679558671
"436070",17.3470815601343,17.3470815601343,61,"RT4_ZT10","treatment",2545.47811197753,0.12203188068262,0.0983966205393597
"467791",17.3266674357183,17.3266674357183,62,"RT4_ZT10","treatment",2586.40613173237,0.138097121736915,0.0983559161305523
"126494",17.2653969237751,17.2653969237751,63,"RT4_ZT10","treatment",1763.01979258161,0.183467546434132,0.0995382402664793
"354252",17.2521066700955,17.2521066700955,64,"RT4_ZT10","treatment",2333.31073225457,0.0807884606200969,0.0986305169054252
"156760",17.2343044053687,17.2343044053687,65,"RT4_ZT10","treatment",3366.91377253821,0.325402311174322,0.0977690551285659
"65320",17.2203146533815,17.2203146533815,66,"RT4_ZT10","treatment",3162.9072237287,0.192975068741219,0.0978944883190045
"130753",17.2086668123501,17.2086668123501,67,"RT4_ZT10","treatment",2486.01432970095,0.0392616576087148,0.0984581476247036
"321237",17.2056951874184,17.2056951874184,68,"RT4_ZT10","treatment",2121.95070086194,0.0357254977390837,0.0989100297716175
"353529",17.1784115761802,17.1784115761802,69,"RT4_ZT10","treatment",2161.72683846099,0.0688365477813422,0.0988532526577643
"125576",17.1654517398813,17.1654517398813,70,"RT4_ZT10","treatment",2400.12022273574,0.0575845033168893,0.0985524046114847
"60635",17.1638818075885,17.1638818075885,71,"RT4_ZT10","treatment",2673.75226083131,0.187590279551022,0.0982732147833268
"574506",17.1618963474829,17.1618963474829,72,"RT4_ZT10","treatment",2204.4960730941,0.0462836912517215,0.0987944890918881
"309590",17.0323707801361,17.0323707801361,73,"RT4_ZT10","treatment",2019.23761366206,0.106194232162422,0.0990669900906303
"469606",17.0294525367355,17.0294525367355,74,"RT4_ZT10","treatment",2467.53884736754,0.123479782488809,0.0984778679904824
"7988",17.0213521068566,17.0213521068566,75,"RT4_ZT10","treatment",1703.33659408001,0.171222785052584,0.0996683714057467
"126883",16.9990809472466,16.9990809472466,76,"RT4_ZT10","treatment",1769.42079980644,0.112984918449036,0.0995248049837996
"223617",16.9776558270685,16.9776558270685,77,"RT4_ZT10","treatment",1807.38936017197,0.0833261352417226,0.0994470679279966
"578161",16.9686389330641,16.9686389330641,78,"RT4_ZT10","treatment",2222.60148840573,0.0563430228998941,0.0987702941619896
"155886",16.9098850495721,16.9098850495721,79,"RT4_ZT10","treatment",2367.98938732354,0.0717494887169307,0.098589421173199
