"feature_id","ctrl_abs_loading","trt_abs_loading","rank_ctrl","rank_trt","mu_ctrl","mu_trt","var_ctrl","var_trt","iod_ctrl","iod_trt","cv2_ctrl","cv2_trt","gene_symbol"
"20",0.0102210800372854,0.0114226561188593,1904,1498,5.2,10.2,27.7,61.7,5.32692307692308,6.04901960784314,1.02440828402367,0.593041138023837,"-"
"25",0.00163598604151344,0.0028824400425799,26522,18501,11.6,16.2,36.8,216.2,3.17241379310345,13.3456790123457,0.273483947681332,0.823807346441091,"-"
"31",0.00374660932297913,0.00337740071602611,18385,16828,24.2,28.6,104.7,122.3,4.32644628099174,4.27622377622378,0.178778771941807,0.149518313853978,"Pcmt1"
"35",0.00318613938047224,0.000200513698626897,21308,28979,107,88.2,2826.5,1177.7,26.4158878504673,13.3526077097506,0.246877456546423,0.151390110087875,"Pcmt1"
"37",0.00316462272990966,0.00599267801848494,21445,8644,123.4,77,2314.8,1711.5,18.7585089141005,22.2272727272727,0.152013848574558,0.28866587957497,"Pcmt1"
"38",0.00429550436317571,0.00248885729145701,15660,20115,53.2,27.8,1407.7,135.7,26.4605263157895,4.88129496402878,0.497378314206569,0.175586149785208,"Pcmt1"
"89",0.0026851248748728,0.000572046493689407,23447,27617,47.2,40.4,765.7,359.3,16.2224576271186,8.89356435643565,0.343696136167768,0.220137731594942,"Tab2"
"90",0.0156230566478099,0.00231812130051351,62,20639,22.6,9.4,518.3,13.8,22.9336283185841,1.46808510638298,1.0147623149816,0.156179266636487,"Tab2"
"143",0.00334373250848922,0.00427073280788501,20693,13289,9.2,21.8,51.2,645.7,5.56521739130435,29.6192660550459,0.604914933837429,1.35868192913054,"Ust"
"214",0.00210721148294752,0.00367631451201577,25207,15486,2.8,0.6,8.7,1.8,3.10714285714286,3,1.10969387755102,5,"LOC365036"
"224",0.00381876759373675,0.000424110598541999,17963,28115,48.6,37.6,567.8,20.3,11.6831275720165,0.539893617021277,0.240393571440668,0.0143588727931191,"Sash1"
"304",0.00336204617703886,0,20380,30210,0.6,0,1.8,0,3,NA,5,NA,"Sash1"
"576",0.00101826045613676,0.00670600568198755,28007,7094,3.2,2.6,13.7,6.8,4.28125,2.61538461538462,1.337890625,1.00591715976331,"-"
"615",0,0.00218419673896333,30655,21229,0,0.6,0,1.8,NA,3,NA,5,"-"
"672",0.000294507581604037,0,29789,30211,1,0,5,0,5,NA,5,NA,"-"
"673",0.002822354224712,0.0041580061024171,22951,13867,5.8,2.6,46.7,33.8,8.05172413793104,13,1.38822829964328,5,"-"
"708",0.00310863694417156,0.0110170517442821,21717,1771,6.4,3.4,39.3,12.8,6.140625,3.76470588235294,0.95947265625,1.10726643598616,"-"
"774",0.00383594391402299,0.00715830542041622,17897,6428,9.8,5.8,19.2,22.7,1.95918367346939,3.91379310344828,0.199916701374427,0.674791914387634,"-"
"829",0.00368944771540966,0.0132632975702063,18658,639,1.6,4.4,4.8,22.3,3,5.06818181818182,1.875,1.15185950413223,"-"
"833",0.00340577945591951,0.00463915471110804,19955,12407,0.6,3.6,1.8,64.8,3,18,5,5,"Stxbp5"
"842",0.00539381334407285,0.00519472096507158,10917,10800,21.4,16.2,240.8,181.7,11.2523364485981,11.216049382716,0.525810114420474,0.692348727328151,"Stxbp5"
"845",0.00775604562546072,0,5132,30212,5.6,0,25.3,0,4.51785714285714,NA,0.806760204081633,NA,"Stxbp5"
"926",0.00311127187431547,0,21696,30213,1.6,0,5.3,0,3.3125,NA,2.0703125,NA,"-"
"964",0.00455275369011839,0.00456492300345268,14386,12606,1.8,6.4,7.2,77.3,4,12.078125,2.22222222222222,1.88720703125,"-"
"969",0.0106138162288367,0.0052696811452683,1565,10623,5.2,1.6,70.7,5.3,13.5961538461538,3.3125,2.6146449704142,2.0703125,"LOC120098778"
"984",0.00900824231970384,0.00329068887435825,3327,17071,11.6,7.2,85.3,23.7,7.35344827586207,3.29166666666667,0.633917954815696,0.457175925925926,"Grm1"
"986",0.0075154089851463,0.00215598348464457,5518,21513,3,3.4,9,8.3,3,2.44117647058824,1,0.717993079584775,"Grm1"
"1106",0.00690218878933385,0.0118478006544705,6742,1239,22.2,13.4,268.7,113.3,12.1036036036036,8.45522388059701,0.545207369531694,0.630986856760971,"-"
"1110",0.00390321473738759,0,17504,30214,0.8,0,3.2,0,4,NA,5,NA,"Epm2a"
"1132",0.0103761056714521,0.00493470092810502,1796,11453,3,2.2,18,4.7,6,2.13636363636364,2,0.971074380165289,"-"
"1137",0.00392441303896822,0.00315883910816581,17405,17490,68.4,45.8,809.3,165.7,11.8318713450292,3.617903930131,0.172980575219726,0.07899353559238,"Utrn"
"1138",0.0052230848320897,0.00284035715974377,11556,18627,3.4,3.4,21.8,12.3,6.41176470588235,3.61764705882353,1.88581314878893,1.06401384083045,"Utrn"
"1272",0.00126662581272454,0.011511749716636,27422,1448,11.4,8.8,73.3,46.7,6.42982456140351,5.30681818181818,0.564019698368729,0.603047520661157,"-"
"1282",0.0065966602672177,0.00157951517021803,7421,23683,8,10.4,39.5,44.3,4.9375,4.25961538461538,0.6171875,0.409578402366864,"Ltv1"
"1293",0.00735769248924995,0.0082514688452955,5805,4786,8.4,7.6,30.3,51.3,3.60714285714286,6.75,0.429421768707483,0.888157894736842,"Phactr2"
"1295",0.00406811527015535,0.000804594126099183,16610,26751,18.4,10.6,198.8,15.3,10.804347826087,1.44339622641509,0.587192816635161,0.136169455322179,"Phactr2"
"1345",0.0044019545768107,0.00853647449927692,14977,4310,0.8,5.2,3.2,23.7,4,4.55769230769231,5,0.876479289940828,"Pex3"
"1346",0.00509536062798312,0.00321317697324136,12116,17348,19.2,10.2,85.7,34.7,4.46354166666667,3.40196078431373,0.232476128472222,0.333525567089581,"Pex3"
"1367",0.00472516328336235,0.000609588837340774,13656,27474,282.8,190.2,17375.7,5407.2,61.4416548797737,28.4290220820189,0.217261863082651,0.149469096119973,"Aig1"
"1369",0.00258158086875597,0.00190587399183797,23794,22373,11.6,3.8,106.3,17.2,9.16379310344828,4.52631578947368,0.789982164090369,1.19113573407202,"Aig1"
"1473",6.19926869510731e-05,0.00890175292071928,30545,3830,8,4.8,3.5,31.7,0.4375,6.60416666666667,0.0546875,1.37586805555556,"Adgrg6"
"1501",0.00254366280852049,0.00113012437577536,23928,25530,13.8,12.8,37.7,21.7,2.73188405797101,1.6953125,0.19796261289645,0.1324462890625,"Vta1"
"1540",0.00548671459506086,0.00651209031078991,10547,7416,7.8,27.8,49.7,555.7,6.37179487179487,19.9892086330935,0.81689677843524,0.719036281765954,"-"
"1576",0,0.00973786460758472,30656,2920,0,2.4,0,5.3,NA,2.20833333333333,NA,0.920138888888889,"-"
"1579",0.00583011350972861,0.0134837001800637,9467,570,5.4,12.8,23.3,234.7,4.31481481481481,18.3359375,0.799039780521262,1.4324951171875,"-"
"1634",0.00517562013426724,0.00264196342336885,11708,19370,134.4,108.2,4854.8,703.7,36.1220238095238,6.50369685767098,0.268765058106576,0.0601081040450183,"Heca"
"1655",0.00116748488609563,0.00664269137394855,27670,7194,83,37.4,2528.5,812.3,30.4638554216867,21.7192513368984,0.367034402670925,0.580728645371615,"Abracl"
"1656",0.00366299602618397,0.00435408824338762,18796,13105,10.2,7.6,83.7,22.3,8.20588235294118,2.93421052631579,0.804498269896194,0.386080332409972,"Abracl"
"1683",0.00157257380345437,0.00714359738838269,26717,6452,21.2,35.6,119.2,537.3,5.62264150943396,15.0926966292135,0.265218939124243,0.423952152505997,"Ccdc28a"
"1693",0.00865877143016338,0.00258187291761634,3817,19601,45.2,16.6,1302.7,164.3,28.820796460177,9.89759036144578,0.637628240269402,0.596240383219625,"LOC102549339"
"1713",0.00799015951368953,0.00765527075879865,4740,5729,4.6,7.2,28.8,26.7,6.26086956521739,3.70833333333333,1.36105860113422,0.515046296296296,"Hebp2"
"1741",0.00308427852994235,0.00216612248362311,21850,21486,86.2,65,1130.7,1078.5,13.1171693735499,16.5923076923077,0.152171338440254,0.255266272189349,"-"
"1742",0.00509693052953102,0.00366763311091312,12108,15912,5,2.2,16,12.2,3.2,5.54545454545454,0.64,2.52066115702479,"-"
"1866",0.00554484911732539,0.000534199408180265,10373,27749,5.2,3.4,15.7,31.8,3.01923076923077,9.35294117647059,0.580621301775148,2.75086505190311,"Tnfaip3"
"1895",0.0037916372918725,0.00253577388648016,18078,19875,0.6,0.8,1.8,3.2,3,4,5,5,"-"
"1910",0.00148516753440358,0.00699851707617752,26952,6636,18.4,2.6,381.8,33.8,20.75,13,1.12771739130435,5,"Slc35d3"
"1918",0.00506695244206642,0.00464029539875341,12209,12404,5.4,8,14.3,29,2.64814814814815,3.625,0.49039780521262,0.453125,"Pex7"
"1922",0.00289186690919852,0.00715850314666568,22686,6427,178.6,325.6,20558.3,100468.3,115.108062709966,308.563574938575,0.644502030850876,0.947676827206925,"LOC102547604"
"1929",0.00336204617703886,0.0100383306827076,20381,2554,0.6,4.6,1.8,43.8,3,9.52173913043478,5,2.06994328922495,"Map3k5"
"1941",0.0174806024768993,0.0124764231222581,14,923,32.8,14.2,4829.7,271.2,147.246951219512,19.0985915492958,4.48923631766805,1.3449712358659,"Map7"
"1946",0.00535830986809337,0.00549097748045775,11030,10127,22.4,11.4,141.3,56.3,6.30803571428572,4.93859649122807,0.281608737244898,0.433210218528778,"-"
"1955",0.00461951274745156,0.000713570307559705,14138,27084,35.2,37.4,675.7,106.3,19.1960227272727,2.84224598930481,0.545341554752066,0.0759958820669736,"Pde7b"
"2081",0.00478061585950915,0,13322,30215,1.2,0,7.2,0,6,NA,5,NA,"Pde7b"
"2104",0.0103987624245982,5.47735425835039e-06,1769,29965,12.4,0.6,545.3,1.8,43.9758064516129,3,3.54643600416233,5,"LOC120098802"
"2155",0.00448653572797387,0.0015868858054209,14663,23663,18.2,6.4,507.2,6.3,27.8681318681319,0.984375,1.53121603671054,0.15380859375,"Ptprk"
"2159",0.0104133873700324,0.000328367161604021,1748,28499,9.2,11.6,76.7,1.3,8.33695652173913,0.112068965517241,0.906190926275993,0.00966111771700357,"Ptprk"
"2181",0.00498049248731062,0.00189174565507639,12563,22489,6.2,1.2,15.2,2.7,2.45161290322581,2.25,0.395421436004162,1.875,"Ptprk"
"2244",0.00665300386352431,0.00408141974829807,7312,14100,2.8,0.6,39.2,1.8,14,3,5,5,"-"
"2383",0.00542939785812342,0.00201890534132284,10723,22039,249.2,181.6,22984.2,3147.8,92.2319422150883,17.3337004405286,0.370112127668894,0.0954498922936599,"Epb41l2"
"2456",0.00342789830945496,0.00395076907721104,19880,14735,57.6,26.6,1203.3,104.8,20.890625,3.93984962406015,0.362684461805556,0.148114647521058,"Med23"
"2485",0.00640879679675905,0.00294499669943706,7911,18297,12,25.2,54.5,140.2,4.54166666666667,5.56349206349206,0.378472222222222,0.220773494583018,"Ccn2"
"2500",0.000900500555278602,0.00498454820401811,28329,11335,12.8,16.2,61.7,59.2,4.8203125,3.65432098765432,0.3765869140625,0.225575369608291,"Moxd1"
"2513",0.00254242498429904,0.00367069711053639,23931,15853,109.2,77.6,2488.7,1387.3,22.790293040293,17.8775773195876,0.208702317218801,0.230381151025614,"Stx7"
"2515",0.00390321473738759,0,17505,30216,0.8,0,3.2,0,4,NA,5,NA,"Stx7"
"2554",0.00911225757646231,0.00775773426031384,3171,5451,3.8,1.2,12.7,2.7,3.34210526315789,2.25,0.879501385041551,1.875,"-"
"2555",0.000492277693236825,0.00416003318607244,29235,13865,20,12.6,47,56.8,2.35,4.50793650793651,0.1175,0.35777273872512,"Slc18b1"
"2563",0,5.47735425835039e-06,30657,29966,0,0.6,0,1.8,NA,3,NA,5,"LOC100910237"
"2569",0.00438844460485505,0.00813993182584116,15216,4901,15.6,8.2,149.3,30.2,9.57051282051282,3.68292682926829,0.613494411571335,0.44913741820345,"-"
"2587",0.00998614391554623,0.00621031685400378,2177,8202,2.8,3.8,16.7,6.7,5.96428571428571,1.76315789473684,2.13010204081633,0.46398891966759,"-"
"2591",0.0123730445817226,0.0020424845907736,544,21938,7.2,14.8,49.7,206.7,6.90277777777778,13.9662162162162,0.958719135802469,0.943663257852447,"LOC120098884"
"2598",0.00475758867213371,0,13534,30217,4.2,0,6.7,0,1.5952380952381,NA,0.379818594104308,NA,"Tbpl1"
"2605",0.00830617745189311,0.00163545831921684,4248,23491,9.8,6.4,97.7,21.3,9.96938775510204,3.328125,1.01728446480633,0.52001953125,"Slc2a12"
"2625",0.00372609496417488,0.00248431538887816,18518,20126,58.6,62.4,1237.3,301.8,21.1143344709898,4.83653846153846,0.360312874931566,0.0775086291913215,"Sgk1"
"2665",0.00211997113129179,0.00148664041879409,25175,24093,4.6,1.2,13.8,2.7,3,2.25,0.652173913043478,1.875,"Sgk1"
"2674",0.00500334600444269,0,12485,30218,6,0,20,0,3.33333333333333,NA,0.555555555555556,NA,"-"
"2704",0.00332690295749597,0.00294668066567377,20757,18290,8.2,5.4,52.7,3.3,6.42682926829268,0.611111111111111,0.783759666864961,0.113168724279835,"Trdn"
"2816",0.00993617306365503,0.00206329137917807,2220,21865,57.2,18.2,2298.7,102.7,40.1870629370629,5.64285714285714,0.702571030368233,0.310047095761382,"Hddc2"
"2817",0.00762934006984168,0.00354480017072052,5316,16282,2.2,1.8,4.2,7.2,1.90909090909091,4,0.867768595041322,2.22222222222222,"Hddc2"
"2845",0.00532871711629951,0.00189174565507639,11157,22490,1.6,1.8,12.8,2.7,8,1.5,5,0.833333333333333,"-"
"2900",0.00591963776027211,0.00171111243798027,9187,23215,84.2,46.6,3537.2,269.3,42.0095011876485,5.77896995708154,0.498925192252357,0.12401223083866,"Echdc1"
"2935",0.00452470172158821,0.0101876459798517,14495,2453,4.4,2.4,13.3,15.3,3.02272727272727,6.375,0.68698347107438,2.65625,"Kiaa0408L"
"2937",5.75589694167209e-05,0.0124856459542972,30551,918,29.6,13.2,1123.3,97.7,37.9493243243243,7.40151515151515,1.28207176771366,0.560720844811754,"Kiaa0408L"
"2944",0.00119055282418359,0.000342012870800379,27616,28454,22,22,71.5,55.5,3.25,2.52272727272727,0.147727272727273,0.114669421487603,"Kiaa0408L"
"2954",0.0115162488398568,0.00677273245308068,959,6991,5.8,2.6,30.2,15.8,5.20689655172414,6.07692307692308,0.897740784780024,2.33727810650888,"Kiaa0408L"
"3037",0.00423472663404619,0.00309751268814918,15894,17688,1178.2,649.8,668890.7,93542.2,567.722542861993,143.955370883349,0.481855833357658,0.221537966887271,"Rpl26-ps2"
"3038",0.000802284007919652,0.00108822814073524,28522,25683,23,21.2,213.5,717.7,9.28260869565217,33.8537735849057,0.40359168241966,1.59687611249555,"Rpl26-ps2"
"3039",0.00497948881218597,0.0047885639451581,12567,11741,81,29.2,2603.5,421.2,32.141975308642,14.4246575342466,0.396814509983234,0.493995121035842,"Lrrc14b"
"3046",0.0104852380280206,0.00670350248578789,1672,7101,7.6,6,49.3,24,6.48684210526316,4,0.853531855955679,0.666666666666667,"Ccdc127"
"3048",0.0040377499480007,0.00303315558223448,16751,17990,22,14.8,154.5,19.7,7.02272727272727,1.33108108108108,0.319214876033058,0.0899379108838568,"Ccdc127"
"3082",0.00404610910885244,0.000458553006654241,16716,28008,1530.6,992.6,546766.3,60890.3,357.22350712139,61.3442474309893,0.233387891755776,0.0618015791164511,"Tppp"
"3091",0.00335007096937169,0.00551562940048626,20671,9979,25.8,11.2,717.7,75.2,27.8178294573643,6.71428571428572,1.07821044408389,0.599489795918367,"Tppp"
"3130",7.86259079367261e-05,0.00329882425619201,30511,17045,45.4,31.6,618.3,163.3,13.6189427312775,5.16772151898734,0.299976712142677,0.163535491107194,"Brd9"
"3136",0.0079079750036897,0.0047383815903007,4850,12022,4.8,0.8,115.2,3.2,24,4,5,5,"Brd9"
"3144",0.0113162229383942,0.00452850984859318,1064,12705,15.8,10,251.7,44.5,15.9303797468354,4.45,1.0082518827111,0.445,"Brd9"
"3158",0.00558423782590702,0.0103901985979929,10240,2285,1.8,2.2,16.2,10.2,9,4.63636363636364,5,2.10743801652893,"Tert"
"3165",0.00689962074690697,0.00223872474663966,6748,20858,170.8,124.4,34914.2,4911.3,204.415690866511,39.4799035369775,1.19681317837535,0.317362568625221,"Clptm1l"
"3174",0.00950252654944377,0.0052811549862684,2684,10526,16.8,7,182.7,54,10.875,7.71428571428571,0.647321428571428,1.10204081632653,"Slc6a3"
"3179",0.00528732315850981,0.00343769078508627,11366,16660,25,17.4,286.5,114.8,11.46,6.59770114942529,0.4584,0.379178226978465,"Lpcat1"
"3192",0.00502887725655927,0.00410092409436344,12395,14031,172,179.8,9967.5,11143.7,57.9505813953488,61.9783092324805,0.336921984856679,0.344706947900337,"LOC120098984"
"3195",0.00439113466459024,0.00722641271639385,15207,6211,890.6,793.2,133360.8,572581.7,149.74264540759,721.862960161372,0.168136812719055,0.910064246295224,"Mrpl36"
"3197",0.00283033695518722,0.00454254043409739,22925,12673,22.8,10.4,49.2,46.3,2.15789473684211,4.45192307692308,0.0946445060018467,0.428069526627219,"Mrpl36"
"3258",0.00735976695776436,0.000853281179806951,5792,26510,3.8,1.6,72.2,5.3,19,3.3125,5,2.0703125,"-"
"3279",0.00340577945591951,0.00218419673896333,19956,21230,0.6,0.6,1.8,1.8,3,3,5,5,"-"
"3295",0.00272423105603398,0.00141198307817764,23326,24433,192.8,165.2,2847.7,1469.7,14.7702282157676,8.89648910411622,0.0766090675091682,0.0538528396132943,"Med10"
"3299",0.00966348696199561,0,2509,30219,3,0,27,0,9,NA,3,NA,"-"
"3305",0.0065993352539218,0.00437264917633018,7416,13050,114,104.8,10638.5,1506.7,93.3201754385965,14.3769083969466,0.818598030163127,0.137184240428879,"Nsun2"
