"bin","percentile","lo_rank","hi_rank","n_bin","total_mean","total_variance","median_abs_loading","iod_agg","cv2_agg","ratio_iod_cv2","ratio_cv2_iod","gap"
1,0.0100135403218188,1,318,318,9519,12766012.1,0.0174007971419427,1341.10853030781,0.140887543891985,9519,0.000105053051791155,1340.96764276391
2,0.0199955915231288,319,635,317,3928.8,926506.6,0.0147114995303682,235.824322948483,0.0600245171422528,3928.8,0.000254530645489717,235.764298431341
3,0.0300091318449476,636,953,318,2946.4,75377.6,0.0134405943217239,25.5829486831387,0.00868278193155673,2946.4,0.000339397230518599,25.5742659012072
4,0.0399911830462575,954,1270,317,2597.4,86924.1,0.0125996889605696,33.465811965812,0.0128843504911881,2597.4,0.000385000385000385,33.4529276153208
5,0.0500047233680763,1271,1588,318,2362.2,59218.8,0.011991806875609,25.0693421386843,0.0106127093974618,2362.2,0.000423334180001693,25.0587294292868
6,0.0599867745693863,1589,1905,317,2176.4,55844,0.0114449185592898,25.6588862341481,0.0117896003648907,2176.4,0.000459474361330638,25.6470966337832
7,0.0700003148912051,1906,2223,318,3954.4,576044.1,0.010976163972663,145.671682176816,0.0368378722882904,3954.4,0.000252882864657091,145.634844304527
8,0.0800138552130239,2224,2541,318,2909.6,121800,0.0105444910962202,41.8614242507561,0.0143873468005073,2909.6,0.000343689854275502,41.8470369039556
9,0.0899959064143338,2542,2858,317,2436.2,53567,0.0101334321257242,21.9879320252853,0.00902550366360943,2436.2,0.000410475330432641,21.9789065216217
10,0.100009446736153,2859,3176,318,5775.6,4798886.8,0.00982798781669576,830.889743056998,0.143862065076702,5775.6,0.000173142184361798,830.745880991922
11,0.109991497937463,3177,3493,317,3994,890303.4,0.00948872389113481,222.910215322984,0.0558112707368514,3994,0.000250375563345018,222.854404052248
12,0.120005038259281,3494,3811,318,4336.8,698938.3,0.0091585048689886,161.164522228371,0.0371620831554075,4336.8,0.000230584762958864,161.127360145216
13,0.129987089460591,3812,4128,317,3552.6,493487.8,0.00885601769441028,138.90891178292,0.0391006338408263,3552.6,0.000281483983561335,138.869811149079
14,0.14000062978241,4129,4446,318,3726.8,788112.9,0.00856129661406173,211.471745196952,0.0567435186210561,3726.8,0.000268326714607706,211.415001678331
15,0.150014170104229,4447,4764,318,1949.2,27629.5,0.00837762549449833,14.1747896572953,0.00727210632941479,1949.2,0.000513030987071619,14.1675175509659
16,0.159996221305539,4765,5081,317,5585,1971536.9,0.00810060529225248,353.005711727842,0.0632060361195779,5585,0.00017905102954342,352.942505691723
17,0.170009761627358,5082,5399,318,3746,150456.2,0.00781470468372896,40.164495461826,0.0107219688899696,3746,0.000266951414842499,40.153773492936
18,0.179991812828668,5400,5716,317,7521.2,3072852.6,0.00760554948649052,408.558820401,0.054320962133835,7521.2,0.000132957506780833,408.504499438866
19,0.190005353150487,5717,6034,318,24341,222477482.1,0.00732008232471087,9140.03048765457,0.375499383248616,24341,4.10829464689208e-05,9139.65498827133
20,0.199987404351796,6035,6351,317,5015,623925,0.00713548040682199,124.411764705882,0.0248079291537153,5015,0.000199401794616152,124.386956776729
21,0.210000944673615,6352,6669,318,2715.2,83315.2,0.00696102832323499,30.6847377725398,0.0113010967046773,2715.2,0.000368296994696523,30.6734366758351
22,0.220014484995434,6670,6987,318,8095,1297270.1,0.00675634774521753,160.25572575664,0.0197968777957554,8095,0.000123533045089561,160.235928878844
23,0.229996536196744,6988,7304,317,7944,1099720.1,0.00651213677796701,138.434050855992,0.0174262400372598,7944,0.000125881168177241,138.416624615955
24,0.240010076518563,7305,7622,318,11717,4052601.1,0.00625179934082047,345.873610992575,0.0295189563021742,11717,8.53460783476999e-05,345.844092036273
25,0.249992127719873,7623,7939,317,7875.6,669435,0.0060897414205293,85.0011427700747,0.0107929735855141,7875.6,0.000126974452740109,84.9903497964891
26,0.260005668041692,7940,8257,318,3350.6,456649,0.00599590343780449,136.288724407569,0.0406759160769918,3350.6,0.000298454008237331,136.248048491492
27,0.269987719243002,8258,8574,317,8138.4,637749.4,0.00585336757831776,78.3629951833284,0.00962879622325376,8138.4,0.000122874275041777,78.3533663871052
28,0.28000125956482,8575,8892,318,16408,8483409.7,0.00564160011966239,517.028870063384,0.0315107795016689,16408,6.0945880058508e-05,516.997359283882
29,0.290014799886639,8893,9210,318,12106,1505941.4,0.00552869889046661,124.396282834958,0.0102755891983279,12106,8.26036676028416e-05,124.38600724576
30,0.299996851087949,9211,9527,317,13929.2,1220748.9,0.00533618721409734,87.6395557533814,0.00629178673243125,13929.2,7.17916319673779e-05,87.6332639666489
31,0.310010391409768,9528,9845,318,7645.2,379335.2,0.0051942112043229,49.617433160676,0.00649001113910375,7645.2,0.00013080102548004,49.6109431495369
32,0.319992442611078,9846,10162,317,13877.8,2029685.8,0.00504249714879834,146.254146910894,0.0105387126857927,13877.8,7.20575307325369e-05,146.243608198208
33,0.330005982932897,10163,10480,318,13264.8,1867003.3,0.00487378122038098,140.748695796393,0.0106106911371746,13264.8,7.53874917073759e-05,140.738085105256
34,0.339988034134207,10481,10797,317,3878.2,295884.8,0.00482218739551051,76.2943633644474,0.0196726221866968,3878.2,0.000257851580630189,76.2746907422607
35,0.350001574456025,10798,11115,318,15356,2695508.9,0.00471796140441916,175.534572805418,0.0114310089089228,15356,6.51211252930451e-05,175.523141796509
36,0.360015114777844,11116,11433,318,13126,837822,0.00458272673169217,63.829193966174,0.00486280618361831,13126,7.61846716440652e-05,63.8243311599904
37,0.369997165979154,11434,11750,317,26896,7977307.3,0.00445880922720629,296.598278554432,0.011027598102113,26896,3.7180249851279e-05,296.58725095633
