"percentile","rank_index","lo_rank","hi_rank","n_bin","mu","variance","iod_emp","cv2_emp","iod_nb","cv2_nb","diff_emp","diff_nb","alpha_gene_wise"
0.01,315,1,315,315,12.8,387.5,33.2,2.69483024691358,42.4252735510743,2.74403665354686,30.0295959357278,38.9653204803655,2.65587505163427
0.02,631,316,631,316,7.4,115.25,19.3653846153846,2.21267758804202,22.3120686974565,2.20258084551124,15.6412721893491,19.1985965154098,2.13018114912137
0.03,946,632,946,315,6.2,72.2,14.5714285714286,2.16446124763705,18.1088785087833,2.43176982407441,11.6804733727811,15.362936377205,2.25744767159649
0.04,1261,947,1261,315,5.8,52.8,12.6842105263158,1.93877551020408,16.2628988714278,2.25723293119114,9,13.903763798543,2.05416526332214
0.05,1577,1262,1577,316,4.8,36.8,12,1.93598882908283,16.1358097900866,2.37237341434157,7.984375,11.8110824400245,2.15520001821385
0.06,1892,1578,1892,315,5.2,34.7,9.90625,1.88365650969529,14.3277874646665,2.37283082255709,6.20408163265306,10.8977152769852,2.11922796424067
0.07,2207,1893,2207,315,5.4,32,9.2554347826087,1.52469135802469,12.4292355297486,2.02553466459394,5.84375,9.32624091915533,1.69220133126061
0.08,2523,2208,2523,316,4.4,24.8,9,1.88581314878893,12.9149896764198,2.37014267207981,4.5188914164068,8.44444444444444,2.13249118459716
0.09,2838,2524,2838,315,6.8,52.8,7.41836734693878,1.15384615384615,10.4635724543613,1.31875014846723,6.46875,8.59692640179361,1.11309665615662
0.1,3153,2839,3153,315,2.8,15.3,8,1.97231833910035,10.9994697135136,2.82038252184388,3.36,6.375,2.5053572802517
0.11,3469,3154,3469,316,6.7,47,7.19858870967742,1.08904607826601,10.5224547134049,1.20429372878082,6.09450211996508,8.40367120123778,1.01597017399842
0.12,3784,3470,3784,315,2.8,12.8,7,1.90082644628099,10.3342255956802,2.29566618067642,2.625,4.28571428571429,2.03836485896113
