"feature_id","ctrl_abs_loading","trt_abs_loading","rank_ctrl","rank_trt","mu_ctrl","mu_trt","var_ctrl","var_trt","alpha_emp_ctrl","alpha_emp_trt","alpha_mu_ctrl","alpha_mu_trt","log_alpha_mu_ctrl","log_alpha_mu_trt","gene_symbol"
"20",0.00223088047484163,0.000516056926116696,22849,27857,4.6,1,27.8,5,1.09640831758034,4,5.04347826086957,4,1.61809597517722,1.38629436111989,"-"
"25",0.000383078835144092,0.00784673939615448,29474,5249,15.6,14.8,28.8,177.7,0.0542406311637081,0.743699780861943,0.846153846153846,11.0067567567568,-0.167054084663166,2.39850933483793,"-"
"31",0.00294119439163528,0.00335956465743746,19666,17148,23.4,18.6,76.3,141.3,0.0966104171232376,0.354665279223032,2.26068376068376,6.59677419354839,0.815667316500598,1.88658077099771,"Pcmt1"
"35",0.000788201657416737,0.00137778902515023,28391,24607,120,91.2,298,806.7,0.0123611111111111,0.0860240650969529,1.48333333333333,7.84539473684211,0.394291807510039,2.05992670191622,"Pcmt1"
"37",0.00231441549284667,0.00570628390497398,22423,10246,103.4,90.2,536.8,2854.2,0.0405366475986666,0.339723010211356,4.19148936170213,30.6430155210643,1.43305612702793,3.42240475781898,"Pcmt1"
"38",0.00480012170467825,0.0084164560624437,11958,4255,30,30.2,196.5,669.7,0.185,0.701175387044428,5.55,21.1754966887417,1.71379792775834,3.05284469663807,"Pcmt1"
"89",0.00376421306049101,0.00377760122754808,15826,15451,39.2,42.6,223.2,324.3,0.119741774260725,0.155227137472724,4.69387755102041,6.61267605633803,1.54625901081257,1.888988421607,"Tab2"
"90",0.00253698941924111,0.00589663602708072,21443,9853,17.8,11,145.2,41.5,0.402095694988007,0.252066115702479,7.15730337078652,2.77272727272727,1.96813328584002,1.019831410815,"Tab2"
"143",0.0095426258102212,0.00884936755088793,2876,3729,13.6,11.2,128.3,98.7,0.620134083044983,0.697544642857143,8.43382352941177,7.8125,2.13225023139332,2.05572501506252,"Ust"
"214",0.00255006652452281,0,21336,30534,1.2,0,2.7,0,1.04166666666667,NA,1.25,NA,0.22314355131421,NA,"LOC365036"
"224",0.00506767251356033,0.00447287588639806,11148,13268,47.4,43.2,780.8,442.7,0.326425608431697,0.214066786694101,15.4725738396624,9.24768518518519,2.73906902693619,2.22437326995626,"Sash1"
"304",0.00130528825887263,0.000454908484278181,26601,28330,3.4,0.6,14.3,1.8,0.942906574394464,3.33333333333333,3.20588235294118,2,1.16498735761298,0.693147180559946,"Sash1"
"576",0.0025110856307593,0.0023279039619987,21527,21434,2.2,4,9.2,42.5,1.44628099173554,2.40625,3.18181818181818,9.625,1.15745278869104,2.26436388017385,"-"
"615",0,0.000682362726417271,30785,26821,0,1.4,0,9.8,NA,4.28571428571429,NA,6,NA,1.79175946922806,"-"
"672",0.00352841861768602,0,16996,30535,0.6,0,1.8,0,3.33333333333333,NA,2,NA,0.693147180559946,NA,"-"
"673",0.00456041490678237,0.000399276141119725,12772,28717,1,0.6,5,1.8,4,3.33333333333333,4,2,1.38629436111989,0.693147180559946,"-"
"708",0.0040963671594644,0.0103464366239326,14458,2031,3.2,2,3.2,20,0,4.5,0,9,NA,2.19722457733622,"-"
"774",0.00372506804629312,0.0025366217275429,15969,20419,5.4,4.8,24.3,10.7,0.648148148148148,0.256076388888889,3.5,1.22916666666667,1.25276296849537,0.206336432997828,"-"
"829",0.0127574254121886,0.00337041049407527,712,17114,5,2.4,25.5,12.8,0.82,1.80555555555556,4.1,4.33333333333333,1.41098697371026,1.46633706879343,"-"
"833",0.00901284610545706,0.00370980843164399,3484,15669,4,5,16.5,33.5,0.78125,1.14,3.125,5.7,1.13943428318836,1.7404661748405,"Stxbp5"
"842",0.000442654195432135,0.00336799861353545,29322,17117,25,22.8,8,127.7,-0.0272,0.201792859341336,-0.68,4.60087719298246,NA,1.52624697944186,"Stxbp5"
"845",0.00857131660061185,0.00478399319406508,4038,12431,3,2.4,9,5.3,0.666666666666667,0.503472222222222,2,1.20833333333333,0.693147180559945,0.189241999638528,"Stxbp5"
"926",0,0,30786,30536,0,0,0,0,NA,NA,NA,NA,NA,NA,"-"
"964",0.00541429009183393,0.000174999541370007,10274,29745,2.8,2,7.2,8,0.561224489795918,1.5,1.57142857142857,3,0.451985123743057,1.09861228866811,"-"
"969",0.00551128900596953,0.00516180550499685,10042,11565,7.4,5.4,19.3,24.3,0.217311906501096,0.648148148148148,1.60810810810811,3.5,0.47505839990736,1.25276296849537,"LOC120098778"
"984",0.00132539024596355,0.00251747257856596,26521,20482,12.8,11.4,32.2,36.8,0.118408203125,0.195444752231456,1.515625,2.2280701754386,0.415827895143711,0.801135818624041,"Grm1"
"986",0.00468489800326909,0.00734094845761208,12346,6257,6,2.2,48.5,12.2,1.18055555555556,2.06611570247934,7.08333333333333,4.54545454545454,1.95774460670232,1.51412773262978,"Grm1"
"1106",0.0138748812963047,0.00468465908988357,400,12714,13.6,9.4,458.3,36.8,2.40430363321799,0.310095065640561,32.6985294117647,2.91489361702128,3.48733010477464,1.06983332411807,"-"
"1110",0,0.00695385932346602,30787,6936,0,2.6,0,6.8,NA,0.621301775147929,NA,1.61538461538461,NA,0.479573080261886,"Epm2a"
"1132",0.0163121540195735,0.00165917416401885,108,23739,8,3.4,118,20.3,1.71875,1.46193771626298,13.75,4.97058823529412,2.62103882411258,1.60353819030691,"-"
"1137",0.00289987352502053,0.000500124914500594,19821,28030,66.8,54.6,608.7,36.3,0.121441249238051,-0.00613855009459405,8.1122754491018,-0.335164835164835,2.09337840202947,NA,"Utrn"
"1138",0.00596634617133225,0.000882348115828874,8804,26066,0.6,4.2,1.8,9.2,3.33333333333333,0.283446712018141,2,1.19047619047619,0.693147180559946,0.174353387144778,"Utrn"
"1272",0.000856747865889716,0.00315169896931317,28198,17891,3.4,5,27.8,39.5,2.11072664359862,1.38,7.1764705882353,6.9,1.97080770067704,1.93152141160321,"-"
"1282",0.00332997509838329,0.00324642143454338,18062,17538,7.6,8.2,23.8,17.2,0.280470914127424,0.133848899464604,2.13157894736842,1.09756097560976,0.756862994946053,0.093090423066012,"Ltv1"
"1293",0.00423541998429802,0.00359142068751093,13938,16098,8.2,8,31.2,23,0.342058298631767,0.234375,2.80487804878049,1.875,1.03136006165894,0.628608659422374,"Phactr2"
"1295",0.00552096511487178,0.00429708711522011,10019,13744,17.6,14.8,164.3,91.2,0.473592458677686,0.348794740686633,8.33522727272727,5.16216216216216,2.12049078310483,1.64135551540241,"Phactr2"
"1345",0.000238385115833679,0.00414221563505615,29819,14240,3.6,3.6,5.3,14.3,0.131172839506173,0.825617283950617,0.472222222222222,2.97222222222222,-0.750305594399894,1.0893098960058,"Pex3"
"1346",0.00191207406427453,0.0076692767528517,24119,5661,6.2,9,7.2,71,0.0260145681581686,0.765432098765432,0.161290322580645,6.88888888888889,-1.82454929205105,1.92990980770887,"Pex3"
"1367",0.00263188592538992,0.00500198493856248,20974,11892,282.2,235,4436.2,13423.5,0.0521617884386171,0.238813942960616,14.7200566973777,56.1212765957447,2.68921096501734,4.02751500258325,"Aig1"
"1369",0.00852372286437801,0.00791064188266318,4108,5156,4,6.8,19.5,25.7,0.96875,0.408737024221453,3.875,2.77941176470588,1.35454566280531,1.02223930988354,"Aig1"
"1473",0.000112138970876576,0.00425217289906576,30314,13883,0.6,10,1.8,26,3.33333333333333,0.16,2,1.6,0.693147180559946,0.470003629245736,"Adgrg6"
"1501",0.00121761633612007,0.0104545273617254,26960,1951,9.8,8.2,15.7,66.7,0.06143273635985,0.870017846519929,0.60204081632653,7.13414634146342,-0.507430034764853,1.9648925999676,"Vta1"
"1540",0.00140100551260884,0.00399394665411546,26182,14796,31.2,17,316.7,140.5,0.293289776462853,0.427335640138408,9.15064102564103,7.26470588235294,2.21382393428063,1.98302781201182,"-"
"1576",0.00370477198161804,0,16053,30537,0.6,0,1.8,0,3.33333333333333,NA,2,NA,0.693147180559946,NA,"-"
"1579",0.00413895166945888,0.0059815818114122,14308,9267,3.4,0.6,12.8,1.8,0.813148788927336,3.33333333333333,2.76470588235294,2,1.01693425765384,0.693147180559946,"-"
"1634",0.00175589935638666,0.00273255223462128,24774,19706,143,140.4,842,2528.8,0.034182600616167,0.121163789254957,4.88811188811189,17.011396011396,1.5868061119739,2.83388347308113,"Heca"
"1655",0.00522378533278208,0.0104031920785783,10764,1990,35,43.2,320,1360.2,0.23265306122449,0.705697016460905,8.14285714285714,30.4861111111111,2.09714111877924,3.41727120649322,"Abracl"
"1656",0.00732941005032092,0.0123170767193764,6061,856,7,6.2,26,60.2,0.387755102040816,1.4047866805411,2.71428571428571,8.70967741935484,0.998528830111127,2.16443475451323,"Abracl"
"1683",0.000323623224445153,0.00919461678402411,29617,3253,44.4,43.6,54.3,600.3,0.00502191380569759,0.292852032657184,0.222972972972973,12.7683486238532,-1.50070471229763,2.54696934483447,"Ccdc28a"
