"percentile","rank_index","lo_rank","hi_rank","n_bin","mu","variance","alpha_gene_wise","iod_emp","cv2_emp","iod_nb","cv2_nb","diff_emp","diff_nb","log_ratio_emp","log_ratio_nb","iod_emp_scaled","cv2_emp_scaled","iod_nb_scaled","cv2_nb_scaled"
0.01,315,1,315,315,12.8,387.5,2.65587505163427,33.2,2.69483024691358,42.4252735510743,2.74403665354686,30.0295959357278,38.9653204803655,2.54944517092557,2.54944517092557,1,0.524620270565461,1,0.271105855090239
0.02,631,316,631,316,7.4,115.25,2.13018114912137,19.3653846153846,2.21267758804202,22.3120686974565,2.20258084551124,15.6412721893491,19.1985965154098,2.00148000021012,2.00148000021012,0.541900152827305,0.425189154825017,0.475976491954061,0.214191779621875
0.03,946,632,946,315,6.2,72.2,2.25744767159649,14.5714285714286,2.16446124763705,18.1088785087833,2.43176982407441,11.6804733727811,15.362936377205,1.82454929205105,1.82454929205105,0.383159886471145,0.415245821660356,0.366467814262817,0.238282533897436
0.04,1261,947,1261,315,5.8,52.8,2.05416526332214,12.6842105263158,1.93877551020408,16.2628988714278,2.25723293119114,9,13.903763798543,1.75785791755237,1.75785791755237,0.320669222725688,0.368704162568017,0.31837320515459,0.219936427444887
0.05,1577,1262,1577,316,4.8,36.8,2.15520001821385,12,1.93598882908283,16.1358097900866,2.37237341434157,7.984375,11.8110824400245,1.56861591791385,1.56861591791385,0.298013245033113,0.368129483971932,0.315062063706798,0.232039195667583
0.06,1892,1578,1892,315,5.2,34.7,2.11922796424067,9.90625,1.88365650969529,14.3277874646665,2.37283082255709,6.20408163265306,10.8977152769852,1.64865862558738,1.64865862558738,0.228683774834437,0.357337340010377,0.267956383210457,0.232087275243628
0.07,2207,1893,2207,315,5.4,32,1.69220133126061,9.2554347826087,1.52469135802469,12.4292355297486,2.02553466459394,5.84375,9.32624091915533,1.68639895357023,1.68639895357023,0.207133602073136,0.283310359372999,0.218492070964655,0.195581914231992
0.08,2523,2208,2523,316,4.4,24.8,2.13249118459716,9,1.88581314878893,12.9149896764198,2.37014267207981,4.5188914164068,8.44444444444444,1.48160454092422,1.48160454092422,0.198675496688742,0.357782089256045,0.231147766257329,0.231804715528018
0.09,2838,2524,2838,315,6.8,52.8,1.11309665615662,7.41836734693878,1.15384615384615,10.4635724543613,1.31875014846723,6.46875,8.59692640179361,1.91692261218206,1.91692261218206,0.146303554534397,0.206833435021354,0.167279264855562,0.121289632768348
0.1,3153,2839,3153,315,2.8,15.3,2.5053572802517,8,1.97231833910035,10.9994697135136,2.82038252184388,3.36,6.375,1.02961941718116,1.02961941718116,0.165562913907285,0.375621475665599,0.181241374014047,0.279130802732261
0.11,3469,3154,3469,316,6.7,47,1.01597017399842,7.19858870967742,1.08904607826601,10.5224547134049,1.20429372878082,6.09450211996508,8.40367120123778,1.90199613060722,1.90199613060722,0.139026116214484,0.193470149148208,0.168813365868814,0.10925876854786
0.12,3784,3470,3784,315,2.8,12.8,2.03836485896113,7,1.90082644628099,10.3342255956802,2.29566618067642,2.625,4.28571428571429,1.02961941718116,1.02961941718116,0.132450331125828,0.360878181112248,0.163909299942755,0.223976263806852
0.13,4099,3785,4099,315,6.2,38.5,1.07060360580084,6.8,1.10726643598616,9.97609747340581,1.31169477621138,5.75047258979206,8.33781096923569,1.82454929205105,1.82454929205105,0.125827814569536,0.197227611570056,0.154578735453905,0.120548021018935
0.14,4415,4100,4415,316,2,9.5,2.87878554815311,6,2.375,10.3197734372037,3.27479401274119,2.375,2.98408756904156,0.693147180559945,0.693147180559945,0.0993377483443709,0.458663819402074,0.163532767667625,0.326895383890692
0.15,4730,4416,4730,315,5,26.3,1.38312333627584,5.64864864864865,1.09375,9.18235088671883,1.6524031747929,4.232421875,6.90217619172608,1.6094379124341,1.6094379124341,0.0877035976373725,0.194440207443563,0.133898695953368,0.156360922500082
0.16,5045,4731,5045,315,6.4,38.7,0.893487014354476,6.71428571428571,1.01585595270089,9.09448412596856,1.0825417191718,5.3265306122449,6.89723262537619,1.85629799036563,1.85629799036563,0.122989593188269,0.178376639422148,0.131609441279929,0.096461042564548
0.17,5361,5046,5361,316,5.4,30,0.973877956409419,5.76190476190476,0.947265625,8.22826161216597,1.17578996289428,4.53832094478948,6.04441427697819,1.68639895357023,1.68639895357023,0.0914538000630716,0.164231715222697,0.109041135346846,0.106262650566072
0.18,5676,5362,5676,315,2.4,5.3,3.41507180150228,5,2.10743801652893,9.38362867749317,3.93804465227734,1.28819444444444,1.87713548336431,0.8754687373539,0.8754687373539,0.0662251655629139,0.403486302371432,0.139142728159122,0.396611686482312
0.19,5991,5677,5991,315,5.2,27,1.00659284030537,6.125,1.01061557520612,8.85185216334997,1.24328696534816,4.21453287197232,6.81767984125088,1.64865862558738,1.64865862558738,0.103476821192053,0.177295951445801,0.125287979675932,0.113357466864166
0.2,6307,5992,6307,316,5,24.8,1.10322816369932,4.89366515837104,1.01594721452755,7.63660558174613,1.41303596974447,3.71922029639833,5.01153338652301,1.6094379124341,1.6094379124341,0.0627041443169219,0.178395459737835,0.093626303604536,0.131200303719017
0.21,6622,6308,6622,315,5.6,28.5,0.805688070331888,5.375,0.854591836734694,7.82108173336901,0.928511640571178,4.32486463973344,5.74487022755846,1.7227665977411,1.7227665977411,0.0786423841059603,0.145120220144189,0.0984325908584963,0.0802704700602502
0.22,6937,6623,6937,315,5.6,26.3,0.735059043903193,5.30769230769231,0.837669094693028,8.03807085850538,0.937443356555947,3.8577806122449,5.9083615159761,1.7227665977411,1.7227665977411,0.076413652572593,0.141630356318635,0.104085961536582,0.0812093100358769
0.23,7253,6938,7253,316,0.8,3.2,3.84618890732684,4,5,7.79444815477042,4.83684573557799,-0.999999999999999,-0.925006686313644,-0.22314355131421,-0.22314355131421,0.033112582781457,1,0.0977386874557006,0.491087416406804
0.24,7568,7254,7568,315,5.6,31.7,0.67691938293479,6.94117647058824,0.842978395061728,7.22692394755363,0.882882269779769,5.091796875,5.84410342456714,1.7227665977411,1.7227665977411,0.130502532138683,0.142725257797965,0.0829525791188565,0.0754742273858612
0.25,7884,7569,7884,316,6.1,28.5,0.702971865967089,6.38899253731343,0.749594066039437,7.88944637249166,0.915366383669581,4.62598372682406,6.43829959489173,1.80815438063955,1.80815438063955,0.112218295937531,0.123467232654869,0.100213743006057,0.078888731916074
0.26,8199,7885,8199,315,3.2,9.5,1.52229316868726,3.97222222222222,1.10726643598616,6.99231371352284,1.84628294143093,2.375,4.28571428571429,1.16315080980568,1.16315080980568,0.0321927888153054,0.197227611570056,0.0768401132659478,0.17674021755328
0.27,8514,8200,8514,315,2.4,6.3,1.83780292133539,3,1.4554826183432,6.97712629548675,2.38522096331892,1.40625,3.43950426560067,0.8754687373539,0.8754687373539,0,0.269037904209884,0.076444424755074,0.233389640821608
0.28,8830,8515,8830,316,6.2,34.15,0.706120723589698,6,0.746048106188778,7.58075060957543,0.901980682305404,4.63607601662204,5.83882168125425,1.82454929205105,1.82454929205105,0.0993377483443709,0.122735973088351,0.0921710746307489,0.077481719919284
0.29,9145,8831,9145,315,9.8,60.2,0.375040851377366,7.02678571428572,0.599440586419753,7.27764294988071,0.485238356369832,5.94582948599569,5.79789784149182,2.28238238567653,2.28238238567653,0.133337275307474,0.0925020855459893,0.0842739970488908,0.0336766598623817
0.3,9460,9146,9460,315,0.6,1.8,3.47347193049142,3,5,6.22613323512748,4.73931505700627,-2,-1.88373335321588,-0.510825623765991,-0.510825623765991,1.4704940723512e-17,1,0.0568782730218341,0.480835668584853
0.31,9776,9461,9776,316,0.6,1.8,3.03773511977558,3,5,5.86675916175735,4.4864697757315,-2,-1.06915323370404,-0.510825623765991,-0.510825623765991,1.4704940723512e-17,1,0.047515246890556,0.454258328002803
