"rank","feature_id","mu","empirical_variance","nb1_mu","nb2_variance_minus_mu","alpha_hat","alpha_mu","log_nb1","log_nb2","log_alpha_mu","nb_gap","combined_nb_support","abs_pc1_loading"
1,"304",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
2,"672",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
3,"845",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
4,"926",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
5,"1110",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
6,"2081",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
7,"2515",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
8,"2598",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
9,"2674",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
10,"3299",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
11,"4060",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
12,"4233",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
13,"4256",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
14,"4279",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
15,"5576",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
16,"5911",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
17,"6569",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
18,"6892",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
19,"7603",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
20,"7900",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
21,"7942",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
22,"8136",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
23,"8529",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
24,"8595",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
25,"8739",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
26,"8820",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
27,"9679",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
28,"9694",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
29,"9751",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
30,"9936",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
31,"10879",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
32,"10937",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
33,"11017",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
34,"11317",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
35,"11500",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
36,"11734",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
37,"11758",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
38,"12059",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
39,"12336",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
40,"12384",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
41,"12443",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
42,"12931",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
43,"14858",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
44,"14901",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
45,"16502",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
46,"16970",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
47,"17119",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
48,"17197",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
49,"17276",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
50,"17327",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
51,"17379",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
52,"17636",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
53,"17662",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
54,"18165",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
55,"19428",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
56,"19850",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
57,"20801",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
58,"20805",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
59,"21012",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
60,"21107",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
61,"22044",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
62,"22297",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
63,"22347",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
64,"22472",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
65,"22789",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
66,"22825",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
67,"22966",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
68,"22967",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
69,"23297",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
70,"24206",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
71,"24252",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
72,"24364",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
73,"24864",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
74,"25473",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
75,"25630",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
76,"25853",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
77,"26562",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
78,"28553",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
79,"28759",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
80,"29511",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
81,"30241",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
82,"30514",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
83,"31054",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
84,"31074",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
85,"33486",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
86,"34554",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
87,"34738",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
88,"35099",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
89,"35207",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
90,"35342",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
91,"35804",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
92,"36502",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
93,"36945",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
94,"37691",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
95,"37858",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
96,"38593",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
97,"38926",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
98,"39525",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
99,"39747",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
100,"39984",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
101,"40007",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
102,"40151",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
103,"40563",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
104,"40877",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
105,"40922",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
106,"41242",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
107,"41341",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
108,"41591",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
109,"41750",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
110,"42016",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
111,"42030",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
112,"42356",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
113,"43888",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
114,"44030",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
115,"44156",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
116,"44165",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
117,"44628",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
118,"45323",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
119,"46126",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
120,"46486",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
121,"47506",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
122,"49550",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
123,"49779",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
124,"49780",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
125,"50560",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
126,"51131",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
127,"51725",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
128,"51746",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
129,"52285",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
130,"52869",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
131,"52948",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
132,"53311",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
133,"53450",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
134,"54190",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
135,"54469",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
136,"54850",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
137,"55080",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
138,"55738",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
139,"56078",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
140,"56217",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
141,"56299",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
142,"57342",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
143,"57482",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
144,"57487",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
145,"59338",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
146,"59543",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
147,"60018",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
148,"60551",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
149,"60651",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
150,"60661",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
151,"60764",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
152,"61340",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
153,"61418",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
154,"61768",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
155,"62254",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
156,"62662",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
157,"63502",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
158,"64538",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
159,"65114",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
160,"65138",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
161,"65149",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
162,"65155",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
163,"65774",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
164,"66062",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
165,"66239",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
166,"66344",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
167,"68733",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
168,"68826",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
169,"68944",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
170,"69012",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
171,"69589",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
172,"69905",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
173,"70034",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
174,"71060",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
175,"71223",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
176,"71654",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
177,"71719",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
178,"71729",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
179,"72104",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
180,"72424",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
181,"72482",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
182,"73097",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
183,"73234",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
184,"73566",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
185,"75162",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
186,"75508",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
187,"76415",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
188,"76416",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
189,"76967",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
190,"77109",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
191,"77313",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
192,"77441",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
193,"77485",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
194,"78060",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
195,"78062",0,0,0,0,0,0,0,0,0,0,0.341241007260344,0
