"crossing_rank","crossing_type"
26.8836195212206,"sign_change"
1565.35053059279,"sign_change"
3456.43997273304,"sign_change"
4354.0844704911,"sign_change"
5333.14589080981,"sign_change"
5836.05850687441,"sign_change"
7224.08974072321,"sign_change"
8049.8653566992,"sign_change"
9712.40501106223,"sign_change"
10320.0561582451,"sign_change"
11254.5704024446,"sign_change"
11803.1086482195,"sign_change"
12512.9540787155,"sign_change"
12850.8841306523,"sign_change"
13457.5439268218,"sign_change"
14092.4707643502,"sign_change"
15202.6391267675,"sign_change"
16085.904149539,"sign_change"
16806.5372461933,"sign_change"
17255.0887030784,"sign_change"
17909.2881413091,"sign_change"
18178.6461686601,"sign_change"
18758.3944990663,"sign_change"
18899.5213741949,"sign_change"
19528.7974353104,"sign_change"
20140.7936897622,"sign_change"
21072.0930096694,"sign_change"
22077.4300873785,"sign_change"
22872.8458560083,"sign_change"
23563.9579206185,"sign_change"
24648.5872081157,"sign_change"
25190.6263455358,"sign_change"
25743.7723880747,"sign_change"
25744.6440090061,"sign_change"
26017.3002306909,"sign_change"
26702.6235110407,"sign_change"
27067.4227065625,"sign_change"
27197.0673940706,"sign_change"
27375.0195476631,"sign_change"
28782.8355404645,"sign_change"
29072.7335305369,"sign_change"
29239.8643177012,"sign_change"
29618.779329234,"sign_change"
31742.7337913617,"sign_change"
