"rank","feature_id","mu","empirical_variance.x","log_nb1","log_nb2","log_alpha_mu","nb_gap","abs_pc1_loading","empirical_variance.y","log1p_empirical_variance","smooth_log1p_empirical_variance","d1_spline","d2_spline"
1,"615",0,0,0,0,0,0,0,0,0,-0.628663294218554,0.00163008522714689,-1.32820687186512e-07
2,"926",0,0,0,0,0,0,0,0,0,-0.627033274532042,0.00162995501558701,-1.27602432565441e-07
3,"1110",0,0,0,0,0,0,0,0,0,-0.625403382447962,0.00162983002228176,-1.22384177944371e-07
4,"3346",0,0,0,0,0,0,0,0,0,-0.62377361274806,0.00162971024723113,-1.171659233233e-07
5,"3458",0,0,0,0,0,0,0,0,0,-0.622143960214082,0.00162959569043511,-1.1194766870223e-07
6,"4124",0,0,0,0,0,0,0,0,0,-0.620514419627772,0.00162948635189372,-1.06729414081159e-07
7,"4233",0,0,0,0,0,0,0,0,0,-0.618884985770876,0.00162938223160695,-1.01511159460089e-07
8,"5250",0,0,0,0,0,0,0,0,0,-0.61725565342514,0.0016292833295748,-9.62929048390184e-08
9,"5332",0,0,0,0,0,0,0,0,0,-0.615626417372308,0.00162918964579727,-9.10746502179479e-08
10,"6683",0,0,0,0,0,0,0,0,0,-0.613997272394127,0.00162910118027437,-8.58563955968774e-08
11,"7592",0,0,0,0,0,0,0,0,0,-0.612368213272341,0.00162901793300608,-8.06381409758069e-08
12,"7955",0,0,0,0,0,0,0,0,0,-0.610739234788697,0.00162893990399241,-7.54198863547363e-08
13,"7995",0,0,0,0,0,0,0,0,0,-0.609110331724938,0.00162886709323337,-7.02016317336659e-08
14,"8035",0,0,0,0,0,0,0,0,0,-0.607481498862812,0.00162879950072895,-6.49833771125953e-08
15,"8127",0,0,0,0,0,0,0,0,0,-0.605852730984062,0.00162873712647914,-5.97651224915248e-08
16,"8269",0,0,0,0,0,0,0,0,0,-0.604224022870435,0.00162867997048396,-5.45468678704543e-08
17,"8739",0,0,0,0,0,0,0,0,0,-0.602595369303676,0.0016286280327434,-4.93286132493838e-08
18,"8841",0,0,0,0,0,0,0,0,0,-0.60096676506553,0.00162858131325747,-4.41103586283133e-08
19,"9593",0,0,0,0,0,0,0,0,0,-0.599338204937743,0.00162853981202615,-3.88921040072428e-08
20,"9936",0,0,0,0,0,0,0,0,0,-0.59770968370206,0.00162850352904945,-3.36738493861723e-08
21,"9942",0,0,0,0,0,0,0,0,0,-0.596081196140226,0.00162847246432737,-2.84555947651018e-08
22,"10440",0,0,0,0,0,0,0,0,0,-0.594452737033987,0.00162844661785992,-2.32373401440313e-08
23,"10794",0,0,0,0,0,0,0,0,0,-0.592824301165088,0.00162842598964709,-1.80190855229607e-08
24,"10879",0,0,0,0,0,0,0,0,0,-0.591195883315274,0.00162841057968887,-1.28008309018903e-08
25,"10937",0,0,0,0,0,0,0,0,0,-0.589567478266292,0.00162840038798528,-7.58257628081974e-09
26,"11309",0,0,0,0,0,0,0,0,0,-0.587939080799886,0.00162839541453631,-2.36432165974923e-09
27,"11317",0,0,0,0,0,0,0,0,0,-0.586310685697801,0.00162839565934196,2.85393296132129e-09
28,"11527",0,0,0,0,0,0,0,0,0,-0.584682287741783,0.00162840112240223,8.0721875823918e-09
29,"11859",0,0,0,0,0,0,0,0,0,-0.583053881713578,0.00162841180371713,1.32904422034623e-08
30,"12443",0,0,0,0,0,0,0,0,0,-0.581425462394931,0.00162842770328664,1.85086968245328e-08
31,"13454",0,0,0,0,0,0,0,0,0,-0.579797024567587,0.00162844882111078,2.37269514456033e-08
32,"15944",0,0,0,0,0,0,0,0,0,-0.578168563013291,0.00162847515718953,2.89452060666738e-08
33,"15997",0,0,0,0,0,0,0,0,0,-0.57654007251379,0.00162850671152291,3.41634606877443e-08
34,"16178",0,0,0,0,0,0,0,0,0,-0.574911547850827,0.00162854348411091,3.93817153088148e-08
35,"16715",0,0,0,0,0,0,0,0,0,-0.573282983806149,0.00162858547495353,4.45999699298854e-08
36,"16970",0,0,0,0,0,0,0,0,0,-0.571654375161502,0.00162863268405077,4.98182245509559e-08
37,"17205",0,0,0,0,0,0,0,0,0,-0.57002571669863,0.00162868511140263,5.50364791720264e-08
38,"17327",0,0,0,0,0,0,0,0,0,-0.568397003199278,0.00162874275700911,6.02547337930969e-08
39,"18087",0,0,0,0,0,0,0,0,0,-0.566768229445193,0.00162880562087022,6.54729884141674e-08
40,"18338",0,0,0,0,0,0,0,0,0,-0.56513939021812,0.00162887370298594,7.06912430352343e-08
41,"19175",0,0,0,0,0,0,0,0,0,-0.563510480299803,0.00162894700335629,7.59094976563084e-08
42,"19727",0,0,0,0,0,0,0,0,0,-0.561881494471989,0.00162902552198125,8.11277522773789e-08
43,"19850",0,0,0,0,0,0,0,0,0,-0.560252427516422,0.00162910925886084,8.63460068984494e-08
44,"20089",0,0,0,0,0,0,0,0,0,-0.558623274214849,0.00162919821399505,9.15642615195199e-08
45,"20141",0,0,0,0,0,0,0,0,0,-0.556994029349014,0.00162929238738388,9.67825161405904e-08
46,"21107",0,0,0,0,0,0,0,0,0,-0.555364687700663,0.00162939177902733,1.02000770761661e-07
47,"22275",0,0,0,0,0,0,0,0,0,-0.553735244051541,0.0016294963889254,1.07219025382731e-07
48,"22547",0,0,0,0,0,0,0,0,0,-0.552105693183394,0.0016296062170781,1.12437280003805e-07
49,"22831",0,0,0,0,0,0,0,0,0,-0.550476029877967,0.00162972126348541,1.17655534624872e-07
50,"22963",0,0,0,0,0,0,0,0,0,-0.548846248917005,0.00162984152814735,1.22873789245943e-07
51,"23810",0,0,0,0,0,0,0,0,0,-0.547216345082254,0.0016299670110639,1.28092043867014e-07
52,"24944",0,0,0,0,0,0,0,0,0,-0.545586313155459,0.00163009771223508,1.33310298488084e-07
53,"25448",0,0,0,0,0,0,0,0,0,-0.543956147918366,0.00163023363166088,1.38528553109154e-07
54,"25630",0,0,0,0,0,0,0,0,0,-0.542325844152719,0.0016303747693413,1.43746807730225e-07
55,"26562",0,0,0,0,0,0,0,0,0,-0.540695396640265,0.00163052112527634,1.48965062351296e-07
56,"27376",0,0,0,0,0,0,0,0,0,-0.539064800162748,0.001630672699466,1.54183316972363e-07
57,"27849",0,0,0,0,0,0,0,0,0,-0.537434049501915,0.00163082949191028,1.59401571593437e-07
58,"27946",0,0,0,0,0,0,0,0,0,-0.535803139439509,0.00163099150260919,1.64619826214507e-07
59,"29101",0,0,0,0,0,0,0,0,0,-0.534172064757278,0.00163115873156271,1.69838080835578e-07
60,"29511",0,0,0,0,0,0,0,0,0,-0.532540820236966,0.00163133117877086,1.75056335456648e-07
61,"30158",0,0,0,0,0,0,0,0,0,-0.530909400660318,0.00163150884423363,1.80274590077719e-07
62,"31432",0,0,0,0,0,0,0,0,0,-0.52927780080908,0.00163169172795102,1.85492844698789e-07
63,"31827",0,0,0,0,0,0,0,0,0,-0.527646015464998,0.00163187982992302,1.9071109931986e-07
64,"32323",0,0,0,0,0,0,0,0,0,-0.526014039409816,0.00163207315014965,1.9592935394093e-07
65,"33218",0,0,0,0,0,0,0,0,0,-0.52438186742528,0.00163227168863091,2.01147608562001e-07
66,"35347",0,0,0,0,0,0,0,0,0,-0.522749494293136,0.00163247544536678,2.06365863183071e-07
67,"35496",0,0,0,0,0,0,0,0,0,-0.521116914795129,0.00163268442035727,2.11584117804142e-07
68,"36051",0,0,0,0,0,0,0,0,0,-0.519484123713003,0.00163289861360239,2.16802372425212e-07
69,"36057",0,0,0,0,0,0,0,0,0,-0.517851115828506,0.00163311802510212,2.22020627046283e-07
70,"36617",0,0,0,0,0,0,0,0,0,-0.516217885923381,0.00163334265485648,2.27238881667353e-07
71,"37691",0,0,0,0,0,0,0,0,0,-0.514584428779374,0.00163357250286546,2.32457136288424e-07
72,"38230",0,0,0,0,0,0,0,0,0,-0.512950739178232,0.00163380756912906,2.37675390909494e-07
73,"38721",0,0,0,0,0,0,0,0,0,-0.511316811901698,0.00163404785364728,2.42893645530565e-07
74,"38821",0,0,0,0,0,0,0,0,0,-0.509682641731519,0.00163429335642012,2.48111900151635e-07
75,"39507",0,0,0,0,0,0,0,0,0,-0.50804822344944,0.00163454407744758,2.53330154772706e-07
76,"39508",0,0,0,0,0,0,0,0,0,-0.506413551837206,0.00163480001672966,2.58548409393776e-07
77,"40151",0,0,0,0,0,0,0,0,0,-0.504778621676562,0.00163506117426637,2.63766664014847e-07
78,"40899",0,0,0,0,0,0,0,0,0,-0.503143427749255,0.00163532755005769,2.68984918635917e-07
79,"41242",0,0,0,0,0,0,0,0,0,-0.501507964837029,0.00163559914410364,2.74203173256988e-07
80,"41573",0,0,0,0,0,0,0,0,0,-0.499872227721629,0.00163587595640421,2.79421427878058e-07
81,"41738",0,0,0,0,0,0,0,0,0,-0.498236211184802,0.0016361579869594,2.84639682499129e-07
82,"41750",0,0,0,0,0,0,0,0,0,-0.496599910008292,0.00163644523576921,2.89857937120199e-07
83,"42137",0,0,0,0,0,0,0,0,0,-0.494963318973845,0.00163673770283364,2.9507619174127e-07
84,"42185",0,0,0,0,0,0,0,0,0,-0.493326432863207,0.00163703538815269,3.0029444636234e-07
85,"43792",0,0,0,0,0,0,0,0,0,-0.491689246458122,0.00163733829172636,3.05512700983411e-07
