"crossing_rank","crossing_type"
25.1035065255824,"sign_change"
205.864881995426,"sign_change"
1769.98170646248,"sign_change"
2413.59052509861,"sign_change"
3098.30048600274,"sign_change"
4381.7492893945,"sign_change"
4940.50521713069,"sign_change"
5321.65566104292,"sign_change"
5774.18387983438,"sign_change"
6830.81575549707,"sign_change"
7079.90608374195,"sign_change"
7520.1193669673,"sign_change"
8234.57829377068,"sign_change"
9164.12057871499,"sign_change"
9812.39467225293,"sign_change"
10756.5350856909,"sign_change"
11553.5394401114,"sign_change"
11819.3139701168,"sign_change"
12047.6388511136,"sign_change"
12410.6332084841,"sign_change"
12513.21760403,"sign_change"
13453.4074177968,"sign_change"
14638.2316127448,"sign_change"
15779.5440501102,"sign_change"
16756.5505178105,"sign_change"
17361.3045839048,"sign_change"
18096.6638346818,"sign_change"
18967.2872614426,"sign_change"
19856.1411531151,"sign_change"
21120.8369145174,"sign_change"
21904.2171305536,"sign_change"
22814.7562436844,"sign_change"
23056.3858133767,"sign_change"
23873.3133823053,"sign_change"
24700.3705167677,"sign_change"
25803.6991000644,"sign_change"
26396.117421456,"sign_change"
27034.4061086462,"sign_change"
27583.047010401,"sign_change"
28125.3169644311,"sign_change"
28735.7729820592,"sign_change"
28980.3139417905,"sign_change"
29162.7819263175,"sign_change"
29422.3996295252,"sign_change"
31744.3026173045,"sign_change"
