"rank","feature_id","mu","empirical_variance.x","log_nb1","log_nb2","log_alpha_mu","nb_gap","abs_pc1_loading","empirical_variance.y","log1p_empirical_variance","smooth_log1p_empirical_variance","d1_spline","d2_spline"
1,"304",0,0,0,0,0,0,0,0,0,-0.0587445370152019,-0.000263626451577716,-1.57962682452252e-08
2,"672",0,0,0,0,0,0,0,0,0,-0.059008171263083,-0.000263641942353804,-1.51852839306755e-08
3,"845",0,0,0,0,0,0,0,0,0,-0.059271820696248,-0.000263656822145578,-1.45742996161258e-08
4,"926",0,0,0,0,0,0,0,0,0,-0.0595354847037127,-0.000263671090953037,-1.39633153015761e-08
5,"1110",0,0,0,0,0,0,0,0,0,-0.0597991626744927,-0.000263684748776181,-1.33523309870264e-08
6,"2081",0,0,0,0,0,0,0,0,0,-0.0600628539976036,-0.000263697795615011,-1.27413466724767e-08
7,"2515",0,0,0,0,0,0,0,0,0,-0.0603265580620612,-0.000263710231469526,-1.21303623579269e-08
8,"2598",0,0,0,0,0,0,0,0,0,-0.0605902742568812,-0.000263722056339726,-1.15193780433772e-08
9,"2674",0,0,0,0,0,0,0,0,0,-0.0608540019710793,-0.000263733270225613,-1.09083937288275e-08
10,"3299",0,0,0,0,0,0,0,0,0,-0.061117740593671,-0.000263743873127184,-1.02974094142778e-08
11,"4060",0,0,0,0,0,0,0,0,0,-0.0613814895136722,-0.000263753865044441,-9.68642509972813e-09
12,"4233",0,0,0,0,0,0,0,0,0,-0.0616452481200985,-0.000263763245977384,-9.07544078517843e-09
13,"4256",0,0,0,0,0,0,0,0,0,-0.0619090158019655,-0.000263772015926011,-8.46445647062872e-09
14,"4279",0,0,0,0,0,0,0,0,0,-0.0621727919482891,-0.000263780174890325,-7.85347215607902e-09
15,"5576",0,0,0,0,0,0,0,0,0,-0.0624365759480847,-0.000263787722870324,-7.24248784152931e-09
16,"5911",0,0,0,0,0,0,0,0,0,-0.0627003671903683,-0.000263794659866008,-6.63150352697961e-09
17,"6569",0,0,0,0,0,0,0,0,0,-0.0629641650641553,-0.000263800985877378,-6.02051921242991e-09
18,"6892",0,0,0,0,0,0,0,0,0,-0.0632279689584616,-0.000263806700904433,-5.4095348978802e-09
19,"7603",0,0,0,0,0,0,0,0,0,-0.0634917782623027,-0.000263811804947173,-4.7985505833305e-09
20,"7900",0,0,0,0,0,0,0,0,0,-0.0637555923646945,-0.000263816298005599,-4.1875662687808e-09
21,"7942",0,0,0,0,0,0,0,0,0,-0.0640194106546525,-0.000263820180079711,-3.57658195423109e-09
22,"8136",0,0,0,0,0,0,0,0,0,-0.0642832325211925,-0.000263823451169508,-2.96559763968139e-09
23,"8529",0,0,0,0,0,0,0,0,0,-0.0645470573533301,-0.00026382611127499,-2.35461332513168e-09
24,"8595",0,0,0,0,0,0,0,0,0,-0.064810884540081,-0.000263828160396158,-1.74362901058198e-09
25,"8739",0,0,0,0,0,0,0,0,0,-0.065074713470461,-0.000263829598533011,-1.13264469603228e-09
26,"8820",0,0,0,0,0,0,0,0,0,-0.0653385435334856,-0.00026383042568555,-5.21660381482573e-10
27,"9679",0,0,0,0,0,0,0,0,0,-0.0656023741181706,-0.000263830641853774,8.93239330671336e-11
28,"9694",0,0,0,0,0,0,0,0,0,-0.0658662046135317,-0.000263830247037684,7.00308247616836e-10
29,"9751",0,0,0,0,0,0,0,0,0,-0.0661300344085845,-0.000263829241237279,1.31129256216654e-09
30,"9936",0,0,0,0,0,0,0,0,0,-0.0663938628923448,-0.00026382762445256,1.92227687671624e-09
31,"10879",0,0,0,0,0,0,0,0,0,-0.0666576894538282,-0.000263825396683526,2.53326119126595e-09
32,"10937",0,0,0,0,0,0,0,0,0,-0.0669215134820504,-0.000263822557930177,3.14424550581565e-09
33,"11017",0,0,0,0,0,0,0,0,0,-0.0671853343660271,-0.000263819108192514,3.75522982036536e-09
34,"11317",0,0,0,0,0,0,0,0,0,-0.067449151494774,-0.000263815047470536,4.36621413491506e-09
35,"11500",0,0,0,0,0,0,0,0,0,-0.0677129642573068,-0.000263810375764244,4.97719844946477e-09
36,"11734",0,0,0,0,0,0,0,0,0,-0.0679767720426411,-0.000263805093073637,5.58818276401447e-09
37,"11758",0,0,0,0,0,0,0,0,0,-0.0682405742397926,-0.000263799199398716,6.19916707856417e-09
38,"12059",0,0,0,0,0,0,0,0,0,-0.0685043702377771,-0.00026379269473948,6.81015139311388e-09
39,"12336",0,0,0,0,0,0,0,0,0,-0.0687681594256101,-0.00026378557909593,7.42113570766358e-09
40,"12384",0,0,0,0,0,0,0,0,0,-0.0690319411923075,-0.000263777852468065,8.03212002221328e-09
41,"12443",0,0,0,0,0,0,0,0,0,-0.0692957149268848,-0.000263769514855886,8.64310433676299e-09
42,"12931",0,0,0,0,0,0,0,0,0,-0.0695594800183578,-0.000263760566259392,9.25408865131269e-09
43,"14858",0,0,0,0,0,0,0,0,0,-0.0698232358557422,-0.000263751006678583,9.8650729658624e-09
44,"14901",0,0,0,0,0,0,0,0,0,-0.0700869818280535,-0.00026374083611346,1.04760572804121e-08
45,"16502",0,0,0,0,0,0,0,0,0,-0.0703507173243077,-0.000263730054564022,1.10870415949618e-08
