"crossing_rank","crossing_type"
26.2204824153187,"sign_change"
692.879526193747,"sign_change"
2208.3181568104,"sign_change"
3202.17907368011,"sign_change"
3493.66347989955,"sign_change"
3589.39147431073,"sign_change"
4440.55093430115,"sign_change"
4766.78377047432,"sign_change"
5364.09945148297,"sign_change"
6164.81173044748,"sign_change"
6412.33274805704,"sign_change"
6613.82402851072,"sign_change"
7865.44281754671,"sign_change"
8281.49421169146,"sign_change"
8538.50786606988,"sign_change"
9075.9881529212,"sign_change"
10186.5622444735,"sign_change"
10720.4947641547,"sign_change"
11412.826849072,"sign_change"
11978.3302138061,"sign_change"
12430.5598065025,"sign_change"
12738.371228328,"sign_change"
13227.4045054323,"sign_change"
13757.9241417009,"sign_change"
14039.5977668797,"sign_change"
14323.2891115837,"sign_change"
15235.0909192015,"sign_change"
15665.5227294576,"sign_change"
16407.1860148241,"sign_change"
16656.7908804513,"sign_change"
16976.3767344465,"sign_change"
17598.9537026158,"sign_change"
18741.8486618816,"sign_change"
19349.2795169647,"sign_change"
20239.3478010476,"sign_change"
20753.8350787842,"sign_change"
21761.3836484215,"sign_change"
22731.6673657253,"sign_change"
23526.4552177088,"sign_change"
23720.7882095515,"sign_change"
24218.6176332316,"sign_change"
24445.379110377,"sign_change"
24845.4782061111,"sign_change"
25260.9583741745,"sign_change"
25500.637340754,"sign_change"
26402.9037085283,"sign_change"
27141.4534043496,"sign_change"
27683.5139288781,"sign_change"
27964.1994602955,"sign_change"
28288.7431894657,"sign_change"
28488.1758672899,"sign_change"
28551.7055572011,"sign_change"
28740.0458178842,"sign_change"
29476.7552884828,"sign_change"
29916.6498069808,"sign_change"
31744.3406478238,"sign_change"
