"comparison_name","arm","analysis_track","ranking_method","metric_matrix_used","cutoff_anchor_rank","fixed_leading_edge_reference_rank","terminal_start_rank","interval_min_rank","interval_max_rank","left_n","right_n","left_median_log_nb1","right_median_log_nb1","right_left_log_nb1_diff","left_median_log_nb2","right_median_log_nb2","right_left_log_nb2_diff","left_median_nb_gap","right_median_nb_gap","right_left_nb_gap_diff","left_median_log_alpha_mu","right_median_log_alpha_mu","right_left_log_alpha_mu_diff","pre_evs_remainder_size","pre_evs_leading_edge_size","directional_call_nb2","directional_call_gap","directional_call_alpha_mu"
"RT0_ZT6","control","main_cpm","Main analysis: log-transformed CPM-style library-size normalization","raw_counts",26714,26758,27348,26714,27348,5044,5044,1.56861591791385,1.94591014905531,0.377294231141468,2.4423470353692,3.47815842279828,1.03581138742908,1.00786185087685,1.62276690693443,0.614905056057587,1.50407739677627,1.94591014905531,0.441832752279039,26713,5044,"more_NB2_like_on_right","more_NB2_like_on_right","more_NB2_like_on_right"
"RT0_ZT6","control","deseq2_sensitivity","DESeq2 supplement: log-transformed DESeq2 normalized counts","deseq2_normalized_counts",26703,26758,27067,26703,27067,5055,5055,1.72859765125155,1.84927338141723,0.120675730165678,2.8258756591497,3.34132463556274,0.515448976413045,1.17558668396836,1.51758627871692,0.341999594748561,1.61406253507138,1.8557597344848,0.241697199413418,26702,5055,"more_NB2_like_on_right","more_NB2_like_on_right","more_NB2_like_on_right"
"RT0_ZT6","treatment","main_cpm","Main analysis: log-transformed CPM-style library-size normalization","raw_counts",26611,26758,27119,26611,27119,5147,5147,2.15176220325946,2.28238238567653,0.130620182417065,3.75419892023458,4.21803603456465,0.463837114330071,1.74192709548018,1.94591014905531,0.203983053575134,2.07047287169708,2.1639989297079,0.0935260580108235,26610,5147,"more_NB2_like_on_right","more_NB2_like_on_right","more_NB2_like_on_right"
"RT0_ZT6","treatment","deseq2_sensitivity","DESeq2 supplement: log-transformed DESeq2 normalized counts","deseq2_normalized_counts",26632,26758,27315,26632,27315,5126,5126,1.84927486689909,1.8765532584687,0.027278391569614,2.92589262400629,3.41369701365037,0.487804389644079,1.17144300382597,1.61313065024307,0.441687646417097,1.6285769890137,1.96300865989184,0.334431670878132,26631,5126,"more_NB2_like_on_right","more_NB2_like_on_right","more_NB2_like_on_right"
"RT2_ZT8","control","main_cpm","Main analysis: log-transformed CPM-style library-size normalization","raw_counts",26711,26758,27294,26711,27294,5047,5047,1.82454929205105,1.94591014905531,0.121360857004267,2.86220088092947,3.69386699562498,0.831666114695507,1.20983792377833,1.82330782696298,0.613469903184647,1.65401754406719,2.07976036840022,0.425742824333027,26710,5047,"more_NB2_like_on_right","more_NB2_like_on_right","more_NB2_like_on_right"
"RT2_ZT8","control","deseq2_sensitivity","DESeq2 supplement: log-transformed DESeq2 normalized counts","deseq2_normalized_counts",26726,26758,27198,26726,27198,5032,5032,1.6443123596426,1.69084799985842,0.0465356402158166,2.55561826410885,3.11595469949338,0.560336435384528,0.930575862424664,1.47298542788779,0.542409565463123,1.44711594328851,1.8544374106112,0.40732146732269,26725,5032,"more_NB2_like_on_right","more_NB2_like_on_right","more_NB2_like_on_right"
"RT2_ZT8","treatment","main_cpm","Main analysis: log-transformed CPM-style library-size normalization","raw_counts",26219,26758,26978,26219,26978,5539,5539,1.82454929205105,1.82454929205105,0,2.84490938381941,3.04452243772342,0.199613053904015,1.00017221585486,1.2576769832978,0.25750476744294,1.40691364832263,1.63863706712636,0.231723418803736,26218,5539,"more_NB2_like_on_right","more_NB2_like_on_right","more_NB2_like_on_right"
"RT2_ZT8","treatment","deseq2_sensitivity","DESeq2 supplement: log-transformed DESeq2 normalized counts","deseq2_normalized_counts",26113,26758,27335,26113,27335,5645,5645,1.70982898630311,1.71872498680452,0.00889600050141492,2.52189583917271,2.83377255222487,0.311876713052153,0.852667446160336,1.15743415114144,0.304766704981107,1.35984934777258,1.56860201198018,0.208752664207597,26112,5645,"more_NB2_like_on_right","more_NB2_like_on_right","more_NB2_like_on_right"
"RT4_ZT10","control","main_cpm","Main analysis: log-transformed CPM-style library-size normalization","raw_counts",26590,26758,27222,26590,27222,5168,5168,2.36085400111802,2.62466859216316,0.263814591045138,4.28634138453947,4.72295322164447,0.436611837105001,1.89034669844074,2.10825421007376,0.217907511633017,2.11158966305531,2.28425180897047,0.172662145915156,26589,5168,"more_NB2_like_on_right","more_NB2_like_on_right","more_NB2_like_on_right"
"RT4_ZT10","control","deseq2_sensitivity","DESeq2 supplement: log-transformed DESeq2 normalized counts","deseq2_normalized_counts",26528,26758,27201,26528,27201,5230,5230,1.76262833624191,2.10976092449758,0.347132588255673,3.15910164139354,3.60378072773058,0.444679086337042,1.33686228448372,1.51912618531976,0.182263900836043,1.68322608524564,1.80982584500343,0.126599759757792,26527,5230,"more_NB2_like_on_right","more_NB2_like_on_right","more_NB2_like_on_right"
"RT4_ZT10","treatment","main_cpm","Main analysis: log-transformed CPM-style library-size normalization","raw_counts",26396,26758,27034,26396,27034,5362,5362,1.79175946922805,1.79175946922805,0,2.73436750941958,3.04452243772342,0.31015492830384,0.945265015863279,1.3109449238781,0.365679908014825,1.38629436111989,1.69422601497689,0.307931653857002,26395,5362,"more_NB2_like_on_right","more_NB2_like_on_right","more_NB2_like_on_right"
"RT4_ZT10","treatment","deseq2_sensitivity","DESeq2 supplement: log-transformed DESeq2 normalized counts","deseq2_normalized_counts",26402,26758,26939,26402,26939,5356,5356,1.61728394289485,1.69087911421547,0.0735951713206149,2.43234683800983,2.84833461545564,0.41598777744581,0.892784642027032,1.20029055293357,0.307505910906533,1.44490530914407,1.61530735565071,0.170402046506638,26401,5356,"more_NB2_like_on_right","more_NB2_like_on_right","more_NB2_like_on_right"
"RT8_ZT14","control","main_cpm","Main analysis: log-transformed CPM-style library-size normalization","raw_counts",25781,26758,26894,25781,26894,5977,5977,1.88706964903238,2.00148000021012,0.114410351177745,2.89037175789616,3.56671182013973,0.676340062243564,1.16179119028964,1.62558589884208,0.463794708552441,1.55814461804655,1.92181259747625,0.363667979429703,25780,5977,"more_NB2_like_on_right","more_NB2_like_on_right","more_NB2_like_on_right"
