"rank","feature_id","mu","empirical_variance.x","NB2","NB2_NB1","alpha_mu","abs_pc1_loading","empirical_variance.y","log1p_empirical_variance","smooth_log1p_empirical_variance","d2_spline"
1,"304",0,0,0,0,0,0,0,0,-0.0587445370152019,-1.57962682452252e-08
2,"672",0,0,0,0,0,0,0,0,-0.059008171263083,-1.51852839306755e-08
3,"845",0,0,0,0,0,0,0,0,-0.059271820696248,-1.45742996161258e-08
4,"926",0,0,0,0,0,0,0,0,-0.0595354847037127,-1.39633153015761e-08
5,"1110",0,0,0,0,0,0,0,0,-0.0597991626744927,-1.33523309870264e-08
6,"2081",0,0,0,0,0,0,0,0,-0.0600628539976036,-1.27413466724767e-08
7,"2515",0,0,0,0,0,0,0,0,-0.0603265580620612,-1.21303623579269e-08
8,"2598",0,0,0,0,0,0,0,0,-0.0605902742568812,-1.15193780433772e-08
9,"2674",0,0,0,0,0,0,0,0,-0.0608540019710793,-1.09083937288275e-08
10,"3299",0,0,0,0,0,0,0,0,-0.061117740593671,-1.02974094142778e-08
11,"4060",0,0,0,0,0,0,0,0,-0.0613814895136722,-9.68642509972813e-09
12,"4233",0,0,0,0,0,0,0,0,-0.0616452481200985,-9.07544078517843e-09
13,"4256",0,0,0,0,0,0,0,0,-0.0619090158019655,-8.46445647062872e-09
14,"4279",0,0,0,0,0,0,0,0,-0.0621727919482891,-7.85347215607902e-09
15,"5576",0,0,0,0,0,0,0,0,-0.0624365759480847,-7.24248784152931e-09
16,"5911",0,0,0,0,0,0,0,0,-0.0627003671903683,-6.63150352697961e-09
17,"6569",0,0,0,0,0,0,0,0,-0.0629641650641553,-6.02051921242991e-09
18,"6892",0,0,0,0,0,0,0,0,-0.0632279689584616,-5.4095348978802e-09
19,"7603",0,0,0,0,0,0,0,0,-0.0634917782623027,-4.7985505833305e-09
20,"7900",0,0,0,0,0,0,0,0,-0.0637555923646945,-4.1875662687808e-09
21,"7942",0,0,0,0,0,0,0,0,-0.0640194106546525,-3.57658195423109e-09
22,"8136",0,0,0,0,0,0,0,0,-0.0642832325211925,-2.96559763968139e-09
23,"8529",0,0,0,0,0,0,0,0,-0.0645470573533301,-2.35461332513168e-09
24,"8595",0,0,0,0,0,0,0,0,-0.064810884540081,-1.74362901058198e-09
25,"8739",0,0,0,0,0,0,0,0,-0.065074713470461,-1.13264469603228e-09
26,"8820",0,0,0,0,0,0,0,0,-0.0653385435334856,-5.21660381482573e-10
27,"9679",0,0,0,0,0,0,0,0,-0.0656023741181706,8.93239330671336e-11
28,"9694",0,0,0,0,0,0,0,0,-0.0658662046135317,7.00308247616836e-10
29,"9751",0,0,0,0,0,0,0,0,-0.0661300344085845,1.31129256216654e-09
30,"9936",0,0,0,0,0,0,0,0,-0.0663938628923448,1.92227687671624e-09
31,"10879",0,0,0,0,0,0,0,0,-0.0666576894538282,2.53326119126595e-09
32,"10937",0,0,0,0,0,0,0,0,-0.0669215134820504,3.14424550581565e-09
33,"11017",0,0,0,0,0,0,0,0,-0.0671853343660271,3.75522982036536e-09
34,"11317",0,0,0,0,0,0,0,0,-0.067449151494774,4.36621413491506e-09
35,"11500",0,0,0,0,0,0,0,0,-0.0677129642573068,4.97719844946477e-09
36,"11734",0,0,0,0,0,0,0,0,-0.0679767720426411,5.58818276401447e-09
