"rank","feature_id","mu","empirical_variance.x","NB2","NB2_NB1","alpha_mu","abs_pc1_loading","empirical_variance.y","log1p_empirical_variance","smooth_log1p_empirical_variance","d2_spline"
1,"615",0,0,0,0,0,0,0,0,-0.628663294218554,-1.32820687186512e-07
2,"926",0,0,0,0,0,0,0,0,-0.627033274532042,-1.27602432565441e-07
3,"1110",0,0,0,0,0,0,0,0,-0.625403382447962,-1.22384177944371e-07
4,"3346",0,0,0,0,0,0,0,0,-0.62377361274806,-1.171659233233e-07
5,"3458",0,0,0,0,0,0,0,0,-0.622143960214082,-1.1194766870223e-07
6,"4124",0,0,0,0,0,0,0,0,-0.620514419627772,-1.06729414081159e-07
7,"4233",0,0,0,0,0,0,0,0,-0.618884985770876,-1.01511159460089e-07
8,"5250",0,0,0,0,0,0,0,0,-0.61725565342514,-9.62929048390184e-08
9,"5332",0,0,0,0,0,0,0,0,-0.615626417372308,-9.10746502179479e-08
10,"6683",0,0,0,0,0,0,0,0,-0.613997272394127,-8.58563955968774e-08
11,"7592",0,0,0,0,0,0,0,0,-0.612368213272341,-8.06381409758069e-08
12,"7955",0,0,0,0,0,0,0,0,-0.610739234788697,-7.54198863547363e-08
13,"7995",0,0,0,0,0,0,0,0,-0.609110331724938,-7.02016317336659e-08
14,"8035",0,0,0,0,0,0,0,0,-0.607481498862812,-6.49833771125953e-08
15,"8127",0,0,0,0,0,0,0,0,-0.605852730984062,-5.97651224915248e-08
16,"8269",0,0,0,0,0,0,0,0,-0.604224022870435,-5.45468678704543e-08
17,"8739",0,0,0,0,0,0,0,0,-0.602595369303676,-4.93286132493838e-08
18,"8841",0,0,0,0,0,0,0,0,-0.60096676506553,-4.41103586283133e-08
19,"9593",0,0,0,0,0,0,0,0,-0.599338204937743,-3.88921040072428e-08
20,"9936",0,0,0,0,0,0,0,0,-0.59770968370206,-3.36738493861723e-08
21,"9942",0,0,0,0,0,0,0,0,-0.596081196140226,-2.84555947651018e-08
22,"10440",0,0,0,0,0,0,0,0,-0.594452737033987,-2.32373401440313e-08
23,"10794",0,0,0,0,0,0,0,0,-0.592824301165088,-1.80190855229607e-08
24,"10879",0,0,0,0,0,0,0,0,-0.591195883315274,-1.28008309018903e-08
25,"10937",0,0,0,0,0,0,0,0,-0.589567478266292,-7.58257628081974e-09
26,"11309",0,0,0,0,0,0,0,0,-0.587939080799886,-2.36432165974923e-09
27,"11317",0,0,0,0,0,0,0,0,-0.586310685697801,2.85393296132129e-09
28,"11527",0,0,0,0,0,0,0,0,-0.584682287741783,8.0721875823918e-09
29,"11859",0,0,0,0,0,0,0,0,-0.583053881713578,1.32904422034623e-08
30,"12443",0,0,0,0,0,0,0,0,-0.581425462394931,1.85086968245328e-08
31,"13454",0,0,0,0,0,0,0,0,-0.579797024567587,2.37269514456033e-08
32,"15944",0,0,0,0,0,0,0,0,-0.578168563013291,2.89452060666738e-08
33,"15997",0,0,0,0,0,0,0,0,-0.57654007251379,3.41634606877443e-08
34,"16178",0,0,0,0,0,0,0,0,-0.574911547850827,3.93817153088148e-08
35,"16715",0,0,0,0,0,0,0,0,-0.573282983806149,4.45999699298854e-08
36,"16970",0,0,0,0,0,0,0,0,-0.571654375161502,4.98182245509559e-08
37,"17205",0,0,0,0,0,0,0,0,-0.57002571669863,5.50364791720264e-08
38,"17327",0,0,0,0,0,0,0,0,-0.568397003199278,6.02547337930969e-08
39,"18087",0,0,0,0,0,0,0,0,-0.566768229445193,6.54729884141674e-08
40,"18338",0,0,0,0,0,0,0,0,-0.56513939021812,7.06912430352343e-08
41,"19175",0,0,0,0,0,0,0,0,-0.563510480299803,7.59094976563084e-08
42,"19727",0,0,0,0,0,0,0,0,-0.561881494471989,8.11277522773789e-08
43,"19850",0,0,0,0,0,0,0,0,-0.560252427516422,8.63460068984494e-08
44,"20089",0,0,0,0,0,0,0,0,-0.558623274214849,9.15642615195199e-08
45,"20141",0,0,0,0,0,0,0,0,-0.556994029349014,9.67825161405904e-08
46,"21107",0,0,0,0,0,0,0,0,-0.555364687700663,1.02000770761661e-07
47,"22275",0,0,0,0,0,0,0,0,-0.553735244051541,1.07219025382731e-07
48,"22547",0,0,0,0,0,0,0,0,-0.552105693183394,1.12437280003805e-07
49,"22831",0,0,0,0,0,0,0,0,-0.550476029877967,1.17655534624872e-07
50,"22963",0,0,0,0,0,0,0,0,-0.548846248917005,1.22873789245943e-07
51,"23810",0,0,0,0,0,0,0,0,-0.547216345082254,1.28092043867014e-07
52,"24944",0,0,0,0,0,0,0,0,-0.545586313155459,1.33310298488084e-07
53,"25448",0,0,0,0,0,0,0,0,-0.543956147918366,1.38528553109154e-07
54,"25630",0,0,0,0,0,0,0,0,-0.542325844152719,1.43746807730225e-07
55,"26562",0,0,0,0,0,0,0,0,-0.540695396640265,1.48965062351296e-07
56,"27376",0,0,0,0,0,0,0,0,-0.539064800162748,1.54183316972363e-07
57,"27849",0,0,0,0,0,0,0,0,-0.537434049501915,1.59401571593437e-07
58,"27946",0,0,0,0,0,0,0,0,-0.535803139439509,1.64619826214507e-07
59,"29101",0,0,0,0,0,0,0,0,-0.534172064757278,1.69838080835578e-07
60,"29511",0,0,0,0,0,0,0,0,-0.532540820236966,1.75056335456648e-07
61,"30158",0,0,0,0,0,0,0,0,-0.530909400660318,1.80274590077719e-07
62,"31432",0,0,0,0,0,0,0,0,-0.52927780080908,1.85492844698789e-07
63,"31827",0,0,0,0,0,0,0,0,-0.527646015464998,1.9071109931986e-07
64,"32323",0,0,0,0,0,0,0,0,-0.526014039409816,1.9592935394093e-07
65,"33218",0,0,0,0,0,0,0,0,-0.52438186742528,2.01147608562001e-07
66,"35347",0,0,0,0,0,0,0,0,-0.522749494293136,2.06365863183071e-07
67,"35496",0,0,0,0,0,0,0,0,-0.521116914795129,2.11584117804142e-07
68,"36051",0,0,0,0,0,0,0,0,-0.519484123713003,2.16802372425212e-07
69,"36057",0,0,0,0,0,0,0,0,-0.517851115828506,2.22020627046283e-07
70,"36617",0,0,0,0,0,0,0,0,-0.516217885923381,2.27238881667353e-07
71,"37691",0,0,0,0,0,0,0,0,-0.514584428779374,2.32457136288424e-07
72,"38230",0,0,0,0,0,0,0,0,-0.512950739178232,2.37675390909494e-07
73,"38721",0,0,0,0,0,0,0,0,-0.511316811901698,2.42893645530565e-07
74,"38821",0,0,0,0,0,0,0,0,-0.509682641731519,2.48111900151635e-07
75,"39507",0,0,0,0,0,0,0,0,-0.50804822344944,2.53330154772706e-07
76,"39508",0,0,0,0,0,0,0,0,-0.506413551837206,2.58548409393776e-07
77,"40151",0,0,0,0,0,0,0,0,-0.504778621676562,2.63766664014847e-07
78,"40899",0,0,0,0,0,0,0,0,-0.503143427749255,2.68984918635917e-07
79,"41242",0,0,0,0,0,0,0,0,-0.501507964837029,2.74203173256988e-07
80,"41573",0,0,0,0,0,0,0,0,-0.499872227721629,2.79421427878058e-07
81,"41738",0,0,0,0,0,0,0,0,-0.498236211184802,2.84639682499129e-07
82,"41750",0,0,0,0,0,0,0,0,-0.496599910008292,2.89857937120199e-07
83,"42137",0,0,0,0,0,0,0,0,-0.494963318973845,2.9507619174127e-07
84,"42185",0,0,0,0,0,0,0,0,-0.493326432863207,3.0029444636234e-07
85,"43792",0,0,0,0,0,0,0,0,-0.491689246458122,3.05512700983411e-07
86,"44053",0,0,0,0,0,0,0,0,-0.490051754540336,3.10730955604481e-07
87,"44156",0,0,0,0,0,0,0,0,-0.488413951891594,3.15949210225552e-07
88,"44165",0,0,0,0,0,0,0,0,-0.486775833293642,3.21167464846622e-07
89,"44395",0,0,0,0,0,0,0,0,-0.485137393528226,3.26385719467693e-07
90,"44798",0,0,0,0,0,0,0,0,-0.48349862737709,3.31603974088763e-07
91,"44928",0,0,0,0,0,0,0,0,-0.48185952962198,3.36822228709834e-07
92,"47036",0,0,0,0,0,0,0,0,-0.480220095044641,3.42040483330904e-07
93,"47161",0,0,0,0,0,0,0,0,-0.478580318426818,3.47258737951975e-07
94,"48022",0,0,0,0,0,0,0,0,-0.476940194550258,3.52476992573045e-07
95,"49195",0,0,0,0,0,0,0,0,-0.475299718196706,3.57695247194116e-07
96,"49200",0,0,0,0,0,0,0,0,-0.473658884147906,3.62913501815186e-07
97,"49746",0,0,0,0,0,0,0,0,-0.472017687185604,3.68131756436257e-07
98,"49842",0,0,0,0,0,0,0,0,-0.470376122091546,3.73350011057327e-07
99,"51143",0,0,0,0,0,0,0,0,-0.468734183647476,3.78568265678398e-07
100,"52046",0,0,0,0,0,0,0,0,-0.467091866635141,3.83786520299468e-07
101,"52285",0,0,0,0,0,0,0,0,-0.465449165836286,3.89004774920539e-07
102,"54643",0,0,0,0,0,0,0,0,-0.463806076032656,3.94223029541609e-07
103,"54850",0,0,0,0,0,0,0,0,-0.462162592005996,3.9944128416268e-07
104,"54923",0,0,0,0,0,0,0,0,-0.460518708538052,4.0465953878375e-07
105,"55622",0,0,0,0,0,0,0,0,-0.45887442041057,4.09877793404821e-07
106,"55738",0,0,0,0,0,0,0,0,-0.457229722405294,4.15096048025891e-07
107,"56356",0,0,0,0,0,0,0,0,-0.45558460930397,4.20314302646962e-07
108,"57516",0,0,0,0,0,0,0,0,-0.453939075888343,4.25532557268032e-07
109,"57823",0,0,0,0,0,0,0,0,-0.452293116940159,4.30750811889103e-07
110,"59516",0,0,0,0,0,0,0,0,-0.450646727241163,4.35969066510173e-07
111,"59804",0,0,0,0,0,0,0,0,-0.448999901573101,4.41187321131244e-07
112,"60726",0,0,0,0,0,0,0,0,-0.447352634717717,4.46405575752315e-07
113,"61340",0,0,0,0,0,0,0,0,-0.445704921456758,4.51623830373385e-07
114,"61343",0,0,0,0,0,0,0,0,-0.444056756571968,4.56842084994456e-07
115,"61785",0,0,0,0,0,0,0,0,-0.442408134845094,4.62060339615526e-07
116,"61962",0,0,0,0,0,0,0,0,-0.440759051057879,4.67278594236597e-07
117,"62250",0,0,0,0,0,0,0,0,-0.439109499992071,4.72496848857667e-07
118,"62368",0,0,0,0,0,0,0,0,-0.437459476429413,4.77715103478738e-07
119,"63160",0,0,0,0,0,0,0,0,-0.435808975151653,4.82933358099808e-07
120,"65364",0,0,0,0,0,0,0,0,-0.434157990940534,4.88151612720879e-07
121,"68608",0,0,0,0,0,0,0,0,-0.432506518577802,4.93369867341949e-07
122,"68806",0,0,0,0,0,0,0,0,-0.430854552845203,4.9858812196302e-07
123,"68944",0,0,0,0,0,0,0,0,-0.429202088524482,5.0380637658409e-07
124,"69098",0,0,0,0,0,0,0,0,-0.427549120397385,5.09024631205161e-07
125,"71643",0,0,0,0,0,0,0,0,-0.425895643245656,5.14242885826231e-07
126,"71882",0,0,0,0,0,0,0,0,-0.424241651851041,5.19461140447302e-07
127,"73234",0,0,0,0,0,0,0,0,-0.422587140995286,5.24679395068372e-07
128,"73566",0,0,0,0,0,0,0,0,-0.420932105460136,5.29897649689443e-07
129,"74366",0,0,0,0,0,0,0,0,-0.419276540027336,5.35115904310513e-07
130,"75162",0,0,0,0,0,0,0,0,-0.417620439478632,5.40334158931584e-07
131,"75200",0,0,0,0,0,0,0,0,-0.415963798595769,5.45552413552654e-07
