"rank","feature_id","mu","empirical_variance.x","NB2","NB2_NB1","alpha_mu","abs_pc1_loading","empirical_variance.y","log1p_empirical_variance","smooth_log1p_empirical_variance","d2_spline"
1,"615",0,0,0,0,0,0,0,0,-0.751050099616419,-1.58470120118152e-07
2,"926",0,0,0,0,0,0,0,0,-0.749074830832273,-1.52243890936424e-07
3,"1110",0,0,0,0,0,0,0,0,-0.747099714292018,-1.46017661754696e-07
4,"3346",0,0,0,0,0,0,0,0,-0.745124743769425,-1.39791432572968e-07
5,"3458",0,0,0,0,0,0,0,0,-0.743149913038264,-1.3356520339124e-07
6,"4124",0,0,0,0,0,0,0,0,-0.741175215872307,-1.27338974209512e-07
7,"4233",0,0,0,0,0,0,0,0,-0.739200646045324,-1.21112745027784e-07
8,"5250",0,0,0,0,0,0,0,0,-0.737226197331086,-1.14886515846056e-07
9,"5332",0,0,0,0,0,0,0,0,-0.735251863503364,-1.08660286664328e-07
10,"6683",0,0,0,0,0,0,0,0,-0.733277638335928,-1.024340574826e-07
11,"7592",0,0,0,0,0,0,0,0,-0.73130351560255,-9.62078283008724e-08
12,"7955",0,0,0,0,0,0,0,0,-0.729329489077,-8.99815991191444e-08
13,"7995",0,0,0,0,0,0,0,0,-0.727355552533049,-8.37553699374165e-08
14,"8035",0,0,0,0,0,0,0,0,-0.725381699744469,-7.75291407556885e-08
15,"8127",0,0,0,0,0,0,0,0,-0.723407924485029,-7.13029115739606e-08
16,"8269",0,0,0,0,0,0,0,0,-0.7214342205285,-6.50766823922326e-08
17,"8739",0,0,0,0,0,0,0,0,-0.719460581648655,-5.88504532105047e-08
18,"8841",0,0,0,0,0,0,0,0,-0.717487001619262,-5.26242240287767e-08
19,"9593",0,0,0,0,0,0,0,0,-0.715513474214093,-4.63979948470487e-08
20,"9936",0,0,0,0,0,0,0,0,-0.713539993206919,-4.01717656653208e-08
21,"9942",0,0,0,0,0,0,0,0,-0.711566552371511,-3.39455364835928e-08
22,"10440",0,0,0,0,0,0,0,0,-0.709593145481639,-2.77193073018649e-08
23,"10794",0,0,0,0,0,0,0,0,-0.707619766311074,-2.14930781201369e-08
24,"10879",0,0,0,0,0,0,0,0,-0.705646408633588,-1.5266848938409e-08
25,"10937",0,0,0,0,0,0,0,0,-0.703673066222951,-9.04061975668101e-09
26,"11309",0,0,0,0,0,0,0,0,-0.701699732852933,-2.81439057495306e-09
27,"11317",0,0,0,0,0,0,0,0,-0.699726402297306,3.41183860677492e-09
28,"11527",0,0,0,0,0,0,0,0,-0.697753068329841,9.63806778850285e-09
29,"11859",0,0,0,0,0,0,0,0,-0.695779724724307,1.58642969702308e-08
30,"12443",0,0,0,0,0,0,0,0,-0.693806365254477,2.20905261519588e-08
31,"13454",0,0,0,0,0,0,0,0,-0.69183298369412,2.83167553336867e-08
32,"15944",0,0,0,0,0,0,0,0,-0.689859573817008,3.45429845154147e-08
33,"15997",0,0,0,0,0,0,0,0,-0.687886129396912,4.07692136971426e-08
34,"16178",0,0,0,0,0,0,0,0,-0.685912644207602,4.69954428788706e-08
35,"16715",0,0,0,0,0,0,0,0,-0.683939112022849,5.32216720605986e-08
36,"16970",0,0,0,0,0,0,0,0,-0.681965526616424,5.94479012423265e-08
37,"17205",0,0,0,0,0,0,0,0,-0.679991881762097,6.56741304240545e-08
38,"17327",0,0,0,0,0,0,0,0,-0.67801817123364,7.19003596057824e-08
39,"18087",0,0,0,0,0,0,0,0,-0.676044388804824,7.81265887875104e-08
40,"18338",0,0,0,0,0,0,0,0,-0.674070528249419,8.43528179692347e-08
41,"19175",0,0,0,0,0,0,0,0,-0.672096583341196,9.05790471509663e-08
42,"19727",0,0,0,0,0,0,0,0,-0.670122547853926,9.68052763326943e-08
43,"19850",0,0,0,0,0,0,0,0,-0.668148415561379,1.03031505514422e-07
44,"20089",0,0,0,0,0,0,0,0,-0.666174180237327,1.0925773469615e-07
45,"20141",0,0,0,0,0,0,0,0,-0.66419983565554,1.15483963877878e-07
46,"21107",0,0,0,0,0,0,0,0,-0.66222537558979,1.21710193059606e-07
47,"22275",0,0,0,0,0,0,0,0,-0.660250793813846,1.27936422241334e-07
48,"22547",0,0,0,0,0,0,0,0,-0.65827608410148,1.34162651423064e-07
49,"22831",0,0,0,0,0,0,0,0,-0.656301240226463,1.4038888060479e-07
50,"22963",0,0,0,0,0,0,0,0,-0.654326255962565,1.46615109786518e-07
51,"23810",0,0,0,0,0,0,0,0,-0.652351125083557,1.52841338968246e-07
52,"24944",0,0,0,0,0,0,0,0,-0.65037584136321,1.59067568149974e-07
53,"25448",0,0,0,0,0,0,0,0,-0.648400398575295,1.65293797331702e-07
54,"25630",0,0,0,0,0,0,0,0,-0.646424790493583,1.7152002651343e-07
55,"26562",0,0,0,0,0,0,0,0,-0.644449010891844,1.77746255695158e-07
56,"27376",0,0,0,0,0,0,0,0,-0.64247305354385,1.83972484876883e-07
57,"27849",0,0,0,0,0,0,0,0,-0.64049691222337,1.90198714058614e-07
58,"27946",0,0,0,0,0,0,0,0,-0.638520580704177,1.96424943240342e-07
59,"29101",0,0,0,0,0,0,0,0,-0.63654405276004,2.02651172422069e-07
60,"29511",0,0,0,0,0,0,0,0,-0.634567322164731,2.08877401603797e-07
61,"30158",0,0,0,0,0,0,0,0,-0.632590382692021,2.15103630785525e-07
62,"31432",0,0,0,0,0,0,0,0,-0.630613228115679,2.21329859967253e-07
63,"31827",0,0,0,0,0,0,0,0,-0.628635852209478,2.27556089148981e-07
64,"32323",0,0,0,0,0,0,0,0,-0.626658248747187,2.33782318330709e-07
65,"33218",0,0,0,0,0,0,0,0,-0.624680411502578,2.40008547512437e-07
66,"35347",0,0,0,0,0,0,0,0,-0.622702334249422,2.46234776694165e-07
67,"35496",0,0,0,0,0,0,0,0,-0.620724010761489,2.52461005875893e-07
68,"36051",0,0,0,0,0,0,0,0,-0.61874543481255,2.58687235057621e-07
69,"36057",0,0,0,0,0,0,0,0,-0.616766600176376,2.64913464239349e-07
70,"36617",0,0,0,0,0,0,0,0,-0.614787500626738,2.71139693421077e-07
71,"37691",0,0,0,0,0,0,0,0,-0.612808129937406,2.77365922602805e-07
72,"38230",0,0,0,0,0,0,0,0,-0.610828481882152,2.83592151784533e-07
73,"38721",0,0,0,0,0,0,0,0,-0.608848550234746,2.89818380966261e-07
74,"38821",0,0,0,0,0,0,0,0,-0.606868328768959,2.96044610147989e-07
75,"39507",0,0,0,0,0,0,0,0,-0.604887811258562,3.02270839329717e-07
76,"39508",0,0,0,0,0,0,0,0,-0.602906991477325,3.08497068511445e-07
77,"40151",0,0,0,0,0,0,0,0,-0.60092586319902,3.14723297693173e-07
78,"40899",0,0,0,0,0,0,0,0,-0.598944420197417,3.20949526874901e-07
79,"41242",0,0,0,0,0,0,0,0,-0.596962656246288,3.27175756056629e-07
80,"41573",0,0,0,0,0,0,0,0,-0.594980565119402,3.33401985238357e-07
81,"41738",0,0,0,0,0,0,0,0,-0.592998140590531,3.39628214420085e-07
82,"41750",0,0,0,0,0,0,0,0,-0.591015376433446,3.45854443601812e-07
83,"42137",0,0,0,0,0,0,0,0,-0.589032266421917,3.5208067278354e-07
84,"42185",0,0,0,0,0,0,0,0,-0.587048804329715,3.58306901965268e-07
85,"43792",0,0,0,0,0,0,0,0,-0.585064983930612,3.64533131146996e-07
86,"44053",0,0,0,0,0,0,0,0,-0.583080798998377,3.70759360328724e-07
87,"44156",0,0,0,0,0,0,0,0,-0.581096243306782,3.76985589510452e-07
88,"44165",0,0,0,0,0,0,0,0,-0.579111310629597,3.8321181869218e-07
89,"44395",0,0,0,0,0,0,0,0,-0.577125994740594,3.89438047873908e-07
90,"44798",0,0,0,0,0,0,0,0,-0.575140289413543,3.95664277055636e-07
91,"44928",0,0,0,0,0,0,0,0,-0.573154188422214,4.01890506237364e-07
92,"47036",0,0,0,0,0,0,0,0,-0.57116768554038,4.08116735419092e-07
93,"47161",0,0,0,0,0,0,0,0,-0.56918077454181,4.1434296460082e-07
94,"48022",0,0,0,0,0,0,0,0,-0.567193449200276,4.20569193782548e-07
95,"49195",0,0,0,0,0,0,0,0,-0.565205703289547,4.26795422964276e-07
96,"49200",0,0,0,0,0,0,0,0,-0.563217530583396,4.33021652146004e-07
97,"49746",0,0,0,0,0,0,0,0,-0.561228924855593,4.39247881327732e-07
98,"49842",0,0,0,0,0,0,0,0,-0.559239879879908,4.4547411050946e-07
99,"51143",0,0,0,0,0,0,0,0,-0.557250389430113,4.51700339691188e-07
