"dataset_name","feature_id","orig_id","gene_symbol","baseMean","log2FoldChange","lfc_shrunk","Apeglm_L2FC","regulation_direction","stat","pvalue","padj","empirical_p","empirical_q","empirical_bh","lfdr","HBFSS","pi_valueE","hc_p_threshold_dataset","hbfss_threshold_dataset","resLA_padj","resGA_padj","weak_cnh_flag","strong_cnh_flag","standard_flag","hbfss_flag","hbfss_weak_effect_flag","final_class","weak_hbfss_overlap","strong_hbfss_overlap","standard_hbfss_overlap","any_overlap","lfcSE","pval","padjc","qval","gene_empirical_pvalue","HBFSS_core_pass","raw_lfc_pass","shrunk_lfc_pass","padj_strong_effect","padj_weak_effect","effect_class","hc_pass","standard_significant","HBFSS_significant","display_weak_flag","display_strong_flag","display_standard_flag","display_hbfss_flag","R4_1","R4_2","R4_3","R4_4","R4_5","ZT10_1","ZT10_2","ZT10_3","ZT10_4","ZT10_5","dispGeneEst","dispFit","dispersion","dispIter","dispOutlier","neglog10_padj","neglog10_empirical_p","neglog10_padjc"
"RT4_ZT10_RawEVS_leading_edge_dataset","77636","77636","Dusp3",18.5556454776298,2.0817743229833,0.0115274094814188,0.0115274094814188,"upregulated",0.717354851784539,0.473155169929201,0.987418920568014,0.45522524903335,0.941953180588255,0.981134245208373,1,0.00393976490382607,0.00393976490382607,0.0173475576749602,1.76076165994805,NA,1,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",FALSE,FALSE,FALSE,FALSE,2.90201469719559,0.45522524903335,0.981134245208373,0.941953180588255,0.45522524903335,FALSE,TRUE,FALSE,1,NA,"intermediate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,128.945262023402,19.1672779331791,0,2.19986978173347,0,0,35.2440450379834,0,0,0,10,0.785004698102075,10,10,TRUE,0.00549855524130453,0.341773657834974,0.00827156554114341
"RT4_ZT10_RawEVS_leading_edge_dataset","352226","352226","Eid1",10.4831885142816,1.78841006106512,0.0102005664550237,0.0102005664550237,"upregulated",0.622102939086751,0.53387418250554,0.987418920568014,0.517256978603565,0.948556298798203,0.983991636149941,1,0.00292035731386031,0.00292035731386031,0.0173475576749602,1.76076165994805,NA,1,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",FALSE,FALSE,FALSE,FALSE,2.87478156539578,0.517256978603565,0.983991636149941,0.948556298798203,0.517256978603565,FALSE,TRUE,FALSE,1,NA,"intermediate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7.90105772202216,9.58363896658956,0,63.4295787066484,0,0,0,0,23.9176097475554,0,9.74585012956188,0.980005994320622,9.74585012956188,9,TRUE,0.00549855524130453,0.286293641312639,0.00700859302126549
"RT4_ZT10_RawEVS_leading_edge_dataset","26551","26551","Zfp91",13.4582521899984,-0.685665911730227,-0.0262856525435379,-0.0262856525435379,"downregulated",-0.599607568264593,0.548767802104722,0.987418920568014,0.532520632795419,0.949957041124718,0.98720743533068,1,0.0071934252675572,0.0071934252675572,0.0173475576749602,1.76076165994805,NA,1,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",FALSE,FALSE,FALSE,FALSE,1.14352444502111,0.532520632795419,0.98720743533068,0.949957041124718,0.532520632795419,FALSE,FALSE,FALSE,1,NA,"intermediate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9.48126926642659,13.800440111889,0,26.7650823444239,0,0,21.0108730034132,6.37816550434577,43.4865631773735,13.6601284921124,2.00467148767262,0.880919279566843,1.48023034861468,9,FALSE,0.00549855524130453,0.273663560592322,0.00559158233137146
"RT4_ZT10_RawEVS_leading_edge_dataset","150481","150481","Desi2",8.54378595725482,-0.0318929055852454,-0.00078676567188341,-0.00078676567188341,"downregulated",-0.0244937645408827,0.980458757399932,0.996531939091333,0.979658669004485,0.972161920337411,0.997698993426272,1,7.0220520621932e-06,7.0220520621932e-06,0.0173475576749602,1.76076165994805,NA,1,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",FALSE,FALSE,FALSE,FALSE,1.30208263952292,0.979658669004485,0.997698993426272,0.972161920337411,0.979658669004485,FALSE,FALSE,FALSE,1,NA,"intermediate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,16.1181577529252,11.1170212012439,0,13.9325086176453,0,20.2388636291572,8.81101125949585,0,15.2202971120807,0,2.79119854937058,1.08175388868299,1.89759048871281,7,FALSE,0.00150877749652275,0.00892521409250529,0.00100046593907779
"RT4_ZT10_RawEVS_leading_edge_dataset","172544","172544","Wdpcp",7.51241233972127,0.302948729805196,0.0148250388731733,0.0148250388731733,"upregulated",0.294230691679276,0.768581629508873,0.992535975292161,0.75939138305895,0.964374932042364,0.995411825446115,1,0.00177210116572828,0.00177210116572828,0.0173475576749602,1.76076165994805,NA,1,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",FALSE,FALSE,FALSE,FALSE,1.02962994130953,0.75939138305895,0.995411825446115,0.964374932042364,0.75939138305895,FALSE,FALSE,FALSE,1,NA,"intermediate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,14.2219038996399,17.2505501398612,0,9.16612409055612,0,12.4546853102506,7.45547106572725,8.50422067246103,0,6.07116821871663,1.08072915531102,1.15726093167168,1.11803724428974,7,FALSE,0.00325374291475483,0.119534335180395,0.00199720416313551
"RT4_ZT10_RawEVS_leading_edge_dataset","178811","178811","Dmtn",8.46533599477474,-0.0559557504379327,-0.00336601534901868,-0.00336601534901868,"downregulated",-0.0629825992444011,0.949780360599418,0.992535975292161,0.947726639056625,0.971250929182304,0.995411825446115,1,7.84850833170618e-05,7.84850833170618e-05,0.0173475576749602,1.76076165994805,NA,1,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",FALSE,FALSE,FALSE,FALSE,0.888431901973416,0.947726639056625,0.995411825446115,0.971250929182304,0.947726639056625,FALSE,FALSE,FALSE,1,NA,"intermediate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12.9577346641163,10.3503300839167,0,16.1323783993788,0,10.8978496464693,7.45547106572725,3.18908275217289,13.0459689532121,10.6245443827541,0.620527169903674,1.08685070992535,0.814379385235182,8,FALSE,0.00325374291475483,0.0233169118910712,0.00199720416313551
"RT4_ZT10_RawEVS_leading_edge_dataset","65490","65490","Spsb3",5.91862482162521,0.963676556528534,0.0303304177399186,0.0303304177399186,"upregulated",0.75609075044424,0.449594787241964,0.987418920568014,0.431250028383676,0.938923185198417,0.9798361332411,1,0.0110788178731596,0.0110788178731596,0.0173475576749602,1.76076165994805,NA,1,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",FALSE,FALSE,FALSE,FALSE,1.27455144235309,0.431250028383676,0.9798361332411,0.938923185198417,0.431250028383676,FALSE,FALSE,FALSE,1,NA,"intermediate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9.79731157530748,13.0337489945618,0,15.7657334357565,0,14.0115209740319,3.38885048442148,3.18908275217289,0,0,2.15685548144909,1.32569557240539,1.72300164857285,6,FALSE,0.00549855524130453,0.365270863334615,0.00884654918477572
"RT4_ZT10_RawEVS_leading_edge_dataset","228708","228708","Wdr37",7.77435084120129,-0.0583231107209372,-0.00266234620874791,-0.00266234620874791,"downregulated",-0.0566111974401472,0.95485491458406,0.992750824783022,0.953008217555115,0.971405700882722,0.995454806648601,1,5.56519666862165e-05,5.56519666862165e-05,0.0173475576749602,1.76076165994805,NA,1,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",FALSE,FALSE,FALSE,FALSE,1.03023983519515,0.953008217555115,0.995454806648601,0.971405700882722,0.953008217555115,FALSE,FALSE,FALSE,1,NA,"intermediate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,11.6935654285928,14.1837856705526,0,11.3659938722896,0,10.8978496464693,10.1665514532644,14.8823861768068,0,4.55337616403747,1.1234690788298,1.1361864448785,1.12965378213207,6,FALSE,0.00315974344960813,0.020903354531186,0.00197845202899707
"RT4_ZT10_RawEVS_leading_edge_dataset","227759","227759","Arhgap12",7.15706309987684,0.448692577392473,0.0197499505068642,0.0197499505068642,"upregulated",0.415054610801299,0.678101925635318,0.992535975292161,0.66570358926419,0.959563972014924,0.995411825446115,1,0.00349019350750951,0.00349019350750951,0.0173475576749602,1.76076165994805,NA,1,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",FALSE,FALSE,FALSE,FALSE,1.08104467632882,0.66570358926419,0.995411825446115,0.959563972014924,0.66570358926419,FALSE,FALSE,FALSE,1,NA,"intermediate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20.5427500772576,5.75018337995374,0,13.9325086176453,0,0,6.09993087195866,7.4411930884034,8.6973126354747,9.10675232807495,1.27653174492209,1.18831670505752,1.23544923634472,5,FALSE,0.00325374291475483,0.176719101462886,0.00199720416313551
"RT4_ZT10_RawEVS_leading_edge_dataset","21877","21877","Eif3c",25.5928344514786,-0.460766559917112,-0.0139274852574209,-0.0139274852574209,"downregulated",-0.358809754944123,0.719737414576445,0.992535975292161,0.70877349423083,0.961927590160092,0.995411825446115,1,0.00208205503531815,0.00208205503531815,0.0173475576749602,1.76076165994805,NA,1,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",FALSE,FALSE,FALSE,FALSE,1.28415282351748,0.70877349423083,0.995411825446115,0.961927590160092,0.70877349423083,FALSE,FALSE,FALSE,1,NA,"intermediate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,45.1940501699668,61.3352893861732,0,0,0,51.3755769047837,9.48878135638014,22.3235792652102,28.2662660652928,37.9448013669789,2.97439322519071,0.715373161104846,1.93296942809064,9,FALSE,0.00325374291475483,0.149492531985183,0.00199720416313551
