"rank","feature_id","mu","empirical_variance.x","NB2","NB2_NB1","alpha_mu","abs_pc1_loading","empirical_variance.y","log1p_empirical_variance","smooth_log1p_empirical_variance","d2_spline"
1,"5091",0,0,0,0,0,0,0,0,-0.027534444260264,-1.06481338245437e-08
2,"7312",0,0,0,0,0,0,0,0,-0.0200512264641312,-1.13512282395517e-08
3,"7636",0,0,0,0,0,0,0,0,-0.0125680200192266,-1.20543226545598e-08
4,"7955",0,0,0,0,0,0,0,0,-0.00508482562864471,-1.27574170695679e-08
5,"9908",0,0,0,0,0,0,0,0,0.00239835600452013,-1.34605114845759e-08
6,"12336",0,0,0,0,0,0,0,0,0.00988152417717348,-1.4163605899584e-08
7,"15183",0,0,0,0,0,0,0,0,0.0173646781862209,-1.48667003145921e-08
8,"17644",0,0,0,0,0,0,0,0,0.0248478173285681,-1.55697947296001e-08
9,"19727",0,0,0,0,0,0,0,0,0.0323309409011205,-1.62728891446082e-08
10,"24391",0,0,0,0,0,0,0,0,0.0398140482007838,-1.69759835596162e-08
11,"24944",0,0,0,0,0,0,0,0,0.0472971385244635,-1.76790779746243e-08
12,"30561",0,0,0,0,0,0,0,0,0.0547802111690652,-1.83821723896324e-08
13,"32323",0,0,0,0,0,0,0,0,0.0622632654314945,-1.90852668046404e-08
14,"37050",0,0,0,0,0,0,0,0,0.0697463006086571,-1.97883612196485e-08
15,"38204",0,0,0,0,0,0,0,0,0.0772293159974584,-2.04914556346566e-08
16,"38230",0,0,0,0,0,0,0,0,0.0847123108948041,-2.11945500496646e-08
17,"38281",0,0,0,0,0,0,0,0,0.0921952845975997,-2.18976444646727e-08
18,"41100",0,0,0,0,0,0,0,0,0.0996782364027509,-2.26007388796807e-08
19,"44116",0,0,0,0,0,0,0,0,0.107161165607163,-2.33038332946888e-08
20,"45293",0,0,0,0,0,0,0,0,0.114644071507742,-2.40069277096969e-08
21,"49195",0,0,0,0,0,0,0,0,0.122126953401393,-2.47100221247049e-08
22,"49779",0,0,0,0,0,0,0,0,0.129609810585023,-2.5413116539713e-08
23,"50560",0,0,0,0,0,0,0,0,0.137092642355535,-2.61162109547211e-08
24,"54742",0,0,0,0,0,0,0,0,0.144575448009837,-2.68193053697291e-08
25,"55981",0,0,0,0,0,0,0,0,0.152058226844833,-2.75223997847372e-08
26,"56261",0,0,0,0,0,0,0,0,0.15954097815743,-2.82254941997453e-08
27,"57848",0,0,0,0,0,0,0,0,0.167023701244532,-2.89285886147533e-08
28,"59667",0,0,0,0,0,0,0,0,0.174506395403046,-2.96316830297614e-08
29,"59804",0,0,0,0,0,0,0,0,0.181989059929876,-3.03347774447694e-08
30,"62174",0,0,0,0,0,0,0,0,0.18947169412193,-3.10378718597775e-08
31,"62330",0,0,0,0,0,0,0,0,0.196954297276111,-3.17409662747856e-08
32,"66062",0,0,0,0,0,0,0,0,0.204436868689326,-3.24440606897936e-08
33,"70033",0,0,0,0,0,0,0,0,0.211919407658481,-3.31471551048017e-08
34,"71027",0,0,0,0,0,0,0,0,0.21940191348048,-3.38502495198098e-08
35,"71677",0,0,0,0,0,0,0,0,0.22688438545223,-3.45533439348178e-08
36,"71688",0,0,0,0,0,0,0,0,0.234366822870635,-3.52564383498259e-08
37,"71789",0,0,0,0,0,0,0,0,0.241849225032603,-3.59595327648339e-08
38,"71934",0,0,0,0,0,0,0,0,0.249331591235038,-3.6662627179842e-08
39,"76292",0,0,0,0,0,0,0,0,0.256813920774845,-3.73657215948501e-08
40,"77109",0,0,0,0,0,0,0,0,0.264296212948931,-3.80688160098725e-08
41,"78544",0,0,0,0,0,0,0,0,0.271778467054201,-3.87719104248662e-08
42,"79891",0,0,0,0,0,0,0,0,0.279260682387561,-3.94750048398743e-08
43,"79977",0,0,0,0,0,0,0,0,0.286742858245915,-4.01780992548823e-08
44,"80927",0,0,0,0,0,0,0,0,0.294224993926171,-4.08811936698904e-08
45,"83130",0,0,0,0,0,0,0,0,0.301707088725232,-4.15842880848985e-08
46,"83265",0,0,0,0,0,0,0,0,0.309189141940006,-4.22873824999065e-08
47,"83889",0,0,0,0,0,0,0,0,0.316671152867397,-4.29904769149146e-08
48,"84675",0,0,0,0,0,0,0,0,0.324153120804312,-4.36935713299163e-08
49,"85273",0,0,0,0,0,0,0,0,0.331635045047655,-4.43966657449307e-08
50,"86259",0,0,0,0,0,0,0,0,0.339116924894332,-4.50997601599388e-08
51,"86690",0,0,0,0,0,0,0,0,0.346598759641249,-4.58028545749468e-08
52,"88480",0,0,0,0,0,0,0,0,0.354080548585311,-4.65059489899549e-08
53,"89131",0,0,0,0,0,0,0,0,0.361562291023425,-4.7209043404963e-08
54,"90388",0,0,0,0,0,0,0,0,0.369043986252495,-4.7912137819971e-08
55,"91474",0,0,0,0,0,0,0,0,0.376525633569427,-4.86152322349791e-08
56,"91901",0,0,0,0,0,0,0,0,0.384007232271127,-4.93183266499979e-08
57,"92470",0,0,0,0,0,0,0,0,0.3914887816545,-5.00214210649952e-08
58,"92712",0,0,0,0,0,0,0,0,0.398970281016452,-5.07245154800033e-08
59,"94918",0,0,0,0,0,0,0,0,0.406451729653889,-5.14276098950113e-08
60,"101737",0,0,0,0,0,0,0,0,0.413933126863716,-5.21307043100194e-08
61,"102854",0,0,0,0,0,0,0,0,0.421414471942839,-5.28337987250275e-08
62,"107795",0,0,0,0,0,0,0,0,0.428895764188163,-5.35368931400355e-08
63,"108286",0,0,0,0,0,0,0,0,0.436377002896593,-5.42399875550436e-08
64,"111191",0,0,0,0,0,0,0,0,0.443858187365037,-5.49430819700517e-08
65,"112064",0,0,0,0,0,0,0,0,0.451339316890398,-5.56461763850597e-08
66,"113742",0,0,0,0,0,0,0,0,0.458820390769583,-5.63492708000678e-08
67,"117295",0,0,0,0,0,0,0,0,0.466301408299497,-5.70523652150758e-08
68,"117645",0,0,0,0,0,0,0,0,0.473782368777045,-5.77554596300839e-08
69,"117795",0,0,0,0,0,0,0,0,0.481263271499135,-5.8458554045092e-08
70,"118444",0,0,0,0,0,0,0,0,0.48874411576267,-5.91616484601e-08
71,"118508",0,0,0,0,0,0,0,0,0.496224900864556,-5.98647428751081e-08
72,"119572",0,0,0,0,0,0,0,0,0.5037056261017,-6.05678372901161e-08
73,"119928",0,0,0,0,0,0,0,0,0.511186290771007,-6.12709317051242e-08
74,"120511",0,0,0,0,0,0,0,0,0.518666894169381,-6.19740261201323e-08
75,"122774",0,0,0,0,0,0,0,0,0.52614743559373,-6.26771205351403e-08
76,"127566",0,0,0,0,0,0,0,0,0.533627914340958,-6.33802149501484e-08
77,"129543",0,0,0,0,0,0,0,0,0.541108329707971,-6.40833093651565e-08
78,"130155",0,0,0,0,0,0,0,0,0.548588680991675,-6.47864037801645e-08
79,"132691",0,0,0,0,0,0,0,0,0.556068967488975,-6.54894981951726e-08
80,"134528",0,0,0,0,0,0,0,0,0.563549188496777,-6.61925926101806e-08
81,"136110",0,0,0,0,0,0,0,0,0.571029343311986,-6.68956870251887e-08
82,"136675",0,0,0,0,0,0,0,0,0.578509431231509,-6.75987814401968e-08
83,"137407",0,0,0,0,0,0,0,0,0.585989451552249,-6.83018758552049e-08
84,"137699",0,0,0,0,0,0,0,0,0.593469403571114,-6.90049702702129e-08
85,"139527",0,0,0,0,0,0,0,0,0.600949286585009,-6.9708064685221e-08
86,"139752",0,0,0,0,0,0,0,0,0.608429099890839,-7.0411159100229e-08
87,"141610",0,0,0,0,0,0,0,0,0.61590884278551,-7.11142535152371e-08
88,"143083",0,0,0,0,0,0,0,0,0.623388514565927,-7.18173479302452e-08
89,"145071",0,0,0,0,0,0,0,0,0.630868114528996,-7.25204423452532e-08
90,"145259",0,0,0,0,0,0,0,0,0.638347641971624,-7.32235367602613e-08
91,"146643",0,0,0,0,0,0,0,0,0.645827096190714,-7.39266311752693e-08
92,"146713",0,0,0,0,0,0,0,0,0.653306476483173,-7.46297255902774e-08
93,"146908",0,0,0,0,0,0,0,0,0.660785782145907,-7.53328200052855e-08
94,"147641",0,0,0,0,0,0,0,0,0.66826501247582,-7.60359144202935e-08
95,"148937",0,0,0,0,0,0,0,0,0.675744166769819,-7.67390088353016e-08
96,"148950",0,0,0,0,0,0,0,0,0.68322324432481,-7.74421032503097e-08
97,"152961",0,0,0,0,0,0,0,0,0.690702244437697,-7.81451976653177e-08
98,"153246",0,0,0,0,0,0,0,0,0.698181166405386,-7.88482920803258e-08
