"comparison","analysis","dataset","n_features","lessAbs_significant","weak_effect_hbfss_region","greaterAbs_significant","strong_effect","standard_effect","hbfss_total","hbfss_only","hc_p_threshold","hbfss_cutoff","wald_bh_alpha","greaterAbs_bh_alpha","lessAbs_bh_alpha","lfc_boundary"
"RT0_ZT6","Raw","Raw",31553,3469,0,3,3,9,34,25,0.000532546091058572,3.27364279873213,0.1,0.1,0.1,1
"RT0_ZT6","Lead_NormEVS","Lead",6722,2143,1,1,1,3,15,11,0.034292401519239,1.4648020998943,0.1,0.1,0.1,1
"RT0_ZT6","Rem_NormEVS","Rem",24831,2127,59,2,2,48,191,84,0.0369015078921782,1.43295588706933,0.1,0.1,0.1,1
"RT0_ZT6","Lead_RawEVS","Lead",6629,2914,1,0,0,3,9,5,0.0195442803810726,1.70898031562737,0.1,0.1,0.1,1
"RT0_ZT6","Rem_RawEVS","Rem",24924,1313,45,3,3,41,160,74,0.0620391746763378,1.20733398835515,0.1,0.1,0.1,1
"RT2_ZT8","Raw","Raw",31534,7704,6,0,0,0,8,2,0.0136775581992137,1.86399142858533,0.1,0.1,0.1,1
"RT2_ZT8","Lead_NormEVS","Lead",7107,4824,3,0,0,0,3,0,0.0220541331368955,1.65651000799492,0.1,0.1,0.1,1
"RT2_ZT8","Rem_NormEVS","Rem",24427,3633,12,0,0,0,21,9,0.014565731311307,1.83666770557858,0.1,0.1,0.1,1
"RT2_ZT8","Lead_RawEVS","Lead",6717,5036,6,0,0,0,6,0,0.0122361568998881,1.91235496284797,0.1,0.1,0.1,1
"RT2_ZT8","Rem_RawEVS","Rem",24817,3483,5,0,0,0,10,5,0.0170388690247161,1.76855923542764,0.1,0.1,0.1,1
"RT4_ZT10","Raw","Raw",31658,6128,273,39,39,743,1100,84,0.0223630001696145,1.65046993290979,0.1,0.1,0.1,1
"RT4_ZT10","Lead_NormEVS","Lead",7093,3745,67,13,13,286,320,1,0.017917484790559,1.7467229555136,0.1,0.1,0.1,1
"RT4_ZT10","Rem_NormEVS","Rem",24565,2967,253,55,55,686,1062,123,0.0339201556248525,1.46954216387819,0.1,0.1,0.1,1
"RT4_ZT10","Lead_RawEVS","Lead",6741,4204,58,15,15,295,302,1,0.0229484284932837,1.63924704956303,0.1,0.1,0.1,1
"RT4_ZT10","Rem_RawEVS","Rem",24917,2369,279,43,43,639,1092,174,0.0475021845337043,1.3232864175516,0.1,0.1,0.1,1
"RT8_ZT14","Raw","Raw",31580,8714,47,0,0,4,76,25,0.0186581006283235,1.72913256898303,0.1,0.1,0.1,1
"RT8_ZT14","Lead_NormEVS","Lead",6787,4954,4,0,0,1,12,7,0.00640454317939287,2.19351184199177,0.1,0.1,0.1,1
"RT8_ZT14","Rem_NormEVS","Rem",24793,4559,74,0,0,28,138,36,0.0181617074315576,1.74084332468905,0.1,0.1,0.1,1
"RT8_ZT14","Lead_RawEVS","Lead",6556,5510,1,0,0,4,5,0,0.000868951572243093,3.06100442665105,0.1,0.1,0.1,1
"RT8_ZT14","Rem_RawEVS","Rem",25024,3835,37,0,0,17,88,34,0.0262387925178675,1.58105615462005,0.1,0.1,0.1,1
