"comp","label","set","n","lessAbs","weak","strongAlt","strong","std","H","Honly","HCp","Htau","alpha","alphaS","alphaW","lfc"
"RT0_ZT6","Raw","Raw",31553,3469,0,3,3,9,34,25,0.000532546091058572,3.27364279873213,0.1,0.1,0.1,1
"RT0_ZT6","Lead_NormEVS","Lead",6722,2143,0,1,1,3,15,12,0.034292401519239,1.4648020998943,0.1,0.1,0.1,1
"RT0_ZT6","Rem_NormEVS","Rem",24831,2127,0,2,2,48,191,143,0.0369015078921782,1.43295588706933,0.1,0.1,0.1,1
"RT0_ZT6","Lead_RawEVS","Lead",6629,2914,0,0,0,3,9,6,0.0195442803810726,1.70898031562737,0.1,0.1,0.1,1
"RT0_ZT6","Rem_RawEVS","Rem",24924,1313,0,3,3,41,160,119,0.0620391746763378,1.20733398835515,0.1,0.1,0.1,1
"RT2_ZT8","Raw","Raw",31534,7704,0,0,0,0,8,8,0.0136775581992137,1.86399142858533,0.1,0.1,0.1,1
"RT2_ZT8","Lead_NormEVS","Lead",7107,4824,0,0,0,0,3,3,0.0220541331368955,1.65651000799492,0.1,0.1,0.1,1
"RT2_ZT8","Rem_NormEVS","Rem",24427,3633,2,0,0,0,21,19,0.014565731311307,1.83666770557858,0.1,0.1,0.1,1
"RT2_ZT8","Lead_RawEVS","Lead",6717,5036,0,0,0,0,6,6,0.0122361568998881,1.91235496284797,0.1,0.1,0.1,1
"RT2_ZT8","Rem_RawEVS","Rem",24817,3483,0,0,0,0,10,10,0.0170388690247161,1.76855923542764,0.1,0.1,0.1,1
"RT4_ZT10","Raw","Raw",31658,6128,9,39,39,743,1100,348,0.0223630001696145,1.65046993290979,0.1,0.1,0.1,1
"RT4_ZT10","Lead_NormEVS","Lead",7093,3745,2,13,13,286,320,66,0.017917484790559,1.7467229555136,0.1,0.1,0.1,1
"RT4_ZT10","Rem_NormEVS","Rem",24565,2967,18,55,55,686,1062,358,0.0339201556248525,1.46954216387819,0.1,0.1,0.1,1
"RT4_ZT10","Lead_RawEVS","Lead",6741,4204,5,15,15,295,302,54,0.0229484284932837,1.63924704956303,0.1,0.1,0.1,1
"RT4_ZT10","Rem_RawEVS","Rem",24917,2369,0,43,43,639,1092,453,0.0475021845337043,1.3232864175516,0.1,0.1,0.1,1
"RT8_ZT14","Raw","Raw",31580,8714,4,0,0,4,76,68,0.0186581006283235,1.72913256898303,0.1,0.1,0.1,1
"RT8_ZT14","Lead_NormEVS","Lead",6787,4954,0,0,0,1,12,11,0.00640454317939287,2.19351184199177,0.1,0.1,0.1,1
"RT8_ZT14","Rem_NormEVS","Rem",24793,4559,8,0,0,28,138,102,0.0181617074315576,1.74084332468905,0.1,0.1,0.1,1
"RT8_ZT14","Lead_RawEVS","Lead",6556,5510,0,0,0,4,5,1,0.000868951572243093,3.06100442665105,0.1,0.1,0.1,1
"RT8_ZT14","Rem_RawEVS","Rem",25024,3835,0,0,0,17,88,71,0.0262387925178675,1.58105615462005,0.1,0.1,0.1,1
