"comp","label","panel","set","mode","PC","varPct","scoreVar"
"RT0_ZT6","Raw","Original","Original","Original","PC1",48.8,224487096.898407
"RT0_ZT6","Raw","Original","Original","Original","PC2",22.1,101961145.735352
"RT0_ZT6","Lead_NormEVS","Lead NormEVS","Lead","NormEVS","PC1",46.8,210321101.730914
"RT0_ZT6","Lead_NormEVS","Lead NormEVS","Lead","NormEVS","PC2",23.4,105140559.328046
"RT0_ZT6","Lead_RawEVS","Lead RawEVS","Lead","RawEVS","PC1",45,195358667.443468
"RT0_ZT6","Lead_RawEVS","Lead RawEVS","Lead","RawEVS","PC2",23.7,102915966.539633
"RT0_ZT6","Rem_NormEVS","Remainder NormEVS","Remainder","NormEVS","PC1",24.8,396543.023429613
"RT0_ZT6","Rem_NormEVS","Remainder NormEVS","Remainder","NormEVS","PC2",19.5,312083.592892168
"RT0_ZT6","Rem_RawEVS","Remainder RawEVS","Remainder","RawEVS","PC1",26.4,415414.67026632
"RT0_ZT6","Rem_RawEVS","Remainder RawEVS","Remainder","RawEVS","PC2",20.8,326994.697624932
"RT2_ZT8","Raw","Original","Original","Original","PC1",58.8,242461611.168431
"RT2_ZT8","Raw","Original","Original","Original","PC2",21.2,87279458.6302707
"RT2_ZT8","Lead_NormEVS","Lead NormEVS","Lead","NormEVS","PC1",55.9,218332338.117008
"RT2_ZT8","Lead_NormEVS","Lead NormEVS","Lead","NormEVS","PC2",22.7,88762023.8944671
"RT2_ZT8","Lead_RawEVS","Lead RawEVS","Lead","RawEVS","PC1",49.3,166760348.555345
"RT2_ZT8","Lead_RawEVS","Lead RawEVS","Lead","RawEVS","PC2",25.6,86624257.2797748
"RT2_ZT8","Rem_NormEVS","Remainder NormEVS","Remainder","NormEVS","PC1",30,395279.124562432
"RT2_ZT8","Rem_NormEVS","Remainder NormEVS","Remainder","NormEVS","PC2",15.1,198799.323144469
"RT2_ZT8","Rem_RawEVS","Remainder RawEVS","Remainder","RawEVS","PC1",20.3,243941.952128552
"RT2_ZT8","Rem_RawEVS","Remainder RawEVS","Remainder","RawEVS","PC2",16.7,200038.169035449
"RT4_ZT10","Raw","Original","Original","Original","PC1",49.8,363355319.495622
"RT4_ZT10","Raw","Original","Original","Original","PC2",28.6,208737213.300809
"RT4_ZT10","Lead_NormEVS","Lead NormEVS","Lead","NormEVS","PC1",51.2,365681393.346154
"RT4_ZT10","Lead_NormEVS","Lead NormEVS","Lead","NormEVS","PC2",26.7,190857371.089002
"RT4_ZT10","Lead_RawEVS","Lead RawEVS","Lead","RawEVS","PC1",54.2,428452840.724956
"RT4_ZT10","Lead_RawEVS","Lead RawEVS","Lead","RawEVS","PC2",26.9,212481283.765146
"RT4_ZT10","Rem_NormEVS","Remainder NormEVS","Remainder","NormEVS","PC1",30.4,613364.082613934
"RT4_ZT10","Rem_NormEVS","Remainder NormEVS","Remainder","NormEVS","PC2",17.4,350857.309045407
"RT4_ZT10","Rem_RawEVS","Remainder RawEVS","Remainder","RawEVS","PC1",48.9,1478351.45836237
"RT4_ZT10","Rem_RawEVS","Remainder RawEVS","Remainder","RawEVS","PC2",17.5,530013.415853617
"RT8_ZT14","Raw","Original","Original","Original","PC1",52.7,237407052.773264
"RT8_ZT14","Raw","Original","Original","Original","PC2",20.7,93161210.7846516
"RT8_ZT14","Lead_NormEVS","Lead NormEVS","Lead","NormEVS","PC1",52.2,227111080.011701
"RT8_ZT14","Lead_NormEVS","Lead NormEVS","Lead","NormEVS","PC2",20.7,89891312.558151
"RT8_ZT14","Lead_RawEVS","Lead RawEVS","Lead","RawEVS","PC1",51.3,229757879.161471
"RT8_ZT14","Lead_RawEVS","Lead RawEVS","Lead","RawEVS","PC2",20.9,93602036.0926535
"RT8_ZT14","Rem_NormEVS","Remainder NormEVS","Remainder","NormEVS","PC1",21.3,333219.885329974
"RT8_ZT14","Rem_NormEVS","Remainder NormEVS","Remainder","NormEVS","PC2",18.2,284851.526902245
"RT8_ZT14","Rem_RawEVS","Remainder RawEVS","Remainder","RawEVS","PC1",28.1,514826.576523233
"RT8_ZT14","Rem_RawEVS","Remainder RawEVS","Remainder","RawEVS","PC2",21.2,388066.069136672
