"comp","mode","cond","frac"
"RT0_ZT6","NormEVS","Control",0.823826102410718
"RT0_ZT6","NormEVS","Treatment",0.825999264331269
"RT0_ZT6","RawEVS","Control",0.821415553120966
"RT0_ZT6","RawEVS","Treatment",0.837109413505614
"RT2_ZT8","NormEVS","Control",0.785761070594595
"RT2_ZT8","NormEVS","Treatment",0.821877072370357
"RT2_ZT8","RawEVS","Control",0.832336142975914
"RT2_ZT8","RawEVS","Treatment",0.843762087698369
"RT4_ZT10","NormEVS","Control",0.790404039818117
"RT4_ZT10","NormEVS","Treatment",0.82135981026261
"RT4_ZT10","RawEVS","Control",0.811523860579745
"RT4_ZT10","RawEVS","Treatment",0.824151567234399
"RT8_ZT14","NormEVS","Control",0.815454079133203
"RT8_ZT14","NormEVS","Treatment",0.800472802144687
"RT8_ZT14","RawEVS","Control",0.803362000464594
"RT8_ZT14","RawEVS","Treatment",0.823576555066366
