"feature_id","ctrl_abs_loading","trt_abs_loading","rank_ctrl","rank_trt","mu_ctrl","mu_trt","alpha_gene_wise","alpha_mu_ctrl","alpha_mu_trt","log_alpha_mu_ctrl","log_alpha_mu_trt","gene_symbol"
"20",0.0114142662330536,0.0110269056870457,1762,674,2.6,8.4,6.73825447973944,17.5194616473226,56.6013376298113,2.86331235714359,4.03603261796542,"-"
"25",0.00272186839759801,0.000538903453766287,17783,30489,20.4,10.6,0.51038024903841,10.4117570803836,5.41003063980714,2.34293565612481,1.68825475639266,"-"
"31",0.00188063790514546,0.00220468632651933,21416,26654,24.8,45.6,0.121237963009807,3.00670148264322,5.52845111324721,1.10084362493247,1.70990768828187,"Pcmt1"
"35",0.00327474190296536,0.00430970722932612,15684,18031,111.2,179.6,0.0439380949183776,4.88591615492358,7.89128184734061,1.58635681241888,2.0657585864705,"Pcmt1"
"37",0.00134804516282786,0.00352102376974599,24088,21819,97.8,167,0.0866216697084476,8.47159929748618,14.4658188413107,2.13671930990555,2.67178854528153,"Pcmt1"
"38",0.00406503195239563,0.00427729827167273,12745,18172,37.4,55.8,0.142147656034943,5.31632233570687,7.93183920674982,1.67078177402159,2.07088493898837,"Pcmt1"
"89",0.00484690389431006,0.0039962699715173,10366,19648,42,73.2,0.050859395167813,2.13609459704815,3.72290772628391,0.758979207124867,1.31450500980876,"Tab2"
"90",0.000178629708522703,0.00446951470791583,29235,17168,12.8,31,1e-08,1.28e-07,3.1e-07,-15.8712355730268,-14.9866935394672,"Tab2"
"143",0.000502519618453187,0.00513189204972517,27889,13838,8.2,32.6,0.125986908477666,1.03309264951686,4.10717321637192,0.0325568758705648,1.41273500997302,"Ust"
"214",0,0.000618744339082173,29910,30338,0,3.8,7.09877307924037,0,26.9753377011134,NA,3.29492303010618,"LOC365036"
"224",0.000724965789953439,0.00395643241160734,26961,19821,41.2,55.6,0.048499634344592,1.99818493499719,2.69657966955931,0.692239236001598,0.991984180902654,"Sash1"
"304",0.00731891132812865,0.00230639348549688,5878,26281,1.4,6.4,0.0926003235521853,0.129640452973059,0.592642070733986,-2.04299040663082,-0.523164652886407,"Sash1"
"576",0.00955577953491304,0.00797906647154662,3247,4233,2.6,3.6,2.73905264152279,7.12153686795926,9.86058950948206,1.96312355437261,2.28854595480724,"-"
"615",0.00745379331418747,0.00622752398338399,5694,9145,2.8,3.6,3.33371117634338,9.33439129376147,12.0013602348362,2.23370556798615,2.48501999626706,"-"
"672",0,0.00815672951498686,29911,3906,0,3.6,2.91645480308861,0,10.499237291119,NA,2.35130261558409,"-"
"673",0.00696102832323499,0.00583677474401406,6416,10723,0.8,5.6,1.22676121442641,0.981408971541126,6.86986280078788,-0.0187660137937079,1.92714413526161,"-"
"708",0.00471396924317502,0.0058989351545902,10965,10451,11.6,10.2,0.227427983060213,2.63816460349847,2.31976542721417,0.970083449429046,0.841466071606953,"-"
"774",0.0078886998126374,0.0109950408081773,5158,690,2.4,10.2,4.1809904645625,10.03437711495,42.6461027385375,2.3060169090662,3.75293589200252,"-"
"829",0.00371877223053324,0.00469603890416161,14056,16032,3.4,4.2,1.42730874460323,4.85284973165097,5.99469672733355,1.57956610593193,1.79087519959914,"-"
"833",0.0080652709067978,0.00327203298215269,4963,22789,7.4,5.8,2.04931689442429,15.1649450187398,11.8860379876609,2.71898651559752,2.47536443293977,"Stxbp5"
"842",0.00594034104870723,0.00450716289393679,8278,16994,36.8,41.6,0.0928705078806379,3.41763469000748,3.86341312783454,1.2289487006923,1.35155102278463,"Stxbp5"
"845",0.00154607304831786,0.00629709770896365,22968,8866,2.2,5.4,0.666592459236143,1.46650341031951,3.59959927987517,0.382880934914774,1.28082252812073,"Stxbp5"
"926",0.00132300789032415,0.00227795709080313,24179,26467,0.8,5.8,0.412203923228521,0.329763138582817,2.39078275472542,-1.10938064410624,0.871620824760343,"-"
"964",0.0141611938666351,0.00650465791133596,598,8137,5.6,9.8,2.88785672771665,16.1719976752132,28.3009959316232,2.7832812080247,3.34289699596012,"-"
"969",0.00696102832323499,0.0103981586169965,6417,1117,0.8,6.6,3.45198409551875,2.761587276415,22.7830950304238,1.01580561457271,3.1260188149193,"LOC120098778"
"984",0.00373925964032525,0.0074871719155548,13719,5330,8.6,31.6,0.154950408926223,1.33257351676552,4.89643292206865,0.287112047592615,1.58850696492602,"Grm1"
"986",0,0.00922522029391748,29912,2223,0,5.4,4.63172887136107,0,25.0113359053498,NA,3.21932915831106,"Grm1"
"1106",0.0165993463917009,0.0039553228750352,218,19825,8.4,14.4,0.874639446647172,7.34697135183625,12.5948080317193,1.99428816732963,2.53328466806232,"-"
"1110",0,0.00213320330473268,29913,26816,0,0.6,1e-08,0,6e-09,NA,-18.9315063677184,"Epm2a"
"1132",0.00132300789032415,0.0028280034082496,24180,24477,0.8,4.2,4.43891918531176,3.55113534824941,18.6434605783094,1.26726736876524,2.92549544536878,"-"
"1137",0.0041294248548684,0.00469384706957148,12580,16041,55.2,127.6,0.0580670443073934,3.20530084576812,7.4093548536234,1.1648059536017,2.00274337122934,"Utrn"
"1138",0.00430253892508996,0.00973887191428664,12118,1682,3.2,11.4,2.42115273532454,7.74768875303854,27.6011411826998,2.04739457347283,3.3178571190676,"Utrn"
"1272",0.0142926662266238,0.00821793217625792,570,3788,10.6,8.4,3.23917078369076,34.335210307122,27.2090345830024,3.5361713672067,3.30354907193795,"-"
"1282",0.00212990766211883,0.0137725698724989,20375,53,7.8,15.8,0.846415088380291,6.60203768936627,13.3733583964086,1.88737834219481,2.59326454853219,"Ltv1"
"1293",0.000120033749325268,0.00275892998808507,29474,24744,6.6,18.6,0.143618697108596,0.947883400916733,2.67130776621988,-0.0535237791051709,0.982568152581605,"Phactr2"
"1295",0.00588436172551255,0.00418875156728432,8378,18653,15.6,26.6,0.0952415618134963,1.48576836429054,2.533425544239,0.395932055471296,0.929572357003458,"Phactr2"
"1345",0.00401048355378363,0.00674801565789784,12871,7379,1.6,5.8,0.977553487550767,1.56408558008123,5.66981022779445,0.447301359348117,1.73515564765476,"Pex3"
"1346",0.00135706780658156,0.00192766119848441,24060,27587,8.4,15.6,0.0583264282958739,0.489941997685341,0.909892281415633,-0.713468266954724,-0.0944290585485009,"Pex3"
"1367",0.00190477076743882,0.00456039705878838,21316,16705,198.6,444,0.0782929684216509,15.5489835285399,34.762077979213,2.74399526854911,3.54852707937026,"Aig1"
"1369",0.00102755742763621,0.00412749075927841,25806,18974,8.8,15,0.16054084006227,1.41275939254798,2.40811260093405,0.345544807920493,0.878843287538542,"Aig1"
"1473",0,0.00917231160518601,29914,2303,0,5,4.11186364103808,0,20.5593182051904,NA,3.02331427881097,"Adgrg6"
"1501",0.00123369007272781,0.00316011257253149,24660,23267,18.4,18.4,0.0496055958735342,0.91274296407303,0.91274296407303,-0.0913009669690845,-0.0913009669690845,"Vta1"
"1540",0.000378873831943296,0.0088962748642948,28445,2682,49,54,0.437746129938553,21.4495603669891,23.6382910166818,3.06570414945252,3.16286789790617,"-"
"1576",0,0.00542798497412446,29915,12471,0,2.2,10,0,22,NA,3.09104245335832,"-"
"1579",0,0.00647673745003978,29916,8247,0,4.6,10,0,46,NA,3.8286413964891,"-"
"1634",0.00416470867511656,0.00579181426649905,12485,10891,136.6,226.2,0.0677163637906674,9.25005529380516,15.317441489449,2.22462952921513,2.72899214576046,"Heca"
"1655",0.00143993026153315,0.00166502140522322,23472,28301,42.4,76.4,0.280391267936446,11.8885897605053,21.4218928703445,2.47557909647783,3.0644134304124,"Abracl"
"1656",0.000408786874025556,0.00226198827362293,28296,26501,5,9.4,1.25572409811115,6.27862049055574,11.8038065222448,1.8371502892408,2.46842206608265,"Abracl"
"1683",0.00169916521084681,0.00970451799443212,22197,1717,43.2,100.2,0.377099066618093,16.2906796779016,37.7853264751329,2.79059314537164,3.63192083877234,"Ccdc28a"
"1693",0.00178584716838411,0.00176663186550802,21833,28061,22.8,34.2,0.157584134358305,3.59291826336937,5.38937739505405,1.27896475901912,1.68442986712728,"LOC102549339"
"1713",0.00461576401571053,0.00509683229461785,11194,14008,4.2,17.2,0.366294089117039,1.53843517429156,6.30025833281307,0.430765779235135,1.84059063776522,"Hebp2"
"1741",0.0032864879913653,0.00373592867629975,15642,20880,73.2,186.6,0.0100187236043729,0.733370567840098,1.86949382457599,-0.310104155265405,0.625667712180572,"-"
"1742",0.00223319630849412,0.00671337223635534,19936,7498,2.8,9,0.0214985897502931,0.0601960513008206,0.193487307752638,-2.8101485218283,-1.64254336167324,"-"
"1866",0.0106491765115746,0.00380484772217646,2272,20562,2.2,13.2,1e-08,2.2e-08,1.32e-07,-17.6322233835881,-15.84046391436,"Tnfaip3"
"1895",0.00774959277233484,0.00772029211558608,5300,4804,1,3.4,3.35792314964599,3.35792314964599,11.4169387087964,1.21132267264183,2.43509810426394,"-"
"1910",0.00165318068644096,0.00396525929296573,22502,19782,11,11.2,1e-08,1.1e-07,1.12e-07,-16.022785471154,-16.0047669656513,"Slc35d3"
"1918",0.00192692321858903,0.00906864088230725,21233,2443,6.4,12.4,0.551625308979778,3.53040197747058,6.84015383134925,1.26141173909954,1.9228102213449,"Pex7"
"1922",0.00395870549898164,0.0029128365639941,13025,24222,360.6,190.2,0.14462444934454,52.1515764336412,27.5075702653315,3.9541544098229,3.31446124916498,"LOC102547604"
