"percentile","rank_index","lo_rank","hi_rank","n_bin","iod_emp","cv2_emp","iod_nb","cv2_nb","iod_emp_scaled","cv2_emp_scaled","iod_nb_scaled","cv2_nb_scaled"
0.01,316,1,316,316,17.0541502645165,1.22816036059867,29.7611880754633,2.34908217278993,0.586613284020676,0.483836942062108,1,0.500367150314588
0.02,632,317,632,316,13.0280124454389,1.29658763139025,22.8866221299149,2.51921611920059,0.404322072976067,0.517655651932005,0.707268363327228,0.546141798102124
0.03,947,633,947,315,10.4151537194297,1.18224016996856,18.6046618904883,2.30826809352592,0.286019818344898,0.461141873471399,0.524934636516917,0.489386096018856
0.04,1263,948,1263,316,10.6497242284874,1.25803723386598,16.389205287019,2.59461223692068,0.296640453825598,0.498602945399057,0.430596427727019,0.566427172102994
0.05,1579,1264,1579,316,8.91243952575154,1.26267269144278,14.8982047659677,2.65665415869683,0.217981514012267,0.500893920811206,0.36710688871257,0.5831195910898
0.06,1895,1580,1895,316,8.45099629292585,1.21846335767802,13.4288406338062,2.44872449717178,0.19708877523379,0.479044406504468,0.304538666852039,0.527175981823741
0.07,2211,1896,2211,316,8.65423987143832,1.0909434764771,13.0168664645664,2.22770550764289,0.206291023077498,0.416020442300009,0.286996050520524,0.467710680433377
0.08,2526,2212,2526,315,7.75507298730879,1.18515592435565,12.316567649621,2.39337890750635,0.165579495652257,0.462582922493639,0.257176041536287,0.512285215301383
0.09,2842,2527,2842,316,9.05729440809245,1.11773466087135,12.9699705305856,2.39984920165359,0.224540100209324,0.429261410142487,0.284999135571095,0.514026052106265
0.1,3158,2843,3158,316,7.50703829448651,1.14912507885141,11.7949803613574,2.64857597442816,0.154349243095723,0.44477545046708,0.23496589739475,0.580946150412835
0.11,3474,3159,3474,316,9.12048454143569,1.11611722630675,12.0350577293042,2.23176986373174,0.227401156251327,0.428462027825455,0.245188832399494,0.468804198055082
0.12,3790,3475,3790,316,9.55744329638546,1.12319551295426,12.7298627305233,2.56124777777537,0.247185312729752,0.431960319073065,0.274774904711011,0.557450442895104
0.13,4105,3791,4105,315,9.07094931831773,1.08463562124321,12.4350150504595,2.14566789607292,0.225158352796177,0.412902920242086,0.26221974928187,0.445638408237434
0.14,4421,4106,4421,316,10.2280580230515,1.04051893134428,12.5245468978393,2.13010175875754,0.277548697234139,0.391099193177529,0.266032179684813,0.441450328973675
0.15,4737,4422,4737,316,9.91825096700393,1.10516478375625,12.9719351351725,2.2070811727393,0.263521580931891,0.42304901817744,0.285082792040562,0.462161689852829
0.16,5053,4738,5053,316,7.82587455864423,1.15444417018345,10.4309954756418,2.2513945546536,0.168785174335545,0.447404297189282,0.176884917278326,0.474084233778929
0.17,5369,5054,5369,316,11.3061701180194,0.883320110774569,12.8572477926283,1.86829388893791,0.326362316703968,0.313407050217024,0.280199194478982,0.371010753087557
0.18,5684,5370,5684,315,9.56552835585616,1.41951466355115,12.3578636701281,2.79741129515415,0.247551379503547,0.578409699079068,0.258934501891001,0.620990389251172
0.19,6000,5685,6000,316,10.2791129573907,0.798109921867433,11.4142021030364,1.63303708947356,0.279860308567062,0.271293743296065,0.218751660212274,0.307714759769973
0.2,6316,6001,6316,316,21.6586839667387,0.941609099680166,19.1887499683605,1.92017635459309,0.795092492282382,0.342215131872247,0.549806179004234,0.384969763865937
0.21,6632,6317,6632,316,10.3572312012435,1.12963347337623,11.8106046731768,2.18264286905202,0.283397263812144,0.435142142827627,0.235631209271458,0.455586548516193
0.22,6948,6633,6948,316,13.681455593722,0.822057103959086,14.5015561638634,1.80040383433241,0.433907980911186,0.283129124043982,0.35021686316075,0.352744890198898
0.23,7263,6949,7263,315,13.1955819777681,1.17549569574533,14.3461506751348,2.06721992017885,0.411909109077444,0.457808561849559,0.343599412193843,0.42453192983054
