"percentile","rank_index","lo_rank","hi_rank","n_bin","iod_emp","cv2_emp","iod_nb","cv2_nb","iod_emp_scaled","cv2_emp_scaled","iod_nb_scaled","cv2_nb_scaled"
0.01,318,1,318,318,17.2655313576626,1.24215224027766,30.0467621320463,2.37356689393948,0.600290511139591,0.3682351708621,1,0.393099871500491
0.02,635,319,635,317,12.7339962297856,1.27955118557164,22.4662155865041,2.49046805020426,0.39883597268599,0.3817989569154,0.683162059737814,0.417825293470549
0.03,953,636,953,318,10.3556972649784,1.19068230426655,18.5135379751242,2.3349177446199,0.293105992284322,0.349568141758903,0.517955207515986,0.384925302862815
0.04,1270,954,1270,317,10.6246133706552,1.25654958143587,16.5235401933288,2.63780705654185,0.30506096304436,0.373456774136503,0.434780888286833,0.448988536168459
0.05,1588,1271,1588,318,9.03028179777947,1.26575750405796,14.8827041125867,2.60007224446124,0.234183143035902,0.376796287897111,0.366200196775093,0.441007356328454
0.06,1905,1589,1905,317,8.33917055844257,1.20153236887884,13.2885179340915,2.432908280441,0.203459008319564,0.353503224791558,0.299569293296782,0.405650994760684
0.07,2223,1906,2223,318,8.91537654677476,1.09276846302862,13.2356002561757,2.20846977089295,0.229074899658366,0.314056915873564,0.297357536140018,0.358180661427653
0.08,2541,2224,2541,318,7.38585439409172,1.20579979880716,11.9469262130963,2.43106808933539,0.161078255998302,0.355050929040707,0.243495874975399,0.405261781317076
0.09,2858,2542,2858,317,9.24935524256743,1.09788455763491,13.0039066863919,2.34569608749668,0.243922301723142,0.315912412388844,0.287673628392565,0.387204998669781
0.1,3176,2859,3176,318,7.28480918420033,1.16877338605447,11.706424271905,2.7194225532207,0.156586176482821,0.341622252457695,0.233443810890265,0.466250791386102
0.11,3493,3177,3493,317,10.9719580289401,1.08800502130556,13.534315561213,2.20909412390614,0.320502564145199,0.312329318907898,0.309842696860845,0.358312716509079
0.12,3811,3494,3811,318,7.87373814742125,1.11573502273279,11.5544130359075,2.51948070172958,0.18276768211383,0.32238638879744,0.227090320858802,0.42396167461813
0.13,4128,3812,4128,317,9.05775852376013,1.07971623460216,12.3207383203701,2.11045020510008,0.235404652081832,0.309323155803496,0.259119795678497,0.33744882948528
0.14,4446,4129,4446,318,10.3514322778154,1.12064313913723,12.4867443866087,2.23536976751472,0.292916387438242,0.324166456131189,0.266058216250428,0.363870201109877
0.15,4764,4447,4764,318,9.99147615845348,1.0186206543473,12.7937118186542,2.07660462696688,0.276914129518291,0.287165114370376,0.278888284414055,0.330290250152939
0.16,5081,4765,5081,317,7.30578154315987,1.17812412275882,10.2585723366984,2.37785435873122,0.157518526508861,0.345013561787452,0.172929120795098,0.394006700650389
0.17,5399,5082,5399,318,11.4076308428574,0.852482870173525,12.8321601320708,1.73825341264619,0.339870893677627,0.226910544563967,0.280495277307811,0.258726573492534
0.18,5716,5400,5716,317,10.3542616879998,1.41013648289678,12.9750848855175,2.80075435419971,0.293042172080028,0.429159411086007,0.286468987016271,0.483453042955247
0.19,6034,5717,6034,318,9.55629888983037,0.827807848817029,10.9946578259901,1.73133050817213,0.257567830014476,0.217961449665455,0.203694687483851,0.257262330196327
0.2,6351,6035,6351,317,21.7933068082557,0.90908701264683,19.1744207715174,1.78333603500607,0.801577908871427,0.24743963895963,0.545577588396566,0.26826186721401
0.21,6669,6352,6669,318,10.3586865205429,1.14140910768243,11.9196952069194,2.25899910944379,0.293238883033942,0.331697822385572,0.242357722751605,0.368867974175077
0.22,6987,6670,6987,318,13.3961930385716,0.81036168121967,14.178189774122,1.73746718291313,0.428274683567602,0.211634103188691,0.336754183807126,0.258560280339101
0.23,7304,6988,7304,317,14.0649487240529,1.17440685400793,15.0199226165164,2.11083693098776,0.458004976758546,0.343665389061099,0.371935407012212,0.337530624747749
0.24,7622,7305,7622,318,26.2566298140219,0.902973782033612,25.6348790727215,1.81693254407949,1,0.245222502848428,0.815600111047912,0.275367766677311
0.25,7939,7623,7939,317,9.75418769672449,1.09514609904159,11.206952168591,2.09909011495375,0.266365201574667,0.314919232870447,0.212567781506146,0.335046090013227
0.26,8257,7940,8257,318,18.9370887723081,1.07970621782506,18.3811292837694,2.06949620869431,0.674601493613172,0.309319522935764,0.512421029104227,0.328786769375291
0.27,8574,8258,8574,317,13.9757226604863,1.35037638932213,15.3254299127134,2.56763500203352,0.454038330810408,0.407485721697175,0.38470444706501,0.434146649965944
0.28,8892,8575,8892,318,18.0110107999167,0.687880527881315,17.6931241161929,1.46757905205888,0.633431646037138,0.167212846215166,0.483665036528354,0.201477030409848
0.29,9210,8893,9210,318,13.0285740729001,0.867874321969699,13.6569215263917,1.7502835508294,0.411931765115847,0.232492690198608,0.314967158697165,0.26127103286695
0.3,9527,9211,9527,317,14.3152747680404,1.91529361106295,13.4739162481154,3.75445772783364,0.469133505222155,0.612368941619146,0.307318235881662,0.685168056739671
