"percentile","rank_index","lo_rank","hi_rank","n_bin","diff_emp","diff_nb"
0.01,316,1,316,316,19.9208976431943,46.491222344599
0.02,632,317,632,316,13.5850419172446,27.4375045793239
0.03,947,633,947,315,10.8788224328496,21.2120932722101
0.04,1263,948,1263,316,10.1210617452979,20.0605370378624
0.05,1579,1264,1579,316,8.48164070863469,16.1076619997913
0.06,1895,1580,1895,316,8.9916339987158,17.0393952274421
0.07,2211,1896,2211,316,7.88996921835747,15.7204567370439
0.08,2526,2212,2526,315,7.4933875653157,14.4223469781096
0.09,2842,2527,2842,316,7.46667078362244,13.8986546683491
0.1,3158,2843,3158,316,6.16965139298271,12.2933206265025
0.11,3474,3159,3474,316,6.54990239040822,12.7478698200085
0.12,3790,3475,3790,316,6.36215639248862,12.4208550907749
0.13,4105,3791,4105,315,6.4973183579493,11.7916224125593
0.14,4421,4106,4421,316,5.73727710987809,10.5745183913485
0.15,4737,4422,4737,316,5.77581660837305,10.0988998048246
0.16,5053,4738,5053,316,5.64507274644795,11.0009400624031
0.17,5369,5054,5369,316,5.81797609890944,10.1512639003713
0.18,5684,5370,5684,315,5.21702658692048,10.278274319144
0.19,6000,5685,6000,316,5.85185173989174,11.4463885209084
0.2,6316,6001,6316,316,5.38896108439779,9.70177257336161
0.21,6632,6317,6632,316,5.34864025315946,10.0047153142527
0.22,6948,6633,6948,316,5.1246984144568,9.53595079489145
0.23,7263,6949,7263,315,5.01066432048594,9.85984675422704
0.24,7579,7264,7579,316,6.62704152114498,11.6857699330805
0.25,7895,7580,7895,316,5.26107460783162,9.51753528014106
0.26,8211,7896,8211,316,5.7000490994866,11.0868633129583
0.27,8527,8212,8527,316,5.35879768052532,9.64983270181622
0.28,8842,8528,8842,315,5.56155522229349,10.4735879345268
0.29,9158,8843,9158,316,5.05823268054641,8.90986434538014
0.3,9474,9159,9474,316,4.72833330795525,9.09251818301312
0.31,9790,9475,9790,316,5.26177557637867,9.500899612072
0.32,10106,9791,10106,316,4.95756963523808,9.42798633123846
0.33,10421,10107,10421,315,6.24397719208408,10.0609042543732
0.34,10737,10422,10737,316,5.74804951211554,9.81535784569477
0.35,11053,10738,11053,316,5.24593475884719,9.19428806737722
0.36,11369,11054,11369,316,5.82279314446954,10.1270858276781
0.37,11685,11370,11685,316,5.06392077462354,8.12496232261586
0.38,12000,11686,12000,315,5.59306796914491,9.84935893598379
0.39,12316,12001,12316,316,6.38296667246785,10.3358542762087
0.4,12632,12317,12632,316,6.26647183446154,9.46581555809068
0.41,12948,12633,12948,316,6.11548136652207,9.28398256164172
0.42,13264,12949,13264,316,8.03901628275517,10.9315958084789
0.43,13579,13265,13579,315,6.93658230592876,10.5183636998655
0.44,13895,13580,13895,316,6.11443412552764,9.37685210528929
0.45,14211,13896,14211,316,6.66256196143071,10.8137561921843
0.46,14527,14212,14527,316,7.36154986388853,10.0527145218088
0.47,14843,14528,14843,316,6.5416019033522,9.34534662900509
0.48,15158,14844,15158,315,5.0691049657204,7.3157730856051
0.49,15474,15159,15474,316,6.37182639217007,9.38765955167496
0.5,15790,15475,15790,316,6.88027786318066,9.70561663770628
0.51,16106,15791,16106,316,5.81488914461381,8.75432635247203
0.52,16422,16107,16422,316,7.27441692951528,9.92042574945847
0.53,16737,16423,16737,315,7.15630674400794,10.1079917541772
0.54,17053,16738,17053,316,6.5692428123569,9.25353581730221
0.55,17369,17054,17369,316,6.70929812718311,8.80234919217139
0.56,17685,17370,17685,316,7.0724194179528,9.21333592702283
0.57,18001,17686,18001,316,7.4347565592422,9.94772789030909
0.58,18316,18002,18316,315,7.97694730745762,9.68649432370384
0.59,18632,18317,18632,316,7.28310331860249,8.40665264217578
0.6,18948,18633,18948,316,7.86344153783164,9.35287951770349
