"rank","total","lead_n","rem_n"
9075,0.720491852281318,9075,22583
9076,0.720558158943753,9076,22582
9077,0.720383888781522,9077,22581
9078,0.720271793726098,9078,22580
9079,0.720221932010841,9079,22579
9080,0.719854246469775,9080,22578
9081,0.719930966403901,9081,22577
9082,0.719892659399978,9082,22576
9083,0.719863728147785,9083,22575
9084,0.719833128065835,9084,22574
9085,0.719887514342834,9085,22573
9086,0.719808083530698,9086,22572
9087,0.719757326831359,9087,22571
9088,0.719821591363253,9088,22570
9089,0.719978654919142,9089,22569
9090,0.719951737224421,9090,22568
9091,0.719738252265153,9091,22567
9092,0.719865785120282,9092,22566
9093,0.719817735909573,9093,22565
9094,0.719887332556031,9094,22564
9095,0.719892673361982,9095,22563
9096,0.719948773818329,9096,22562
9097,0.719922074585663,9097,22561
9098,0.719916611300195,9098,22560
9099,0.720000953761324,9099,22559
9100,0.719969718473903,9100,22558
9101,0.719942300470888,9101,22557
9102,0.719899448807086,9102,22556
9103,0.719856057273432,9103,22555
9104,0.719835040259918,9104,22554
9105,0.719728574929922,9105,22553
9106,0.719957770196495,9106,22552
9107,0.719999057765368,9107,22551
9108,0.719964433077687,9108,22550
9109,0.719962986666917,9109,22549
9110,0.719826046840927,9110,22548
9111,0.720099260087681,9111,22547
9112,0.720024896573275,9112,22546
9113,0.719907361274806,9113,22545
9114,0.719933359743931,9114,22544
9115,0.71987208742302,9115,22543
9116,0.719881852901376,9116,22542
9117,0.717740191888362,9117,22541
9118,0.717010201425972,9118,22540
9119,0.71727216794088,9119,22539
9120,0.717304540775633,9120,22538
9121,0.717266487483506,9121,22537
9122,0.717554153445934,9122,22536
9123,0.718598997050969,9123,22535
9124,0.718571909573626,9124,22534
9125,0.718535708244274,9125,22533
9126,0.718289409993644,9126,22532
9127,0.71826096588051,9127,22531
9128,0.718230710142037,9128,22530
9129,0.718164587784227,9129,22529
9130,0.718068415710824,9130,22528
9131,0.717891441902585,9131,22527
9132,0.717881251590001,9132,22526
9133,0.717788171870107,9133,22525
9134,0.717760905802593,9134,22524
9135,0.717747634981873,9135,22523
9136,0.718602686297411,9136,22522
9137,0.718599939341959,9137,22521
9138,0.71865920265884,9138,22520
9139,0.718622589453871,9139,22519
9140,0.718645017583203,9140,22518
9141,0.71862824647204,9141,22517
9142,0.718655539193785,9142,22516
9143,0.71870646889238,9143,22515
9144,0.719381869372777,9144,22514
9145,0.719322196239656,9145,22513
9146,0.719259432636578,9146,22512
9147,0.719292474279896,9147,22511
9148,0.719311415083333,9148,22510
9149,0.719732683305116,9149,22509
9150,0.720055427710615,9150,22508
9151,0.719679909599893,9151,22507
9152,0.719543824781771,9152,22506
9153,0.719583739323595,9153,22505
9154,0.719746992040484,9154,22504
9155,0.719743185148161,9155,22503
9156,0.719716685268702,9156,22502
9157,0.719723102044504,9157,22501
9158,0.719460921973554,9158,22500
9159,0.719441938095055,9159,22499
9160,0.719424849303445,9160,22498
9161,0.719950066590309,9161,22497
9162,0.719919901343336,9162,22496
9163,0.719883791506457,9163,22495
9164,0.719877593459988,9164,22494
9165,0.71979170525085,9165,22493
9166,0.719760566330958,9166,22492
9167,0.719853895716606,9167,22491
9168,0.719915167891702,9168,22490
9169,0.719982051085075,9169,22489
9170,0.719995251102824,9170,22488
9171,0.719999914130805,9171,22487
9172,0.719928940060528,9172,22486
9173,0.719910330058785,9173,22485
9174,0.719904052173854,9174,22484
9175,0.719857722080457,9175,22483
