"Comparison","Analysis","Human_TWAS","Rat_Ortholog","Ortholog_mapping_source","TWAS_Disorders","TWAS_n","TWAS_PAS_n","TWAS_APA","WTTS_PAS_n","WTTS_APA","Std","Strong","Weak","HBFSS","Ovlp","Std_PAS_n","Strong_PAS_n","Weak_PAS_n","HBFSS_PAS_n","Std_PAS_IDs","Strong_PAS_IDs","Weak_PAS_IDs","HBFSS_PAS_IDs","WTTS_DE_PAS_n","WTTS_DE_APA","WTTS_DE_PAS_IDs","Methods"
"RT4_ZT10","NormEVS Rem","ATG14","Atg14","babelgene","PD(1)",1,1,FALSE,2,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,1,0,0,1,"175612",NA,NA,"175612",1,FALSE,"175612","Std+HBFSS"
"RT4_ZT10","NormEVS Rem","CYP2D7","Cyp2d4","babelgene","SCZ(6)",6,3,TRUE,2,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,1,0,0,1,"482314",NA,NA,"482314",1,FALSE,"482314","Std+HBFSS"
"RT4_ZT10","NormEVS Rem","DDHD2","Ddhd2","babelgene","SCZ(18)",18,5,TRUE,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,NA,NA,NA,"210841",1,FALSE,"210841","HBFSS"
"RT4_ZT10","NormEVS Rem","F11R","F11r","babelgene","AD(1)",1,1,FALSE,1,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,1,0,0,1,"149735",NA,NA,"149735",1,FALSE,"149735","Std+HBFSS"
"RT4_ZT10","NormEVS Rem","GATAD2A","Gatad2a","babelgene","SCZ(1)",1,1,FALSE,3,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,1,0,0,1,"205543",NA,NA,"205543",1,FALSE,"205543","Std+HBFSS"
"RT4_ZT10","NormEVS Rem","INA","Ina","babelgene","SCZ(1)",1,1,FALSE,3,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,1,0,0,1,"61328",NA,NA,"61328",1,FALSE,"61328","Std+HBFSS"
"RT4_ZT10","NormEVS Rem","TMA7","LOC100910678","babelgene","DEP(20)",20,2,TRUE,2,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,1,0,0,1,"369633",NA,NA,"369633",1,FALSE,"369633","Std+HBFSS"
"RT4_ZT10","NormEVS Rem","MAP1A","Map1a","babelgene","SCZ(1)",1,1,FALSE,11,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,1,0,0,1,"351502",NA,NA,"351502",1,FALSE,"351502","Std+HBFSS"
"RT4_ZT10","NormEVS Rem","MAPT","Mapt","babelgene","AD(1), ANX(2), ASD(1), DEP(2), MDD(2), PD(2), PTSD(2), SCZ(2)",14,2,TRUE,9,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,NA,NA,NA,"95459",1,FALSE,"95459","HBFSS"
"RT4_ZT10","NormEVS Rem","MARK3","Mark3","babelgene","SCZ(1)",1,1,FALSE,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,2,2,0,2,"467700; 467701","467700; 467701",NA,"467700; 467701",2,TRUE,"467700; 467701","Std+Str+HBFSS"
