"Comparison","Analysis","PAS","Gene","Direction","Apeglm_LFC","Std_p","Std_BH","Strong_p","Strong_BH","Weak_p","Weak_BH","EmpP","HBFSS","HCp","Htau","Std","Strong","Weak","HBFSS_sig","Ovlp","Support"
"RT8_ZT14","NormEVS Lead","242751","Egr1","downregulated",-0.984153748824076,9.12343590392855e-08,0.000618204016850199,0.746441484366897,1,0.626779257816552,0.639231825852642,1.8574402060878e-07,6.62442269186298,0.00640454317939287,2.19351184199177,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS"
"RT8_ZT14","NormEVS Lead","9850","Aplp1","downregulated",-0.709027339158589,4.92775858052943e-05,0.0667246251201521,1,1,0.192839304482253,0.223096999687852,7.49359633114288e-05,2.9249573636306,0.00640454317939287,2.19351184199177,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS"
"RT8_ZT14","NormEVS Lead","497156","LOC100362980","upregulated",1.02324204267009,5.90831981583401e-05,0.0667246251201521,0.51216252252249,1,0.743918738738755,0.751235972234546,8.91024389986228e-05,4.14424324678774,0.00640454317939287,2.19351184199177,TRUE,FALSE,FALSE,TRUE,TRUE,"Std+HBFSS"
"RT8_ZT14","NormEVS Lead","53349","Ypel3","downregulated",-1.41232899881787,0.000126501724079509,0.122453668908965,0.118044470649047,1,0.940977764675477,0.942229249806566,0.000184242958902736,5.27449673161805,0.00640454317939287,2.19351184199177,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS"
"RT8_ZT14","NormEVS Lead","137128","Ier5","downregulated",-0.761010593034277,0.000168113524913616,0.133063373628283,1,1,0.363525288491233,0.388770100192013,0.000241691130980826,2.75237690891136,0.00640454317939287,2.19351184199177,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS"
"RT8_ZT14","NormEVS Lead","504357","Ntm","upregulated",1.34579440873501,0.000272580015919488,0.167909289806405,0.151445935421568,1,0.924277032289216,0.925916790477784,0.000383349713331649,4.59777855475776,0.00640454317939287,2.19351184199177,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS"
"RT8_ZT14","NormEVS Lead","200983","Tm2d2","downregulated",-1.08638228281062,0.000436062983561365,0.246230231384317,0.353658840566204,1,0.823170579716898,0.827690139213786,0.000600326968918763,3.49990235759267,0.00640454317939287,2.19351184199177,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS"
"RT8_ZT14","NormEVS Lead","395216","LOC120102499","upregulated",1.43458700594302,0.0013185606171106,0.486729528552702,0.116128827612137,1,0.941935586193931,0.943048985231986,0.00172685630153313,3.963396356619,0.00640454317939287,2.19351184199177,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS"
"RT8_ZT14","NormEVS Lead","377869","Tpi1","upregulated",1.35382140570125,0.00171672519185236,0.486729528552702,0.140596487744295,1,0.929701756127853,0.931213466300418,0.00222186396424573,3.59207069082005,0.00640454317939287,2.19351184199177,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS"
"RT8_ZT14","NormEVS Lead","546860","-","upregulated",0.971084933425432,0.00211871707554837,0.505750371204861,0.386256120638907,1,0.806871939680547,0.811783854977785,0.00271645075219307,2.491802156342,0.00640454317939287,2.19351184199177,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS"
"RT8_ZT14","NormEVS Lead","372954","Gmcl1","downregulated",-1.08245043235647,0.0028433104013456,0.515232354466436,0.246275229810124,1,0.876862385094938,0.879067838645258,0.00359793706084255,2.6454508785677,0.00640454317939287,2.19351184199177,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS"
"RT8_ZT14","NormEVS Lead","211389","-","upregulated",1.05289166725618,0.00331378674224292,0.554900496487913,0.234734239231162,1,0.882632880384419,0.884591095619704,0.00416480520240392,2.50630891216111,0.00640454317939287,2.19351184199177,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS"
