"Comparison","Track","Dataset","PAS_n","PCA_PAS_n","PC1_explained_pct","PC2_explained_pct","PC1_eigenvalue","PC1_eigenvalue_retained_pct","Original_PC1_loading_energy_pct","Centroid_distance_PC1_PC2","Within_group_RMS_PC1_PC2","Separation_ratio"
"RT0_ZT6","NormEVS","Orig",31553,31553,48.7535080546419,22.1436492722726,224487096.898406,100,100,12373.0705657596,15985.3119945801,0.774027467837646
"RT0_ZT6","NormEVS","Lead",6722,6722,48.8638906594367,22.162037474537,224191219.060035,99.8681982873588,99.8681809763643,12356.880469096,15972.2247750462,0.773648044848548
"RT0_ZT6","NormEVS","Rem",24831,24831,25.340177008919,19.5166425278573,417015.538122542,0.185763700401572,0.131819023635689,745.424292164883,724.886965322629,1.0283317645712
"RT0_ZT6","RawEVS","Orig",31553,31553,67.1186795022097,20.8704931645696,729137892.431523,100,100,29241.9558028721,25426.4312171477,1.15006134966952
"RT0_ZT6","RawEVS","Lead",6629,6629,67.1975445282537,20.8677728632662,728339217.291888,99.8904630868968,99.8904540879213,29226.0087880888,25407.2514421907,1.15030186773988
"RT0_ZT6","RawEVS","Rem",24924,24924,35.909509923172,22.9035059878936,884634.479626807,0.121326087809911,0.109545912078655,930.57071634074,1042.82681955938,0.892354031260845
"RT2_ZT8","NormEVS","Orig",31534,31534,58.7742799575067,21.157111475728,242461611.168433,100,100,4343.75542490895,17089.4678097644,0.254177337367232
"RT2_ZT8","NormEVS","Lead",7107,7107,58.9368850767906,21.1880101638337,242345127.045289,99.9519577047341,99.9519563742096,4343.55508157729,17082.3154923637,0.254272032589434
"RT2_ZT8","NormEVS","Rem",24427,24427,30.5643968905778,14.8279774360971,408279.377417842,0.16838928663813,0.0480436257904352,150.014285007843,734.908395706956,0.204126508669879
"RT2_ZT8","RawEVS","Orig",31534,31534,73.2416429616086,16.3305368617651,717583670.656692,100,100,8169.75854652111,27805.3482298767,0.293819680982911
"RT2_ZT8","RawEVS","Lead",6717,6717,73.3309801763835,16.3357693103586,717282762.34035,99.9580664487437,99.9580644063845,8160.62154022906,27797.7372957106,0.293571431854934
"RT2_ZT8","RawEVS","Rem",24817,24817,27.1400092906704,16.3707815830359,435310.626006065,0.0606633963127525,0.0419355936154653,300.143029658456,778.189242297823,0.385694138834661
"RT4_ZT10","NormEVS","Orig",31658,31658,49.8420430615681,28.6328247191541,363355319.49563,100,100,16588.7125365987,21120.7701945576,0.785421761791306
"RT4_ZT10","NormEVS","Lead",7093,7093,49.9494657176145,28.6750045557779,363121214.307491,99.9355712781461,99.9355412331206,16564.2625021471,21114.6882242465,0.784490034909726
"RT4_ZT10","NormEVS","Rem",24565,24565,30.9886587823933,16.9432696634685,631090.359398303,0.173684084293664,0.0644587668794105,1440.58256951451,599.757966319669,2.40193986643386
"RT4_ZT10","RawEVS","Orig",31658,31658,74.4578857239029,10.6601808951697,1299559355.15232,100,100,43065.7418770309,29553.2015772388,1.45722762944909
"RT4_ZT10","RawEVS","Lead",6741,6741,74.5073399715617,10.6773176940158,1296219673.22127,99.7430142826642,99.7429811050227,42994.5758271428,29523.6224249328,1.45627711966787
"RT4_ZT10","RawEVS","Rem",24917,24917,62.4617664359039,13.6722517082482,3523366.25152494,0.271120071396199,0.2570188949773,2513.15389602234,1512.00213436831,1.66213647381675
"RT8_ZT14","NormEVS","Orig",31580,31580,52.7410361548838,20.6961786890075,237407052.773262,100,100,12047.0602475944,16162.5654538452,0.745368071795081
"RT8_ZT14","NormEVS","Lead",6787,6787,52.8906607347441,20.7119541296905,237251065.571758,99.934295464401,99.9342871745563,12026.1941882595,16155.0386066689,0.744423735595103
"RT8_ZT14","NormEVS","Rem",24793,24793,21.1770504367136,18.3812515157065,332127.268177214,0.139897810236672,0.06571282544367,853.089605697535,613.535532365735,1.3904485733827
"RT8_ZT14","RawEVS","Orig",31580,31580,67.8497289989949,16.0880138651267,806709288.8177,100,100,13556.7474207056,29193.2308399166,0.464379824728721
"RT8_ZT14","RawEVS","Lead",6556,6556,67.9473280641116,16.066557002548,805929174.553681,99.9032967297101,99.9032581096969,13547.3535662342,29171.2822541493,0.464407201857136
"RT8_ZT14","RawEVS","Rem",25024,25024,41.7895557539967,15.1957653908552,1193483.23632894,0.147944650306195,0.0967418903031195,801.603029809624,1141.96162252817,0.701952687372252
