"Comparison","Analysis","Std","Strong","Weak","HBFSS","Ovlp","TWAS_APA","WTTS_APA","WTTS_DE_APA"
"RT0_ZT6","Original (No EVS)",0,0,0,1,0,1,1,0
"RT0_ZT6","NormEVS Lead",0,0,0,1,0,1,1,0
"RT0_ZT6","NormEVS Rem",1,0,0,5,1,2,3,0
"RT0_ZT6","RawEVS Lead",0,0,0,1,0,1,1,0
"RT0_ZT6","RawEVS Rem",1,0,0,2,1,1,1,0
"RT2_ZT8","Original (No EVS)",0,0,0,1,0,0,1,0
"RT2_ZT8","NormEVS Lead",0,0,0,0,0,0,0,0
"RT2_ZT8","NormEVS Rem",0,0,0,1,0,1,1,0
"RT2_ZT8","RawEVS Lead",0,0,0,0,0,0,0,0
"RT2_ZT8","RawEVS Rem",0,0,0,0,0,0,0,0
"RT4_ZT10","Original (No EVS)",13,0,0,24,13,8,20,1
"RT4_ZT10","NormEVS Lead",2,0,0,3,2,1,3,0
"RT4_ZT10","NormEVS Rem",19,1,1,25,20,10,21,4
"RT4_ZT10","RawEVS Lead",3,0,0,4,3,2,4,0
"RT4_ZT10","RawEVS Rem",13,1,0,24,13,8,19,3
"RT8_ZT14","Original (No EVS)",0,0,0,1,0,0,1,0
"RT8_ZT14","NormEVS Lead",0,0,0,0,0,0,0,0
"RT8_ZT14","NormEVS Rem",1,0,0,3,1,1,1,0
"RT8_ZT14","RawEVS Lead",0,0,0,0,0,0,0,0
"RT8_ZT14","RawEVS Rem",1,0,0,1,1,0,1,0
