"percentile","center_rank_trt","iod_amplitude_trt","cv2_amplitude_trt","iod_center_trt","cv2_center_trt","local_fourier_score_trt","center_rank_ctrl","iod_amplitude_ctrl","cv2_amplitude_ctrl","iod_center_ctrl","cv2_center_ctrl","local_fourier_score_ctrl","combined_center_rank","combined_iod_amplitude","combined_cv2_amplitude","combined_center_distance","combined_center_agreement","combined_fourier_score"
0.01,309,0.664254583688548,0.0317901603970085,1082,1467,0.934834981352155,310,0.70263116735715,0.067950831420947,1086,1086,2.06911605212527,310,1.3668857510457,0.0997409918179556,192.5,0.00516795865633075,1.01989120311257
0.02,618,0.712883043931261,0.0339164665151961,1236.5,415.5,1.00801438601401,620,0.686911653654415,0.0306270127712144,1241,1241,1.96088670559241,619,1.39979469758568,0.0645434792864105,410.5,0.00243013365735115,0.994715364762479
0.03,927,0.702015528364491,0.0312070387214062,1391,426.5,0.985566694390377,930,0.707672787950259,0.0359241745448282,1396,947.5,1.00505392681832,928,1.40968831631475,0.0671312132662344,706.5,0.00141342756183746,1.00437654926615
0.04,1236,0.681806357152695,0.0581880988648042,1545.5,1973,1.02579289786631,1241,0.708878957330132,0.0330169174349266,1551.5,1022.5,0.999772525742062,1238,1.39068531448283,0.0912050162997309,50.75,0.0193236714975845,1.04020388461077
0.05,1545,0.66482885479849,0.0646697389214451,1700,2099.5,1.01805210282557,1551,0.709747436116992,0.0338321291533575,1706.5,1065.5,1.0025605979178,1548,1.37457629091548,0.0985018680748026,120.75,0.0082135523613963,1.02693626789913
0.06,1854,0.69613927467485,0.0664791079683004,1854.5,2162,1.06790422234585,1861,0.71417715222451,0.0343896167754874,1861.5,2802.5,1.00969886434756,1858,1.41031642689936,0.100868724743788,624.25,0.00159936025589764,1.04965898619265
0.07,2163,0.430460121889472,0.070623034053164,2163,2303,0.703978862489959,2171,0.469810510212899,0.0381874348260684,2171,3046,0.667944631800696,2167,0.90027063210237,0.108810468879232,507.5,0.00196656833824975,0.68655634811718
0.08,2472,0.327136526699419,0.100289921105302,2472,2472,1.62424677659007,2481,0.369768685337361,0.0382998162830303,2481,3038.5,0.525338133529634,2476,0.69690521203678,0.138589737388332,278.75,0.00357462019660411,0.57845135339547
0.09,2781,0.2774065124532,0.060252319680723,2781,3027,0.457055998293609,2791,0.314331718636206,0.044425061924695,2791,3193.5,0.46056058982765,2786,0.591738231089406,0.104677381605418,324.25,0.00307455803228286,0.455973207507469
0.1,3090,0.224711528558882,0.0961479893728271,3090,3090,1.46806105809287,3102,0.224793540298772,0.0771704021315699,3102,3594.5,0.406832004585474,3096,0.449505068857654,0.173318391504397,246.25,0.00404448938321537,0.443469143154809
0.11,3399,0.191850783966458,0.0894570869842321,3399,3694,0.407877603051693,3412,0.244635312749891,0.0652773319522226,3412,3485.5,0.419390897464531,3406,0.43648609671635,0.154734418936455,184.25,0.00539811066126856,0.410689686667096
0.12,3708,0.200143248977414,0.0960317265620384,3708,3745,0.459114169911551,3722,0.184637403330591,0.0944507135049723,3722,3722,1.38686834146938,3715,0.384780652308005,0.190482440067011,18.5,0.0512820512820513,0.465957968057008
0.13,4017,0.122817164084432,0.153663738106211,4017,4017,1.46732719534553,4032,0.17677928497149,0.0939523421601298,4032,4032,1.37445155807135,4024,0.299596449055922,0.247616080266341,0,1,1.42780683237222
0.14,4326,0.11682052621498,0.137992650253327,4326,4326,1.41947335749385,4342,0.150172764580223,0.0977241288203893,4342,4342,1.34494196308496,4334,0.266993290795203,0.235716779073716,0,1,1.38815825256401
0.15,4635,0.104239919988596,0.166834064366578,4340.5,4635,0.477311868049953,4652,0.152291639138438,0.101859453235754,4652,4652,1.35747445771008,4644,0.256531559127035,0.268693517602332,147.25,0.00674536256323777,0.430862266876817
