"comparison_name","dataset_name","n_features","hc_p_threshold","hbfss_threshold","n_standard_significant","n_HBFSS_significant","n_overlap_significant","n_strong_effect","n_weak_effect","evs_fixed_top_n","evs_cutoff_mode_main","evs_primary_preprocessing","shared_cutoff_rank","shared_cutoff_method","shared_cutoff_quantile","shared_selected_reason"
"RT0_ZT6","RT0_ZT6_raw_dataset",31553,0.000532546091058572,3.27364279873213,9,61,9,3,3469,5000,"matched_curvature_wave","normalized",27514,"terminal_crossing",0.128006845624822,"first_terminal_crossing"
"RT0_ZT6","RT0_ZT6_leading_edge_dataset",30724,0.000564793871903557,3.24811002408959,9,58,9,3,3487,5000,"matched_curvature_wave","normalized",27514,"terminal_crossing",0.128006845624822,"first_terminal_crossing"
"RT0_ZT6","RT0_ZT6_remainder_dataset",829,0.888427222836788,0.051378142439341,51,507,51,0,1,5000,"matched_curvature_wave","normalized",27514,"terminal_crossing",0.128006845624822,"first_terminal_crossing"
"RT2_ZT8","RT2_ZT8_raw_dataset",31534,0.0136775581992137,1.86399142858533,0,8,0,0,7704,5000,"matched_curvature_wave","normalized",24890,"terminal_crossing",0.21069322001649,"first_terminal_crossing"
"RT2_ZT8","RT2_ZT8_leading_edge_dataset",29603,0.0137143825263482,1.86282374120831,0,7,0,0,4648,5000,"matched_curvature_wave","normalized",24890,"terminal_crossing",0.21069322001649,"first_terminal_crossing"
"RT2_ZT8","RT2_ZT8_remainder_dataset",1931,0.574712155133135,0.240549617462748,2,3,2,0,23,5000,"matched_curvature_wave","normalized",24890,"terminal_crossing",0.21069322001649,"first_terminal_crossing"
"RT4_ZT10","RT4_ZT10_raw_dataset",31658,0.0223630001696145,1.65046993290979,743,1100,743,41,6128,5000,"matched_curvature_wave","normalized",4698,"terminal_crossing",0.851601490934361,"first_terminal_crossing"
"RT4_ZT10","RT4_ZT10_leading_edge_dataset",6689,0.0184548920109484,1.73388849174096,270,332,263,15,3613,5000,"matched_curvature_wave","normalized",4698,"terminal_crossing",0.851601490934361,"first_terminal_crossing"
"RT4_ZT10","RT4_ZT10_remainder_dataset",24969,0.0396761514113078,1.40147046106155,701,1127,701,54,3086,5000,"matched_curvature_wave","normalized",4698,"terminal_crossing",0.851601490934361,"first_terminal_crossing"
"RT8_ZT14","RT8_ZT14_raw_dataset",31580,0.0186581006283235,1.72913256898303,4,76,4,0,8714,5000,"matched_curvature_wave","normalized",26951,"terminal_crossing",0.1465801139962,"first_terminal_crossing"
"RT8_ZT14","RT8_ZT14_leading_edge_dataset",30518,0.0183274853729019,1.73689711843055,4,76,4,0,8712,5000,"matched_curvature_wave","normalized",26951,"terminal_crossing",0.1465801139962,"first_terminal_crossing"
"RT8_ZT14","RT8_ZT14_remainder_dataset",1062,0.754752628574665,0.122195365786171,7,70,7,0,45,5000,"matched_curvature_wave","normalized",26951,"terminal_crossing",0.1465801139962,"first_terminal_crossing"
