"comparison_name","dataset_name","n_features","hc_p_threshold","hbfss_threshold","n_standard_significant","n_HBFSS_significant","n_overlap_significant","n_strong_effect","n_weak_effect","evs_fixed_top_n","evs_cutoff_mode_main","evs_primary_preprocessing"
"RT0_ZT6","RT0_ZT6_raw_dataset",31553,0.000532546091058572,3.27364279873213,22,61,22,3,5496,5000,"matched_curvature_wave","normalized"
"RT0_ZT6","RT0_ZT6_leading_edge_dataset",8280,0.0295068849724187,1.53007663633861,5,24,5,1,3757,5000,"matched_curvature_wave","normalized"
"RT0_ZT6","RT0_ZT6_remainder_dataset",23273,0.0350950314402496,1.45475436418436,88,174,88,2,2633,5000,"matched_curvature_wave","normalized"
"RT2_ZT8","RT2_ZT8_raw_dataset",31534,0.0136775581992137,1.86399142858533,0,8,0,0,10111,5000,"matched_curvature_wave","normalized"
"RT2_ZT8","RT2_ZT8_leading_edge_dataset",29603,0.0137143825263482,1.86282374120831,0,7,0,0,7018,5000,"matched_curvature_wave","normalized"
"RT2_ZT8","RT2_ZT8_remainder_dataset",1931,0.574712155133135,0.240549617462748,3,3,3,0,39,5000,"matched_curvature_wave","normalized"
"RT4_ZT10","RT4_ZT10_raw_dataset",31658,0.0223630001696145,1.65046993290979,825,1100,825,69,8366,5000,"matched_curvature_wave","normalized"
"RT4_ZT10","RT4_ZT10_leading_edge_dataset",6689,0.0184548920109484,1.73388849174096,270,332,263,26,4549,5000,"matched_curvature_wave","normalized"
"RT4_ZT10","RT4_ZT10_remainder_dataset",24969,0.0396761514113078,1.40147046106155,819,1127,819,90,4656,5000,"matched_curvature_wave","normalized"
"RT8_ZT14","RT8_ZT14_raw_dataset",31580,0.0186581006283235,1.72913256898303,7,76,7,0,11215,5000,"matched_curvature_wave","normalized"
"RT8_ZT14","RT8_ZT14_leading_edge_dataset",30518,0.0183274853729019,1.73689711843055,7,76,7,0,11004,5000,"matched_curvature_wave","normalized"
"RT8_ZT14","RT8_ZT14_remainder_dataset",1062,0.754752628574665,0.122195365786171,9,70,9,0,57,5000,"matched_curvature_wave","normalized"
