"crossing_id","idx_left","idx_right","percentile_left","percentile_right","rank_left","rank_right","regime_difference_left","regime_difference_right","crossing_percentile","crossing_rank","left_window_positive_frac","right_window_negative_frac","stable_crossing"
"crossing_1",8,9,0.12,0.13,3664,3970,0.0473196013916823,-0.0411668562724469,0.125347665918699,3828,1,0,FALSE
"crossing_2",10,11,0.14,0.15,4275,4580,-0.0744846183461977,0.0181004723701247,0.148044990588648,4520,1,0.333333333333333,FALSE
"crossing_3",12,13,0.16,0.17,4886,5191,0.00670181701564504,-0.0718715414654742,0.160852937578996,4912,1,0.666666666666667,FALSE
"crossing_4",13,14,0.17,0.18,5191,5496,-0.0718715414654742,0.0125567072438655,0.178512736265904,5451,0.666666666666667,0.333333333333333,FALSE
"crossing_5",14,15,0.18,0.19,5496,5802,0.0125567072438655,-0.0300894970982346,0.182944390347881,5586,0.333333333333333,0.333333333333333,FALSE
"crossing_6",16,17,0.2,0.21,6107,6412,-0.0928515315696637,0.025215136007214,0.207864330676497,6347,0.666666666666667,0.666666666666667,FALSE
"crossing_7",17,18,0.21,0.22,6412,6718,0.025215136007214,-0.0103384442295247,0.217092151012448,6629,0.666666666666667,0.666666666666667,FALSE
"crossing_8",18,19,0.22,0.23,6718,7023,-0.0103384442295247,0.0388482787888302,0.22210187700971,6782,0.666666666666667,0.666666666666667,FALSE
"crossing_9",19,20,0.23,0.24,7023,7328,0.0388482787888302,-0.0610364558526282,0.233889310907045,7142,0.333333333333333,0.666666666666667,FALSE
"crossing_10",76,77,0.8,0.81,24428,24733,-0.106861268298604,0.00919417311115128,0.809207777507072,24709,0,1,FALSE
"crossing_11",77,78,0.81,0.82,24733,25039,0.00919417311115128,-0.357549476602746,0.810250697540866,24741,0,1,FALSE
