"dataset_name","feature_id","gene_symbol","baseMean","lfc_shrunk","regulation_direction","lfdr","pvalue","wald_pvalue","padj","empirical_p","empirical_q","HBFSS","hc_p_threshold_dataset","hbfss_threshold_dataset","resLA_padj","resGA_padj","hc_empirical_pass","deseq2_strong_call","deseq2_weak_call_raw","deseq2_weak_call","standard_significant","HBFSS_significant","effect_class","log2FoldChange","lfcSE","stat","raw_lfc_pass","shrunk_lfc_pass","neglog10_wald_pvalue","padj_strong_effect","padj_weak_effect","HBFSS_only_call","overlap_call","R2_1","R2_2","R2_3","R2_4","R2_5","ZT8_1","ZT8_2","ZT8_3","ZT8_4","ZT8_5","dispGeneEst","dispFit","dispersion","dispIter","dispOutlier","neglog10_padj","neglog10_empirical_p"
"RT2_ZT8_remainder_dataset","52938","Lcmt1",193.667129453512,-0.281752265623352,"downregulated",0.791731220262481,0.0608840427516708,0.0608840427516708,0.99993688729842,0.0150627603513602,0.537369809791303,0.513379516564889,0.023666142339777,1.62587252775259,0.00204677893445809,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"weak_effect",-0.319570854529156,0.170498111482805,-1.87433662314427,FALSE,FALSE,1.21549651776098,1,0.00204677893445809,FALSE,FALSE,166.360969819057,205.68213549648,153.547685530085,212.610428814366,126.199326541609,199.936595192861,218.376434969822,252.926954037897,186.560001103544,214.470763029397,0.0232110726973203,0.0353930554240892,0.0297065340410719,8,FALSE,2.74103630143749e-05,1.82209543347977
"RT2_ZT8_remainder_dataset","575950","Zcchc12",160.161852409558,0.337807227941456,"upregulated",0.644583626787412,0.0352761278473173,0.0352761278473173,0.99993688729842,0.00632872788404537,0.40938454266229,0.742731204354359,0.023666142339777,1.62587252775259,0.0136839011932063,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"weak_effect",0.391727063416113,0.186078198193337,2.10517442247105,FALSE,FALSE,1.4525190921013,1,0.0136839011932063,FALSE,FALSE,212.359394653819,232.074975892047,127.769606937443,165.363666855618,169.180256595635,130.446437107538,171.452572910191,118.634785584442,127.239079093661,147.097748465188,0.0320825026507221,0.0381751951223619,0.0353508912017232,9,FALSE,2.74103630143749e-05,2.19868357725927
"RT2_ZT8_remainder_dataset","369041","Dennd11",90.2597581778952,-0.357451563444666,"downregulated",0.71428363357697,0.0574102076189668,0.0574102076189668,0.99993688729842,0.0137251885888019,0.524447803681263,0.665746988217759,0.023666142339777,1.62587252775259,0.0923861030933687,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"weak_effect",-0.450476892835517,0.237071313251097,-1.90017462112082,FALSE,FALSE,1.24101088254174,1,0.0923861030933687,FALSE,FALSE,42.9318631791114,100.110773914216,97.5083842417327,86.6190635910379,55.7837602828852,125.569934785761,92.042960193892,112.612715250207,92.8501387980772,96.567987542032,0.0616983312099734,0.0520338543197298,0.056145541915548,10,FALSE,2.74103630143749e-05,1.86248167948164
"RT2_ZT8_remainder_dataset","111716","Dop1b",106.898926418976,0.314874373209972,"upregulated",0.999999999999994,0.0693151477011165,0.0693151477011165,0.99993688729842,0.0184890543504965,0.576800786631952,0.545704147838422,0.023666142339777,1.62587252775259,0.0258335114838037,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"weak_effect",0.378142792358333,0.208187124959683,1.81636012520737,FALSE,FALSE,1.15917184700238,1,0.0258335114838037,FALSE,FALSE,81.2638838747467,110.121851305638,112.078602576704,155.914314463868,145.403571884897,96.3109208550979,87.5310503804659,83.104570612452,78.2348391724539,119.025659063435,0.0374482789479003,0.0469287035426663,0.0426686601683073,9,FALSE,2.74103630143749e-05,1.73308530089403
"RT2_ZT8_remainder_dataset","529647","Dalrd3",86.5486597642086,0.373295272171332,"upregulated",0.644583626787412,0.035903702928701,0.035903702928701,0.99993688729842,0.00650923445888707,0.413569275473538,0.816198945526271,0.023666142339777,1.62587252775259,0.0641169541671451,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"weak_effect",0.45366232087699,0.216233932302857,2.09801632910043,FALSE,FALSE,1.44486075814675,1,0.0641169541671451,FALSE,FALSE,82.7971647025721,90.0996965227946,99.7499562932668,121.266689027453,109.738544818791,46.3267720568825,65.8738832760207,96.955332381194,80.8140096946227,71.8645488684889,0.0328607287423875,0.0534601033284194,0.0445951835846378,11,FALSE,2.74103630143749e-05,2.18647008513855
"RT2_ZT8_remainder_dataset","297226","Mbnl1",74.6395714945196,0.331939908693136,"upregulated",1,0.0805909637775665,0.0805909637775665,0.99993688729842,0.0234472301179445,0.633492087014718,0.541031663482369,0.023666142339777,1.62587252775259,0.0801555540621705,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"weak_effect",0.42120478779502,0.241064868415587,1.74726740799443,FALSE,FALSE,1.09371365052173,1,0.0801555540621705,FALSE,FALSE,49.8316269043258,100.110773914216,89.6628820613634,81.8943873951631,105.166105451341,63.3945301831024,55.0452997237982,59.0162892755094,52.4431339507658,89.8306860856112,0.0529181927295179,0.0590591830818101,0.0563546633521835,9,FALSE,2.74103630143749e-05,1.62990845425137
"RT2_ZT8_remainder_dataset","424495","Ube2r2",131.276723609243,0.329534088343471,"upregulated",0.71428363357697,0.0498054441646099,0.0498054441646099,0.99993688729842,0.0109565778261382,0.491443679335701,0.645993935479977,0.023666142339777,1.62587252775259,0.0214862199517798,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"weak_effect",0.389736691727309,0.198679906688827,1.96163113936688,FALSE,FALSE,1.30272318251296,1,0.0214862199517798,FALSE,FALSE,141.061836159938,164.727727986119,101.991528344801,184.262371639117,151.804986999327,125.569934785761,89.3358143058364,87.9222268798405,135.836314167557,130.254494824136,0.0370708171823811,0.0419416548051713,0.0397698422111353,9,FALSE,2.74103630143749e-05,1.96032507206557
"RT2_ZT8_remainder_dataset","426607","Gng10",208.914660205937,0.275022350881261,"upregulated",1,0.079864980764433,0.079864980764433,0.99993688729842,0.0231156207383236,0.630178729177701,0.449962539066212,0.023666142339777,1.62587252775259,0.00347345809996187,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"weak_effect",0.316330397368137,0.180608513684395,1.75147002162318,FALSE,FALSE,1.09764360860379,1,0.00347345809996187,FALSE,FALSE,203.159709686867,236.62546561542,301.491440931335,149.614746202702,267.030459059057,169.458455681755,180.476392537043,217.998946099331,166.786360433583,196.504625812274,0.0341794198009418,0.0344728226681071,0.0344175460569785,5,FALSE,2.74103630143749e-05,1.63609443968603
"RT2_ZT8_remainder_dataset","370094","Scrn1",194.526510876472,-0.255838678241631,"downregulated",0.71428363357697,0.0604408891617525,0.0604408891617525,0.99993688729842,0.0148896617739562,0.535579885867603,0.467446729410084,0.023666142339777,1.62587252775259,0.000160758895111457,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"weak_effect",-0.2825380445651,0.150481211147151,-1.87756360020797,FALSE,FALSE,1.21866915526613,1,0.000160758895111457,FALSE,FALSE,147.194959471239,211.142723164529,174.842620019659,146.464962072119,196.614892800333,213.346976577749,213.864525156396,213.181289831942,217.51004736957,211.102112301186,0.00724680408709103,0.035336502994372,0.0220538304251098,10,FALSE,2.74103630143749e-05,1.82711516735009
"RT2_ZT8_remainder_dataset","25776","Mark2",112.490983061563,-0.484270058723898,"downregulated",0.103223122587372,0.00285847173087618,0.00285847173087618,0.99993688729842,0.000109665652556323,0.069674301319867,1.91767522990793,0.023666142339777,1.62587252775259,0.095477343705809,1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"weak_effect",-0.564546639457305,0.189282477993104,-2.9825615421089,FALSE,FALSE,2.54386609842441,1,0.095477343705809,FALSE,FALSE,95.830051739088,82.818912965397,114.320174628238,99.2182001133707,62.1851753973146,138.980316170648,129.943002626671,123.452441851831,122.080738049324,156.080817073749,0.0183500136850847,0.045575457787376,0.0338013921874345,11,FALSE,2.74103630143749e-05,3.95992937279913
