"percentile","center_rank","lo_rank","hi_rank","iod_amplitude","cv2_amplitude","iod_center","cv2_center","iod_residual_sd","cv2_residual_sd","center_distance","center_agreement","local_fourier_score"
0.01,307,1,2146,0.751566056477842,0.123499275303146,1073.5,1073.5,0.276973051947635,0.490606106005966,0,1,2.08928666642045
0.02,613,1,2452,0.751931845957184,0.0799799885406731,1226.5,1226.5,0.277997419408813,0.4924768674918,0,1,2.01053011237799
0.03,920,1,2759,0.777286473963538,0.0847582421202066,1380,1380,0.27843355019497,0.495887579116239,0,1,2.05265401517328
0.04,1226,1,3065,0.774192580394358,0.0727275459494791,1533,1030,0.283118982078899,0.502902596216245,503,0.00198412698412698,1.02865444039575
0.05,1533,1,3372,0.757874008382761,0.0630662598868061,1686.5,1215.5,0.287689797624022,0.508661318662475,471,0.00211864406779661,0.989685957194601
0.06,1839,1,3678,0.757703988246986,0.0637018285463017,1839.5,1222.5,0.290983210473236,0.517006558288217,617,0.00161812297734628,0.990118533205132
0.07,2146,307,3985,0.479505573779342,0.0558397522221354,2146,3115.5,0.286185314714644,0.527071083148642,969.5,0.00103039670273055,0.608480164339799
0.08,2452,613,4291,0.381167068389298,0.0577506205213834,2452,3136,0.289785948547872,0.532408569397754,684,0.00145985401459854,0.482753959796461
0.09,2759,920,4598,0.278614982497707,0.0958161223181406,2759,3445.5,0.295562499278925,0.540103744437335,686.5,0.00145454545454545,0.416867821408183
0.1,3066,1227,4905,0.235870849790488,0.108165670735334,3066,3066,0.299314940563616,0.546830435123686,0,1,1.38155147093431
0.11,3372,1533,5211,0.248808069286684,0.0869299757750899,3372,3500.5,0.3043327645492,0.558117571880491,128.5,0.00772200772200772,0.367662605572306
0.12,3679,1840,5518,0.206431595496176,0.0877724191609866,3679,3865,0.310311539655066,0.564959819070053,186,0.0053475935828877,0.310959223517439
0.13,3985,2146,5824,0.191079857190092,0.0863854876104269,3985,3730,0.318293273022674,0.579059275679485,255,0.00390625,0.286755134027692
0.14,4292,2453,6131,0.141499922638633,0.102947547535947,4292,4292,0.325943958727523,0.590605640141675,0,1,1.24764579896602
0.15,4598,2759,6437,0.128680222044443,0.123647056934552,4598,4598,0.331971109150145,0.600258337762026,0,1,1.26843531919289
0.16,4905,3066,6744,0.13869739617906,0.0952409965551005,4905,4905,0.337651316913344,0.608914054304817,0,1,1.22991948068544
0.17,5212,3373,7051,0.100368364568444,0.13500640230268,5212,5212,0.341705623865519,0.616159730268349,0,1,1.25179595286801
0.18,5518,3679,7357,0.0957652227414282,0.103951966914932,5518,5518,0.347102563230857,0.620208187449571,0,1,1.18918476473032
0.19,5825,3986,7664,0.0780842787928788,0.139330714648556,5537,5825,0.354248560434631,0.6297196838959,288,0.00346020761245675,0.233753715041267
0.2,6131,4292,7970,0.122175440731863,0.0918544889375785,6131,6221,0.359390174856759,0.642060374872659,90,0.010989010989011,0.212962330042279
0.21,6438,4599,8277,0.0815277162709781,0.14294261965268,6438,6438,0.363592677567932,0.648916542927458,0,1,1.24140928567288
0.22,6744,4905,8583,0.0574072501736482,0.14935870771216,6744,6744,0.368406261637021,0.655341815770067,0,1,1.2212946778501
0.23,7051,5212,8890,0.0491097255121429,0.135517578441241,6719,7359.5,0.375063610843902,0.664976166889611,640.5,0.00155884645362432,0.186713737750613
