"feature_id","rank_trt","iod_fitted_trt","cv2_fitted_trt","window_left_trt","window_right_trt","window_n_trt","rank_ctrl","iod_fitted_ctrl","cv2_fitted_ctrl","window_left_ctrl","window_right_ctrl","window_n_ctrl","combined_rank","composite_iod","composite_cv2","regime_difference","local_window_left_rank","local_window_right_rank","local_window_n"
"73573",21,1.81375181562417,0.24313041489916,1,1905,1905,27,1.9517723328029,0.637831868897791,1,1821,1821,24,3.76552414842707,0.880962283796951,2.88456186463012,1,1905,1905
"39594",18,1.82491959170073,0.245952156066139,1,1902,1902,192,1.51290321968565,0.573903697810252,1,1986,1986,105,3.33782281138638,0.81985585387639,2.51796695750999,1,1986,1986
"523782",130,1.5980570030968,0.194813951614776,1,2014,2014,87,1.74868316669944,0.624395884795987,1,1881,1881,108,3.34674016979623,0.819209836410764,2.52753033338547,1,2014,2014
"2591",204,1.49226568600822,0.164884350888798,1,2088,2088,52,1.85790669822379,0.637434304583195,1,1846,1846,128,3.35017238423201,0.802318655471993,2.54785372876002,1,2088,2088
"299528",154,1.5619110772399,0.185617506330885,1,2038,2038,118,1.6675161195414,0.6066110594479,1,1912,1912,136,3.2294271967813,0.792228565778785,2.43719863100252,1,2038,2038
"93859",113,1.6254460146134,0.202605844705261,1,1997,1997,170,1.55061271756563,0.583060982456729,1,1964,1964,142,3.17605873217903,0.78566682716199,2.39039190501704,1,1997,1997
"539047",221,1.46939064999697,0.157614389730194,1,2105,2105,253,1.42108299348297,0.548124312722607,1,2047,2047,237,2.89047364347994,0.7057387024528,2.18473494102714,1,2105,2105
"205134",157,1.55655026945651,0.183739494179747,1,2041,2041,352,1.33747120119097,0.517947193161319,1,2146,2146,254,2.89402147064747,0.701686687341066,2.19233478330641,1,2146,2146
"329429",121,1.61216314430042,0.198685878119377,1,2005,2005,387,1.31742839475453,0.515657623152379,1,2181,2181,254,2.92959153905495,0.714343501271756,2.2152480377832,1,2181,2181
"549534",433,1.28266722360075,0.10674037828354,1,2317,2317,98,1.71919781344428,0.617993441900751,1,1892,1892,266,3.00186503704504,0.724733820184291,2.27713121686075,1,2317,2317
