"feature_id","gene_symbol","R0_1","R0_2","R0_3","R0_4","R0_5","ZT6_1","ZT6_2","ZT6_3","ZT6_4","ZT6_5"
"196303","Sin3b",19,28,81,7,0,141,114,14,154,0
"540830","Scg2",0,0,0,59,17,22,0,28,14,90
"416922","-",0,0,0,70,21,0,0,0,3,177
"338003","Zfp335",12,0,37,0,0,40,58,0,71,3
"263350","Adgrv1",24,5,51,9,0,53,37,10,64,0
"78329","Mapt",0,3,6,57,34,0,0,0,3,174
"170932","Morc2",0,0,0,6,20,7,0,8,0,30
"435219","-",41,13,30,0,0,0,19,0,7,0
"157980","Anapc4",0,3,100,21,89,79,90,7,112,0
"373019","Aak1",0,22,5,162,37,14,0,7,3,47
"433098","Cap1",4,26,46,169,182,23,16,5,19,3304
"81216","Baiap2",17,9,92,13,0,10,15,0,18,0
"1941","Map7",0,6,4,40,21,7,0,0,0,157
"294806","Fxr1",24,0,11,0,0,16,9,0,20,0
"351154","Rtf1",14,4,28,3,0,58,33,0,50,0
"233923","Ubbp4",7,3,0,25,85,35,0,15,9,75
"461570","Hif1a",18,3,37,4,0,50,28,0,55,5
"73573","Psmd11",0,26,0,42,66,0,0,0,4,119
"417472","Ddi2",9,7,29,0,0,26,14,0,11,0
"9568","Yif1b",38,21,32,3,0,4,21,3,18,0
"116696","LOC100362453",25,5,9,3,0,32,15,0,18,0
"433694","Stk40",20,14,59,0,0,89,28,0,59,10
"578601","Kdm5d",21,3,18,0,0,53,33,0,27,6
"429647","-",8,8,28,0,0,19,9,0,25,0
"2937","Kiaa0408L",21,16,23,6,0,67,12,4,65,0
"543854","Lama1",0,4,3,3,53,9,0,4,3,55
"487422","Syn3",26,3,29,3,0,6,15,0,6,0
"264270","Scamp1",9,0,35,0,0,16,23,3,36,0
"121081","LOC501835",16,5,32,7,0,8,23,0,32,0
"313448","Gja1",0,23,17,35,160,63,41,0,23,8
"410816","Focad",13,10,30,0,0,7,26,10,33,0
"220990","Rsu1",7,4,28,0,0,26,29,3,35,0
"330481","Slc1a2",17,14,45,11,0,4,31,0,32,3
"562174","Abcb7",9,9,16,0,0,4,12,0,21,0
"450375","RGD1566401",0,0,0,22,7,0,0,0,3,325
"179885","-",18,10,56,18,0,4,16,0,12,0
"410326","Psip1",0,6,0,32,12,51,0,3,3,64
"472507","-",72,28,29,3,0,4,14,0,4,0
"214297","-",10,5,32,0,0,58,20,7,25,0
"39125","-",29,18,60,41,0,9,21,6,32,0
"88735","Aloxe3",9,9,18,0,0,23,10,0,13,0
"15944","Nr2f2",14,12,15,4,0,37,20,0,25,0
"128394","Psph",24,23,54,6,0,108,63,8,79,7
"315620","Pfdn6",0,0,0,45,15,16,5,0,16,0
"419679","Ski",0,16,0,22,13,11,0,9,0,16
"449384","Dglucy",3,5,71,0,0,7,42,0,24,0
"237065","Ablim3",26,14,25,10,0,47,18,9,37,0
"38366","Zfp579",10,9,29,3,0,62,21,0,50,3
"251515","-",15,15,53,12,0,0,17,0,7,0
"443456","Dock4",41,14,24,6,0,18,19,5,16,0
"94192","Cwc25",0,0,0,12,9,0,0,0,0,77
"65376","E4f1",9,4,33,0,0,80,33,0,57,12
"402598","Bpnt2",20,6,10,5,0,97,25,0,40,3
"556848","Usp11",0,7,0,25,13,3,0,0,0,51
"329429","Mdk",15,413,22,0,0,84,113,0,1176,269
"21619","Gtf3c1",77,37,141,21,3,304,179,31,283,19
"463187","Rbm25",0,0,0,16,50,7,0,0,0,42
"469917","Pwwp3a",12,4,7,0,0,35,27,8,40,0
"355309","Kat14",0,8,0,34,22,11,0,9,10,41
"186870","-",18,7,58,22,0,15,25,3,15,0
"116878","Ess2",20,8,8,0,0,12,0,7,0,13
"225502","Nrn1",7,12,0,18,106,3,0,0,0,49
"141038","Psen2",9,0,13,0,0,19,19,0,19,0
"82010","Parn",18,4,6,0,0,30,7,0,10,0
"220839","Nmt2",0,0,0,20,11,6,0,4,3,34
"317080","Dip2a",0,0,0,21,6,0,0,0,0,76
"220782","Fam107b",6,4,18,0,0,22,8,0,28,0
"234870","Pcdh1",14,24,26,13,0,15,9,0,21,0
"312838","Hk1",13,9,31,11,0,7,24,0,6,0
"244779","Eif1a",14,13,16,4,0,21,8,0,12,0
"7548","-",11,12,32,6,0,3,14,0,8,0
"116908","Dgcr2",71,9,13,18,0,70,45,8,30,3
"59055","-",46,0,0,0,0,0,0,3,0,21
"336624","Gss",0,18,7,17,24,17,0,15,6,49
"441933","Lratd1",85,23,64,13,3,180,59,6,177,13
"474574","Cpsf6",19,0,17,4,0,11,9,0,12,0
"555084","-",0,0,0,13,8,0,0,0,0,53
"200138","Dusp4",24,13,28,15,0,42,18,14,38,0
"492869","Sdr9c7",0,0,0,4,11,7,0,3,0,30
"17916","LOC102550036",0,8,0,17,8,14,0,8,0,26
"196968","Sugp1",10,7,27,6,0,58,33,10,60,0
"282173","-",67,0,0,0,0,0,0,8,0,9
"84957","LOC689641",4,22,17,0,0,10,30,0,49,0
"183624","Fgf14",18,9,4,0,0,6,0,4,0,16
"136912","Cacna1e",0,0,0,19,11,0,0,3,0,14
"85804","Col23a1",24,9,15,3,0,3,5,0,14,0
"576100","Lamp2",16,3,23,4,0,11,8,0,9,0
"96144","Helz",16,19,10,4,0,6,12,0,7,0
"336349","Bpifa6",14,3,14,0,0,0,13,0,4,0
"492950","Sdc2",0,15,0,24,10,7,0,4,0,18
"144708","-",13,10,15,0,0,0,8,0,8,0
"347457","Ssrp1",0,5,0,18,19,17,0,12,9,29
"206358","Spock3",0,0,6,3,29,13,0,4,4,54
"301431","Sema6c",0,11,0,16,13,10,0,3,5,46
"317751","Zfp365",0,7,0,15,10,13,0,3,0,21
"441932","Lratd1",0,0,0,10,8,0,0,6,0,14
"55036","Mtg1",0,6,0,7,10,13,0,8,0,21
"292529","Rsl1",0,11,0,7,11,12,0,10,3,35
"146923","RGD1562140",0,8,4,21,17,14,0,0,0,57
"386298","Strip2",30,6,3,0,0,28,3,0,16,0
"68989","Vdac1",0,7,8,16,18,3,0,0,0,154
"467094","LOC102555254",0,0,0,7,11,12,0,7,6,36
"477302","-",12,20,47,13,0,0,15,0,4,0
"478668","Derl1",14,6,21,3,0,34,13,0,40,5
"108381","-",4,11,0,36,26,12,0,16,6,54
"391048","-",7,9,25,3,0,16,28,8,34,0
"160755","Tbrg4",16,19,22,8,0,61,14,9,28,0
"372804","Alms1",12,20,24,10,0,4,7,0,17,0
"373273","-",43,33,196,37,3,17,64,6,54,3
"228708","Wdr37",0,5,0,21,12,20,0,10,7,27
"423573","Map3k7",20,6,6,4,0,28,15,3,16,0
"485480","Cbx5",0,0,0,19,29,3,0,7,0,7
"51459","Far1",7,0,11,0,0,35,20,3,37,0
"426214","-",92,27,31,0,0,12,16,13,22,0
"242645","LOC102549915",0,3,9,21,21,6,3,0,29,0
"329118","-",5,4,11,0,0,18,19,0,24,0
"516188","Scn5a",5,10,0,21,40,8,0,9,14,63
"111042","Grik1",32,23,85,22,0,5,43,4,16,3
"336132","-",36,12,70,9,0,7,10,0,21,3
"95969","Psmc5",4,7,0,61,20,0,0,32,3,15
"161812","Commd1",11,0,26,0,0,0,10,0,4,0
"295215","-",38,7,16,7,0,15,12,3,10,0
"339035","Bcas1",0,5,0,9,14,3,0,4,3,24
"205134","Ccdc124",11,3,217,0,4,28,127,6,247,3
"128779","-",11,5,40,10,0,3,12,0,5,0
"102876","-",21,11,9,0,0,3,9,0,3,0
"370308","Pde1c",0,9,0,4,11,16,0,11,0,15
"384215","Mios",0,5,6,19,18,20,0,6,9,50
"378783","-",7,11,47,9,0,8,27,0,28,4
"341996","St6galnac4",15,15,19,12,0,60,13,10,41,0
"18054","Dlg2",0,30,6,125,100,4,8,4,0,74
"187671","Mphosph8",5,10,8,44,129,19,0,13,25,44
"24918","Peli3",4,6,16,0,0,30,19,0,37,3
"261881","Tcf25",0,3,0,4,10,11,0,5,0,19
"330632","LOC120101614",22,4,32,3,0,17,8,6,28,0
"521166","Cxcr5",11,3,14,0,0,15,8,3,20,0
"229935","-",5,8,29,3,0,10,16,0,13,0
"143571","-",7,5,31,4,0,4,17,0,4,0
"309099","Sec61-ps",0,10,0,3,15,8,0,12,7,27
"31086","Ccdc186",4,6,12,0,0,28,27,0,20,0
"521106","Hyou1",0,0,0,12,5,0,0,8,0,16
"309990","-",18,3,9,0,0,9,6,0,5,0
"275468","-",12,3,7,4,0,8,3,11,0,131
"36579","Wtap",12,16,9,9,0,27,21,0,11,0
"7638","-",16,9,14,0,0,8,10,3,12,0
"95319","Nsf",0,0,0,31,26,0,0,0,0,22
"207261","-",23,0,26,3,0,3,4,0,10,0
"171494","-",0,0,0,6,9,13,0,5,0,12
"209780","Ubxn8",14,3,9,0,0,11,11,6,20,0
"255367","Tomm20",0,7,0,19,6,8,0,11,3,23
"90184","Rilp",0,6,0,5,9,9,0,7,0,16
"93926","LOC102547955",0,24,4,18,15,0,0,0,3,89
"296070","-",5,9,8,0,0,6,9,0,17,0
"350927","-",3,11,25,0,0,10,19,3,14,0
"575373","Pak3",8,4,22,3,0,7,8,0,8,0
"577883","LOC100911092",11,3,7,0,0,8,5,0,9,0
"83253","Paqr4",0,9,6,64,42,18,7,0,0,191
"415128","S100pbp",0,0,0,5,11,13,6,0,6,0
"553161","Dner",5,13,15,0,0,0,14,0,3,0
"509868","Tpm1",27,5,4,5,0,8,0,4,6,36
"383653","Rbm48",5,0,20,0,0,20,17,3,15,0
"80042","LOC120095302",38,0,0,0,0,0,0,4,0,10
"522244","Alg9",22,9,40,7,0,59,39,7,64,8
"426820","Slc31a1",0,15,0,8,13,12,4,12,0,33
"563308","-",9,11,10,0,0,6,12,6,21,0
"554171","-",11,8,9,4,0,0,7,0,19,0
"399659","Atf7ip",19,0,7,0,0,9,13,10,24,0
"324888","-",11,0,4,0,0,25,5,0,17,0
"330986","-",11,7,15,0,0,0,8,0,4,0
"121772","Snrnp35",0,0,4,13,35,6,0,0,0,25
"230122","Vim",3,4,21,0,0,15,9,0,18,0
