"feature_id","gene_symbol","R2_1","R2_2","R2_3","R2_4","R2_5","ZT8_1","ZT8_2","ZT8_3","ZT8_4","ZT8_5"
"218148","Psma2",731,512,580,300,443,399,528,701,533,415
"231592","Nid1",0,3,0,0,8,3,10,6,4,5
"564019","Psmd10",25,12,17,9,22,16,17,17,20,15
"103433","Spice1",0,11,3,0,0,0,3,0,3,0
"47004","Me3",96,61,42,48,92,53,84,125,76,63
"121152","Nipsnap2",130,89,97,58,87,76,84,112,115,72
"497614","Srebf2",334,144,195,146,249,161,299,377,264,194
"20493","Sox6",12,10,14,4,13,9,16,17,10,12
"496169","Gpaa1",134,90,97,51,138,93,83,142,79,96
"277017","Rusc1",3,3,0,3,7,0,10,6,0,3
"372722","Rab11fip5",358,225,274,140,246,221,257,337,237,247
"65575","Jpt2",11,11,7,5,13,10,11,23,11,12
"173239","Mtif2",25,14,19,10,19,9,28,45,18,15
"61319","Ina",0,3,0,0,5,0,8,0,10,0
"554528","Ppp1r7",29,5,8,17,11,14,10,19,17,11
"29285","-",24,27,13,13,24,16,23,32,19,19
"245684","Phax",133,41,79,51,100,88,69,144,85,83
"558226","Klf8",5,7,0,8,5,4,9,5,4,6
"426607","Gng10",265,260,269,95,292,139,200,362,194,175
"476042","Tspyl5",59,80,52,27,69,36,68,99,54,48
"248330","RGD1560212",190,244,80,131,152,97,153,317,194,108
"323516","Strbp",88,65,49,44,60,65,50,90,61,60
"146930","RGD1562140",41,13,52,9,46,19,32,54,54,19
"371266","Kcmf1",137,147,65,87,85,93,75,142,83,92
"436079","Camk2n1",1177,977,769,544,1388,689,1113,1813,1208,804
"506078","Phldb1",242,40,145,73,144,116,159,243,117,154
"527686","-",24,5,4,15,18,9,11,40,21,9
"40841","Zfp84",0,4,0,0,10,0,3,4,7,0
"350943","Ivd",11,10,11,4,12,4,23,29,8,10
"219931","LOC684327",0,0,0,0,0,0,3,0,3,0
"356456","Srxn1",88,80,97,33,51,70,87,100,77,77
"558355","Fam104b",28,17,11,17,17,20,21,29,40,16
"105966","Rabl3",35,21,21,17,17,20,18,28,32,16
"222505","LOC102552000",10,4,4,5,7,7,11,3,5,8
"284929","Glrx",91,77,29,66,75,51,90,80,90,56
"119969","Taf6",93,46,97,30,65,39,65,93,58,49
"165267","LOC120096591",0,3,0,0,5,0,0,0,0,0
"3721","Syne1",9,20,9,5,6,13,14,9,12,12
"261190","Cdh13",10,7,4,6,7,5,15,6,3,10
"321535","Nacc2",85,71,45,51,48,61,59,73,96,49
"503803","Ntm",470,335,196,313,207,383,446,405,421,384
"422805","Rmdn1",0,0,0,0,0,0,3,0,3,0
"576709","Zfp280c",3,0,0,3,0,4,3,12,9,3
"276322","Trim2",4,0,0,4,0,0,0,0,0,0
"469736","Oaz1",104,44,39,56,82,39,80,122,84,48
"508985","Rplp1",1222,1296,945,627,720,767,964,1567,1027,838
"197738","Spock3",0,0,0,0,0,0,0,44,5,0
"18921","Arhgef17",112,50,66,45,99,45,99,74,81,53
"195168","-",7,8,5,3,12,9,14,78,21,12
"146294","Lmod1",0,0,0,0,0,0,3,5,8,0
"309424","Fkbp5",6,5,8,3,0,5,0,0,0,3
"416628","Ephb2",3,0,8,0,4,0,0,0,0,0
"538500","-",0,3,0,0,8,0,0,0,0,0
"79977","Sdk2",0,0,0,0,0,0,3,0,3,0
"494161","Emc2",0,0,0,0,0,0,4,3,8,0
"348090","Harbi1",0,0,0,0,0,0,4,3,9,0
"529042","Col6a5",0,0,0,0,0,0,4,0,5,0
"82098","Pdxdc1",0,0,0,0,0,3,0,4,0,3
"496070","Zfp41",0,0,0,0,0,0,3,3,7,0
