"crossing_id","rank_left","rank_right","crossing_rank","regime_difference_left","regime_difference_right"
"crossing_1",3832,3986,3966,0.40098250139632,-0.0603004430342662
"crossing_2",4139,4292,4189,-0.3256734933039,0.668030407622517
"crossing_3",5212,5365,5307,0.296446532594163,-0.179827588773685
"crossing_4",5365,5518,5444,-0.179827588773685,0.167143995070149
"crossing_5",6438,6592,6485,0.0432607482834494,-0.0990582974014823
"crossing_6",6592,6744,6722,-0.0990582974014823,0.0166594384189892
"crossing_7",6744,6898,6768,0.0166594384189892,-0.0898785247815242
"crossing_8",7052,7204,7095,-0.06017058052549,0.154464517856109
"crossing_9",7972,8124,8108,0.0836049739241775,-0.00998707896563161
"crossing_10",8278,8432,8371,-0.0562223423980056,0.0369080358888695
"crossing_11",8738,8891,8861,0.180028230981708,-0.0441444005279599
"crossing_12",9198,9351,9318,-0.296244787939159,0.0818741900099192
"crossing_13",9658,9811,9740,0.17627995303256,-0.151210850537657
"crossing_14",9811,9964,9828,-0.151210850537657,1.18832705305136
"crossing_15",11190,11344,11301,0.242484081817811,-0.0935033095924837
"crossing_16",11344,11497,11378,-0.0935033095924837,0.32732649556597
"crossing_17",11497,11650,11583,0.32732649556597,-0.256722556667362
"crossing_18",12110,12263,12111,-0.00246866575969029,0.567246839041147
"crossing_19",12263,12416,12370,0.567246839041147,-0.241185994271034
"crossing_20",12416,12570,12481,-0.241185994271034,0.332811224082121
"crossing_21",13184,13336,13332,0.339966033373072,-0.00834753159577883
"crossing_22",13490,13643,13547,-0.0664997534647188,0.11347343327766
"crossing_23",13643,13796,13686,0.11347343327766,-0.291287991579365
"crossing_24",13796,13950,13869,-0.291287991579365,0.32017393189413
"crossing_25",14716,14870,14814,0.858809291471938,-0.485229230225761
"crossing_26",14870,15022,14983,-0.485229230225761,0.170211297019281
"crossing_27",15022,15176,15099,0.170211297019281,-0.169701986069417
"crossing_28",15176,15330,15241,-0.169701986069417,0.234747222813075
"crossing_29",15482,15636,15514,0.0385320447522414,-0.148800179532627
"crossing_30",15636,15789,15677,-0.148800179532627,0.401821459054135
"crossing_31",16249,16402,16383,0.113122083662327,-0.015948303727425
"crossing_32",16708,16862,16801,-0.830004039294226,0.551137019184702
"crossing_33",17628,17782,17646,0.0314718784324249,-0.238162942654723
"crossing_34",17782,17936,17838,-0.238162942654723,0.411142896872941
"crossing_35",18702,18855,18743,0.160885846136867,-0.432268352895141
"crossing_36",18855,19008,18962,-0.432268352895141,0.188713061033595
"crossing_37",19162,19315,19288,0.313798642213804,-0.0672878070295155
"crossing_38",19315,19468,19346,-0.0672878070295155,0.268186605246861
"crossing_39",19622,19775,19742,0.24916314817168,-0.0672645867167472
"crossing_40",19775,19928,19801,-0.0672645867167472,0.331050115420421
"crossing_41",19928,20082,20012,0.331050115420421,-0.27626717349798
"crossing_42",20541,20694,20580,-0.0219938543003459,0.0650020647812112
"crossing_43",21308,21461,21389,0.219243444299414,-0.192582181599129
"crossing_44",21920,22074,21981,-0.369178712834348,0.567727336022553
"crossing_45",22074,22227,22153,0.567727336022553,-0.530038101989638
"crossing_46",22534,22687,22588,-0.104286614032893,0.193120434872287
"crossing_47",22840,22994,22949,0.549110509836714,-0.227267645211674
"crossing_48",23300,23454,23375,-0.460620293215426,0.48223410536244
"crossing_49",23454,23607,23589,0.48223410536244,-0.0649948174148767
"crossing_50",24067,24220,24135,-0.215094894803832,0.270015086889809
"crossing_51",24527,24680,24588,0.372722805062487,-0.567063720679074
"crossing_52",24680,24834,24777,-0.567063720679074,0.333703446428271
"crossing_53",25600,25753,25672,0.441978123773878,-0.499520544893973
"crossing_54",25906,26060,25932,-0.0159143118498296,0.0776372397293962
"crossing_55",26060,26213,26184,0.0776372397293962,-0.0183393230711347
"crossing_56",26213,26366,26223,-0.0183393230711347,0.25790797658214
"crossing_57",26366,26520,26442,0.25790797658214,-0.265625429295313
"crossing_58",26673,26826,26683,-0.0582664047029999,0.862384868262474
"crossing_59",26980,27132,27041,0.405370285176753,-0.61295886075293
"crossing_60",27439,27592,27535,-0.34288571909657,0.20550624592956
"crossing_61",27592,27746,27651,0.20550624592956,-0.335050468553586
"crossing_62",27746,27899,27852,-0.335050468553586,0.147599239768807
"crossing_63",27899,28052,27941,0.147599239768807,-0.38480986836246
"crossing_64",28052,28206,28140,-0.38480986836246,0.286689781397192
"crossing_65",28206,28360,28250,0.286689781397192,-0.707793369760785
"crossing_66",28360,28512,28480,-0.707793369760785,0.186007503696624
"crossing_67",29432,29586,29537,0.334924491654947,-0.154697228558599
"crossing_68",29586,29739,29666,-0.154697228558599,0.140309792651611
"crossing_69",30352,30505,30369,0.0371359452718781,-0.303795205176635
"crossing_70",30505,30658,30559,-0.303795205176635,0.55652642995869
