"feature_id","gene_symbol_trt","pc1_loading_trt","pc1_loading_abs_trt","rank_trt","gene_symbol_ctrl","pc1_loading_ctrl","pc1_loading_abs_ctrl","rank_ctrl","gene_symbol","combined_rank"
"157795","-",-0.0309990404522689,0.0309990404522689,1,"-",0.0211852875685526,0.0211852875685526,13,"-",7
"56517","LOC689961",0.0216892353688538,0.0216892353688538,14,"LOC689961",-0.0183278889638517,0.0183278889638517,66,"LOC689961",40
"129813","Tctn1",-0.021269180911999,0.021269180911999,18,"Tctn1",0.0167575385283521,0.0167575385283521,146,"Tctn1",82
"22582","Plpp4",-0.0212668228681284,0.0212668228681284,19,"Plpp4",0.016241695263432,0.016241695263432,188,"Plpp4",104
"576013","Slc25a5",0.0193187742406529,0.0193187742406529,44,"Slc25a5",-0.0158231699940892,0.0158231699940892,240,"Slc25a5",142
"158772","Tmem128",-0.0161385669955397,0.0161385669955397,198,"Tmem128",0.0175520402028438,0.0175520402028438,97,"Tmem128",148
"359327","-",-0.0194925411299778,0.0194925411299778,39,"-",0.0152629461808452,0.0152629461808452,323,"-",181
"410853","-",-0.0166267866093667,0.0166267866093667,146,"-",0.0158838473119174,0.0158838473119174,226,"-",186
"534198","-",-0.0241861738042019,0.0241861738042019,4,"-",0.0144708045984127,0.0144708045984127,436,"-",220
"484764","Tuba1a",-0.0178680847203235,0.0178680847203235,77,"Tuba1a",-0.0149985660276307,0.0149985660276307,367,"Tuba1a",222
"96223","Cacng5",-0.018702192673109,0.018702192673109,57,"Cacng5",-0.0147216324079009,0.0147216324079009,396,"Cacng5",226
"359012","Ncoa3",-0.0156641806087861,0.0156641806087861,245,"Ncoa3",0.0157524780918144,0.0157524780918144,257,"Ncoa3",251
"462674","Smoc1",-0.0153533848784572,0.0153533848784572,288,"Smoc1",0.0157518442229674,0.0157518442229674,258,"Smoc1",273
"286858","Arsb",0.0146513847769088,0.0146513847769088,425,"Arsb",0.0169042845130493,0.0169042845130493,135,"Arsb",280
"435225","Dhdds",0.0168978154904821,0.0168978154904821,128,"Dhdds",-0.0144817096471443,0.0144817096471443,435,"Dhdds",282
"330460","Trim44",-0.0183054967698231,0.0183054967698231,61,"Trim44",-0.0141686247076181,0.0141686247076181,513,"Trim44",287
"71209","Vamp2",-0.0219780827193043,0.0219780827193043,11,"Vamp2",0.0138937445462407,0.0138937445462407,596,"Vamp2",304
"47837","Dlg2",0.0155199293362644,0.0155199293362644,264,"Dlg2",0.0151114418769168,0.0151114418769168,349,"Dlg2",306
"116600","Abcc5",-0.0138944194444139,0.0138944194444139,611,"Abcc5",-0.025500922944925,0.025500922944925,2,"Abcc5",306
"232872","Garem1",-0.0181310421446101,0.0181310421446101,67,"Garem1",0.0140285623348139,0.0140285623348139,553,"Garem1",310
"60409","Zfyve27",-0.0136411932380915,0.0136411932380915,685,"Zfyve27",0.0205582332472524,0.0205582332472524,18,"Zfyve27",352
"457865","-",-0.0207174387691123,0.0207174387691123,23,"-",0.0135563319575265,0.0135563319575265,691,"-",357
"126860","Agfg2",-0.0141742271617246,0.0141742271617246,539,"Agfg2",0.0161596843431778,0.0161596843431778,194,"Agfg2",366
"188598","Xkr6",-0.0167670915690934,0.0167670915690934,134,"Xkr6",0.0138391722053998,0.0138391722053998,606,"Xkr6",370
"189200","Nefl",-0.0188608706226147,0.0188608706226147,54,"Nefl",0.0134656787067984,0.0134656787067984,713,"Nefl",384
"38383","Isoc2b",-0.0150622376331219,0.0150622376331219,340,"Isoc2b",0.0143760865484646,0.0143760865484646,456,"Isoc2b",398
"278072","Otud7b",-0.0173786425632216,0.0173786425632216,103,"Otud7b",0.0134634361416655,0.0134634361416655,714,"Otud7b",408
"424073","LOC688867",-0.0218991751164638,0.0218991751164638,13,"LOC688867",0.0130647724572576,0.0130647724572576,839,"LOC688867",426
"60297","Lcor",-0.0135585920933032,0.0135585920933032,711,"Lcor",-0.0165665649530893,0.0165665649530893,163,"Lcor",437
"24788","Pc",-0.01706564968165,0.01706564968165,119,"Pc",0.0131660390496252,0.0131660390496252,799,"Pc",459
"451294","-",0.0161061457823933,0.0161061457823933,201,"-",-0.0133779612176907,0.0133779612176907,736,"-",468
"63946","Rbfox1",-0.0153990402178291,0.0153990402178291,279,"Rbfox1",0.0136330785305598,0.0136330785305598,659,"Rbfox1",469
"381918","-",-0.0142438098720897,0.0142438098720897,525,"-",0.0145921200179901,0.0145921200179901,417,"-",471
"510466","-",-0.0156564232439323,0.0156564232439323,247,"-",0.0135259332112714,0.0135259332112714,700,"-",474
"443935","-",0.0176126452936002,0.0176126452936002,92,"-",-0.0129213191752658,0.0129213191752658,885,"-",488
"2845","-",-0.0135166585810768,0.0135166585810768,724,"-",0.0157275986137691,0.0157275986137691,263,"-",494
"372804","Alms1",0.0206382779020618,0.0206382779020618,25,"Alms1",-0.0126678107236125,0.0126678107236125,980,"Alms1",502
"476306","Rnf19a",-0.0144669724890692,0.0144669724890692,463,"Rnf19a",-0.0140296635893504,0.0140296635893504,552,"Rnf19a",508
"75698","Hlf",-0.0131685826934775,0.0131685826934775,852,"Hlf",0.0165293511716212,0.0165293511716212,165,"Hlf",508
"248384","-",-0.022209518586489,0.022209518586489,9,"-",0.0125536413096586,0.0125536413096586,1026,"-",518
"257180","Siah1",-0.0135899961813467,0.0135899961813467,705,"Siah1",0.015226032721177,0.015226032721177,332,"Siah1",518
"334610","Pak5",-0.0133203929688157,0.0133203929688157,788,"Pak5",-0.0157768771266248,0.0157768771266248,252,"Pak5",520
"265079","Map1b",-0.0146796434452653,0.0146796434452653,415,"Map1b",-0.0136919824519202,0.0136919824519202,642,"Map1b",528
"515528","Ubp1",-0.0173504245376617,0.0173504245376617,106,"Ubp1",0.0127271318496609,0.0127271318496609,959,"Ubp1",532
"460101","Pnn",-0.016533776758249,0.016533776758249,154,"Pnn",-0.0128291722942886,0.0128291722942886,923,"Pnn",538
"339349","Phactr3",-0.0154550045725765,0.0154550045725765,274,"Phactr3",-0.0131553866985555,0.0131553866985555,807,"Phactr3",540
"499747","Vdr",0.0159029107753089,0.0159029107753089,219,"Vdr",0.0129398487795664,0.0129398487795664,876,"Vdr",548
"167027","RGD1563570",-0.0133529794803675,0.0133529794803675,779,"RGD1563570",-0.0152877691044102,0.0152877691044102,318,"RGD1563570",548
"178069","LOC102557042",0.0132575038264405,0.0132575038264405,815,"LOC102557042",-0.0153914997097646,0.0153914997097646,305,"LOC102557042",560
"435352","Man1c1",-0.0126067253593682,0.0126067253593682,1110,"Man1c1",-0.0186368971643172,0.0186368971643172,52,"Man1c1",581
"113992","Gap43",-0.017656909130085,0.017656909130085,89,"Gap43",-0.0123634870166865,0.0123634870166865,1115,"Gap43",602
"92652","Septin4",0.0150589085759753,0.0150589085759753,342,"Septin4",-0.0129293638876089,0.0129293638876089,879,"Septin4",610
"460382","Lrfn5",-0.0134939377778757,0.0134939377778757,729,"Lrfn5",0.0142136560928204,0.0142136560928204,499,"Lrfn5",614
"385540","Ing3",-0.0162465173825596,0.0162465173825596,187,"Ing3",0.0124918974617478,0.0124918974617478,1061,"Ing3",624
"120567","Dnajc30",-0.0130701952326083,0.0130701952326083,900,"Dnajc30",0.0151250102974065,0.0151250102974065,347,"Dnajc30",624
"305466","-",-0.0134023536993261,0.0134023536993261,759,"-",0.0142136560928204,0.0142136560928204,498,"-",628
"397156","-",-0.0136805707956826,0.0136805707956826,668,"-",0.0139025587649522,0.0139025587649522,591,"-",630
"125167","Slc7a1",0.0135289816113657,0.0135289816113657,720,"Slc7a1",-0.0140260221295433,0.0140260221295433,554,"Slc7a1",637
"533050","Adgre4",-0.015353662977473,0.015353662977473,287,"Adgre4",0.0126379053794587,0.0126379053794587,999,"Adgre4",643
"450859","Brf1",-0.0153618143643705,0.0153618143643705,284,"Brf1",-0.0125952628339204,0.0125952628339204,1012,"Brf1",648
"76080","Epn3",-0.0133891222895263,0.0133891222895263,764,"Epn3",0.014099611959035,0.014099611959035,532,"Epn3",648
"291878","-",0.0158010321009923,0.0158010321009923,229,"-",-0.0124682445134157,0.0124682445134157,1070,"-",650
"84336","Slit3",-0.0126559681104748,0.0126559681104748,1083,"Slit3",-0.0158449035013648,0.0158449035013648,237,"Slit3",660
"385063","Cftr",0.0139943367574433,0.0139943367574433,583,"Cftr",-0.0133210772504492,0.0133210772504492,750,"Cftr",666
"78148","Lrrc37a",-0.0136272978521713,0.0136272978521713,696,"Lrrc37a",0.0137151432237559,0.0137151432237559,639,"Lrrc37a",668
"133139","LOC102547127",-0.0256314265915497,0.0256314265915497,2,"LOC102547127",0.0119385184612708,0.0119385184612708,1355,"LOC102547127",678
"346866","Ube2e3",-0.0125265246933592,0.0125265246933592,1146,"Ube2e3",-0.0159600817703954,0.0159600817703954,216,"Ube2e3",681
"130490","Taok3",-0.0177783585962102,0.0177783585962102,83,"Taok3",0.0120280525440377,0.0120280525440377,1296,"Taok3",690
"471355","Hsp90b1",-0.0147877798793393,0.0147877798793393,391,"Hsp90b1",-0.0126235454933839,0.0126235454933839,1002,"Hsp90b1",696
"172745","Usp34",-0.0213649136672032,0.0213649136672032,16,"Usp34",0.0118610427254996,0.0118610427254996,1395,"Usp34",706
"118112","Alox5ap",-0.0135318548150123,0.0135318548150123,719,"Alox5ap",-0.0135000886083125,0.0135000886083125,705,"Alox5ap",712
"393007","Lrrtm4",-0.0136649509884159,0.0136649509884159,673,"Lrrtm4",-0.0132995715741924,0.0132995715741924,761,"Lrrtm4",717
"35939","Scaf8",-0.0130438775954391,0.0130438775954391,910,"Scaf8",0.0141157007846373,0.0141157007846373,527,"Scaf8",718
"125443","Cyp3a71-ps",-0.0145776821735344,0.0145776821735344,442,"Cyp3a71-ps",0.0126379053794587,0.0126379053794587,998,"Cyp3a71-ps",720
"460183","-",-0.0125473420180398,0.0125473420180398,1137,"-",0.0153096917269408,0.0153096917269408,315,"-",726
"459767","Srp54a",-0.0130809978988705,0.0130809978988705,894,"Srp54a",-0.0139748912435271,0.0139748912435271,571,"Srp54a",732
"450798","Ahnak2",-0.017307403692837,0.017307403692837,111,"Ahnak2",0.0118720915226653,0.0118720915226653,1386,"Ahnak2",748
"24918","Peli3",-0.012229004063664,0.012229004063664,1308,"Peli3",-0.0162031401477806,0.0162031401477806,190,"Peli3",749
"11310","Prmt1",-0.0132412815369346,0.0132412815369346,820,"Prmt1",-0.0135584028008845,0.0135584028008845,689,"Prmt1",754
"258795","Thap11",-0.0121321183277771,0.0121321183277771,1362,"Thap11",0.0163493154547935,0.0163493154547935,179,"Thap11",770
"188211","C1qtnf9",-0.0135376539884298,0.0135376539884298,716,"C1qtnf9",-0.0130260133870699,0.0130260133870699,854,"C1qtnf9",785
"352233","Eid1",-0.0121927969179395,0.0121927969179395,1325,"Eid1",-0.0158017278412943,0.0158017278412943,246,"Eid1",786
