"feature_id","gene_symbol_trt","pc1_loading_trt","pc1_loading_abs_trt","rank_trt","gene_symbol_ctrl","pc1_loading_ctrl","pc1_loading_abs_ctrl","rank_ctrl","gene_symbol","combined_rank","in_treatment_leading_edge","in_control_leading_edge","in_leading_edge_union","in_remainder"
"157795","-",-0.021671733352796,0.021671733352796,15,"-",-0.0287773883521533,0.0287773883521533,1,"-",8,TRUE,TRUE,TRUE,FALSE
"534198","-",-0.0223571832963736,0.0223571832963736,12,"-",-0.0226518997695875,0.0226518997695875,13,"-",12,TRUE,TRUE,TRUE,FALSE
"457865","-",-0.0206254553781279,0.0206254553781279,29,"-",-0.0207432905352519,0.0207432905352519,33,"-",31,TRUE,TRUE,TRUE,FALSE
"281697","LOC103691697",0.0190222688683663,0.0190222688683663,54,"LOC103691697",0.0206686913162305,0.0206686913162305,34,"LOC103691697",44,TRUE,TRUE,TRUE,FALSE
"359327","-",-0.0172645170280213,0.0172645170280213,112,"-",-0.020526288689731,0.020526288689731,36,"-",74,TRUE,TRUE,TRUE,FALSE
"535807","-",-0.0197804069341629,0.0197804069341629,43,"-",-0.0175286035226114,0.0175286035226114,122,"-",82,TRUE,TRUE,TRUE,FALSE
"112224","Mx2",-0.0263682959273759,0.0263682959273759,1,"Mx2",0.0165162518828097,0.0165162518828097,196,"Mx2",98,TRUE,TRUE,TRUE,FALSE
"96935","Cd300e",-0.0158153977479622,0.0158153977479622,231,"Cd300e",-0.0220000467830653,0.0220000467830653,17,"Cd300e",124,TRUE,TRUE,TRUE,FALSE
"315919","Zfp523",-0.0168029963768182,0.0168029963768182,148,"Zfp523",0.0175804411974468,0.0175804411974468,119,"Zfp523",134,TRUE,TRUE,TRUE,FALSE
"85211","Cyfip2",-0.015960622772647,0.015960622772647,217,"Cyfip2",-0.0195279363310358,0.0195279363310358,54,"Cyfip2",136,TRUE,TRUE,TRUE,FALSE
"373273","-",-0.0150900490552193,0.0150900490552193,324,"-",0.0212387278954455,0.0212387278954455,28,"-",176,TRUE,TRUE,TRUE,FALSE
"133139","LOC102547127",-0.0147800135155799,0.0147800135155799,365,"LOC102547127",-0.0182918522721619,0.0182918522721619,86,"LOC102547127",226,TRUE,TRUE,TRUE,FALSE
"186870","-",-0.0144306205437218,0.0144306205437218,421,"-",0.0186349313652494,0.0186349313652494,75,"-",248,TRUE,TRUE,TRUE,FALSE
"317873","-",-0.0164400125883812,0.0164400125883812,182,"-",-0.0154860923336572,0.0154860923336572,320,"-",251,TRUE,TRUE,TRUE,FALSE
"546917","-",-0.01476477469077,0.01476477469077,367,"-",-0.0172169244355316,0.0172169244355316,143,"-",255,TRUE,TRUE,TRUE,FALSE
"318931","Macroh2a2",-0.0148390944915325,0.0148390944915325,358,"Macroh2a2",0.0169013896477552,0.0169013896477552,162,"Macroh2a2",260,TRUE,TRUE,TRUE,FALSE
"442563","-",-0.0145758855260547,0.0145758855260547,401,"-",0.0171563712894083,0.0171563712894083,146,"-",274,TRUE,TRUE,TRUE,FALSE
"486370","LOC690617",-0.0152760194215362,0.0152760194215362,291,"LOC690617",-0.0159069541779286,0.0159069541779286,266,"LOC690617",278,TRUE,TRUE,TRUE,FALSE
"63358","Gspt1",-0.018320901117437,0.018320901117437,72,"Gspt1",0.0143883443187857,0.0143883443187857,528,"Gspt1",300,TRUE,TRUE,TRUE,FALSE
"533779","-",0.014247050450431,0.014247050450431,464,"-",0.0165818201914699,0.0165818201914699,186,"-",325,TRUE,TRUE,TRUE,FALSE
"178462","Nefm",-0.0202193664036106,0.0202193664036106,36,"Nefm",0.0140067522098207,0.0140067522098207,652,"Nefm",344,TRUE,TRUE,TRUE,FALSE
"311196","Fam13c",-0.0147278805908963,0.0147278805908963,369,"Fam13c",0.0153637788290474,0.0153637788290474,341,"Fam13c",355,TRUE,TRUE,TRUE,FALSE
"106827","-",-0.0145161945174752,0.0145161945174752,410,"-",-0.0155875388046342,0.0155875388046342,308,"-",359,TRUE,TRUE,TRUE,FALSE
"359590","-",0.0138002145232743,0.0138002145232743,568,"-",0.0169524092793595,0.0169524092793595,158,"-",363,TRUE,TRUE,TRUE,FALSE
"108089","Ece2",0.0141838899518512,0.0141838899518512,486,"Ece2",0.0159985631233254,0.0159985631233254,254,"Ece2",370,TRUE,TRUE,TRUE,FALSE
"405000","-",-0.0189661805112981,0.0189661805112981,57,"-",-0.0138724331113801,0.0138724331113801,689,"-",373,TRUE,TRUE,TRUE,FALSE
"172193","-",-0.0132091808989206,0.0132091808989206,740,"-",-0.0237081998125678,0.0237081998125678,8,"-",374,TRUE,TRUE,TRUE,FALSE
"131543","-",0.0136649181099887,0.0136649181099887,607,"-",0.0162979262478872,0.0162979262478872,221,"-",414,TRUE,TRUE,TRUE,FALSE
"178465","Nefm",0.0130378221660918,0.0130378221660918,786,"Nefm",0.0200700067152565,0.0200700067152565,42,"Nefm",414,TRUE,TRUE,TRUE,FALSE
"298434","-",0.013184807880403,0.013184807880403,746,"-",0.0182141610609743,0.0182141610609743,90,"-",418,TRUE,TRUE,TRUE,FALSE
"268475","-",-0.0165647434179436,0.0165647434179436,170,"-",0.0138632496617684,0.0138632496617684,690,"-",430,TRUE,TRUE,TRUE,FALSE
"191103","Pcdh9",-0.0200834217627271,0.0200834217627271,39,"Pcdh9",-0.0133530196407971,0.0133530196407971,853,"Pcdh9",446,TRUE,TRUE,TRUE,FALSE
"358743","-",-0.0172501180548201,0.0172501180548201,115,"-",0.0135710849594079,0.0135710849594079,786,"-",450,TRUE,TRUE,TRUE,FALSE
"135666","Tnni1",-0.0147190624451459,0.0147190624451459,371,"Tnni1",-0.0142680929746558,0.0142680929746558,565,"Tnni1",468,TRUE,TRUE,TRUE,FALSE
"40470","LOC100362069",-0.0128614094766415,0.0128614094766415,868,"LOC100362069",0.0189212187387101,0.0189212187387101,67,"LOC100362069",468,TRUE,TRUE,TRUE,FALSE
"456937","-",-0.0145301547870219,0.0145301547870219,409,"-",-0.0143622486126267,0.0143622486126267,538,"-",474,TRUE,TRUE,TRUE,FALSE
"561147","RGD1566100",0.0127749161418178,0.0127749161418178,908,"RGD1566100",0.0187062354702647,0.0187062354702647,72,"RGD1566100",490,TRUE,TRUE,TRUE,FALSE
"415415","Zcchc17",-0.0159317569679943,0.0159317569679943,221,"Zcchc17",-0.0136062160171946,0.0136062160171946,767,"Zcchc17",494,TRUE,TRUE,TRUE,FALSE
"121306","Rimbp2",0.0129972075921554,0.0129972075921554,815,"Rimbp2",0.016789924644662,0.016789924644662,173,"Rimbp2",494,TRUE,TRUE,TRUE,FALSE
