"percentile","center_rank_trt","iod_local_amplitude_trt","cv2_local_amplitude_trt","iod_local_amplitude_scaled_trt","cv2_local_amplitude_scaled_trt","iod_center_trt","cv2_center_trt","center_rank_ctrl","iod_local_amplitude_ctrl","cv2_local_amplitude_ctrl","iod_local_amplitude_scaled_ctrl","cv2_local_amplitude_scaled_ctrl","iod_center_ctrl","cv2_center_ctrl","combined_rank","composite_iod_amplitude","composite_cv2_amplitude","composite_iod_amplitude_scaled","composite_cv2_amplitude_scaled","combined_center_distance","combined_center_agreement","regime_difference","regime_difference_scaled"
0.005,155,0.387294717123509,0.443809868310662,0.685583009069399,0.335173604067849,7804,7804,155,0.325359261966646,0.350743330140636,0.539075069448305,0.16200084265716,7832,7832,155,0.712653979090156,0.794553198451298,1.2246580785177,0.497174446725009,0,1,-0.0818992193611419,0.727483631792694
0.01,309,0.390351936763949,0.441074371466026,0.694073473768499,0.328672976814506,7881,7881,310,0.336228299960402,0.373414173819222,0.57301012160684,0.207306262973453,7909.5,7909.5,310,0.726580236724351,0.814488545285247,1.26708359537534,0.535979239787959,0,1,-0.0879083085608964,0.73110435558738
0.015,464,0.395100021044622,0.374642273030565,0.707259782478598,0.170803918974738,7958.5,7958.5,465,0.346992371881558,0.37315649871637,0.606617451187664,0.206791324976207,7987,7987,464,0.74209239292618,0.747798771746935,1.31387723366626,0.377595243950945,0,1,-0.00570637882075442,0.936281989715317
0.02,618,0.388116414283825,0.302767119572634,0.68786501414379,0,8035.5,7248,620,0.34562894507735,0.393065023498752,0.602360592416746,0.246576526441609,8064.5,8064.5,619,0.733745359361175,0.695832143071386,1.29022560656054,0.246576526441609,393.75,0.00253324889170361,0.0379132162897883,1.04364908011893
0.025,773,0.38273463414651,0.303400508854536,0.67291881477042,0.00150518456491094,8113,7106.5,775,0.345246943490894,0.423281417438458,0.601167916140478,0.306960976499554,8142,8142,774,0.727981577637404,0.726681926292994,1.2740867309109,0.308466161064465,503.25,0.00198314328210213,0.00129965134441012,0.965620569846432
0.03,927,0.385696923353347,0.314422848089875,0.681145640087937,0.0276986415119872,8190,6989.5,930,0.339270014935861,0.430250806908004,0.582506891827247,0.320888606354987,8219.5,8219.5,928,0.724966938289208,0.744673654997878,1.26365253191518,0.348587247866974,600.25,0.00166320166320166,-0.0197067167086702,0.91506528404821
0.035,1082,0.391420674224617,0.348992805368772,0.697041555473322,0.109850593861987,8267.5,8267.5,1086,0.338900247871637,0.466920171971172,0.581352413885581,0.39416867570184,8297.5,8297.5,1084,0.730320922096255,0.815912977339944,1.2783939693589,0.504019269563828,0,1,-0.0855920552436891,0.774374699795075
0.04,1236,0.400905549780292,0.381983248711487,0.723382810126926,0.18824899359477,8344.5,8344.5,1241,0.342570025009445,0.47701311270906,0.592810104865523,0.414338411281173,8375,8375,1238,0.743475574789737,0.858996361420547,1.31619291499245,0.602587404875942,0,1,-0.11552078663081,0.713605510116507
0.045,1391,0.403865830071292,0.419016352734789,0.7316040563134,0.276254361161482,8422,8422,1396,0.350846153551468,0.432422453701412,0.618649636745496,0.325228425911276,8452.5,8452.5,1394,0.75471198362276,0.851438806436201,1.3502536930589,0.601482787072758,0,1,-0.0967268228134416,0.748770905986138
0.05,1545,0.397035409485588,0.418254935825025,0.712634714334886,0.274444932090315,8499,8499,1551,0.356588224074257,0.452010292003227,0.636577392891052,0.364372767424668,8530,8530,1548,0.753623633559845,0.870265227828251,1.34921210722594,0.638817699514983,0,1,-0.116641594268406,0.710394407710955
0.055,1700,0.385647553590262,0.391261120857319,0.681008531119665,0.210296903700202,8576.5,8576.5,1706,0.366527974458156,0.474366487374922,0.66761104535544,0.409049394476909,8607.5,8607.5,1703,0.752175528048418,0.865627608232241,1.34861957647511,0.619346298177111,0,1,-0.113452080183822,0.729273278297995
0.06,1854,0.385452980424762,0.372616918497375,0.680468165432092,0.16599087197673,8653.5,8653.5,1861,0.364043695985213,0.493906826902014,0.65985469013761,0.448098814425678,8685,8685,1858,0.749496676409975,0.866523745399389,1.3403228555697,0.614089686402407,0,1,-0.117027068989414,0.726233169167295
0.065,2009,0.385669284833709,0.325179080378968,0.681068882804219,0.0532597226365676,8731,8731,2016,0.360127268190812,0.473538106699127,0.647626912338462,0.407393958303873,8762.5,8762.5,2012,0.74579655302452,0.798717187078096,1.32869579514268,0.460653680940441,0,1,-0.0529206340535753,0.86804211420224
0.07,2163,0.385242801794567,0.375988169523484,0.679884460481172,0.174002303735884,8808,8808,2171,0.356371857971115,0.482623161621248,0.635901859785023,0.425549534588493,8840,8840,2167,0.741614659765682,0.858611331144731,1.31578632026619,0.599551838324378,0,1,-0.116996671379049,0.716234481941817
0.075,2318,0.396818371773736,0.41662780643132,0.712031960444889,0.270578226229486,8885.5,8885.5,2326,0.362355231686831,0.496934348144555,0.654583007025791,0.454149013719292,8917.5,8917.5,2322,0.759173603460568,0.913562154575875,1.36661496747068,0.724727239948778,0,1,-0.154388551115307,0.641887727521902
0.08,2472,0.398020633450354,0.439242193828897,0.715370863606891,0.324318994866311,8962.5,8962.5,2481,0.360406298083637,0.507134942535928,0.64849809283965,0.474533884389709,8995,8995,2476,0.758426931533991,0.946377136364825,1.36386895644654,0.79885287925602,0,1,-0.187950204830834,0.565016077190521
0.085,2627,0.456817081811572,0.380965983838405,0.878659481356203,0.1858315681202,9040,9040,2636,0.357917541892237,0.48573130515046,0.64072775739565,0.431760849482229,9072.5,9072.5,2632,0.814734623703809,0.866697288988865,1.51938723875185,0.617592417602429,0,1,-0.0519626652850562,0.901794821149424
0.09,2781,0.500508991492115,0.336367823124116,1,0.0798486204312676,9117,9117,2791,0.356101052658493,0.498830313209748,0.635056357872718,0.457937910833197,9150,9150,2786,0.856610044150607,0.835198136333864,1.63505635787272,0.537786531264465,0,1,0.0214119078167438,1.09726982660825
0.095,2936,0.494471515370419,0.384468581469481,0.983232811537364,0.194155131593766,9194.5,9194.5,2947,0.361123525284624,0.512728468897626,0.650737402564114,0.485711989027532,9228,9228,2942,0.855595040655042,0.897197050367107,1.63397021410148,0.679867120621298,0,1,-0.0416020097120647,0.954103093480179
0.1,3090,0.482361899136357,0.419635790989513,0.949602166295213,0.277726392543392,9271.5,9271.5,3102,0.355486459803517,0.50245696323256,0.633137490664612,0.465185409248035,9305.5,9305.5,3096,0.837848358939873,0.922092754222073,1.58273965695982,0.742911801791428,0,1,-0.0842443952821997,0.839827855168397
0.105,3245,0.487601605778031,0.453422580041952,0.964153801279602,0.358017226052459,9349,9349,3257,0.347141060302427,0.456575140915253,0.607081682642228,0.373495162760801,9383,9383,3251,0.834742666080458,0.909997720957205,1.57123548392183,0.731512388813261,0,1,-0.075255054876747,0.839723095108569
0.11,3399,0.465672090687836,0.396200565114532,0.903251479680318,0.222034985583854,9426,9426,3412,0.350659806864588,0.459318869004521,0.618067829547611,0.37897822973794,9460.5,9460.5,3406,0.816331897552424,0.855519434119054,1.52131930922793,0.601013215321794,0,1,-0.0391875365666295,0.920306093906136
0.115,3554,0.434878436516897,0.32612020910294,0.817731803489477,0.0554962183736961,9503.5,7505,3567,0.352130094888003,0.461578083227593,0.622658327877946,0.383493044070037,9538,9538,3560,0.787008531404901,0.787698292330533,1.44039013136742,0.438989262443733,999.25,0.000999750062484379,-0.000689760925632776,1.00140086892369
0.12,3708,0.418878438097158,0.336697176469178,0.773296846978164,0.0806312948237059,9580.5,9580.5,3722,0.362189757674685,0.482376786954231,0.654066367996991,0.425057179385365,9615.5,9615.5,3715,0.781068195771842,0.819073963423409,1.42736321497515,0.50568847420907,0,1,-0.0380057676515665,0.921674740766084
0.125,3863,0.41847265260359,0.382352186924983,0.772169905569385,0.189125737360771,9658,9658,3877,0.366880882115815,0.488548568887121,0.668712885258538,0.437390870117581,9693,9693,3870,0.785353534719406,0.870900755812105,1.44088279082792,0.626516607478352,0,1,-0.0855472210926986,0.814366183349572
0.13,4017,0.43609145269036,0.371454608393428,0.821100573879407,0.163228761410464,9735,9735,4032,0.358457282267178,0.472957444826486,0.642412921969206,0.406233563455996,9770.5,9770.5,4024,0.794548734957538,0.844412053219914,1.46351349584861,0.56946232486646,0,1,-0.0498633182623753,0.894051170982152
0.135,4172,0.491479819258172,0.32738578004898,0.974924317801592,0.0585037177239496,9812.5,7584.5,4187,0.354340800053328,0.427634683686785,0.629560539015263,0.31566054498167,9848,9848,4180,0.845820619311499,0.755020463735765,1.60448485681686,0.37416426270562,1114,0.000896860986547085,0.0908001555757345,1.23032059411124
