"feature_id","ctrl_abs_loading","trt_abs_loading","rank_ctrl","rank_trt","mu_ctrl","mu_trt","var_ctrl","var_trt","nb1_ctrl","nb1_trt","nb2_ctrl","nb2_trt","alpha_mu_ctrl","alpha_mu_trt","gene_symbol"
"20",0.00223088047484163,0.000516056926116696,8909,3901,4.6,1,27.8,5,4.6,1,23.2,4,5.04347826086957,4,"-"
"25",0.000383078835144092,0.00784673939615448,2284,26509,15.6,14.8,28.8,177.7,15.6,14.8,13.2,162.9,0.846153846153846,11.0067567567568,"-"
"31",0.00294119439163528,0.00335956465743746,12092,14610,23.4,18.6,76.3,141.3,23.4,18.6,52.9,122.7,2.26068376068376,6.59677419354839,"Pcmt1"
"35",0.000788201657416737,0.00137778902515023,3367,7151,120,91.2,298,806.7,120,91.2,178,715.5,1.48333333333333,7.84539473684211,"Pcmt1"
"37",0.00231441549284667,0.00570628390497398,9335,21512,103.4,90.2,536.8,2854.2,103.4,90.2,433.4,2764,4.19148936170213,30.6430155210643,"Pcmt1"
"38",0.00480012170467825,0.0084164560624437,19800,27503,30,30.2,196.5,669.7,30,30.2,166.5,639.5,5.55,21.1754966887417,"Pcmt1"
"89",0.00376421306049101,0.00377760122754808,15932,16307,39.2,42.6,223.2,324.3,39.2,42.6,184,281.7,4.69387755102041,6.61267605633803,"Tab2"
"90",0.00253698941924111,0.00589663602708072,10315,21905,17.8,11,145.2,41.5,17.8,11,127.4,30.5,7.15730337078652,2.77272727272727,"Tab2"
"143",0.0095426258102212,0.00884936755088793,28882,28029,13.6,11.2,128.3,98.7,13.6,11.2,114.7,87.5,8.43382352941177,7.8125,"Ust"
"214",0.00255006652452281,0,10359,1,1.2,0,2.7,0,1.2,0,1.5,0,1.25,NA,"LOC365036"
"224",0.00506767251356033,0.00447287588639806,20610,18490,47.4,43.2,780.8,442.7,47.4,43.2,733.4,399.5,15.4725738396624,9.24768518518519,"Sash1"
"304",0.00130528825887263,0.000454908484278181,5156,3202,3.4,0.6,14.3,1.8,3.4,0.6,10.9,1.2,3.20588235294118,2,"Sash1"
"576",0.0025110856307593,0.0023279039619987,10225,10324,2.2,4,9.2,42.5,2.2,4,7,38.5,3.18181818181818,9.625,"-"
"615",0,0.000682362726417271,1,4897,0,1.4,0,9.8,0,1.4,0,8.4,NA,6,"-"
"672",0.00352841861768602,0,14680,2,0.6,0,1.8,0,0.6,0,1.2,0,2,NA,"-"
"673",0.00456041490678237,0.000399276141119725,18972,2783,1,0.6,5,1.8,1,0.6,4,1.2,4,2,"-"
"708",0.0040963671594644,0.0103464366239326,17256,29682,3.2,2,3.2,20,3.2,2,0,18,0,9,"-"
"774",0.00372506804629312,0.0025366217275429,15789,11339,5.4,4.8,24.3,10.7,5.4,4.8,18.9,5.9,3.5,1.22916666666667,"-"
"829",0.0127574254121886,0.00337041049407527,31045,14644,5,2.4,25.5,12.8,5,2.4,20.5,10.4,4.1,4.33333333333333,"-"
"833",0.00901284610545706,0.00370980843164399,28274,16089,4,5,16.5,33.5,4,5,12.5,28.5,3.125,5.7,"Stxbp5"
"842",0.000442654195432135,0.00336799861353545,2436,14641,25,22.8,8,127.7,25,22.8,0,104.9,-0.68,4.60087719298246,"Stxbp5"
"845",0.00857131660061185,0.00478399319406508,27719,19324,3,2.4,9,5.3,3,2.4,6,2.9,2,1.20833333333333,"Stxbp5"
"926",0,0,2,3,0,0,0,0,0,0,0,0,NA,NA,"-"
"964",0.00541429009183393,0.000174999541370007,21481,2007,2.8,2,7.2,8,2.8,2,4.4,6,1.57142857142857,3,"-"
"969",0.00551128900596953,0.00516180550499685,21716,20193,7.4,5.4,19.3,24.3,7.4,5.4,11.9,18.9,1.60810810810811,3.5,"LOC120098778"
"984",0.00132539024596355,0.00251747257856596,5237,11276,12.8,11.4,32.2,36.8,12.8,11.4,19.4,25.4,1.515625,2.2280701754386,"Grm1"
"986",0.00468489800326909,0.00734094845761208,19412,25496,6,2.2,48.5,12.2,6,2.2,42.5,10,7.08333333333333,4.54545454545454,"Grm1"
"1106",0.0138748812963047,0.00468465908988357,31358,19044,13.6,9.4,458.3,36.8,13.6,9.4,444.7,27.4,32.6985294117647,2.91489361702128,"-"
"1110",0,0.00695385932346602,3,24820,0,2.6,0,6.8,0,2.6,0,4.2,NA,1.61538461538461,"Epm2a"
"1132",0.0163121540195735,0.00165917416401885,31650,8019,8,3.4,118,20.3,8,3.4,110,16.9,13.75,4.97058823529412,"-"
"1137",0.00289987352502053,0.000500124914500594,11937,3728,66.8,54.6,608.7,36.3,66.8,54.6,541.9,0,8.1122754491018,-0.335164835164835,"Utrn"
"1138",0.00596634617133225,0.000882348115828874,22682,5692,0.6,4.2,1.8,9.2,0.6,4.2,1.2,5,2,1.19047619047619,"Utrn"
"1272",0.000856747865889716,0.00315169896931317,3560,13867,3.4,5,27.8,39.5,3.4,5,24.4,34.5,7.1764705882353,6.9,"-"
"1282",0.00332997509838329,0.00324642143454338,13696,14220,7.6,8.2,23.8,17.2,7.6,8.2,16.2,9,2.13157894736842,1.09756097560976,"Ltv1"
"1293",0.00423541998429802,0.00359142068751093,17820,15660,8.2,8,31.2,23,8.2,8,23,15,2.80487804878049,1.875,"Phactr2"
"1295",0.00552096511487178,0.00429708711522011,21739,18014,17.6,14.8,164.3,91.2,17.6,14.8,146.7,76.4,8.33522727272727,5.16216216216216,"Phactr2"
"1345",0.000238385115833679,0.00414221563505615,1939,17518,3.6,3.6,5.3,14.3,3.6,3.6,1.7,10.7,0.472222222222222,2.97222222222222,"Pex3"
"1346",0.00191207406427453,0.0076692767528517,7639,26097,6.2,9,7.2,71,6.2,9,1,62,0.161290322580645,6.88888888888889,"Pex3"
"1367",0.00263188592538992,0.00500198493856248,10784,19866,282.2,235,4436.2,13423.5,282.2,235,4154,13188.5,14.7200566973777,56.1212765957447,"Aig1"
"1369",0.00852372286437801,0.00791064188266318,27649,26602,4,6.8,19.5,25.7,4,6.8,15.5,18.9,3.875,2.77941176470588,"Aig1"
"1473",0.000112138970876576,0.00425217289906576,1274,17875,0.6,10,1.8,26,0.6,10,1.2,16,2,1.6,"Adgrg6"
"1501",0.00121761633612007,0.0104545273617254,4798,29807,9.8,8.2,15.7,66.7,9.8,8.2,5.9,58.5,0.60204081632653,7.13414634146342,"Vta1"
"1540",0.00140100551260884,0.00399394665411546,5576,16962,31.2,17,316.7,140.5,31.2,17,285.5,123.5,9.15064102564103,7.26470588235294,"-"
"1576",0.00370477198161804,0,15553,4,0.6,0,1.8,0,0.6,0,1.2,0,2,NA,"-"
"1579",0.00413895166945888,0.0059815818114122,17449,22127,3.4,0.6,12.8,1.8,3.4,0.6,9.4,1.2,2.76470588235294,2,"-"
"1634",0.00175589935638666,0.00273255223462128,6984,12052,143,140.4,842,2528.8,143,140.4,699,2388.4,4.88811188811189,17.011396011396,"Heca"
"1655",0.00522378533278208,0.0104031920785783,20994,29768,35,43.2,320,1360.2,35,43.2,285,1317,8.14285714285714,30.4861111111111,"Abracl"
"1656",0.00732941005032092,0.0123170767193764,25697,30902,7,6.2,26,60.2,7,6.2,19,54,2.71428571428571,8.70967741935484,"Abracl"
"1683",0.000323623224445153,0.00919461678402411,2141,28505,44.4,43.6,54.3,600.3,44.4,43.6,9.9,556.7,0.222972972972973,12.7683486238532,"Ccdc28a"
"1693",0.0122732504029644,0.00834335202037806,30857,27253,24.6,26.8,1153.3,435.7,24.6,26.8,1128.7,408.9,45.8821138211382,15.2574626865672,"LOC102549339"
"1713",0.00722323044349098,0.00839499274733123,25484,27340,7.6,5.2,29.3,25.2,7.6,5.2,21.7,20,2.85526315789474,3.84615384615385,"Hebp2"
"1741",0.00241014967871859,0.000598805768270362,9788,4424,94.8,77.2,588.7,909.2,94.8,77.2,493.9,832,5.20991561181435,10.7772020725389,"-"
"1742",0.00457404853263079,0.000274299854131621,19039,2377,6.6,6.2,34.8,37.2,6.6,6.2,28.2,31,4.27272727272727,5,"-"
"1866",0.00472161232446541,0.00597725482042015,19511,22106,4.8,1.8,8.7,7.2,4.8,1.8,3.9,5.4,0.8125,3,"Tnfaip3"
"1895",0.00828533526322305,0.000463545244842051,27244,3450,2.2,0.8,4.2,3.2,2.2,0.8,2,2.4,0.909090909090909,3,"-"
"1910",0.00495627054742593,0.0128790353590224,20279,31092,7,6.4,21.5,68.8,7,6.4,14.5,62.4,2.07142857142857,9.75,"Slc35d3"
"1918",0.00958596475014704,0.00364038324265835,28925,15874,6,10,22.5,70,6,10,16.5,60,2.75,6,"Pex7"
"1922",0.00130963005023534,0.0124132755504982,5178,30944,196.2,172.2,5881.7,39978.2,196.2,172.2,5685.5,39806,28.9780835881753,231.16144018583,"LOC102547604"
"1929",0.00721291110079711,0.00477225204521363,25468,19288,3.6,3.8,8.3,14.7,3.6,3.8,4.7,10.9,1.30555555555556,2.86842105263158,"Map3k5"
"1941",0.0112692666035665,0.00949672078676895,30349,28908,18.6,8.4,536.3,58.8,18.6,8.4,517.7,50.4,27.8333333333333,6,"Map7"
"1946",0.00554077959292038,0.00131317279639668,21797,6959,23.6,22.8,159.3,60.7,23.6,22.8,135.7,37.9,5.75,1.66228070175439,"-"
"1955",0.00267117406031252,0.00192332983475321,10963,8968,60.6,45,520.8,323.5,60.6,45,460.2,278.5,7.59405940594059,6.18888888888889,"Pde7b"
"2081",0.000553796328792854,0.00246621727938508,2713,11058,2.6,3.8,6.3,6.2,2.6,3.8,3.7,2.4,1.42307692307692,0.631578947368421,"Pde7b"
"2104",0.0112958786627319,0.00137153408851572,30360,7126,7.2,5,84.2,17.5,7.2,5,77,12.5,10.6944444444444,2.5,"LOC120098802"
