"index","rank","d1_here","d2_here","var_fit_here"
27,27,0.00177375401583118,2.78205200368348e-09,-0.48835170027729
822,822,0.00338269036212579,-2.3521760816232e-09,1.43774398139001
2379,2379,-0.000329469841215332,5.14109161604691e-09,3.18790061273774
3413,3413,0.000465812081138054,-2.07293766039371e-09,3.26343384318902
3665,3665,0.000407665122229985,1.07575201052569e-09,3.37361069101253
4258,4258,0.000768587139411397,-4.27563093281103e-09,3.7122208031584
5121,5121,0.000315632671380507,1.82494267995970e-09,4.17931215353561
5386,5386,0.000347104049876007,-1.18525218377961e-09,4.26726270038806
6081,6081,0.000119471881010222,2.22252160583396e-09,4.43852457152331
6792,6792,0.000326390223350412,-1.13557076376908e-08,4.61471413291882
7388,7388,-0.00056782680329144,1.8317260875666e-09,4.52831607157141
8024,8024,0.000618679748867442,-2.53086282812103e-09,4.57384528845494
8581,8581,6.05021734844012e-05,4.12604605163091e-09,4.7755729990716
9027,9027,0.000383767343501977,-8.48202035824852e-10,4.88266943588322
9139,9139,0.000369692612093904,2.73275935234288e-09,4.92492089792029
9328,9328,0.000432142843299579,-1.68685847955387e-09,5.00036457188771
10336,10336,-0.00156498370653903,1.15880976816685e-08,4.5085585853548
10956,10956,0.00157394501221561,-3.40452618867805e-09,4.43173879275988
11728,11728,-0.000623866511203827,2.79726143061096e-08,4.78962383399317
12150,12150,0.000623739931126749,-6.94572578454053e-09,4.79240982168409
12879,12879,-0.00193605760591131,3.7653391767376e-09,4.35006940702518
13535,13535,0.00212008748565484,-4.72487582096543e-09,4.4288218833076
14389,14389,-0.000564383639534692,1.24881153347559e-09,5.03517691424088
15312,15312,0.000408907785707764,-9.18209937111884e-09,5.09701360679894
15833,15833,-0.000578176295242185,1.87403897106453e-08,5.06032062459227
16156,16156,-0.000117501963346758,-4.86304895942026e-09,4.94598611050967
16443,16443,-0.000247589959313727,1.64037490127674e-09,4.89087899898184
17074,17074,0.00085949347076318,-7.76145427594875e-09,5.0746438407253
17837,17837,-0.000479655916525948,1.27709694584729e-08,5.23217138480052
18408,18408,0.000389134966788415,-8.43292101777122e-09,5.23586149849711
19162,19162,-0.000313471631527742,1.60367777967823e-10,5.25439307430709
19840,19840,0.000264234027927619,-1.16108738019058e-09,5.20495865377769
20571,20571,-0.000257265302114066,5.20743647399504e-09,5.22677085298036
20950,20950,6.71827808895803e-05,-4.01622527304916e-10,5.18458156117125
21610,21610,-0.000351985078083252,6.67453616404234e-09,5.07333172634208
22171,22171,0.00045708555880525,-2.61026894753260e-09,5.08427303840431
23084,23084,-0.000356131764153541,4.12408494779145e-09,5.13768158960659
23616,23616,-5.39426157826849e-05,-5.83535986697372e-09,5.02517853603988
24288,24288,-0.000794603233614257,6.12137341784958e-09,4.75900528295153
24814,24814,0.000208913740186436,-1.11789809844546e-09,4.61185725938249
25504,25504,-0.000454746950561348,6.69541058956082e-09,4.51812099236917
26004,26004,8.27491466612735e-05,-5.14967633070155e-10,4.42651542167258
26537,26537,-0.000213648355685427,1.21077448787085e-09,4.3862591191753
26885,26885,-6.89673104355967e-05,-2.67681861871531e-09,4.33657612918762
27358,27358,-0.000285976895685741,3.8505762408865e-09,4.25079838688157
28103,28103,6.64284717699879e-05,-1.5244927176399e-09,4.16671778542607
28646,28646,-0.000255085362389424,1.598859911284e-09,4.11587742770138
29592,29592,0.000306699435143939,-2.42597231818165e-09,4.14267734998984
29632,29632,0.000306286508696458,4.3877546558555e-10,4.15493494538189
29908,29908,0.000316708468632424,7.42834376790223e-12,4.24096761556071
30266,30266,0.000269299643756213,1.36260514554892e-09,4.34678588395583
31744,31744,0.00248878367561612,-7.44628587216069e-09,6.17849261751276
