"feature_id","gene_symbol","ctrl_abs_loading","trt_abs_loading","ctrl_rank","trt_rank","mu_ctrl","mu_trt","var_ctrl","var_trt","nb1_ctrl","nb1_trt","nb2_ctrl","nb2_trt","alpha_mu_ctrl","alpha_mu_trt"
"20","-",0.0102210800372854,0.0114226561188593,29854,30260,5.2,10.2,27.7,61.7,5.2,10.2,22.5,51.5,4.32692307692308,5.04901960784314
"25","-",0.00163598604151344,0.0028824400425799,5236,13257,11.6,16.2,36.8,216.2,11.6,16.2,25.2,200,2.17241379310345,12.3456790123457
"31","Pcmt1",0.00374660932297913,0.00337740071602611,13373,14930,24.2,28.6,104.7,122.3,24.2,28.6,80.5,93.7,3.32644628099174,3.27622377622378
"35","Pcmt1",0.00318613938047224,0.000200513698626897,10450,2779,107,88.2,2826.5,1177.7,107,88.2,2719.5,1089.5,25.4158878504673,12.3526077097506
"37","Pcmt1",0.00316462272990966,0.00599267801848494,10313,23114,123.4,77,2314.8,1711.5,123.4,77,2191.4,1634.5,17.7585089141005,21.2272727272727
"38","Pcmt1",0.00429550436317571,0.00248885729145701,16098,11643,53.2,27.8,1407.7,135.7,53.2,27.8,1354.5,107.9,25.4605263157895,3.88129496402878
"89","Tab2",0.0026851248748728,0.000572046493689407,8311,4141,47.2,40.4,765.7,359.3,47.2,40.4,718.5,318.9,15.2224576271186,7.89356435643565
"90","Tab2",0.0156230566478099,0.00231812130051351,31696,11119,22.6,9.4,518.3,13.8,22.6,9.4,495.7,4.4,21.9336283185841,0.468085106382979
"143","Ust",0.00334373250848922,0.00427073280788501,11065,18469,9.2,21.8,51.2,645.7,9.2,21.8,42,623.9,4.56521739130435,28.6192660550459
"214","LOC365036",0.00210721148294752,0.00367631451201577,6550,15992,2.8,0.6,8.7,1.8,2.8,0.6,5.9,1.2,2.10714285714286,2
"224","Sash1",0.00381876759373675,0.000424110598541999,13795,3643,48.6,37.6,567.8,20.3,48.6,37.6,519.2,0,10.6831275720165,-0.460106382978723
"304","Sash1",0.00336204617703886,0,11145,1,0.6,0,1.8,0,0.6,0,1.2,0,2,NA
"576","-",0.00101826045613676,0.00670600568198755,3751,24661,3.2,2.6,13.7,6.8,3.2,2.6,10.5,4.2,3.28125,1.61538461538461
"615","-",0,0.00218419673896333,1,10329,0,0.6,0,1.8,0,0.6,0,1.2,NA,2
"672","-",0.000294507581604037,0,1919,2,1,0,5,0,1,0,4,0,4,NA
"673","-",0.002822354224712,0.0041580061024171,8807,17883,5.8,2.6,46.7,33.8,5.8,2.6,40.9,31.2,7.05172413793104,12
"708","-",0.00310863694417156,0.0110170517442821,10041,29987,6.4,3.4,39.3,12.8,6.4,3.4,32.9,9.4,5.140625,2.76470588235294
"774","-",0.00383594391402299,0.00715830542041622,13861,25330,9.8,5.8,19.2,22.7,9.8,5.8,9.4,16.9,0.959183673469387,2.91379310344828
"829","-",0.00368944771540966,0.0132632975702063,13089,31119,1.6,4.4,4.8,22.3,1.6,4.4,3.2,17.9,2,4.06818181818182
"833","Stxbp5",0.00340577945591951,0.00463915471110804,11552,19349,0.6,3.6,1.8,64.8,0.6,3.6,1.2,61.2,2,17
"842","Stxbp5",0.00539381334407285,0.00519472096507158,20841,20958,21.4,16.2,240.8,181.7,21.4,16.2,219.4,165.5,10.2523364485981,10.216049382716
"845","Stxbp5",0.00775604562546072,0,26626,3,5.6,0,25.3,0,5.6,0,19.7,0,3.51785714285714,NA
"926","-",0.00311127187431547,0,10054,4,1.6,0,5.3,0,1.6,0,3.7,0,2.3125,NA
"964","-",0.00455275369011839,0.00456492300345268,17355,19152,1.8,6.4,7.2,77.3,1.8,6.4,5.4,70.9,3,11.078125
"969","LOC120098778",0.0106138162288367,0.0052696811452683,30193,21123,5.2,1.6,70.7,5.3,5.2,1.6,65.5,3.7,12.5961538461538,2.3125
"984","Grm1",0.00900824231970384,0.00329068887435825,28431,14687,11.6,7.2,85.3,23.7,11.6,7.2,73.7,16.5,6.35344827586207,2.29166666666667
"986","Grm1",0.0075154089851463,0.00215598348464457,26239,10245,3,3.4,9,8.3,3,3.4,6,4.9,2,1.44117647058824
"1106","-",0.00690218878933385,0.0118478006544705,25016,30519,22.2,13.4,268.7,113.3,22.2,13.4,246.5,99.9,11.1036036036036,7.45522388059701
"1110","Epm2a",0.00390321473738759,0,14122,5,0.8,0,3.2,0,0.8,0,2.4,0,3,NA
"1132","-",0.0103761056714521,0.00493470092810502,29956,20304,3,2.2,18,4.7,3,2.2,15,2.5,5,1.13636363636364
"1137","Utrn",0.00392441303896822,0.00315883910816581,14353,14268,68.4,45.8,809.3,165.7,68.4,45.8,740.9,119.9,10.8318713450292,2.617903930131
"1138","Utrn",0.0052230848320897,0.00284035715974377,20199,13131,3.4,3.4,21.8,12.3,3.4,3.4,18.4,8.9,5.41176470588235,2.61764705882353
"1272","-",0.00126662581272454,0.011511749716636,4336,30310,11.4,8.8,73.3,46.7,11.4,8.8,61.9,37.9,5.42982456140351,4.30681818181818
"1282","Ltv1",0.0065966602672177,0.00157951517021803,24337,8075,8,10.4,39.5,44.3,8,10.4,31.5,33.9,3.9375,3.25961538461538
"1293","Phactr2",0.00735769248924995,0.0082514688452955,25953,26972,8.4,7.6,30.3,51.3,8.4,7.6,21.9,43.7,2.60714285714286,5.75
"1295","Phactr2",0.00406811527015535,0.000804594126099183,15148,5007,18.4,10.6,198.8,15.3,18.4,10.6,180.4,4.7,9.80434782608696,0.443396226415094
"1345","Pex3",0.0044019545768107,0.00853647449927692,16728,27448,0.8,5.2,3.2,23.7,0.8,5.2,2.4,18.5,3,3.55769230769231
"1346","Pex3",0.00509536062798312,0.00321317697324136,19642,14410,19.2,10.2,85.7,34.7,19.2,10.2,66.5,24.5,3.46354166666667,2.40196078431373
"1367","Aig1",0.00472516328336235,0.000609588837340774,18102,4284,282.8,190.2,17375.7,5407.2,282.8,190.2,17092.9,5217,60.4416548797737,27.4290220820189
"1369","Aig1",0.00258158086875597,0.00190587399183797,7964,9385,11.6,3.8,106.3,17.2,11.6,3.8,94.7,13.4,8.16379310344828,3.52631578947368
"1473","Adgrg6",6.19926869510731e-05,0.00890175292071928,1213,27928,8,4.8,3.5,31.7,8,4.8,0,26.9,-0.5625,5.60416666666667
"1501","Vta1",0.00254366280852049,0.00113012437577536,7830,6228,13.8,12.8,37.7,21.7,13.8,12.8,23.9,8.9,1.73188405797101,0.6953125
"1540","-",0.00548671459506086,0.00651209031078991,21211,24342,7.8,27.8,49.7,555.7,7.8,27.8,41.9,527.9,5.37179487179487,18.9892086330935
"1576","-",0,0.00973786460758472,2,28831,0,2.4,0,5.3,0,2.4,0,2.9,NA,1.20833333333333
"1579","-",0.00583011350972861,0.0134837001800637,22291,31188,5.4,12.8,23.3,234.7,5.4,12.8,17.9,221.9,3.31481481481481,17.3359375
"1634","Heca",0.00517562013426724,0.00264196342336885,20050,12388,134.4,108.2,4854.8,703.7,134.4,108.2,4720.4,595.5,35.1220238095238,5.50369685767098
"1655","Abracl",0.00116748488609563,0.00664269137394855,4088,24564,83,37.4,2528.5,812.3,83,37.4,2445.5,774.9,29.4638554216867,20.7192513368984
