"feature_id","gene_symbol","rank","abs_loading","mu","variance","nb1","nb2","alpha_mu","log_variance","log_nb1","log_nb2","log_alpha_mu","nb_gap"
"214","LOC365036",1,0,0,0,0,0,NA,0,0,0,NA,0
"672","-",2,0,0,0,0,0,NA,0,0,0,NA,0
"926","-",3,0,0,0,0,0,NA,0,0,0,NA,0
"1576","-",4,0,0,0,0,0,NA,0,0,0,NA,0
"3279","-",5,0,0,0,0,0,NA,0,0,0,NA,0
"4456","Dynlt1",6,0,0,0,0,0,NA,0,0,0,NA,0
"5332","Pde10a",7,0,0,0,0,0,NA,0,0,0,NA,0
"6396","Cnot3",8,0,0,0,0,0,NA,0,0,0,NA,0
"6569","Prkcg",9,0,0,0,0,0,NA,0,0,0,NA,0
"6612","-",10,0,0,0,0,0,NA,0,0,0,NA,0
"7638","-",11,0,0,0,0,0,NA,0,0,0,NA,0
"7955","Fkrp",12,0,0,0,0,0,NA,0,0,0,NA,0
"8035","Hif3a",13,0,0,0,0,0,NA,0,0,0,NA,0
"8269","Apoc4",14,0,0,0,0,0,NA,0,0,0,NA,0
"8595","Pou2f2",15,0,0,0,0,0,NA,0,0,0,NA,0
"8739","Tmem91",16,0,0,0,0,0,NA,0,0,0,NA,0
"8841","Epc2l1",17,0,0,0,0,0,NA,0,0,0,NA,0
"9271","Dyrk1b",18,0,0,0,0,0,NA,0,0,0,NA,0
"9592","Sipa1l3",19,0,0,0,0,0,NA,0,0,0,NA,0
"9593","Sipa1l3",20,0,0,0,0,0,NA,0,0,0,NA,0
"9936","Cox6b1",21,0,0,0,0,0,NA,0,0,0,NA,0
"10937","Zfp17",22,0,0,0,0,0,NA,0,0,0,NA,0
"11109","Emc10",23,0,0,0,0,0,NA,0,0,0,NA,0
"11500","Snrnp70",24,0,0,0,0,0,NA,0,0,0,NA,0
"11538","Ftl1",25,0,0,0,0,0,NA,0,0,0,NA,0
"11556","Dhdh",26,0,0,0,0,0,NA,0,0,0,NA,0
"12336","Cyfip1",27,0,0,0,0,0,NA,0,0,0,NA,0
"12384","Nipa1",28,0,0,0,0,0,NA,0,0,0,NA,0
"12443","-",29,0,0,0,0,0,NA,0,0,0,NA,0
"14901","-",30,0,0,0,0,0,NA,0,0,0,NA,0
"15217","-",31,0,0,0,0,0,NA,0,0,0,NA,0
"16970","Fes",32,0,0,0,0,0,NA,0,0,0,NA,0
"17119","Pde8a",33,0,0,0,0,0,NA,0,0,0,NA,0
"17239","RGD1305713",34,0,0,0,0,0,NA,0,0,0,NA,0
"17426","Arnt2",35,0,0,0,0,0,NA,0,0,0,NA,0
"18165","-",36,0,0,0,0,0,NA,0,0,0,NA,0
"18338","Aamdc",37,0,0,0,0,0,NA,0,0,0,NA,0
"18754","Pold3",38,0,0,0,0,0,NA,0,0,0,NA,0
"19850","Dennd5a",39,0,0,0,0,0,NA,0,0,0,NA,0
"22259","LOC120099936",40,0,0,0,0,0,NA,0,0,0,NA,0
"22275","Ccdc189",41,0,0,0,0,0,NA,0,0,0,NA,0
"22447","Prss36",42,0,0,0,0,0,NA,0,0,0,NA,0
"22698","Ate1",43,0,0,0,0,0,NA,0,0,0,NA,0
"22789","Cuzd1",44,0,0,0,0,0,NA,0,0,0,NA,0
"22966","-",45,0,0,0,0,0,NA,0,0,0,NA,0
"22967","-",46,0,0,0,0,0,NA,0,0,0,NA,0
"23058","-",47,0,0,0,0,0,NA,0,0,0,NA,0
"23669","Ptdss2",48,0,0,0,0,0,NA,0,0,0,NA,0
"24206","Cars",49,0,0,0,0,0,NA,0,0,0,NA,0
"24938","Peli3",50,0,0,0,0,0,NA,0,0,0,NA,0
"24944","Npas4",51,0,0,0,0,0,NA,0,0,0,NA,0
"25630","Vegfb",52,0,0,0,0,0,NA,0,0,0,NA,0
"26322","Cd5",53,0,0,0,0,0,NA,0,0,0,NA,0
"27331","Apba1",54,0,0,0,0,0,NA,0,0,0,NA,0
"28759","Pcgf5",55,0,0,0,0,0,NA,0,0,0,NA,0
"29101","Sorbs1",56,0,0,0,0,0,NA,0,0,0,NA,0
"29295","Tctn3",57,0,0,0,0,0,NA,0,0,0,NA,0
"29511","Exosc1",58,0,0,0,0,0,NA,0,0,0,NA,0
"30104","Psd",59,0,0,0,0,0,NA,0,0,0,NA,0
"30561","Sorcs1",60,0,0,0,0,0,NA,0,0,0,NA,0
"30795","-",61,0,0,0,0,0,NA,0,0,0,NA,0
"31146","Ablim1",62,0,0,0,0,0,NA,0,0,0,NA,0
"31432","Hspa12a",63,0,0,0,0,0,NA,0,0,0,NA,0
"31758","Eif3a",64,0,0,0,0,0,NA,0,0,0,NA,0
"31827","-",65,0,0,0,0,0,NA,0,0,0,NA,0
"31868","Lrp11",66,0,0,0,0,0,NA,0,0,0,NA,0
"32323","Plagl1",67,0,0,0,0,0,NA,0,0,0,NA,0
"33218","Hbs1l",68,0,0,0,0,0,NA,0,0,0,NA,0
"33631","-",69,0,0,0,0,0,NA,0,0,0,NA,0
"34738","-",70,0,0,0,0,0,NA,0,0,0,NA,0
"34966","-",71,0,0,0,0,0,NA,0,0,0,NA,0
"35074","-",72,0,0,0,0,0,NA,0,0,0,NA,0
"35207","Adcy2",73,0,0,0,0,0,NA,0,0,0,NA,0
"37691","LOC100365363",74,0,0,0,0,0,NA,0,0,0,NA,0
"38230","Peg3",75,0,0,0,0,0,NA,0,0,0,NA,0
"38721","-",76,0,0,0,0,0,NA,0,0,0,NA,0
"39331","Pnma8a",77,0,0,0,0,0,NA,0,0,0,NA,0
"39595","Snrpd2",78,0,0,0,0,0,NA,0,0,0,NA,0
"39796","Zfp112",79,0,0,0,0,0,NA,0,0,0,NA,0
"40151","Lipe",80,0,0,0,0,0,NA,0,0,0,NA,0
"40413","RGD1307554",81,0,0,0,0,0,NA,0,0,0,NA,0
"40563","Eid2",82,0,0,0,0,0,NA,0,0,0,NA,0
"40736","Lgals7",83,0,0,0,0,0,NA,0,0,0,NA,0
"40899","Zfp74",84,0,0,0,0,0,NA,0,0,0,NA,0
"41545","-",85,0,0,0,0,0,NA,0,0,0,NA,0
"41573","LOC102548231",86,0,0,0,0,0,NA,0,0,0,NA,0
"41750","-",87,0,0,0,0,0,NA,0,0,0,NA,0
"42152","Kcnc3",88,0,0,0,0,0,NA,0,0,0,NA,0
"42185","-",89,0,0,0,0,0,NA,0,0,0,NA,0
"42458","Lmtk3",90,0,0,0,0,0,NA,0,0,0,NA,0
"43619","Tubgcp5",91,0,0,0,0,0,NA,0,0,0,NA,0
"44033","Gabrb3",92,0,0,0,0,0,NA,0,0,0,NA,0
"44053","-",93,0,0,0,0,0,NA,0,0,0,NA,0
"44722","Apba2",94,0,0,0,0,0,NA,0,0,0,NA,0
"45864","-",95,0,0,0,0,0,NA,0,0,0,NA,0
"45945","Sema4b",96,0,0,0,0,0,NA,0,0,0,NA,0
"45979","Vps33b",97,0,0,0,0,0,NA,0,0,0,NA,0
"45995","Unc45a",98,0,0,0,0,0,NA,0,0,0,NA,0
"46126","-",99,0,0,0,0,0,NA,0,0,0,NA,0
"46486","-",100,0,0,0,0,0,NA,0,0,0,NA,0
"47036","Picalm",101,0,0,0,0,0,NA,0,0,0,NA,0
"47139","Sytl2",102,0,0,0,0,0,NA,0,0,0,NA,0
"47161","Crebzf",103,0,0,0,0,0,NA,0,0,0,NA,0
"48544","LOC365309",104,0,0,0,0,0,NA,0,0,0,NA,0
"49195","-",105,0,0,0,0,0,NA,0,0,0,NA,0
"49715","-",106,0,0,0,0,0,NA,0,0,0,NA,0
"49994","Fam168a",107,0,0,0,0,0,NA,0,0,0,NA,0
"50282","Clpb",108,0,0,0,0,0,NA,0,0,0,NA,0
"50824","-",109,0,0,0,0,0,NA,0,0,0,NA,0
"51791","Nucb2",110,0,0,0,0,0,NA,0,0,0,NA,0
"53096","-",111,0,0,0,0,0,NA,0,0,0,NA,0
"53311","Sgf29",112,0,0,0,0,0,NA,0,0,0,NA,0
"53630","Srcap",113,0,0,0,0,0,NA,0,0,0,NA,0
"53725","Fbxl19",114,0,0,0,0,0,NA,0,0,0,NA,0
"55374","-",115,0,0,0,0,0,NA,0,0,0,NA,0
"55460","LOC120099964",116,0,0,0,0,0,NA,0,0,0,NA,0
"55583","Shank2",117,0,0,0,0,0,NA,0,0,0,NA,0
"55993","Rbm4b",118,0,0,0,0,0,NA,0,0,0,NA,0
"56261","LOC120097382",119,0,0,0,0,0,NA,0,0,0,NA,0
"56449","Nrxn2",120,0,0,0,0,0,NA,0,0,0,NA,0
"56809","Hnrnpul2",121,0,0,0,0,0,NA,0,0,0,NA,0
"56875","LOC120099985",122,0,0,0,0,0,NA,0,0,0,NA,0
"56878","LOC120099985",123,0,0,0,0,0,NA,0,0,0,NA,0
"56975","Asrgl1",124,0,0,0,0,0,NA,0,0,0,NA,0
"57374","Osbp",125,0,0,0,0,0,NA,0,0,0,NA,0
"57412","-",126,0,0,0,0,0,NA,0,0,0,NA,0
"57482","-",127,0,0,0,0,0,NA,0,0,0,NA,0
"58526","Klf9",128,0,0,0,0,0,NA,0,0,0,NA,0
"58912","Smarca2",129,0,0,0,0,0,NA,0,0,0,NA,0
"59138","Cdc37l1",130,0,0,0,0,0,NA,0,0,0,NA,0
"59575","-",131,0,0,0,0,0,NA,0,0,0,NA,0
"60384","Pi4k2a",132,0,0,0,0,0,NA,0,0,0,NA,0
"60463","Hpse2",133,0,0,0,0,0,NA,0,0,0,NA,0
"60806","-",134,0,0,0,0,0,NA,0,0,0,NA,0
