"index_left","index_right","rank","d2_left","d2_right","crossing_type","local_support"
26,27,26.5501056077707,-1.1443976730809e-09,9.359259173629e-10,"neg_to_pos",0
1250,1251,1250.83387870346,2.13361405796134e-08,-4.25048309971313e-09,"pos_to_neg",0.186298385106161
2726,2727,2726.64794649382,-1.9941915759306e-08,1.08351869019336e-08,"neg_to_pos",0.268625257786403
4123,4124,4123.59433066125,2.83975564465196e-09,-1.93831795948917e-09,"pos_to_neg",0.332501322758465
4764,4765,4764.2681341809,-1.39042035482336e-09,3.79511902755785e-09,"neg_to_pos",0.368259928687125
4988,4989,4988.93774043442,2.12306854969018e-09,-1.40957263587405e-10,"pos_to_neg",0.406821983192493
6660,6661,6660.30752300755,-1.23963875626893e-09,2.79140518460954e-09,"neg_to_pos",0.381247155965327
7203,7204,7203.85290525068,1.90083694013802e-09,-3.27824377895481e-10,"pos_to_neg",0.411676483388571
7352,7353,7352.87108484043,-7.65617684980891e-10,1.13306673984418e-10,"neg_to_pos",0.309945724720154
7408,7409,7408.04493865897,2.31385593385567e-10,-4.91753515061551e-09,"pos_to_neg",0.347915044875637
8414,8415,8414.65189225157,-2.44603197571456e-09,1.30617089187605e-09,"neg_to_pos",0.412653029028025
9420,9421,9420.26248680597,3.82346857535322e-09,-1.07428581441305e-08,"pos_to_neg",0.418154972917808
10432,10433,10432.9640527043,-1.21801628141156e-08,4.54170101340651e-10,"neg_to_pos",0.324500772917947
11232,11233,11232.5916075319,8.70155938353176e-09,-6.00677158712055e-09,"pos_to_neg",0.364959167154632
12260,12261,12260.7597114384,-1.50328562214934e-08,4.7547308308534e-09,"neg_to_pos",0.398422363469161
13257,13258,13257.4443936895,1.8269805148894e-09,-2.28419513446484e-09,"pos_to_neg",0.325851231592065
13440,13441,13440.8666469287,-1.54676955968942e-09,2.38005195109355e-10,"neg_to_pos",0.338127608528938
13911,13912,13911.0009877766,7.69669683161776e-12,-7.78424393803979e-09,"pos_to_neg",0.396353201330639
14966,14967,14966.8519381185,-1.150012221185e-08,1.99865423865625e-09,"neg_to_pos",0.41705822774701
15811,15812,15811.4715069068,1.96166155079126e-09,-2.19874738977591e-09,"pos_to_neg",0.403560229625143
16763,16764,16763.5053706567,-6.41660862961037e-09,6.28022792938154e-09,"neg_to_pos",0.427307799191233
17620,17621,17620.6718292893,3.71689501441844e-09,-1.81560419882541e-09,"pos_to_neg",0.429228326777945
18472,18473,18472.8214868869,-7.42266598053583e-09,1.61298157346001e-09,"neg_to_pos",0.476499757443924
18956,18957,18956.0302543301,2.8634926586569e-10,-9.17838734686487e-09,"pos_to_neg",0.481678699030255
19631,19632,19631.7663184127,-1.93750879050014e-09,5.90825069716537e-10,"neg_to_pos",0.376577745090391
19786,19787,19786.330707585,1.54257716414615e-09,-3.12189753822647e-09,"pos_to_neg",0.42614101355232
20442,20443,20442.2916688953,-2.31533848145457e-09,5.62290422647621e-09,"neg_to_pos",0.398698480093702
21204,21205,21204.4261714961,9.40489394131374e-09,-1.26634377677033e-08,"pos_to_neg",0.30288398051672
21920,21921,21920.6732254393,-1.88417102061945e-08,9.14551235698301e-09,"neg_to_pos",0.355635376569816
22606,22607,22606.2744051373,1.178233665246e-08,-3.1155404117197e-08,"pos_to_neg",0.379228419953046
23255,23256,23255.9554972716,-2.23370495009086e-08,1.04035843643815e-09,"neg_to_pos",0.181915152551122
23818,23819,23818.2829535961,4.74089244218039e-09,-1.20141250173654e-08,"pos_to_neg",0.314901615854814
24454,24455,24454.1467882604,-2.60719921031883e-09,1.51544337921588e-08,"neg_to_pos",0.41716306146345
25014,25015,25014.2879477661,2.62749029962031e-09,-6.49739486545905e-09,"pos_to_neg",0.375708313609289
25956,25957,25956.410360375,-2.75697419780085e-09,3.96144786693482e-09,"neg_to_pos",0.407809321832227
26489,26490,26489.2421330996,4.48293870661138e-09,-1.40314185347798e-08,"pos_to_neg",0.408149328955526
27154,27155,27154.4961466621,-5.93840358515451e-09,6.03064516344658e-09,"neg_to_pos",0.392182257254711
27588,27589,27588.7092487756,1.07803003729103e-08,-4.41930341106505e-09,"pos_to_neg",0.403745420523769
27981,27982,27981.5122390483,-4.0659296021017e-09,3.87163317302906e-09,"neg_to_pos",0.37680326655052
28380,28381,28380.8898273996,7.89060500369249e-09,-9.76963029682978e-10,"pos_to_neg",0.44139711964212
28762,28763,28762.7335226923,-5.07761737999058e-09,1.84461888230221e-09,"neg_to_pos",0.41160671532657
28911,28912,28911.8591974699,4.62891150827615e-09,-7.58571195616114e-10,"pos_to_neg",0.432712352005018
29205,29206,29205.8570088667,-5.8195676091112e-09,9.70989449445166e-10,"neg_to_pos",0.476941867500138
31738,31739,31738.1342926626,1.2612150626545e-09,-8.13032605500933e-09,"pos_to_neg",0.970327806520755
