"feature_id","gene_symbol","rank","abs_loading","mu","variance","alpha","nb1","nb2","alpha_mu","log_variance","log_nb1","log_nb2","nb_gap","log_alpha_mu","var_smooth","d1_sm","d2_sm","nb2_smooth","nb_gap_smooth","alpha_mu_smooth","combined_nb_support"
"214","LOC365036",1,0,0,0,NA,0,0,NA,0,0,0,0,NA,0.029006199263205,-0.000247350481305006,4.70674269053252e-09,0,0,NA,0
"672","-",2,0,0,0,NA,0,0,NA,0,0,0,0,NA,0.0287588511037199,-0.000247345869216728,4.51743386606322e-09,0,0,NA,0
"986","Grm1",3,0,0,0,NA,0,0,NA,0,0,0,0,NA,0.0285115074616686,-0.000247341446437274,4.32812504159393e-09,0,0,NA,0
"1110","Epm2a",4,0,0,0,NA,0,0,NA,0,0,0,0,NA,0.0282641681477424,-0.000247337212966644,4.13881621712463e-09,0,0,NA,0
"1473","Adgrg6",5,0,0,0,NA,0,0,NA,0,0,0,0,NA,0.0280168329726324,-0.000247333168804839,3.94950739265534e-09,0,0,NA,0
"1576","-",6,0,0,0,NA,0,0,NA,0,0,0,0,NA,0.0277695017470297,-0.000247329313951859,3.76019856818605e-09,0,0,NA,0
"1579","-",7,0,0,0,NA,0,0,NA,0,0,0,0,NA,0.0275221742816257,-0.000247325648407703,3.57088974371675e-09,0,0,NA,0
"2563","LOC100910237",8,0,0,0,NA,0,0,NA,0,0,0,0,NA,0.0272748503871114,-0.000247322172172372,3.38158091924746e-09,0,0,NA,0
"2598","Tbpl1",9,0,0,0,NA,0,0,NA,0,0,0,0,NA,0.027027529874178,-0.000247318885245865,3.19227209477816e-09,0,0,NA,0
"2665","Sgk1",10,0,0,0,NA,0,0,NA,0,0,0,0,NA,0.0267802125535167,-0.000247315787628182,3.00296327030887e-09,0,0,NA,0
"2674","-",11,0,0,0,NA,0,0,NA,0,0,0,0,NA,0.0265328982358187,-0.000247312879319324,2.81365444583957e-09,0,0,NA,0
"3136","Brd9",12,0,0,0,NA,0,0,NA,0,0,0,0,NA,0.0262855867317751,-0.00024731016031929,2.62434562137028e-09,0,0,NA,0
"3258","-",13,0,0,0,NA,0,0,NA,0,0,0,0,NA,0.0260382778520772,-0.000247307630628081,2.43503679690098e-09,0,0,NA,0
"4090","-",14,0,0,0,NA,0,0,NA,0,0,0,0,NA,0.025790971407416,-0.000247305290245697,2.24572797243169e-09,0,0,NA,0
"4124","Rgs17",15,0,0,0,NA,0,0,NA,0,0,0,0,NA,0.0255436672084828,-0.000247303139172136,2.05641914796239e-09,0,0,NA,0
"4233","Cnksr3",16,0,0,0,NA,0,0,NA,0,0,0,0,NA,0.0252963650659688,-0.000247301177407401,1.8671103234931e-09,0,0,NA,0
"4319","-",17,0,0,0,NA,0,0,NA,0,0,0,0,NA,0.0250490647905651,-0.000247299404951489,1.6778014990238e-09,0,0,NA,0
"4363","-",18,0,0,0,NA,0,0,NA,0,0,0,0,NA,0.0248017661929629,-0.000247297821804403,1.48849267455451e-09,0,0,NA,0
"4646","Slc22a1",19,0,0,0,NA,0,0,NA,0,0,0,0,NA,0.0245544690838534,-0.00024729642796614,1.29918385008522e-09,0,0,NA,0
"5250","Pde10a",20,0,0,0,NA,0,0,NA,0,0,0,0,NA,0.0243071732739277,-0.000247295223436702,1.10987502561592e-09,0,0,NA,0
"5880","Lnpep",21,0,0,0,NA,0,0,NA,0,0,0,0,NA,0.024059878573877,-0.000247294208216089,9.20566201146626e-10,0,0,NA,0
"6002","LOC102547235",22,0,0,0,NA,0,0,NA,0,0,0,0,NA,0.0238125847943926,-0.0002472933823043,7.31257376677332e-10,0,0,NA,0
"6467","Cacng8",23,0,0,0,NA,0,0,NA,0,0,0,0,NA,0.0235652917461655,-0.000247292745701336,5.41948552208037e-10,0,0,NA,0
"6473","Cacng8",24,0,0,0,NA,0,0,NA,0,0,0,0,NA,0.0233179992398869,-0.000247292298407196,3.52639727738741e-10,0,0,NA,0
"6569","Prkcg",25,0,0,0,NA,0,0,NA,0,0,0,0,NA,0.0230707070862481,-0.00024729204042188,1.63330903269448e-10,0,0,NA,0
"7324","-",26,0,0,0,NA,0,0,NA,0,0,0,0,NA,0.0228234150959402,-0.000247291971745389,-2.59779211998464e-11,0,0,NA,0
"7942","Slc1a5",27,0,0,0,NA,0,0,NA,0,0,0,0,NA,0.0225761230796544,-0.000247292092377723,-2.15286745669142e-10,0,0,NA,0
"7955","Fkrp",28,0,0,0,NA,0,0,NA,0,0,0,0,NA,0.0223288308480819,-0.00024729240231888,-4.04595570138436e-10,0,0,NA,0
"8382","LOC102548695",29,0,0,0,NA,0,0,NA,0,0,0,0,NA,0.0220815382119137,-0.000247292901568863,-5.93904394607731e-10,0,0,NA,0
"8595","Pou2f2",30,0,0,0,NA,0,0,NA,0,0,0,0,NA,0.0218342449818412,-0.00024729359012767,-7.83213219077025e-10,0,0,NA,0
"8739","Tmem91",31,0,0,0,NA,0,0,NA,0,0,0,0,NA,0.0215869509685554,-0.000247294467995301,-9.7252204354632e-10,0,0,NA,0
"8841","Epc2l1",32,0,0,0,NA,0,0,NA,0,0,0,0,NA,0.0213396559827476,-0.000247295535171757,-1.16183086801561e-09,0,0,NA,0
"9058","Hipk4",33,0,0,0,NA,0,0,NA,0,0,0,0,NA,0.021092359835109,-0.000247296791657037,-1.35113969248491e-09,0,0,NA,0
"9593","Sipa1l3",34,0,0,0,NA,0,0,NA,0,0,0,0,NA,0.0208450623363306,-0.000247298237451142,-1.5404485169542e-09,0,0,NA,0
"9695","Zfp27",35,0,0,0,NA,0,0,NA,0,0,0,0,NA,0.0205977632971038,-0.000247299872554071,-1.7297573414235e-09,0,0,NA,0
"9936","Cox6b1",36,0,0,0,NA,0,0,NA,0,0,0,0,NA,0.0203504625281195,-0.000247301696965825,-1.91906616589279e-09,0,0,NA,0
