"rank","feature_id","gene_symbol","abs_loading","mu","variance","nb1","nb2","alpha_mu","log_variance","log_nb1","log_nb2","log_alpha_mu","nb_gap","var_fit","d1","d2","nb_support"
1,"615","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.341982315734626,0.000705482921973194,-7.3519133758757e-08,0.150427053811022
2,"1576","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.341276869090827,0.000705410847017857,-7.06307769150729e-08,0.150427053811022
3,"2563","LOC100910237",0,0,0,0,0,NA,0,0,0,NA,0,-0.340571493077804,0.000705341660419364,-6.77424200713889e-08,0.150427053811022
4,"4092","Mtrf1l",0,0,0,0,0,NA,0,0,0,NA,0,-0.339866184807202,0.000705275362177714,-6.48540632277049e-08,0.150427053811022
5,"4175","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.339160941390663,0.000705211952292909,-6.19657063840209e-08,0.150427053811022
6,"4303","Tfb1m",0,0,0,0,0,NA,0,0,0,NA,0,-0.338455759939831,0.000705151430764946,-5.90773495403369e-08,0.150427053811022
7,"5091","Prkn",0,0,0,0,0,NA,0,0,0,NA,0,-0.337750637566348,0.000705093797593828,-5.61889926966529e-08,0.150427053811022
8,"6569","Prkcg",0,0,0,0,0,NA,0,0,0,NA,0,-0.337045571381858,0.000705039052779553,-5.33006358529689e-08,0.150427053811022
9,"7344","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.336340558498003,0.000704987196322122,-5.04122790092848e-08,0.150427053811022
10,"7829","Npas1",0,0,0,0,0,NA,0,0,0,NA,0,-0.335635596026428,0.000704938228221535,-4.75239221656008e-08,0.150427053811022
11,"7955","Fkrp",0,0,0,0,0,NA,0,0,0,NA,0,-0.334930681078774,0.000704892148477791,-4.46355653219168e-08,0.150427053811022
12,"8233","Relb",0,0,0,0,0,NA,0,0,0,NA,0,-0.334225810766687,0.000704848957090891,-4.17472084782328e-08,0.150427053811022
13,"8739","Tmem91",0,0,0,0,0,NA,0,0,0,NA,0,-0.333520982201807,0.000704808654060834,-3.88588516345488e-08,0.150427053811022
14,"9340","Plekhg2",0,0,0,0,0,NA,0,0,0,NA,0,-0.332816192495779,0.000704771239387622,-3.59704947908648e-08,0.150427053811022
15,"10879","LOC102555051",0,0,0,0,0,NA,0,0,0,NA,0,-0.332111438760246,0.000704736713071253,-3.30821379471807e-08,0.150427053811022
16,"11859","Tph1",0,0,0,0,0,NA,0,0,0,NA,0,-0.331406718106851,0.000704705075111727,-3.01937811034967e-08,0.150427053811022
17,"11945","Spty2d1",0,0,0,0,0,NA,0,0,0,NA,0,-0.330702027647237,0.000704676325509046,-2.73054242598127e-08,0.150427053811022
18,"12443","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.329997364493048,0.000704650464263208,-2.44170674161287e-08,0.150427053811022
19,"14901","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.329292725755925,0.000704627491374213,-2.15287105724447e-08,0.150427053811022
20,"15086","Mkrn3",0,0,0,0,0,NA,0,0,0,NA,0,-0.328588108547513,0.000704607406842063,-1.86403537287607e-08,0.150427053811022
21,"15183","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.327883509979455,0.000704590210666756,-1.57519968850767e-08,0.150427053811022
22,"15943","Nr2f2",0,0,0,0,0,NA,0,0,0,NA,0,-0.327178927163394,0.000704575902848293,-1.28636400413926e-08,0.150427053811022
23,"15997","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.326474357210973,0.000704564483386673,-9.97528319770862e-09,0.150427053811022
24,"16805","Anpep",0,0,0,0,0,NA,0,0,0,NA,0,-0.325769797233835,0.000704555952281897,-7.08692635402461e-09,0.150427053811022
25,"17276","Hdgfl3",0,0,0,0,0,NA,0,0,0,NA,0,-0.325065244343624,0.000704550309533965,-4.19856951034059e-09,0.150427053811022
26,"17327","Adamtsl3",0,0,0,0,0,NA,0,0,0,NA,0,-0.324360695651982,0.000704547555142877,-1.31021266665659e-09,0.150427053811022
27,"17662","Folh1",0,0,0,0,0,NA,0,0,0,NA,0,-0.323656148270552,0.000704547689108631,1.57814417702744e-09,0.150427053811022
28,"18017","Dlg2",0,0,0,0,0,NA,0,0,0,NA,0,-0.322951599310979,0.000704550711431231,4.46650102071146e-09,0.150427053811022
29,"18057","LOC100361001",0,0,0,0,0,NA,0,0,0,NA,0,-0.322247045884904,0.000704556622110673,7.35485786439547e-09,0.150427053811022
30,"18159","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.321542485103972,0.000704565421146959,1.02432147080795e-08,0.150427053811022
31,"18903","Fam168a",0,0,0,0,0,NA,0,0,0,NA,0,-0.320837914079825,0.000704577108540089,1.31315715517635e-08,0.150427053811022
32,"18905","Fam168a",0,0,0,0,0,NA,0,0,0,NA,0,-0.320133329924106,0.000704591684290063,1.60199283954475e-08,0.150427053811022
33,"19175","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.319428729748459,0.00070460914839688,1.89082852391315e-08,0.150427053811022
34,"20285","Mical2",0,0,0,0,0,NA,0,0,0,NA,0,-0.318724110664527,0.000704629500860541,2.17966420828156e-08,0.150427053811022
35,"22275","Ccdc189",0,0,0,0,0,NA,0,0,0,NA,0,-0.318019469783952,0.000704652741681046,2.46849989264996e-08,0.150427053811022
36,"22781","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.317314804218379,0.000704678870858394,2.75733557701836e-08,0.150427053811022
37,"22831","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.31661011107945,0.000704707888392586,3.04617126138676e-08,0.150427053811022
38,"22963","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.315905387478808,0.000704739794283622,3.33500694575516e-08,0.150427053811022
39,"23058","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.315200630528097,0.000704774588531501,3.62384263012356e-08,0.150427053811022
40,"23773","Pidd1",0,0,0,0,0,NA,0,0,0,NA,0,-0.31449583733896,0.000704812271136224,3.91267831449187e-08,0.150427053811022
41,"23880","Dusp8",0,0,0,0,0,NA,0,0,0,NA,0,-0.313791005023039,0.000704852842097791,4.20151399886036e-08,0.150427053811022
42,"24206","Cars",0,0,0,0,0,NA,0,0,0,NA,0,-0.313086130691978,0.000704896301416202,4.49034968322877e-08,0.150427053811022
43,"24516","Chka",0,0,0,0,0,NA,0,0,0,NA,0,-0.312381211457421,0.000704942649091456,4.77918536759717e-08,0.150427053811022
44,"24944","Npas4",0,0,0,0,0,NA,0,0,0,NA,0,-0.31167624443101,0.000704991885123554,5.06802105196557e-08,0.150427053811022
45,"25351","LOC120097382",0,0,0,0,0,NA,0,0,0,NA,0,-0.310971226724388,0.000705044009512495,5.35685673633397e-08,0.150427053811022
46,"25496","Majin",0,0,0,0,0,NA,0,0,0,NA,0,-0.310266155449199,0.00070509902225828,5.64569242070237e-08,0.150427053811022
47,"25630","Vegfb",0,0,0,0,0,NA,0,0,0,NA,0,-0.309561027717086,0.000705156923360909,5.93452810507077e-08,0.150427053811022
48,"27113","Aldh1a1",0,0,0,0,0,NA,0,0,0,NA,0,-0.308855840639692,0.000705217712820382,6.22336378943926e-08,0.150427053811022
49,"27115","Aldh1a1",0,0,0,0,0,NA,0,0,0,NA,0,-0.30815059132866,0.000705281390636698,6.51219947380758e-08,0.150427053811022
50,"27946","RGD1311595",0,0,0,0,0,NA,0,0,0,NA,0,-0.307445276895633,0.000705347956809858,6.80103515817598e-08,0.150427053811022
51,"30561","Sorcs1",0,0,0,0,0,NA,0,0,0,NA,0,-0.306739894452254,0.000705417411339861,7.08987084254438e-08,0.150427053811022
52,"30795","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.306034441110168,0.000705489754226709,7.37870652691278e-08,0.150427053811022
53,"31054","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.305328913981015,0.0007055649854704,7.66754221128118e-08,0.150427053811022
54,"31291","Fam160b1",0,0,0,0,0,NA,0,0,0,NA,0,-0.304623310176441,0.000705643105070934,7.95637789564959e-08,0.150427053811022
55,"32097","Grm1",0,0,0,0,0,NA,0,0,0,NA,0,-0.303917626808088,0.000705724113028313,8.24521358001799e-08,0.150427053811022
56,"33459","Tmem200a",0,0,0,0,0,NA,0,0,0,NA,0,-0.303211860987599,0.000705808009342534,8.53404926438632e-08,0.150427053811022
57,"33464","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.302506009826617,0.0007058947940136,8.82288494875479e-08,0.150427053811022
58,"34738","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.301800070436786,0.00070598446704151,9.11172063312319e-08,0.150427053811022
59,"34964","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.301094039929749,0.000706077028426263,9.40055631749159e-08,0.150427053811022
60,"35232","Adcy2",0,0,0,0,0,NA,0,0,0,NA,0,-0.300387915417148,0.00070617247816786,9.68939200186e-08,0.150427053811022
61,"36051","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.299681694010627,0.0007062708162663,9.9782276862284e-08,0.150427053811022
62,"36548","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.29897537282183,0.000706372042721584,1.02670633705968e-07,0.150427053811022
63,"37462","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.298268948962398,0.000706476157533712,1.05558990549652e-07,0.150427053811022
64,"38281","Zfp583",0,0,0,0,0,NA,0,0,0,NA,0,-0.297562419543977,0.000706583160702683,1.08447347393336e-07,0.150427053811022
65,"38721","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.296855781678208,0.000706693052228499,1.1133570423702e-07,0.150427053811022
66,"39382","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.296149032476734,0.000706805832111157,1.14224061080704e-07,0.150427053811022
67,"40273","Cyp2t1",0,0,0,0,0,NA,0,0,0,NA,0,-0.2954421690512,0.00070692150035066,1.17112417924388e-07,0.150427053811022
68,"40563","Eid2",0,0,0,0,0,NA,0,0,0,NA,0,-0.294735188513247,0.000707040056947006,1.20000774768072e-07,0.150427053811022
69,"40736","Lgals7",0,0,0,0,0,NA,0,0,0,NA,0,-0.29402808797452,0.000707161501900196,1.22889131611756e-07,0.150427053811022
70,"40841","Zfp84",0,0,0,0,0,NA,0,0,0,NA,0,-0.293320864546661,0.00070728583521023,1.2577748845544e-07,0.150427053811022
71,"40924","Zfp82",0,0,0,0,0,NA,0,0,0,NA,0,-0.292613515341314,0.000707413056877107,1.28665845299124e-07,0.150427053811022
72,"41242","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.291906037470121,0.000707543166900828,1.31554202142808e-07,0.150427053811022
73,"41573","LOC102548231",0,0,0,0,0,NA,0,0,0,NA,0,-0.291198428044727,0.000707676165281393,1.34442558986492e-07,0.150427053811022
74,"42030","Lrrc4b",0,0,0,0,0,NA,0,0,0,NA,0,-0.290490684176773,0.000707812052018801,1.37330915830176e-07,0.150427053811022
75,"42091","Mybpc2",0,0,0,0,0,NA,0,0,0,NA,0,-0.289782802977903,0.000707950827113053,1.4021927267386e-07,0.150427053811022
76,"42185","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.289074781559761,0.000708092490564149,1.43107629517544e-07,0.150427053811022
77,"44053","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.288366617033989,0.000708237042372088,1.45995986361228e-07,0.150427053811022
78,"44116","Ube3a",0,0,0,0,0,NA,0,0,0,NA,0,-0.287658306512231,0.000708384482536871,1.48884343204912e-07,0.150427053811022
79,"44219","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.28694984710613,0.000708534811058498,1.51772700048596e-07,0.150427053811022
80,"45806","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.286241235927329,0.000708688027936968,1.5466105689228e-07,0.150427053811022
81,"45941","Sema4b",0,0,0,0,0,NA,0,0,0,NA,0,-0.285532470087471,0.000708844133172282,1.57549413735964e-07,0.150427053811022
82,"45958","Gdpgp1",0,0,0,0,0,NA,0,0,0,NA,0,-0.284823546698199,0.00070900312676444,1.60437770579648e-07,0.150427053811022
83,"45995","Unc45a",0,0,0,0,0,NA,0,0,0,NA,0,-0.284114462871156,0.000709165008713442,1.63326127423332e-07,0.150427053811022
84,"48544","LOC365309",0,0,0,0,0,NA,0,0,0,NA,0,-0.283405215717986,0.000709329779019287,1.66214484267016e-07,0.150427053811022
85,"49195","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.282695802350332,0.000709497437681976,1.691028411107e-07,0.150427053811022
86,"50513","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.281986219879837,0.000709667984701508,1.71991197954384e-07,0.150427053811022
87,"50560","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.281276465418143,0.000709841420077885,1.74879554798068e-07,0.150427053811022
88,"50707","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.280566536076895,0.000710017743811104,1.77767911641752e-07,0.150427053811022
89,"50820","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.279856428967735,0.000710196955901168,1.80656268485436e-07,0.150427053811022
90,"51725","Sox6",0,0,0,0,0,NA,0,0,0,NA,0,-0.279146141202307,0.000710379056348075,1.8354462532912e-07,0.150427053811022
91,"52046","Vps35l",0,0,0,0,0,NA,0,0,0,NA,0,-0.278435669892254,0.000710564045151826,1.86432982172804e-07,0.150427053811022
92,"52267","Mosmo",0,0,0,0,0,NA,0,0,0,NA,0,-0.277725012149218,0.000710751922312421,1.89321339016488e-07,0.150427053811022
93,"53397","Kctd13",0,0,0,0,0,NA,0,0,0,NA,0,-0.277014165084843,0.000710942687829859,1.92209695860172e-07,0.150427053811022
94,"54698","Ebf3",0,0,0,0,0,NA,0,0,0,NA,0,-0.276303125810773,0.000711136341704141,1.95098052703856e-07,0.150427053811022
95,"55046","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.275591891438649,0.000711332883935267,1.97986409547541e-07,0.150427053811022
96,"55080","Sirt3",0,0,0,0,0,NA,0,0,0,NA,0,-0.274880459080116,0.000711532314523236,2.00874766391225e-07,0.150427053811022
97,"55194","Deaf1",0,0,0,0,0,NA,0,0,0,NA,0,-0.274168825846817,0.000711734633468049,2.03763123234909e-07,0.150427053811022
98,"55374","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.273456988850395,0.000711939840769706,2.06651480078593e-07,0.150427053811022
99,"55583","Shank2",0,0,0,0,0,NA,0,0,0,NA,0,-0.272744945202492,0.000712147936428207,2.09539836922277e-07,0.150427053811022
100,"55782","Aip",0,0,0,0,0,NA,0,0,0,NA,0,-0.272032692014753,0.000712358920443551,2.12428193765961e-07,0.150427053811022
101,"56000","Rbm4b",0,0,0,0,0,NA,0,0,0,NA,0,-0.271320226398819,0.000712572792815738,2.15316550609645e-07,0.150427053811022
102,"56270","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.270607545466336,0.00071278955354477,2.18204907453329e-07,0.150427053811022
103,"56693","Slc22a25",0,0,0,0,0,NA,0,0,0,NA,0,-0.269894646328944,0.000713009202630645,2.21093264297013e-07,0.150427053811022
104,"56809","Hnrnpul2",0,0,0,0,0,NA,0,0,0,NA,0,-0.269181526098289,0.000713231740073364,2.23981621140697e-07,0.150427053811022
105,"56975","Asrgl1",0,0,0,0,0,NA,0,0,0,NA,0,-0.268468181886012,0.000713457165872927,2.26869977984381e-07,0.150427053811022
106,"57374","Osbp",0,0,0,0,0,NA,0,0,0,NA,0,-0.267754610803757,0.000713685480029333,2.29758334828065e-07,0.150427053811022
107,"60317","Lcor",0,0,0,0,0,NA,0,0,0,NA,0,-0.267040809963168,0.000713916682542583,2.32646691671749e-07,0.150427053811022
108,"60467","Hpse2",0,0,0,0,0,NA,0,0,0,NA,0,-0.266326776475886,0.000714150773412676,2.35535048515433e-07,0.150427053811022
109,"60553","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.265612507453557,0.000714387752639614,2.38423405359117e-07,0.150427053811022
110,"60806","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.264898000007822,0.000714627620223395,2.41311762202801e-07,0.150427053811022
111,"61822","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.264183251250324,0.000714870376164019,2.44200119046485e-07,0.150427053811022
112,"61829","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.263468258292708,0.000715116020461487,2.47088475890169e-07,0.150427053811022
113,"64538","Rbfox1",0,0,0,0,0,NA,0,0,0,NA,0,-0.262753018246616,0.000715364553115799,2.49976832733853e-07,0.150427053811022
114,"65364","Abca17",0,0,0,0,0,NA,0,0,0,NA,0,-0.262037528223691,0.000715615974126955,2.52865189577537e-07,0.150427053811022
115,"66537","Lcp2",0,0,0,0,0,NA,0,0,0,NA,0,-0.261321785335576,0.000715870283494955,2.55753546421221e-07,0.150427053811022
116,"67477","LOC108352072",0,0,0,0,0,NA,0,0,0,NA,0,-0.260605786693915,0.000716127481219798,2.58641903264905e-07,0.150427053811022
117,"68734","Adamts2",0,0,0,0,0,NA,0,0,0,NA,0,-0.259889529410351,0.000716387567301484,2.61530260108589e-07,0.150427053811022
118,"68944","Ube2b",0,0,0,0,0,NA,0,0,0,NA,0,-0.259173010596527,0.000716650541740015,2.64418616952273e-07,0.150427053811022
119,"69395","Sparc",0,0,0,0,0,NA,0,0,0,NA,0,-0.258456227364085,0.000716916404535389,2.67306973795957e-07,0.150427053811022
120,"69510","Gria1",0,0,0,0,0,NA,0,0,0,NA,0,-0.25773917682467,0.000717185155687607,2.70195330639641e-07,0.150427053811022
121,"69780","Olr1463",0,0,0,0,0,NA,0,0,0,NA,0,-0.257021856089925,0.000717456795196668,2.73083687483325e-07,0.150427053811022
122,"70033","Shmt1",0,0,0,0,0,NA,0,0,0,NA,0,-0.256304262271491,0.000717731323062573,2.75972044327009e-07,0.150427053811022
123,"71027","Myh8",0,0,0,0,0,NA,0,0,0,NA,0,-0.255586392481014,0.000718008739285322,2.78860401170693e-07,0.150427053811022
124,"71643","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.254868243830135,0.000718289043864915,2.81748758014377e-07,0.150427053811022
125,"71806","Nup88",0,0,0,0,0,NA,0,0,0,NA,0,-0.254149813430498,0.000718572236801351,2.84637114858061e-07,0.150427053811022
126,"71934","Pitpnm3",0,0,0,0,0,NA,0,0,0,NA,0,-0.253431098393747,0.000718858318094631,2.87525471701745e-07,0.150427053811022
127,"72121","Zzef1",0,0,0,0,0,NA,0,0,0,NA,0,-0.252712095831523,0.000719147287744754,2.90413828545429e-07,0.150427053811022
128,"72569","Doc2b",0,0,0,0,0,NA,0,0,0,NA,0,-0.251992802855472,0.000719439145751722,2.93302185389113e-07,0.150427053811022
129,"72867","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.251273216577234,0.000719733892115533,2.96190542232797e-07,0.150427053811022
130,"73210","Supt6h",0,0,0,0,0,NA,0,0,0,NA,0,-0.250553334108455,0.000720031526836187,2.99078899076481e-07,0.150427053811022
131,"73608","Myo1d",0,0,0,0,0,NA,0,0,0,NA,0,-0.249833152560776,0.000720332049913686,3.01967255920165e-07,0.150427053811022
132,"74275","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.249112669045842,0.000720635461348028,3.04855612763849e-07,0.150427053811022
133,"75200","Tex14",0,0,0,0,0,NA,0,0,0,NA,0,-0.248391880675295,0.000720941761139213,3.07743969607533e-07,0.150427053811022
134,"76292","Ttll6",0,0,0,0,0,NA,0,0,0,NA,0,-0.247670784560778,0.000721250949287243,3.10632326451217e-07,0.150427053811022
135,"77441","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.246949377813935,0.000721563025792116,3.13520683294901e-07,0.150427053811022
136,"77485","Ezh1",0,0,0,0,0,NA,0,0,0,NA,0,-0.246227657546408,0.000721877990653833,3.16409040138585e-07,0.150427053811022
137,"77755","Atxn7l3",0,0,0,0,0,NA,0,0,0,NA,0,-0.245505620869841,0.000722195843872393,3.19297396982269e-07,0.150427053811022
