"rank","feature_id","mu","empirical_variance","nb1_mu","nb2_variance_minus_mu","alpha_hat","alpha_mu","log_nb1","log_nb2","log_alpha_mu","nb_gap","combined_nb_support","abs_pc1_loading"
1,"615",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
2,"1576",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
3,"2563",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
4,"4092",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
5,"4175",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
6,"4303",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
7,"5091",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
8,"6569",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
9,"7344",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
10,"7829",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
11,"7955",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
12,"8233",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
13,"8739",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
14,"9340",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
15,"10879",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
16,"11859",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
17,"11945",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
18,"12443",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
19,"14901",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
20,"15086",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
21,"15183",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
22,"15943",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
23,"15997",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
24,"16805",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
25,"17276",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
26,"17327",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
27,"17662",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
28,"18017",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
29,"18057",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
30,"18159",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
31,"18903",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
32,"18905",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
33,"19175",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
34,"20285",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
35,"22275",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
36,"22781",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
37,"22831",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
38,"22963",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
39,"23058",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
40,"23773",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
41,"23880",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
42,"24206",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
43,"24516",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
44,"24944",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
45,"25351",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
46,"25496",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
47,"25630",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
