"rank","feature_id","mu","empirical_variance","nb1_mu","nb2_variance_minus_mu","alpha_hat","alpha_mu","log_nb1","log_nb2","log_alpha_mu","nb_gap","combined_nb_support","abs_pc1_loading"
1,"214",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
2,"672",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
3,"926",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
4,"1576",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
5,"3279",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
6,"4456",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
7,"5332",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
8,"6396",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
9,"6569",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
10,"6612",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
11,"7638",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
12,"7955",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
13,"8035",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
14,"8269",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
15,"8595",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
16,"8739",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
17,"8841",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
18,"9271",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
19,"9592",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
20,"9593",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
21,"9936",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
22,"10937",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
23,"11109",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
24,"11500",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
25,"11538",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
26,"11556",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
27,"12336",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
28,"12384",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
29,"12443",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
30,"14901",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
31,"15217",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
32,"16970",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
33,"17119",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
34,"17239",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
35,"17426",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
36,"18165",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
37,"18338",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
38,"18754",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
39,"19850",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
40,"22259",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
41,"22275",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
42,"22447",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
43,"22698",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
44,"22789",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
45,"22966",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
46,"22967",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
47,"23058",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
48,"23669",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
49,"24206",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
50,"24938",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
51,"24944",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
52,"25630",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
53,"26322",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
54,"27331",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
55,"28759",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
56,"29101",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
57,"29295",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
58,"29511",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
59,"30104",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
60,"30561",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
61,"30795",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
62,"31146",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
63,"31432",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
64,"31758",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
65,"31827",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
66,"31868",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
67,"32323",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
68,"33218",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
69,"33631",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
70,"34738",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
71,"34966",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
72,"35074",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
73,"35207",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
74,"37691",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
75,"38230",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
76,"38721",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
77,"39331",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
78,"39595",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
79,"39796",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
80,"40151",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
81,"40413",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
82,"40563",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
83,"40736",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
84,"40899",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
85,"41545",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
86,"41573",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
