"crossing_rank","crossing_type"
1,"exact_zero"
2,"exact_zero"
3,"exact_zero"
4,"exact_zero"
5,"exact_zero"
6,"exact_zero"
7,"exact_zero"
8,"exact_zero"
9,"exact_zero"
10,"exact_zero"
11,"exact_zero"
12,"exact_zero"
13,"exact_zero"
14,"exact_zero"
15,"exact_zero"
16,"exact_zero"
17,"exact_zero"
18,"exact_zero"
19,"exact_zero"
20,"exact_zero"
21,"exact_zero"
22,"exact_zero"
23,"exact_zero"
24,"exact_zero"
25,"exact_zero"
26,"exact_zero"
27,"exact_zero"
28,"exact_zero"
29,"exact_zero"
30,"exact_zero"
31,"exact_zero"
32,"exact_zero"
33,"exact_zero"
34,"exact_zero"
35,"exact_zero"
36,"exact_zero"
37,"exact_zero"
38,"exact_zero"
39,"exact_zero"
40,"exact_zero"
41,"exact_zero"
42,"exact_zero"
43,"exact_zero"
44,"exact_zero"
45,"exact_zero"
46,"exact_zero"
47,"exact_zero"
48,"exact_zero"
49,"exact_zero"
50,"exact_zero"
51,"exact_zero"
52,"exact_zero"
53,"exact_zero"
54,"exact_zero"
55,"exact_zero"
56,"exact_zero"
57,"exact_zero"
58,"exact_zero"
59,"exact_zero"
60,"exact_zero"
61,"exact_zero"
62,"exact_zero"
63,"exact_zero"
64,"exact_zero"
65,"exact_zero"
66,"exact_zero"
67,"exact_zero"
68,"exact_zero"
69,"exact_zero"
70,"exact_zero"
71,"exact_zero"
72,"exact_zero"
73,"exact_zero"
74,"exact_zero"
75,"exact_zero"
76,"exact_zero"
77,"exact_zero"
78,"exact_zero"
79,"exact_zero"
80,"exact_zero"
81,"exact_zero"
82,"exact_zero"
83,"exact_zero"
84,"exact_zero"
85,"exact_zero"
86,"exact_zero"
87,"exact_zero"
88,"exact_zero"
89,"exact_zero"
90,"exact_zero"
91,"exact_zero"
92,"exact_zero"
93,"exact_zero"
94,"exact_zero"
95,"exact_zero"
96,"exact_zero"
97,"exact_zero"
98,"exact_zero"
99,"exact_zero"
100,"exact_zero"
101,"exact_zero"
102,"exact_zero"
103,"exact_zero"
104,"exact_zero"
105,"exact_zero"
106,"exact_zero"
107,"exact_zero"
108,"exact_zero"
109,"exact_zero"
110,"exact_zero"
111,"exact_zero"
112,"exact_zero"
113,"exact_zero"
114,"exact_zero"
115,"exact_zero"
116,"exact_zero"
117,"exact_zero"
118,"exact_zero"
119,"exact_zero"
120,"exact_zero"
121,"exact_zero"
122,"exact_zero"
123,"exact_zero"
124,"exact_zero"
125,"exact_zero"
126,"exact_zero"
127,"exact_zero"
128,"exact_zero"
129,"exact_zero"
130,"exact_zero"
131,"exact_zero"
132,"exact_zero"
133,"exact_zero"
134,"exact_zero"
135,"exact_zero"
136,"exact_zero"
137,"exact_zero"
138,"exact_zero"
139,"exact_zero"
140,"exact_zero"
141,"exact_zero"
142,"exact_zero"
143,"exact_zero"
144,"exact_zero"
145,"exact_zero"
146,"exact_zero"
147,"exact_zero"
148,"exact_zero"
149,"exact_zero"
150,"exact_zero"
151,"exact_zero"
152,"exact_zero"
153,"exact_zero"
154,"exact_zero"
155,"exact_zero"
156,"exact_zero"
157,"exact_zero"
158,"exact_zero"
159,"exact_zero"
160,"exact_zero"
161,"exact_zero"
162,"exact_zero"
163,"exact_zero"
164,"exact_zero"
165,"exact_zero"
166,"exact_zero"
167,"exact_zero"
168,"exact_zero"
169,"exact_zero"
170,"exact_zero"
171,"exact_zero"
172,"exact_zero"
173,"exact_zero"
174,"exact_zero"
175,"exact_zero"
176,"exact_zero"
177,"exact_zero"
178,"exact_zero"
179,"exact_zero"
180,"exact_zero"
181,"exact_zero"
182,"exact_zero"
183,"exact_zero"
184,"exact_zero"
185,"exact_zero"
186,"exact_zero"
187,"exact_zero"
188,"exact_zero"
189,"exact_zero"
190,"exact_zero"
191,"exact_zero"
192,"exact_zero"
193,"exact_zero"
194,"exact_zero"
195,"exact_zero"
196,"exact_zero"
197,"exact_zero"
198,"exact_zero"
199,"exact_zero"
200,"exact_zero"
201,"exact_zero"
202,"exact_zero"
203,"exact_zero"
204,"exact_zero"
205,"exact_zero"
206,"exact_zero"
207,"exact_zero"
208,"exact_zero"
209,"exact_zero"
210,"exact_zero"
211,"exact_zero"
212,"exact_zero"
213,"exact_zero"
214,"exact_zero"
215,"exact_zero"
216,"exact_zero"
217,"exact_zero"
218,"exact_zero"
219,"exact_zero"
220,"exact_zero"
221,"exact_zero"
222,"exact_zero"
223,"exact_zero"
224,"exact_zero"
225,"exact_zero"
226,"exact_zero"
227,"exact_zero"
228,"exact_zero"
229,"exact_zero"
230,"exact_zero"
231,"exact_zero"
232,"exact_zero"
233,"exact_zero"
234,"exact_zero"
235,"exact_zero"
236,"exact_zero"
237,"exact_zero"
238,"exact_zero"
239,"exact_zero"
240,"exact_zero"
241,"exact_zero"
242,"exact_zero"
243,"exact_zero"
244,"exact_zero"
245,"exact_zero"
246,"exact_zero"
247,"exact_zero"
248,"exact_zero"
249,"exact_zero"
250,"exact_zero"
251,"exact_zero"
252,"exact_zero"
253,"exact_zero"
254,"exact_zero"
255,"exact_zero"
256,"exact_zero"
257,"exact_zero"
258,"exact_zero"
259,"exact_zero"
260,"exact_zero"
261,"exact_zero"
262,"exact_zero"
263,"exact_zero"
264,"exact_zero"
265,"exact_zero"
266,"exact_zero"
267,"exact_zero"
268,"exact_zero"
269,"exact_zero"
270,"exact_zero"
271,"exact_zero"
272,"exact_zero"
273,"exact_zero"
274,"exact_zero"
275,"exact_zero"
276,"exact_zero"
277,"exact_zero"
278,"exact_zero"
279,"exact_zero"
280,"exact_zero"
281,"exact_zero"
282,"exact_zero"
283,"exact_zero"
284,"exact_zero"
285,"exact_zero"
286,"exact_zero"
287,"exact_zero"
288,"exact_zero"
289,"exact_zero"
290,"exact_zero"
291,"exact_zero"
292,"exact_zero"
293,"exact_zero"
294,"exact_zero"
295,"exact_zero"
296,"exact_zero"
297,"exact_zero"
298,"exact_zero"
299,"exact_zero"
300,"exact_zero"
301,"exact_zero"
302,"exact_zero"
303,"exact_zero"
304,"exact_zero"
305,"exact_zero"
306,"exact_zero"
307,"exact_zero"
308,"exact_zero"
309,"exact_zero"
310,"exact_zero"
311,"exact_zero"
312,"exact_zero"
313,"exact_zero"
314,"exact_zero"
315,"exact_zero"
316,"exact_zero"
317,"exact_zero"
318,"exact_zero"
319,"exact_zero"
320,"exact_zero"
321,"exact_zero"
322,"exact_zero"
323,"exact_zero"
324,"exact_zero"
325,"exact_zero"
326,"exact_zero"
327,"exact_zero"
328,"exact_zero"
329,"exact_zero"
330,"exact_zero"
331,"exact_zero"
332,"exact_zero"
333,"exact_zero"
334,"exact_zero"
335,"exact_zero"
336,"exact_zero"
337,"exact_zero"
338,"exact_zero"
339,"exact_zero"
340,"exact_zero"
341,"exact_zero"
342,"exact_zero"
343,"exact_zero"
344,"exact_zero"
345,"exact_zero"
346,"exact_zero"
347,"exact_zero"
348,"exact_zero"
349,"exact_zero"
350,"exact_zero"
351,"exact_zero"
352,"exact_zero"
353,"exact_zero"
354,"exact_zero"
355,"exact_zero"
356,"exact_zero"
357,"exact_zero"
358,"exact_zero"
359,"exact_zero"
360,"exact_zero"
361,"exact_zero"
362,"exact_zero"
363,"exact_zero"
364,"exact_zero"
365,"exact_zero"
366,"exact_zero"
367,"exact_zero"
368,"exact_zero"
369,"exact_zero"
370,"exact_zero"
371,"exact_zero"
372,"exact_zero"
373,"exact_zero"
374,"exact_zero"
375,"exact_zero"
376,"exact_zero"
377,"exact_zero"
378,"exact_zero"
379,"exact_zero"
380,"exact_zero"
381,"exact_zero"
382,"exact_zero"
383,"exact_zero"
384,"exact_zero"
385,"exact_zero"
386,"exact_zero"
387,"exact_zero"
388,"exact_zero"
389,"exact_zero"
390,"exact_zero"
391,"exact_zero"
392,"exact_zero"
393,"exact_zero"
394,"exact_zero"
395,"exact_zero"
396,"exact_zero"
397,"exact_zero"
398,"exact_zero"
399,"exact_zero"
400,"exact_zero"
401,"exact_zero"
402,"exact_zero"
403,"exact_zero"
404,"exact_zero"
405,"exact_zero"
406,"exact_zero"
407,"exact_zero"
408,"exact_zero"
409,"exact_zero"
410,"exact_zero"
411,"exact_zero"
412,"exact_zero"
413,"exact_zero"
414,"exact_zero"
415,"exact_zero"
416,"exact_zero"
417,"exact_zero"
418,"exact_zero"
419,"exact_zero"
420,"exact_zero"
421,"exact_zero"
422,"exact_zero"
423,"exact_zero"
424,"exact_zero"
425,"exact_zero"
426,"exact_zero"
427,"exact_zero"
428,"exact_zero"
429,"exact_zero"
430,"exact_zero"
431,"exact_zero"
432,"exact_zero"
433,"exact_zero"
434,"exact_zero"
435,"exact_zero"
436,"exact_zero"
437,"exact_zero"
438,"exact_zero"
439,"exact_zero"
440,"exact_zero"
441,"exact_zero"
442,"exact_zero"
443,"exact_zero"
444,"exact_zero"
445,"exact_zero"
446,"exact_zero"
447,"exact_zero"
448,"exact_zero"
449,"exact_zero"
450,"exact_zero"
451,"exact_zero"
452,"exact_zero"
453,"exact_zero"
454,"exact_zero"
455,"exact_zero"
456,"exact_zero"
457,"exact_zero"
458,"exact_zero"
459,"exact_zero"
460,"exact_zero"
461,"exact_zero"
462,"exact_zero"
463,"exact_zero"
464,"exact_zero"
465,"exact_zero"
466,"exact_zero"
467,"exact_zero"
468,"exact_zero"
469,"exact_zero"
470,"exact_zero"
471,"exact_zero"
472,"exact_zero"
473,"exact_zero"
474,"exact_zero"
475,"exact_zero"
476,"exact_zero"
477,"exact_zero"
478,"exact_zero"
479,"exact_zero"
480,"exact_zero"
481,"exact_zero"
482,"exact_zero"
483,"exact_zero"
484,"exact_zero"
485,"exact_zero"
486,"exact_zero"
487,"exact_zero"
488,"exact_zero"
489,"exact_zero"
490,"exact_zero"
491,"exact_zero"
492,"exact_zero"
493,"exact_zero"
494,"exact_zero"
495,"exact_zero"
496,"exact_zero"
497,"exact_zero"
498,"exact_zero"
499,"exact_zero"
500,"exact_zero"
501,"exact_zero"
502,"exact_zero"
503,"exact_zero"
504,"exact_zero"
505,"exact_zero"
506,"exact_zero"
507,"exact_zero"
508,"exact_zero"
509,"exact_zero"
510,"exact_zero"
511,"exact_zero"
512,"exact_zero"
513,"exact_zero"
514,"exact_zero"
515,"exact_zero"
516,"exact_zero"
517,"exact_zero"
518,"exact_zero"
519,"exact_zero"
520,"exact_zero"
521,"exact_zero"
522,"exact_zero"
523,"exact_zero"
524,"exact_zero"
525,"exact_zero"
526,"exact_zero"
527,"exact_zero"
528,"exact_zero"
529,"exact_zero"
530,"exact_zero"
531,"exact_zero"
532,"exact_zero"
533,"exact_zero"
534,"exact_zero"
535,"exact_zero"
536,"exact_zero"
537,"exact_zero"
538,"exact_zero"
539,"exact_zero"
540,"exact_zero"
541,"exact_zero"
542,"exact_zero"
543,"exact_zero"
544,"exact_zero"
545,"exact_zero"
546,"exact_zero"
547,"exact_zero"
548,"exact_zero"
549,"exact_zero"
550,"exact_zero"
551,"exact_zero"
552,"exact_zero"
553,"exact_zero"
554,"exact_zero"
555,"exact_zero"
556,"exact_zero"
557,"exact_zero"
558,"exact_zero"
559,"exact_zero"
560,"exact_zero"
561,"exact_zero"
562,"exact_zero"
563,"exact_zero"
564,"exact_zero"
565,"exact_zero"
566,"exact_zero"
567,"exact_zero"
568,"exact_zero"
569,"exact_zero"
570,"exact_zero"
571,"exact_zero"
572,"exact_zero"
573,"exact_zero"
574,"exact_zero"
575,"exact_zero"
576,"exact_zero"
577,"exact_zero"
578,"exact_zero"
579,"exact_zero"
580,"exact_zero"
581,"exact_zero"
582,"exact_zero"
583,"exact_zero"
584,"exact_zero"
585,"exact_zero"
586,"exact_zero"
587,"exact_zero"
588,"exact_zero"
589,"exact_zero"
590,"exact_zero"
591,"exact_zero"
592,"exact_zero"
593,"exact_zero"
594,"exact_zero"
595,"exact_zero"
596,"exact_zero"
597,"exact_zero"
598,"exact_zero"
599,"exact_zero"
600,"exact_zero"
601,"exact_zero"
602,"exact_zero"
603,"exact_zero"
604,"exact_zero"
605,"exact_zero"
606,"exact_zero"
607,"exact_zero"
608,"exact_zero"
609,"exact_zero"
610,"exact_zero"
611,"exact_zero"
612,"exact_zero"
613,"exact_zero"
614,"exact_zero"
615,"exact_zero"
616,"exact_zero"
617,"exact_zero"
618,"exact_zero"
619,"exact_zero"
620,"exact_zero"
621,"exact_zero"
622,"exact_zero"
623,"exact_zero"
624,"exact_zero"
625,"exact_zero"
626,"exact_zero"
627,"exact_zero"
628,"exact_zero"
629,"exact_zero"
630,"exact_zero"
631,"exact_zero"
632,"exact_zero"
633,"exact_zero"
634,"exact_zero"
635,"exact_zero"
636,"exact_zero"
637,"exact_zero"
638,"exact_zero"
639,"exact_zero"
640,"exact_zero"
641,"exact_zero"
642,"exact_zero"
643,"exact_zero"
644,"exact_zero"
645,"exact_zero"
646,"exact_zero"
647,"exact_zero"
648,"exact_zero"
649,"exact_zero"
650,"exact_zero"
651,"exact_zero"
652,"exact_zero"
653,"exact_zero"
654,"exact_zero"
655,"exact_zero"
656,"exact_zero"
657,"exact_zero"
658,"exact_zero"
659,"exact_zero"
660,"exact_zero"
661,"exact_zero"
662,"exact_zero"
663,"exact_zero"
664,"exact_zero"
665,"exact_zero"
666,"exact_zero"
667,"exact_zero"
668,"exact_zero"
669,"exact_zero"
670,"exact_zero"
671,"exact_zero"
672,"exact_zero"
673,"exact_zero"
674,"exact_zero"
675,"exact_zero"
676,"exact_zero"
677,"exact_zero"
678,"exact_zero"
679,"exact_zero"
680,"exact_zero"
681,"exact_zero"
682,"exact_zero"
683,"exact_zero"
684,"exact_zero"
685,"exact_zero"
686,"exact_zero"
687,"exact_zero"
688,"exact_zero"
689,"exact_zero"
690,"exact_zero"
691,"exact_zero"
692,"exact_zero"
693,"exact_zero"
694,"exact_zero"
695,"exact_zero"
696,"exact_zero"
697,"exact_zero"
698,"exact_zero"
699,"exact_zero"
700,"exact_zero"
701,"exact_zero"
702,"exact_zero"
703,"exact_zero"
704,"exact_zero"
705,"exact_zero"
706,"exact_zero"
707,"exact_zero"
708,"exact_zero"
709,"exact_zero"
710,"exact_zero"
711,"exact_zero"
712,"exact_zero"
713,"exact_zero"
714,"exact_zero"
715,"exact_zero"
716,"exact_zero"
717,"exact_zero"
718,"exact_zero"
719,"exact_zero"
720,"exact_zero"
721,"exact_zero"
722,"exact_zero"
723,"exact_zero"
724,"exact_zero"
725,"exact_zero"
726,"exact_zero"
727,"exact_zero"
728,"exact_zero"
729,"exact_zero"
730,"exact_zero"
731,"exact_zero"
732,"exact_zero"
733,"exact_zero"
734,"exact_zero"
735,"exact_zero"
736,"exact_zero"
737,"exact_zero"
738,"exact_zero"
739,"exact_zero"
740,"exact_zero"
741,"exact_zero"
742,"exact_zero"
743,"exact_zero"
744,"exact_zero"
745,"exact_zero"
746,"exact_zero"
747,"exact_zero"
748,"exact_zero"
749,"exact_zero"
750,"exact_zero"
751,"exact_zero"
752,"exact_zero"
753,"exact_zero"
754,"exact_zero"
755,"exact_zero"
756,"exact_zero"
757,"exact_zero"
758,"exact_zero"
759,"exact_zero"
760,"exact_zero"
761,"exact_zero"
762,"exact_zero"
763,"exact_zero"
764,"exact_zero"
765,"exact_zero"
766,"exact_zero"
767,"exact_zero"
768,"exact_zero"
769,"exact_zero"
770,"exact_zero"
771,"exact_zero"
772,"exact_zero"
773,"exact_zero"
774,"exact_zero"
775,"exact_zero"
776,"exact_zero"
777,"exact_zero"
778,"exact_zero"
779,"exact_zero"
780,"exact_zero"
781,"exact_zero"
782,"exact_zero"
783,"exact_zero"
784,"exact_zero"
785,"exact_zero"
786,"exact_zero"
787,"exact_zero"
788,"exact_zero"
789,"exact_zero"
790,"exact_zero"
791,"exact_zero"
792,"exact_zero"
793,"exact_zero"
794,"exact_zero"
795,"exact_zero"
796,"exact_zero"
797,"exact_zero"
798,"exact_zero"
799,"exact_zero"
800,"exact_zero"
801,"exact_zero"
802,"exact_zero"
803,"exact_zero"
