"rank","feature_id","gene_symbol","region","abs_loading","mu","variance","nb1","nb2","alpha_mu","log_nb1","log_nb2","log_alpha_mu","nb_gap","nb_support","var_fit","d1","d2"
1,"214","LOC365036","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.236840791942954,0.000224825712131959,-5.31524874341758e-08
2,"672","-","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.236615992460345,0.00022477359980632,-5.1072163843732e-08
3,"926","-","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.2363912440499,0.000224723567804272,-4.89918402532882e-08
4,"1576","-","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.236166544631295,0.000224675616125814,-4.69115166628444e-08
5,"3279","-","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.235941892124207,0.000224629744770946,-4.48311930724006e-08
6,"4456","Dynlt1","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.235717284448312,0.000224585953739669,-4.27508694819568e-08
7,"5332","Pde10a","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.235492719523287,0.000224544243031982,-4.0670545891513e-08
8,"6396","Cnot3","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.235268195268807,0.000224504612647886,-3.85902223010692e-08
9,"6569","Prkcg","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.23504370960455,0.00022446706258738,-3.65098987106254e-08
10,"6612","-","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.234819260450191,0.000224431592850465,-3.44295751201816e-08
11,"7638","-","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.234594845725407,0.00022439820343714,-3.23492515297378e-08
12,"7955","Fkrp","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.234370463349876,0.000224366894347405,-3.0268927939294e-08
13,"8035","Hif3a","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.234146111243271,0.000224337665581261,-2.81886043488502e-08
14,"8269","Apoc4","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.233921787325272,0.000224310517138707,-2.61082807584064e-08
15,"8595","Pou2f2","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.233697489515553,0.000224285449019744,-2.40279571679626e-08
16,"8739","Tmem91","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.233473215733791,0.000224262461224371,-2.19476335775189e-08
17,"8841","Epc2l1","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.233248963899663,0.000224241553752589,-1.98673099870751e-08
18,"9271","Dyrk1b","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.233024731932845,0.000224222726604397,-1.77869863966313e-08
19,"9592","Sipa1l3","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.232800517753013,0.000224205979779796,-1.57066628061875e-08
20,"9593","Sipa1l3","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.232576319279844,0.000224191313278785,-1.36263392157437e-08
21,"9936","Cox6b1","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.232352134433014,0.000224178727101365,-1.15460156252999e-08
22,"10937","Zfp17","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.2321279611322,0.000224168221247534,-9.46569203485609e-09
23,"11109","Emc10","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.231903797297078,0.000224159795717295,-7.38536844441228e-09
24,"11500","Snrnp70","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.231679640847324,0.000224153450510646,-5.30504485396849e-09
25,"11538","Ftl1","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.231455489702615,0.000224149185627587,-3.2247212635247e-09
26,"11556","Dhdh","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.231231341782628,0.000224147001068119,-1.1443976730809e-09
27,"12336","Cyfip1","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.231007195007038,0.000224146896832241,9.359259173629e-10
28,"12384","Nipa1","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.230783047295522,0.000224148872919953,3.01624950780669e-09
