"rank","feature_id","abs_pc1_loading","mu","empirical_variance.x","nb1_mu","nb2_variance_minus_mu","alpha_hat","alpha_mu","log_nb1","log_nb2","nb_gap","log_alpha_mu","combined_nb_support","empirical_variance.y","log1p_empirical_variance","smooth_log1p_empirical_variance","d1","d2"
1,"5091",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
2,"7312",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
3,"7636",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
4,"7955",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
5,"9908",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
6,"12336",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
7,"15183",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
8,"17644",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
9,"19727",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
10,"24391",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
11,"24944",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
12,"30561",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
13,"32323",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
14,"37050",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
15,"38204",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
16,"38230",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
17,"38281",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
18,"41100",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
19,"44116",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
20,"45293",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
21,"49195",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
22,"49779",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
23,"50560",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
24,"54742",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
25,"55981",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
26,"56261",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
27,"57848",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
28,"59667",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
29,"59804",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
30,"62174",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
31,"62330",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
32,"66062",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
33,"70033",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
34,"71027",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
35,"71677",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
36,"71688",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
37,"71789",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
38,"71934",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
39,"76292",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
40,"77109",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
41,"78544",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
42,"79891",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
43,"79977",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
44,"80927",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
45,"83130",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
46,"83265",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
47,"83889",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
48,"84675",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
49,"85273",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
50,"86259",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
51,"86690",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
52,"88480",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
53,"89131",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
54,"90388",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
55,"91474",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
56,"91901",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
57,"92470",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
58,"92712",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
59,"94918",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
60,"101737",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
61,"102854",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
62,"107795",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
63,"108286",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
64,"111191",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
65,"112064",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
66,"113742",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
67,"117295",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
68,"117645",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
69,"117795",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
70,"118444",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
71,"118508",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
72,"119572",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
73,"119928",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
74,"120511",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
75,"122774",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
76,"127566",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
77,"129543",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
78,"130155",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
79,"132691",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
80,"134528",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
81,"136110",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
82,"136675",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
83,"137407",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
84,"137699",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
85,"139527",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
86,"139752",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
87,"141610",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
88,"143083",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
89,"145071",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
90,"145259",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
91,"146643",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
92,"146713",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
93,"146908",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
94,"147641",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
95,"148937",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
96,"148950",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
97,"152961",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
98,"153246",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
99,"154567",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
100,"154624",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
101,"157801",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
102,"160378",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
103,"162005",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
104,"164178",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
105,"164319",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
106,"164710",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
107,"165513",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
108,"167271",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
109,"167876",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
110,"167948",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
111,"172218",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
112,"172670",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
