"rank","feature_id","gene_symbol","abs_loading","mu","variance","nb1","nb2","alpha_mu","log_variance","log_nb1","log_nb2","log_alpha_mu","nb_gap","var_fit","d1","d2","nb_support"
1,"672","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.534481000246931,0.00177513966997236,-1.09370832094914e-07,0.15468105440736
2,"926","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.532705914543447,0.0017750324559265,-1.05057259629583e-07,0.15468105440736
3,"1110","Epm2a",0,0,0,0,0,NA,0,0,0,NA,0,-0.530930933897221,0.0017749295554531,-1.00743687164253e-07,0.15468105440736
4,"4605","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.529156053994683,0.00177483096855217,-9.64301146989219e-08,0.15468105440736
5,"6569","Prkcg",0,0,0,0,0,NA,0,0,0,NA,0,-0.527381270522259,0.00177473669522371,-9.21165422335912e-08,0.15468105440736
6,"6683","Usp29",0,0,0,0,0,NA,0,0,0,NA,0,-0.525606579166378,0.00177464673546771,-8.78029697682606e-08,0.15468105440736
7,"7324","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.523831975613466,0.00177456108928417,-8.34893973029299e-08,0.15468105440736
8,"7942","Slc1a5",0,0,0,0,0,NA,0,0,0,NA,0,-0.522057455549952,0.0017744797566731,-7.91758248375992e-08,0.15468105440736
9,"7955","Fkrp",0,0,0,0,0,NA,0,0,0,NA,0,-0.520283014662263,0.0017744027376345,-7.48622523722686e-08,0.15468105440736
10,"8482","Atp1a3",0,0,0,0,0,NA,0,0,0,NA,0,-0.518508648636826,0.00177433003216836,-7.05486799069379e-08,0.15468105440736
11,"8739","Tmem91",0,0,0,0,0,NA,0,0,0,NA,0,-0.516734353160068,0.00177426164027468,-6.62351074416072e-08,0.15468105440736
12,"8841","Epc2l1",0,0,0,0,0,NA,0,0,0,NA,0,-0.514960123918419,0.00177419756195347,-6.19215349762766e-08,0.15468105440736
13,"9271","Dyrk1b",0,0,0,0,0,NA,0,0,0,NA,0,-0.513185956598304,0.00177413779720473,-5.76079625109459e-08,0.15468105440736
14,"9936","Cox6b1",0,0,0,0,0,NA,0,0,0,NA,0,-0.511411846886152,0.00177408234602845,-5.32943900456152e-08,0.15468105440736
15,"10986","Zfp819",0,0,0,0,0,NA,0,0,0,NA,0,-0.509637790468389,0.00177403120842464,-4.89808175802845e-08,0.15468105440736
16,"10988","LOC103691107",0,0,0,0,0,NA,0,0,0,NA,0,-0.507863783031445,0.00177398438439329,-4.46672451149539e-08,0.15468105440736
17,"11527","Snrnp70",0,0,0,0,0,NA,0,0,0,NA,0,-0.506089820261746,0.00177394187393441,-4.03536726496232e-08,0.15468105440736
18,"12220","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.504315897845719,0.00177390367704799,-3.60401001842926e-08,0.15468105440736
19,"16357","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.502542011469792,0.00177386979373404,-3.17265277189619e-08,0.15468105440736
20,"16970","Fes",0,0,0,0,0,NA,0,0,0,NA,0,-0.500768156820393,0.00177384022399255,-2.74129552536312e-08,0.15468105440736
21,"17644","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.498994329583949,0.00177381496782353,-2.30993827883005e-08,0.15468105440736
22,"18903","Fam168a",0,0,0,0,0,NA,0,0,0,NA,0,-0.497220525446888,0.00177379402522698,-1.87858103229699e-08,0.15468105440736
23,"19175","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.495446740095638,0.00177377739620289,-1.44722378576392e-08,0.15468105440736
24,"19850","Dennd5a",0,0,0,0,0,NA,0,0,0,NA,0,-0.493672969216625,0.00177376508075126,-1.01586653923085e-08,0.15468105440736
25,"21012","Gprc5b",0,0,0,0,0,NA,0,0,0,NA,0,-0.491899208496278,0.0017737570788721,-5.84509292697788e-09,0.15468105440736
26,"21102","LOC102551569",0,0,0,0,0,NA,0,0,0,NA,0,-0.490125453621024,0.00177375339056541,-1.5315204616472e-09,0.15468105440736
27,"22472","Rusf1",0,0,0,0,0,NA,0,0,0,NA,0,-0.48835170027729,0.00177375401583118,2.78205200368348e-09,0.15468105440736
28,"22831","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.486577944151504,0.00177375895466941,7.09562446901415e-09,0.15468105440736
29,"23669","Ptdss2",0,0,0,0,0,NA,0,0,0,NA,0,-0.484804180930093,0.00177376820708012,1.14091969343448e-08,0.15468105440736
30,"24206","Cars",0,0,0,0,0,NA,0,0,0,NA,0,-0.483030406299486,0.00177378177306328,1.57227693996755e-08,0.15468105440736
31,"24210","Cars",0,0,0,0,0,NA,0,0,0,NA,0,-0.481256615946109,0.00177379965261892,2.00363418650061e-08,0.15468105440736
32,"24797","Rce1",0,0,0,0,0,NA,0,0,0,NA,0,-0.479482805556391,0.00177382184574701,2.43499143303368e-08,0.15468105440736
33,"24864","Rbm14",0,0,0,0,0,NA,0,0,0,NA,0,-0.477708970816758,0.00177384835244758,2.86634867956675e-08,0.15468105440736
34,"24944","Npas4",0,0,0,0,0,NA,0,0,0,NA,0,-0.475935107413638,0.0017738791727206,3.29770592609982e-08,0.15468105440736
35,"25630","Vegfb",0,0,0,0,0,NA,0,0,0,NA,0,-0.474161211033459,0.0017739143065661,3.72906317263289e-08,0.15468105440736
36,"25923","Rtn3",0,0,0,0,0,NA,0,0,0,NA,0,-0.472387277362648,0.00177395375398406,4.16042041916595e-08,0.15468105440736
37,"26562","Lpxn",0,0,0,0,0,NA,0,0,0,NA,0,-0.470613302087633,0.00177399751497448,4.59177766569902e-08,0.15468105440736
38,"26603","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.468839280894842,0.00177404558953737,5.02313491223208e-08,0.15468105440736
39,"26618","Tle4",0,0,0,0,0,NA,0,0,0,NA,0,-0.467065209470701,0.00177409797767273,5.45449215876515e-08,0.15468105440736
40,"27115","Aldh1a1",0,0,0,0,0,NA,0,0,0,NA,0,-0.465291083501639,0.00177415467938055,5.88584940529804e-08,0.15468105440736
41,"27331","Apba1",0,0,0,0,0,NA,0,0,0,NA,0,-0.463516898674083,0.00177421569466083,6.31720665183128e-08,0.15468105440736
42,"30241","Borcs7",0,0,0,0,0,NA,0,0,0,NA,0,-0.46174265067446,0.00177428102351358,6.74856389836435e-08,0.15468105440736
43,"31694","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.459968335189198,0.0017743506659388,7.17992114489742e-08,0.15468105440736
44,"32791","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.458193947904725,0.00177442462193648,7.61127839143048e-08,0.15468105440736
45,"33631","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.456419484507468,0.00177450289150663,8.04263563796355e-08,0.15468105440736
46,"35074","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.454644940683854,0.00177458547464924,8.47399288449662e-08,0.15468105440736
47,"35207","Adcy2",0,0,0,0,0,NA,0,0,0,NA,0,-0.452870312120312,0.00177467237136432,8.90535013102969e-08,0.15468105440736
48,"35811","Syne1",0,0,0,0,0,NA,0,0,0,NA,0,-0.451095594503268,0.00177476358165186,9.33670737756307e-08,0.15468105440736
49,"36051","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.44932078351915,0.00177485910551187,9.76806462409582e-08,0.15468105440736
50,"36548","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.447545874854387,0.00177495894294434,1.01994218706289e-07,0.15468105440736
51,"36995","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.445770864195404,0.00177506309394928,1.0630779117162e-07,0.15468105440736
52,"37354","Fam120b",0,0,0,0,0,NA,0,0,0,NA,0,-0.443995747228631,0.00177517155852669,1.1062136363695e-07,0.15468105440736
53,"38230","Peg3",0,0,0,0,0,NA,0,0,0,NA,0,-0.442220519640493,0.00177528433667656,1.14934936102281e-07,0.15468105440736
54,"38721","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.44044517711742,0.00177540142839889,1.19248508567612e-07,0.15468105440736
55,"39382","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.438669715345838,0.00177552283369369,1.23562081032942e-07,0.15468105440736
56,"39984","Zfp574",0,0,0,0,0,NA,0,0,0,NA,0,-0.436894130012175,0.00177564855256096,1.27875653498271e-07,0.15468105440736
57,"40007","LOC103691054",0,0,0,0,0,NA,0,0,0,NA,0,-0.435118416802859,0.00177577858500069,1.32189225963604e-07,0.15468105440736
58,"42137","Kcnc3",0,0,0,0,0,NA,0,0,0,NA,0,-0.433342571404316,0.00177591293101288,1.36502798428934e-07,0.15468105440736
59,"42185","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.431566589502975,0.00177605159059754,1.40816370894265e-07,0.15468105440736
60,"42356","Tulp2",0,0,0,0,0,NA,0,0,0,NA,0,-0.429790466785264,0.00177619456375467,1.45129943359596e-07,0.15468105440736
61,"43370","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.428014198937609,0.00177634185048426,1.49443515824926e-07,0.15468105440736
62,"44033","Gabrb3",0,0,0,0,0,NA,0,0,0,NA,0,-0.426237781646438,0.00177649345078632,1.53757088290257e-07,0.15468105440736
63,"44053","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.424461210598178,0.00177664936466084,1.58070660755588e-07,0.15468105440736
64,"45323","Mctp2",0,0,0,0,0,NA,0,0,0,NA,0,-0.422684481479258,0.00177680959210783,1.62384233220918e-07,0.15468105440736
65,"45864","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.420907589976105,0.00177697413312729,1.66697805686249e-07,0.15468105440736
66,"45865","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.419130531775146,0.00177714298771921,1.7101137815158e-07,0.15468105440736
67,"46451","Fah",0,0,0,0,0,NA,0,0,0,NA,0,-0.417353302562809,0.00177731615588359,1.7532495061691e-07,0.15468105440736
68,"49195","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.415575898025522,0.00177749363762044,1.79638523082241e-07,0.15468105440736
69,"51143","LOC100911864",0,0,0,0,0,NA,0,0,0,NA,0,-0.413798313849711,0.00177767543292975,1.83952095547572e-07,0.15468105440736
70,"51725","Sox6",0,0,0,0,0,NA,0,0,0,NA,0,-0.412020545721805,0.00177786154181153,1.88265668012902e-07,0.15468105440736
